,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-12,,1.764B,3.226B,4.99B,,8.278B,1.833B,249.00M,1.722B,,3.804B,51.00M,975.00M,18.10B,0.00,314.00M,2.631B,23.73B,,,26.68B,-14.61B,12.07B,13.95B,5.162B,19.11B,1.555B,,929.00M,33.67B,51.77B,,2.649B,289.00M,1.493B,2.425B,6.856B,,6.856B,,2.595B,2.595B,2.595B,,,,,10.86B,5.504B,5.504B,1.636B,1.636B,1.262B,13.00M,218.00M,1.043B,9.458B,20.32B,,11.92B,25.21B,,3.136B,,,-2.768B,31.23B,,,Restated
2010-09,1.114B,1.114B,1.511B,2.625B,8.60B,8.60B,1.841B,280.00M,1.82B,,3.941B,,1.28B,16.45B,,,,,,,26.23B,-14.33B,11.90B,13.67B,5.248B,18.92B,1.605B,0.00,984.00M,33.41B,49.85B,,6.308B,286.00M,1.217B,,7.811B,,7.811B,,,1.916B,1.916B,,334.00M,334.00M,,10.06B,4.82B,4.82B,1.557B,1.557B,1.192B,,218.00M,1.108B,8.677B,18.74B,,11.87B,24.45B,,2.803B,,,-2.627B,30.90B,,AOR,Restated
2010-06,229.00M,229.00M,2.849B,3.078B,6.234B,6.234B,1.665B,84.00M,116.00M,,1.865B,148.00M,905.00M,12.23B,,,,,,,22.28B,-12.62B,9.657B,5.854B,1.36B,7.214B,3.048B,199.00M,669.00M,20.79B,33.02B,,4.852B,249.00M,908.00M,,6.009B,,6.009B,,,767.00M,767.00M,,,,,6.776B,3.729B,3.729B,,,1.581B,,106.00M,1.047B,6.357B,13.13B,,4.92B,23.01B,,5.42B,,,-2.729B,19.78B,,AOR,Restated
2010-03,271.00M,271.00M,3.932B,4.203B,5.972B,5.972B,1.643B,75.00M,133.00M,,1.851B,154.00M,885.00M,13.06B,,,,,,,21.82B,-12.28B,9.545B,5.397B,840.00M,6.237B,3.068B,301.00M,667.00M,19.82B,32.88B,,4.705B,250.00M,865.00M,,5.82B,,5.82B,,934.00M,934.00M,934.00M,,,,,6.754B,4.052B,4.052B,,,1.623B,,111.00M,915.00M,6.59B,13.34B,,4.841B,22.44B,,5.221B,,,-2.632B,19.43B,,AOR,Restated
2009-12,,617.00M,3.999B,4.616B,6.088B,6.088B,1.646B,74.00M,146.00M,,1.866B,154.00M,926.00M,13.65B,0.00,141.00M,1.806B,18.86B,,695.00M,21.50B,-11.84B,9.66B,5.305B,786.00M,6.091B,3.044B,376.00M,644.00M,19.82B,33.46B,,1.793B,253.00M,878.00M,2.163B,5.087B,,5.087B,,1.125B,1.125B,1.125B,,,,,7.259B,4.354B,4.354B,0.00,0.00,1.66B,1.00M,109.00M,962.00M,6.977B,14.24B,,4.777B,22.02B,,5.002B,,,-2.674B,19.12B,,AOR,
2009-09,194.00M,194.00M,4.035B,4.229B,6.087B,6.087B,1.734B,78.00M,155.00M,,1.967B,158.00M,941.00M,13.38B,,,,,,,21.14B,-11.53B,9.61B,5.296B,813.00M,6.109B,2.868B,317.00M,789.00M,19.69B,33.08B,,4.736B,250.00M,929.00M,,5.915B,,5.915B,,1.20B,1.20B,1.20B,,,,,7.115B,4.312B,4.312B,,,1.293B,,108.00M,892.00M,6.497B,13.61B,,4.746B,21.48B,,4.568B,,,-2.298B,19.36B,,AOR,Restated
2009-06,216.00M,216.00M,4.195B,4.411B,6.107B,6.107B,1.804B,76.00M,141.00M,,2.021B,162.00M,954.00M,13.66B,,,,,,,20.85B,-11.16B,9.688B,5.266B,857.00M,6.123B,2.449B,406.00M,639.00M,19.30B,32.96B,,4.71B,253.00M,924.00M,,5.887B,,5.887B,,1.574B,1.574B,1.574B,,,,,7.461B,4.291B,4.291B,,,1.596B,,107.00M,878.00M,6.765B,14.23B,,4.718B,20.94B,,4.668B,,,-2.363B,18.63B,,AOR,Restated
2009-03,191.70M,191.70M,3.994B,4.186B,6.653B,6.653B,1.805B,99.00M,126.00M,,2.030B,178.54M,887.30M,13.93B,,,,,,,20.56B,-10.80B,9.758B,5.119B,794.45M,5.913B,2.395B,482.79M,513.02M,19.06B,33.00B,,4.902B,252.82M,956.60M,,6.112B,,6.112B,,,1.591B,1.591B,,,,,7.703B,4.575B,4.575B,,,2.143B,,72.95M,891.77M,7.610B,15.31B,,4.719B,20.58B,,4.717B,,,-2.969B,17.61B,,AOR,Restated
2008-12,188.93M,188.93M,3.503B,3.692B,6.258B,6.258B,1.674B,136.00M,109.00M,,1.919B,184.06M,841.58M,12.89B,0.00,119.00M,1.611B,17.32B,,1.107B,20.15B,-10.46B,9.690B,5.189B,819.99M,6.009B,2.340B,564.65M,493.32M,19.10B,31.99B,,5.268B,252.44M,1.007B,,6.527B,,6.527B,,1.597B,1.597B,1.597B,,,,,8.125B,3.694B,3.694B,,,2.369B,,71.92M,868.82M,6.932B,15.06B,,4.668B,19.89B,,4.796B,,,-2.901B,16.86B,,AOR,Restated
2008-09,,187.75M,3.306B,3.493B,6.702B,6.702B,,,,,1.878B,186.91M,817.77M,13.08B,,,,,,,19.47B,-10.26B,9.213B,5.295B,1.139B,6.434B,,224.35M,2.648B,18.52B,31.60B,,4.997B,,,,4.997B,,4.997B,,,2.211B,2.211B,,,,1.418B,8.626B,3.528B,3.528B,,,,,73.59M,1.572B,5.100B,13.73B,,0.00,18.99B,4.594B,4.663B,,,-1.125B,17.80B,,,Restated
2008-06,,185.72M,2.714B,2.900B,6.212B,6.212B,,,1.800B,,1.800B,180.59M,804.82M,11.90B,,,,,,,18.16B,-9.337B,8.827B,5.340B,903.08M,6.243B,,232.27M,2.795B,18.10B,29.99B,,4.769B,,,,4.769B,,4.769B,,,1.248B,1.248B,,,,1.215B,7.231B,4.118B,4.118B,,,,,61.25M,1.607B,5.726B,12.96B,,0.00,17.72B,4.505B,4.198B,,,-1.048B,16.98B,,,Restated
2008-03,,145.09M,3.008B,3.153B,5.781B,5.781B,,,,,1.763B,172.32M,775.58M,11.65B,,,,,,,17.69B,-9.337B,8.351B,5.173B,875.21M,6.048B,,206.56M,2.703B,17.31B,28.95B,,4.474B,,,,4.474B,,4.474B,,,1.579B,1.579B,,,,1.255B,7.309B,4.153B,4.153B,,,,,50.46M,1.659B,5.812B,13.12B,,0.00,16.55B,4.341B,3.999B,,,-1.108B,15.78B,,,Restated
2007-12,197.23M,197.23M,2.972B,3.169B,5.361B,5.361B,1.359B,145.00M,134.00M,,1.638B,182.56M,704.48M,11.06B,0.00,78.00M,1.365B,15.12B,,781.00M,17.34B,-9.337B,8.008B,5.142B,902.70M,6.045B,1.852B,214.74M,678.15M,16.80B,27.85B,,4.551B,210.60M,1.072B,,5.833B,,5.833B,,1.672B,1.672B,1.672B,,,,,7.505B,3.794B,3.794B,,,840.31M,,61.88M,775.98M,5.411B,12.92B,,4.136B,15.46B,,3.549B,,,-1.173B,14.88B,,,Restated
2007-09,,162.01M,3.076B,3.238B,5.302B,5.302B,,,,1.684B,1.584B,179.05M,632.53M,10.94B,,,,,,,15.52B,-8.834B,6.687B,5.080B,909.19M,5.989B,,347.90M,2.347B,15.37B,26.31B,,4.158B,,,,4.158B,,4.158B,,,1.262B,1.262B,,,,1.237B,6.658B,4.042B,4.042B,,,,,,1.589B,5.631B,12.29B,,0.00,14.29B,4.041B,3.129B,,,-1.182B,14.02B,,,
2007-06,,146.56M,2.738B,2.885B,4.896B,4.896B,,,,,1.520B,172.24M,574.81M,10.05B,,,,,,,15.12B,-8.834B,6.282B,5.054B,911.96M,5.966B,,404.46M,2.072B,14.72B,24.77B,,3.873B,,,,3.873B,,3.873B,,,1.375B,1.375B,,,,1.123B,6.371B,3.916B,3.916B,,,,,,1.647B,5.563B,11.93B,,0.00,13.14B,3.863B,2.986B,-802.47M,-379.32M,-1.182B,12.84B,,,
2007-03,,135.32M,2.456B,2.591B,4.688B,4.688B,,,,,1.423B,171.50M,598.08M,9.472B,,,,,,,14.14B,-8.336B,5.806B,4.993B,898.62M,5.891B,,413.99M,1.926B,14.04B,23.51B,,3.647B,,,,3.647B,,3.647B,,,959.91M,959.91M,,,,1.301B,5.908B,4.620B,4.620B,,,,,,1.621B,6.241B,12.15B,,3.566B,12.09B,,3.133B,,,-1.167B,11.36B,,,
2006-12,,165.82M,2.833B,2.999B,4.242B,4.242B,1.186B,127.00M,91.00M,,1.247B,162.88M,535.02M,9.186B,0.00,87.00M,1.10B,12.72B,0.041M,,13.91B,-8.336B,5.576B,4.989B,907.87M,5.896B,,412.80M,1.761B,13.65B,22.83B,,3.848B,,,,3.848B,,3.848B,,,1.322B,1.322B,,,,1.285B,6.455B,4.664B,4.664B,,,,,,1.294B,5.957B,12.41B,,0.00,11.12B,3.382B,2.912B,,,-1.169B,10.42B,,,
2006-09,,156.12M,1.745B,1.901B,4.143B,4.143B,1.168B,133.00M,88.00M,0.037M,1.235B,192.54M,519.97M,7.992B,,,,,,,13.29B,-8.193B,5.096B,4.809B,1.094B,5.903B,,304.64M,1.441B,12.74B,20.74B,,3.704B,,,,3.704B,,3.704B,,,1.234B,1.234B,,,,1.304B,6.243B,3.931B,3.931B,,,,,,963.45M,4.894B,11.14B,,3.332B,10.14B,,2.820B,-753.66M,-293.73M,-1.047B,9.599B,,,
2006-06,,173.01M,1.935B,2.108B,3.945B,3.945B,,,,,1.158B,175.80M,479.75M,7.867B,,,,,,,12.37B,-7.604B,4.767B,4.736B,883.22M,5.619B,,346.84M,1.624B,12.36B,20.22B,,3.556B,,,,3.556B,,3.556B,,,1.213B,1.213B,,,,1.330B,6.099B,4.137B,4.137B,,,,,,894.18M,5.031B,11.13B,,3.223B,9.283B,,2.375B,,,-1.037B,9.094B,,,
2006-03,,153.32M,3.081B,3.234B,3.761B,3.761B,1.022B,86.00M,90.47M,,1.063B,181.74M,448.04M,8.688B,,,,,,,12.22B,-7.814B,4.411B,,3.290B,3.290B,,323.27M,1.830B,9.854B,18.54B,,3.301B,,,,3.301B,,3.301B,,,802.20M,802.20M,,,,1.234B,5.338B,3.635B,3.635B,,,,,548.78M,888.66M,4.524B,9.861B,,2.883B,8.575B,,2.277B,,,-1.049B,8.131B,,,
2005-12,,190.95M,3.305B,3.496B,3.384B,3.384B,976.00M,96.00M,65.45M,,1.010B,233.17M,430.81M,8.554B,0.00,66.00M,989.00M,10.75B,,,11.80B,-7.604B,4.201B,,3.242B,3.242B,,331.04M,1.750B,9.524B,18.08B,,3.565B,,,,3.565B,,3.565B,,,796.58M,796.58M,,,,1.071B,5.433B,3.591B,3.591B,,,,,505.18M,956.50M,4.548B,9.981B,,2.751B,8.000B,,2.113B,,,-1.045B,7.592B,,,
2005-09,,183.82M,2.819B,3.003B,3.260B,3.260B,,,,,974.25M,180.49M,354.54M,7.772B,,,,,,,11.33B,-7.307B,4.021B,,3.274B,3.274B,,327.02M,1.842B,9.463B,17.24B,,3.122B,,,,3.122B,,3.122B,,,674.28M,674.28M,,,,1.076B,4.872B,3.744B,3.744B,,,,,470.46M,872.95M,4.617B,9.489B,,2.681B,7.463B,,1.956B,,,-912.38M,7.276B,,,
2005-06,,172.50M,2.741B,2.913B,3.057B,3.057B,,,,,944.91M,271.57M,372.58M,7.559B,,,,,,,11.23B,-7.307B,3.921B,,3.282B,3.282B,,345.92M,1.785B,9.334B,16.89B,,3.281B,,,,3.281B,,3.281B,,,691.09M,691.09M,,,,1.092B,5.064B,3.779B,3.779B,,,,,445.94M,848.48M,4.628B,9.692B,,2.590B,7.046B,,1.871B,,,-1.011B,6.754B,,,
2005-03,,222.24M,2.818B,3.040B,2.980B,2.980B,,,,,874.76M,251.57M,352.63M,7.499B,,,,,,,11.08B,-7.307B,3.775B,,3.436B,3.436B,,342.11M,1.351B,8.904B,16.40B,,3.028B,,,,3.028B,,3.028B,,,622.25M,622.25M,,,,1.055B,4.706B,3.946B,3.946B,,,,,436.30M,837.23M,4.783B,9.489B,,2.511B,6.688B,,1.724B,,,-997.16M,6.477B,,,
2004-12,,223.50M,2.774B,2.997B,2.664B,2.664B,812.00M,59.00M,74.00M,,819.74M,239.11M,339.83M,7.060B,0.00,58.00M,1.135B,9.876B,-0.271M,,11.07B,-7.307B,3.762B,,3.136B,3.136B,,343.58M,1.700B,8.941B,16.00B,,2.981B,,,,2.981B,,2.981B,,,715.87M,715.87M,,,,1.005B,4.701B,3.944B,3.944B,,,,,416.44M,822.22M,4.766B,9.468B,,2.454B,6.288B,,1.684B,,,-940.99M,6.117B,,,
2004-09,,201.20M,2.339B,2.540B,2.894B,2.894B,834.00M,61.00M,68.00M,0.391M,822.39M,284.69M,328.37M,6.870B,,,,,,,10.84B,-7.215B,3.620B,,3.129B,3.129B,,316.54M,1.720B,8.786B,15.66B,,3.190B,,,,3.190B,,3.190B,,,645.07M,645.07M,,,,943.08M,4.778B,3.738B,3.738B,,,,,400.62M,813.93M,4.552B,9.330B,,2.434B,6.068B,,1.622B,,,-955.83M,5.925B,,,
2004-06,,170.21M,2.389B,2.559B,2.778B,2.778B,761.00M,99.00M,47.00M,-0.131M,768.87M,402.85M,576.47M,7.085B,,,,,,,10.63B,-7.089B,3.542B,,3.061B,3.061B,,311.46M,1.734B,8.649B,15.73B,,3.220B,,,,3.220B,,3.220B,,,691.53M,691.53M,,,,1.001B,4.913B,3.747B,3.747B,,,,,395.99M,805.89M,4.553B,9.466B,,2.372B,5.861B,,1.424B,,,-936.52M,5.872B,,,
2004-03,,157.33M,2.676B,2.833B,2.820B,2.820B,,,,,862.94M,355.37M,1.150B,8.021B,,,,,,,10.56B,-6.938B,3.619B,,3.599B,3.599B,,301.51M,1.796B,9.316B,17.34B,,3.409B,,,,3.409B,,3.409B,,,1.753B,1.753B,,,,1.037B,6.199B,4.222B,4.222B,,,,,403.12M,794.22M,5.016B,11.22B,,2.327B,5.616B,,1.449B,,,-776.62M,5.718B,,,
2003-12,,234.19M,2.875B,3.109B,2.568B,2.568B,721.00M,74.00M,141.00M,,796.56M,315.35M,3.580B,10.37B,0.00,56.00M,1.239B,9.682B,-0.289M,,10.98B,-7.177B,3.800B,,3.688B,3.688B,,316.28M,1.869B,9.672B,20.04B,,3.248B,,,,3.248B,,3.248B,,,1.808B,1.808B,,,,1.739B,6.795B,6.097B,6.097B,,,,,398.33M,869.56M,6.967B,13.76B,,2.258B,5.506B,,1.508B,,,-374.70M,5.881B,,,
2003-09,,140.80M,1.877B,2.018B,3.760B,3.760B,832.00M,121.00M,71.00M,,879.78M,346.99M,526.90M,7.532B,,,,,,,11.25B,-6.938B,4.316B,,4.965B,4.965B,,253.97M,1.951B,11.49B,19.02B,,4.149B,,,,4.149B,,4.149B,,,956.31M,956.31M,,,,797.88M,5.903B,6.179B,6.179B,,,,,397.39M,856.31M,7.035B,12.94B,,2.246B,5.439B,,1.518B,,,-485.39M,5.682B,,,
2003-06,,263.96M,2.954B,3.218B,3.786B,3.786B,,,,,893.64M,362.59M,748.68M,9.008B,,,,,,,11.39B,-6.938B,4.449B,,4.971B,4.971B,,151.19M,2.414B,11.98B,20.99B,,4.493B,,,,4.493B,,4.493B,,,2.322B,2.322B,,,,755.79M,7.571B,6.353B,6.353B,,,,,547.43M,820.82M,7.174B,14.74B,,2.176B,5.604B,,1.570B,,,-508.94M,5.700B,,,
2003-03,,145.51M,1.325B,1.470B,3.658B,3.658B,,,,,1.043B,428.55M,506.06M,7.105B,,,,,,,11.46B,-6.938B,4.524B,,4.840B,4.840B,,140.34M,2.635B,12.14B,19.24B,,4.374B,,,,4.374B,,4.374B,,,1.023B,1.023B,,,,729.64M,6.127B,6.146B,6.146B,,,,,554.89M,808.54M,6.954B,13.08B,,2.172B,5.601B,,1.576B,,,-588.12M,5.608B,,,
2002-12,,168.11M,1.568B,1.736B,3.489B,3.489B,1.01B,118.00M,138.00M,,1.043B,435.89M,481.07M,7.185B,0.00,63.00M,1.225B,10.31B,,,11.60B,-6.938B,4.664B,,4.789B,4.789B,,147.01M,2.650B,12.25B,19.44B,,4.581B,,,,4.581B,,4.581B,,,1.136B,1.136B,,,,734.62M,6.451B,6.029B,6.029B,,,,,553.53M,796.06M,6.825B,13.28B,,2.171B,5.561B,,1.578B,,,-547.18M,5.606B,,,
2002-09,,153.83M,1.404B,1.558B,3.746B,3.746B,1.078B,197.00M,221.00M,,1.214B,326.04M,635.86M,7.480B,,,,,,,5.416B,-694.00M,4.722B,,7.378B,7.378B,,184.18M,2.644B,14.93B,22.41B,,4.167B,,,,4.167B,,4.167B,,,761.59M,761.59M,,,,597.41M,5.526B,6.757B,6.757B,,,,,649.04M,774.70M,7.532B,13.06B,,2.133B,8.531B,,1.606B,,,-355.86M,8.702B,,,
2002-06,,153.36M,1.559B,1.712B,3.900B,3.900B,1.126B,201.00M,187.00M,,1.233B,310.63M,654.58M,7.811B,,,,,,,11.58B,-6.793B,4.784B,,7.363B,7.363B,,190.84M,2.700B,15.04B,22.85B,,4.245B,,,,4.245B,,4.245B,,,872.23M,872.23M,,,,595.92M,5.713B,7.171B,7.171B,,,,,649.33M,799.24M,7.970B,13.68B,,2.064B,8.467B,,1.666B,,,-347.87M,8.516B,,,
2002-03,,127.65M,1.294B,1.421B,3.914B,3.914B,,,,,1.256B,332.65M,582.57M,7.506B,,,,,,,11.40B,-6.552B,4.843B,,6.962B,6.962B,,178.61M,2.598B,14.58B,22.09B,,4.135B,,,,4.135B,,4.135B,,,836.02M,836.02M,,,,658.19M,5.629B,6.479B,6.479B,,,,,645.76M,886.06M,7.365B,12.99B,,2.060B,8.379B,,1.673B,,,-318.97M,8.448B,,,
2001-12,,177.70M,1.440B,1.618B,4.028B,4.028B,,,,,1.204B,321.77M,532.71M,7.705B,0.00,82.00M,1.05B,10.05B,,,11.18B,-6.351B,4.828B,,7.072B,7.072B,,126.06M,2.595B,14.62B,22.33B,,4.507B,,,,4.507B,,4.507B,,,1.015B,1.015B,,,,695.97M,6.218B,6.216B,6.216B,,,,,636.90M,877.49M,7.093B,13.31B,,2.045B,8.315B,,1.695B,,,-286.84M,8.378B,,,
2001-09,,226.89M,1.257B,1.484B,4.494B,4.494B,,,,,1.393B,379.96M,595.92M,8.347B,,,,,,,11.51B,-6.666B,4.840B,7.121B,,7.121B,,124.20M,2.631B,14.72B,23.06B,,4.611B,,,,4.611B,,4.611B,,,1.228B,1.228B,,,,684.55M,6.523B,6.578B,6.578B,,,,,634.50M,1.060B,7.638B,14.16B,,2.025B,8.238B,,1.698B,-233.48M,-63.04M,-296.52M,8.269B,,,
2001-06,,1.506B,,1.506B,4.253B,4.253B,,,,,1.408B,349.05M,476.16M,7.992B,,,,,,,11.64B,-6.690B,4.951B,6.997B,,6.997B,,139.40M,2.608B,14.70B,22.69B,,4.536B,,,,4.536B,,4.536B,,,1.221B,1.221B,,,,595.35M,6.352B,6.617B,6.617B,,,,,622.20M,1.022B,7.639B,13.99B,,1.974B,8.151B,,1.737B,-313.43M,,-313.43M,8.074B,,,
2001-03,,2.527B,,2.527B,3.173B,3.173B,,,,,1.317B,287.18M,386.24M,7.690B,,,,,,,10.98B,-6.562B,4.423B,1.694B,,1.694B,,,4.416B,10.53B,18.22B,,3.196B,,,,3.196B,,3.196B,902.24M,42.19M,944.42M,944.42M,,,,566.71M,4.708B,3.775B,3.775B,,,,,622.41M,718.61M,4.494B,9.201B,,1.970B,8.352B,,1.744B,-178.63M,,-178.63M,8.399B,,,
2000-12,,3.040B,,3.040B,2.769B,2.769B,,,,,1.112B,259.18M,313.44M,7.493B,,,,,,,10.82B,-6.427B,4.395B,1.576B,,1.576B,,271.06M,3.438B,9.680B,17.17B,,2.911B,,,,2.911B,,2.911B,,,592.22M,592.22M,,,,487.96M,3.991B,3.573B,3.573B,,,,,,1.314B,4.887B,8.878B,,1.964B,8.223B,,1.753B,-139.20M,,-139.20M,8.295B,,,
2000-09,,3.751B,,3.751B,2.531B,2.531B,,,,,1.057B,246.64M,290.30M,7.875B,,,,,,,10.17B,-6.356B,3.814B,1.332B,,1.332B,,260.78M,2.440B,7.847B,15.72B,,2.378B,,,,2.378B,,2.378B,,,637.35M,637.35M,,,,445.98M,3.461B,3.417B,3.417B,,,,,,711.70M,4.128B,7.589B,,1.960B,8.093B,,1.759B,-161.55M,,-161.55M,8.133B,,,
2000-06,,3.696B,,3.696B,2.616B,2.616B,,,,,1.019B,257.64M,273.08M,7.862B,,,,,,,10.05B,-6.298B,3.753B,1.359B,,1.359B,,272.37M,2.377B,7.761B,15.62B,,2.418B,,,,2.418B,,2.418B,,,26.34M,26.34M,,,,996.20M,3.441B,3.574B,3.574B,,,,,,708.66M,4.282B,7.723B,,1.860B,7.996B,,1.809B,-146.96M,,-146.96M,7.900B,,,
2000-03,,4.299B,,4.299B,2.543B,2.543B,,,,,1.307B,289.64M,273.54M,8.712B,,,,,,,9.683B,-6.188B,3.495B,1.353B,,1.353B,,193.82M,1.418B,6.461B,15.17B,,2.216B,,,,2.216B,,2.216B,,,601.50M,601.50M,,,,512.90M,3.331B,3.281B,3.281B,,,,,,720.98M,4.002B,7.333B,,1.850B,7.947B,,1.825B,-132.20M,,-132.20M,7.840B,,,
1999-12,,4.390B,,4.390B,2.430B,2.430B,,,,,1.268B,,517.79M,8.606B,,,,,,,9.639B,-6.079B,3.561B,,1.334B,1.334B,,,1.581B,6.475B,15.08B,,2.283B,,,,2.283B,,2.283B,,,701.79M,701.79M,,,,489.81M,3.474B,3.183B,3.183B,,,,,,702.50M,3.886B,7.360B,,1.820B,7.917B,,1.879B,-137.16M,,-137.16M,7.721B,,,
1999-09,,4.022B,,4.022B,2.694B,2.694B,,,,,1.342B,295.70M,284.40M,8.638B,,,,,,,12.02B,-7.146B,4.869B,1.322B,,1.322B,,208.10M,1.322B,7.721B,16.36B,,2.459B,,,,2.459B,,2.459B,,,741.80M,741.80M,,,,515.00M,3.716B,3.563B,3.563B,,,,,,794.20M,4.357B,8.073B,,1.639B,8.930B,,2.179B,-103.50M,,-103.50M,8.286B,,,
1999-06,,4.023B,,4.023B,2.658B,2.658B,,,,,1.331B,273.68M,281.67M,8.567B,,,,,,,11.83B,-7.006B,4.822B,1.270B,,1.270B,,,1.084B,7.176B,15.74B,,2.495B,,,,2.495B,,2.495B,,,622.50M,622.50M,,,,512.90M,3.63B,3.207B,3.207B,,,,,,760.90M,3.968B,7.598B,,1.555B,8.894B,,2.198B,-106.11M,,-106.11M,8.145B,,,
1999-03,,3.903B,,3.903B,2.739B,2.739B,,,,,1.343B,267.90M,225.10M,8.478B,,,,,,,11.74B,-6.969B,4.769B,1.263B,,1.263B,,210.40M,1.073B,7.315B,15.79B,,2.536B,,,,2.536B,,2.536B,,,606.70M,606.70M,,,,671.00M,3.814B,3.117B,3.117B,,,,,,749.00M,3.866B,7.68B,,1.548B,8.869B,,2.209B,-95.10M,,-95.10M,8.113B,,,
1998-12,,183.60M,,183.60M,2.968B,2.968B,,,,,1.333B,,4.320B,8.805B,,,,,,,5.391B,-696.40M,4.694B,,1.303B,1.303B,,,1.276B,7.273B,16.08B,,2.54B,,,,2.54B,,2.54B,,,795.70M,795.70M,,,,583.00M,3.919B,3.285B,3.285B,,,,,,754.70M,4.040B,7.959B,,1.539B,8.882B,,2.221B,-81.50M,,-81.50M,8.119B,,,
1998-09,,3.867B,,3.867B,3.159B,3.159B,,,,,1.436B,234.10M,293.90M,8.990B,,,,,,,11.62B,-7.101B,4.514B,1.366B,,1.366B,,239.80M,1.051B,7.171B,16.16B,,2.608B,,,,2.608B,,2.608B,,,784.50M,784.50M,,,,611.90M,4.004B,3.433B,3.433B,,,,,,771.40M,4.205B,8.209B,,1.537B,8.707B,,2.227B,-65.40M,,-65.40M,7.952B,,,
1998-06,,1.781B,,1.781B,3.111B,3.111B,,,,,1.224B,174.70M,229.00M,6.520B,,,,,,,10.62B,-6.615B,4.008B,1.147B,,1.147B,,223.90M,826.60M,6.205B,12.73B,,2.337B,,,,2.337B,,2.337B,,,804.90M,804.90M,,,,530.30M,3.672B,1.138B,1.138B,,,,,,669.30M,1.807B,5.480B,,941.20M,8.585B,,2.231B,-49.20M,,-49.20M,7.246B,,,
1998-03,,1.705B,,1.705B,2.953B,2.953B,,,,,1.172B,168.50M,238.00M,6.236B,,,,,,,10.38B,-6.567B,3.809B,1.157B,,1.157B,,208.80M,851.70M,6.026B,12.26B,,2.224B,,,,2.224B,,2.224B,,,750.60M,750.60M,,,,512.00M,3.487B,1.104B,1.104B,,,,,,714.50M,1.818B,5.305B,,933.80M,8.319B,,2.240B,-55.00M,,-55.00M,6.957B,,,
1997-12,,147.40M,,147.40M,2.997B,2.997B,,,,,1.300B,,2.133B,6.578B,,,,,,,10.92B,-6.803B,4.122B,,1.379B,1.379B,,,1.107B,6.608B,13.19B,,2.514B,,,,2.514B,,2.514B,,,854.70M,854.70M,,,,519.10M,3.888B,1.179B,1.179B,,,,,,737.30M,1.917B,5.805B,,,8.266B,,,,,,7.381B,,,
1997-09,,109.20M,,109.20M,2.681B,2.681B,,,,,1.101B,,1.774B,5.665B,,,,,,,9.944B,-6.396B,3.548B,1.148B,,1.148B,,200.30M,941.40M,5.838B,11.50B,,2.160B,,,,2.160B,,2.160B,,,879.20M,879.20M,,,,514.90M,3.554B,856.60M,856.60M,,,,,,725.40M,1.582B,5.136B,,892.20M,7.782B,,2.266B,-42.20M,,-42.20M,6.367B,,,
1997-06,,1.442B,,1.442B,2.568B,2.568B,,,,,1.054B,214.90M,213.80M,5.492B,,,,,,,9.799B,-6.358B,3.441B,1.175B,,1.175B,,,692.00M,5.308B,10.80B,,2.131B,,,,2.131B,,2.131B,,,855.80M,855.80M,,,,483.40M,3.470B,726.10M,726.10M,,,,,,587.20M,1.313B,4.784B,,829.70M,7.519B,,2.296B,-36.00M,,-36.00M,6.017B,,,
1997-03,,1.202B,,1.202B,2.384B,2.384B,,,,,983.60M,217.50M,256.70M,5.044B,,,,,,,9.668B,-6.307B,3.361B,1.188B,,1.188B,,202.70M,543.80M,5.295B,10.34B,,2.058B,,,,2.058B,,2.058B,,,771.30M,771.30M,,,,488.50M,3.318B,633.80M,633.80M,,,,,,590.10M,1.224B,4.542B,,824.30M,7.305B,,2.306B,-26.90M,,-26.90M,5.797B,,,
