,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,86.02M,,86.02M,51.47M,47.01M,,98.48M,,31.95M,652.60M,,,,,,,,,,395.30M,395.30M,1.577B,,,583.26M,13.41B,14.07B,,,391.94M,,,,,8.564M,400.51M,7.966B,,7.966B,167.98M,167.98M,274.63M,,52.58M,8.186B,8.587B,469.72M,-3.425B,8.183B,,,,-21.31M,5.206B
2017-12,55.31M,,55.31M,40.73M,313.33M,,354.06M,,26.90M,853.28M,,,,,,,,,,410.08M,410.08M,1.515B,,,578.03M,13.24B,14.09B,,,401.74M,,,,,14.03M,415.77M,7.880B,,7.880B,144.71M,144.71M,293.93M,,52.58M,8.078B,8.494B,469.44M,-3.371B,8.226B,,,,-24.02M,5.301B
2017-09,133.89M,,133.89M,348.20M,402.15M,,750.35M,,27.14M,1.127B,,,,,,,,,47.02M,400.87M,447.89M,1.556B,,60.25M,176.70M,12.78B,13.90B,,,381.19M,,,,,8.653M,389.84M,7.466B,,7.466B,140.38M,140.38M,322.80M,,53.43M,7.660B,8.050B,469.04M,-3.138B,8.225B,,,,-24.49M,5.531B
2017-06,391.96M,,391.96M,357.45M,393.58M,,751.03M,,61.48M,1.204B,,,,,,,,,47.02M,414.40M,461.42M,1.559B,,,225.74M,12.90B,14.10B,,,389.69M,,,,,,389.69M,7.485B,,7.485B,147.16M,147.16M,326.89M,,51.46M,7.684B,8.074B,468.88M,-2.956B,8.217B,,,,-27.29M,5.702B
2017-03,764.11M,,764.11M,347.62M,788.49M,,1.136B,,60.81M,1.961B,,,,,,,,,47.02M,432.11M,479.13M,1.558B,,,223.93M,12.89B,14.86B,,,344.91M,,,,,,344.91M,8.141B,,8.141B,141.56M,141.56M,332.13M,,54.47M,8.337B,8.682B,468.45M,-2.802B,8.204B,,,,-28.66M,5.841B
2016-12,94.73M,,94.73M,45.12M,807.95M,,853.07M,,42.26M,1.918B,,,,,,,,,,479.80M,479.80M,1.324B,,,711.62M,13.84B,15.76B,,,417.36M,,,,,3.776M,421.14M,9.189B,,9.189B,149.18M,149.18M,393.71M,,58.14M,9.397B,9.818B,468.08M,-3.090B,8.199B,,,,-29.64M,5.548B
2016-09,132.89M,,132.89M,421.55M,682.99M,,1.105B,,71.73M,1.682B,,,,,,,,,50.35M,538.63M,588.98M,6.535B,,,281.41M,19.51B,21.19B,,,487.03M,,,,,23.00M,510.04M,10.92B,,10.92B,136.41M,136.41M,392.32M,,46.14M,11.10B,11.61B,467.82M,-2.975B,11.72B,,,,-30.16M,9.183B
2016-06,116.45M,,116.45M,430.80M,708.10M,,1.139B,,180.40M,1.766B,,,,,,,,,50.35M,550.57M,600.92M,6.546B,,,277.96M,19.35B,21.12B,,,482.13M,,,,,17.00M,499.13M,10.76B,,10.76B,136.04M,136.04M,395.26M,,49.45M,10.94B,11.44B,467.32M,-2.857B,11.70B,,,,-30.74M,9.281B
2016-03,94.66M,,94.66M,422.69M,768.90M,,1.192B,,46.28M,1.644B,,,,,,,,,50.35M,585.33M,635.68M,6.567B,,,288.55M,19.56B,21.20B,,,433.14M,,,,,18.06M,451.21M,10.94B,,10.94B,129.66M,129.66M,399.58M,,52.79M,11.12B,11.57B,466.92M,-2.890B,11.69B,,,,-31.67M,9.231B
2015-12,340.44M,,340.44M,415.88M,768.74M,,1.185B,,46.09M,7.225B,,,,,,,,,47.02M,586.66M,633.68M,1.459B,,,277.56M,14.22B,21.45B,,,430.79M,,,,,25.27M,456.05M,11.07B,,11.07B,122.33M,122.33M,402.67M,,56.15M,11.25B,11.70B,465.49M,-2.738B,11.65B,,,,-30.47M,9.344B
2015-09,120.50M,,120.50M,428.29M,765.59M,,1.194B,,65.71M,1.380B,,,,,,,,,50.35M,559.68M,610.02M,7.617B,,53.75M,282.92M,20.81B,22.19B,,,401.84M,,,,,,401.84M,11.14B,,11.14B,112.56M,112.56M,292.70M,,73.23M,11.33B,11.73B,464.44M,-1.876B,11.61B,,,,-32.45M,10.17B
2015-06,115.77M,,115.77M,414.26M,862.62M,,1.277B,,54.37M,1.447B,,,,,,,,,50.35M,577.24M,627.58M,7.697B,,56.74M,292.84M,20.90B,22.35B,,,433.64M,,,,,,433.64M,11.21B,,11.21B,96.59M,96.59M,294.21M,,77.55M,11.39B,11.82B,462.49M,-1.730B,11.53B,,,,-32.12M,10.23B
2015-03,137.17M,,137.17M,399.46M,1.025B,,1.425B,,47.28M,1.609B,,,,,,,,,50.35M,458.25M,508.60M,7.692B,,52.60M,325.26M,19.42B,21.02B,,,314.23M,,,,,,314.23M,9.987B,,9.987B,87.42M,87.42M,262.38M,,80.39M,10.15B,10.47B,461.58M,-1.634B,11.49B,,,,-28.46M,10.29B
2014-12,183.81M,,183.81M,392.20M,906.96M,,1.299B,,48.98M,1.532B,,,,,,,,,50.35M,481.01M,531.36M,8.117B,,,264.02M,19.80B,21.33B,,,432.93M,,,,,,432.93M,9.721B,,9.721B,95.41M,95.41M,261.80M,,84.72M,9.901B,10.33B,459.75M,-1.133B,11.43B,,,,-23.90M,10.74B
2014-09,83.53M,,83.53M,381.80M,418.80M,,800.60M,,54.45M,938.58M,,,,,,,,,50.35M,479.23M,529.57M,8.133B,,50.57M,253.30M,19.81B,20.74B,,,329.21M,,,,,,329.21M,9.215B,,9.215B,76.38M,76.38M,263.05M,,88.49M,9.380B,9.709B,459.15M,-1.078B,11.41B,,,,-17.46M,10.77B
2014-06,54.07M,,54.07M,425.48M,375.72M,,801.20M,,34.33M,889.60M,,,,,,,,,50.35M,477.84M,528.18M,7.666B,,45.78M,199.23M,19.25B,20.14B,,,339.36M,,,,,,339.36M,8.674B,,8.674B,67.76M,67.76M,212.46M,,90.43M,8.832B,9.172B,458.74M,-1.076B,11.39B,,,,-11.67M,10.76B
2014-03,49.74M,,49.74M,409.36M,371.17M,,780.53M,,30.30M,860.56M,,,,,,,,,50.35M,472.06M,522.40M,7.630B,,48.23M,204.14M,19.00B,19.86B,,,276.34M,,,,,,276.34M,8.450B,,8.450B,67.80M,67.80M,207.82M,,94.62M,8.613B,8.889B,458.04M,-1.044B,11.36B,,,,-14.57M,10.76B
2013-12,300.56M,,300.56M,396.41M,366.00M,,762.41M,,37.23M,1.110B,,,,,,,,,50.35M,489.84M,540.19M,7.594B,,42.11M,162.24M,18.97B,20.08B,,,318.43M,,,,,,318.43M,8.662B,,8.662B,65.87M,65.87M,207.83M,,98.81M,8.826B,9.145B,456.96M,-1.053B,11.33B,,,,-14.49M,10.72B
2013-09,49.41M,,49.41M,385.86M,390.80M,,776.66M,,48.22M,1.005B,,,,,,,,,50.35M,507.75M,558.10M,7.438B,,37.38M,150.92M,18.88B,19.89B,,,303.97M,,,,,,303.97M,8.561B,,8.561B,71.66M,71.66M,210.02M,,103.06M,8.735B,9.039B,455.87M,-1.106B,11.31B,,,,-15.88M,10.64B
2013-06,53.11M,,53.11M,372.73M,555.79M,,928.52M,,44.95M,1.034B,,,,,,,,,50.35M,518.98M,569.33M,7.392B,,39.99M,155.24M,19.02B,20.05B,,,313.63M,,,,,,313.63M,8.767B,,8.767B,64.14M,64.14M,201.70M,,108.86M,8.940B,9.254B,455.09M,-1.101B,11.25B,,,,-12.36M,10.60B
2013-03,47.55M,,47.55M,355.70M,291.87M,,647.57M,,37.68M,732.79M,,,,,,,,,50.35M,537.69M,588.04M,7.339B,,42.94M,151.84M,19.00B,19.73B,,,238.58M,,,,,,238.58M,8.546B,,8.546B,64.87M,64.87M,200.79M,,101.63M,8.712B,8.951B,454.42M,-1.075B,11.22B,,,,-16.60M,10.58B
2012-12,247.67M,,247.67M,340.44M,276.03M,,616.47M,,37.85M,958.65M,,,,,,,,,50.35M,551.74M,602.08M,7.341B,,45.49M,138.75M,18.96B,19.92B,,,293.99M,,,,,13.06M,307.06M,8.682B,,8.682B,68.06M,68.06M,202.54M,,104.18M,8.855B,9.162B,453.19M,-1.067B,11.18B,,,,-14.65M,10.55B
2012-09,96.48M,,96.48M,31.76M,,,31.76M,,43.43M,171.67M,0.0,1.725B,9.069B,,229.54M,11.02B,-1.662B,9.361B,50.35M,382.32M,432.67M,7.304B,240.93M,40.78M,527.75M,17.91B,18.08B,,,270.84M,,,65.80M,65.80M,,336.64M,7.904B,,7.904B,,,209.85M,,105.19M,8.015B,8.351B,429.98M,-1.081B,10.19B,,,,-16.65M,9.518B
2012-06,169.64M,,169.64M,25.97M,,,25.97M,,42.78M,238.39M,0.0,1.734B,8.994B,,204.02M,10.93B,-1.614B,9.318B,50.35M,347.67M,398.02M,7.257B,125.52M,38.14M,414.25M,17.55B,17.79B,,,273.34M,,,68.55M,68.55M,,341.89M,7.642B,,7.642B,,,183.71M,,114.94M,7.757B,8.099B,429.40M,-1.062B,10.16B,,,,-19.70M,9.507B
2012-03,347.42M,,347.42M,24.38M,,,24.38M,,45.46M,417.26M,0.0,1.730B,8.975B,,171.97M,10.88B,-1.541B,9.335B,50.35M,360.14M,410.49M,7.007B,113.95M,40.32M,401.16M,17.31B,17.73B,,,519.49M,,,68.53M,68.53M,,588.02M,7.708B,,7.708B,,,185.17M,,119.41M,7.827B,8.415B,419.43M,-1.054B,9.777B,,,,-17.67M,9.125B
2011-12,33.51M,,33.51M,293.30M,110.25M,,403.55M,,41.55M,584.91M,,,,,,,,,50.35M,372.39M,422.74M,6.969B,,35.65M,115.79M,16.82B,17.41B,,,275.48M,,,,,55.90M,331.38M,7.673B,,7.673B,65.61M,65.61M,187.14M,,117.78M,7.856B,8.188B,693.80M,-1.024B,9.384B,285.17M,,,-19.58M,9.033B
2011-09,44.86M,,44.86M,24.79M,,,24.79M,,47.85M,117.50M,0.0,1.732B,9.011B,,168.83M,10.91B,-1.465B,9.447B,50.35M,389.52M,439.86M,6.926B,103.47M,37.78M,367.77M,17.32B,17.44B,,,260.35M,,,69.73M,69.73M,,330.08M,7.659B,,7.659B,,,189.28M,,132.79M,7.792B,8.122B,692.95M,-890.48M,9.354B,285.17M,,,-28.48M,9.128B
2011-06,276.20M,,276.20M,24.27M,,,24.27M,,44.17M,344.65M,0.0,1.732B,8.987B,,156.20M,10.87B,-1.392B,9.483B,50.35M,400.44M,450.78M,6.898B,110.98M,39.65M,366.07M,17.35B,17.69B,,,589.82M,,,67.00M,67.00M,,656.81M,7.577B,,7.577B,,,175.74M,,137.85M,7.715B,8.372B,692.29M,-861.54M,9.329B,285.17M,,,-13.83M,9.146B
2011-03,3.989B,,3.989B,30.27M,,,30.27M,,42.06M,4.061B,0.0,1.666B,8.992B,,140.04M,10.80B,-1.325B,9.473B,50.35M,389.72M,440.06M,742.43M,2.380B,41.73M,361.60M,13.44B,17.50B,,,321.56M,,,70.41M,70.41M,,391.97M,7.697B,,7.697B,,,189.92M,,142.93M,7.840B,8.232B,691.18M,-889.59M,9.290B,285.17M,,,-14.01M,9.078B
2010-12,1.037B,,1.037B,34.50M,,,34.50M,,36.32M,1.108B,0.0,1.574B,8.210B,,144.12M,9.928B,-1.251B,8.677B,50.35M,316.38M,366.72M,805.51M,2.003B,23.54M,349.00M,12.22B,13.33B,,,313.81M,,,77.65M,77.65M,,391.46M,4.646B,,4.646B,,,188.68M,,148.07M,4.794B,5.186B,656.10M,-775.48M,8.090B,285.17M,,,-13.24M,7.957B
2010-09,52.64M,,52.64M,38.41M,,,38.41M,,34.22M,125.27M,0.0,1.559B,8.117B,,143.07M,9.819B,-1.190B,8.629B,50.35M,325.86M,376.20M,805.09M,1.853B,,457.04M,12.12B,12.25B,,,338.81M,,,79.48M,79.48M,,418.29M,5.420B,,5.420B,,,188.90M,,153.52M,5.573B,5.992B,595.68M,-761.04M,6.238B,285.17M,,,-7.426M,6.065B
2010-06,96.26M,,96.26M,37.05M,,,37.05M,,39.82M,173.13M,0.0,1.557B,8.088B,,124.57M,9.770B,-1.147B,8.622B,,356.39M,356.39M,869.82M,1.708B,,515.29M,12.07B,12.24B,,,312.78M,,,81.90M,81.90M,,394.67M,5.370B,,5.370B,,,181.12M,,186.15M,5.557B,5.951B,593.21M,-634.07M,6.158B,285.17M,,,-4.552M,6.112B
2010-03,44.60M,,44.60M,39.46M,,,39.46M,,37.95M,122.02M,0.0,1.546B,7.991B,,96.99M,9.634B,-1.092B,8.543B,50.35M,373.00M,423.35M,1.056B,1.687B,16.06M,292.51M,12.02B,12.14B,,,293.93M,,,85.32M,85.32M,,379.25M,5.659B,,5.659B,,,183.62M,,193.15M,5.852B,6.231B,579.14M,-577.01M,5.723B,285.17M,,,-0.406M,5.725B
2009-12,112.26M,,112.26M,43.73M,,,43.73M,,33.00M,188.98M,0.0,1.542B,7.771B,,272.54M,9.586B,-1.035B,8.551B,50.35M,389.70M,440.04M,1.044B,1.673B,18.61M,294.10M,12.02B,12.21B,,,309.60M,,,85.13M,85.13M,,394.72M,5.656B,,5.656B,,,178.07M,,200.26M,5.856B,6.251B,578.72M,-515.45M,5.719B,285.17M,,,-2.134M,5.781B
2009-09,144.37M,,144.37M,36.82M,,,36.82M,,31.99M,213.18M,0.0,1.549B,7.804B,,273.57M,9.627B,-1.003B,8.623B,,410.37M,410.37M,895.60M,1.674B,,521.39M,12.13B,12.34B,,,310.49M,,,86.92M,86.92M,,397.42M,5.483B,,5.483B,,,179.67M,,407.85M,5.891B,6.289B,578.32M,-407.21M,5.709B,285.17M,,,-9.838M,5.870B
2009-06,49.48M,,49.48M,29.54M,1.078B,,1.108B,,32.35M,1.190B,0.0,1.550B,7.797B,,255.56M,9.603B,-940.54M,8.662B,,433.87M,433.87M,913.21M,,,586.59M,10.60B,11.79B,,,197.30M,,,71.72M,71.72M,,269.01M,5.310B,,5.310B,,,180.03M,,415.57M,5.725B,5.994B,560.43M,-228.42M,5.298B,285.17M,,,-18.82M,5.611B
2009-03,66.38M,,66.38M,29.05M,,,29.05M,,32.97M,128.40M,0.0,1.550B,7.758B,,240.69M,9.549B,-880.88M,8.669B,,482.33M,482.33M,915.76M,1.075B,,531.40M,11.67B,11.80B,,,190.10M,,,72.30M,72.30M,,262.40M,5.984B,,5.984B,,,201.65M,,223.75M,6.208B,6.470B,539.15M,-203.36M,4.871B,285.17M,,,-77.47M,5.129B
2008-12,57.56M,,57.56M,33.83M,,,33.83M,,35.08M,126.47M,0.0,1.547B,7.739B,,224.34M,9.510B,-818.67M,8.691B,,505.51M,505.51M,921.16M,1.068B,,536.86M,11.72B,11.85B,,,211.72M,,,60.18M,60.18M,,271.90M,5.737B,,5.737B,,,206.57M,,432.63M,6.170B,6.442B,538.77M,-130.07M,4.874B,285.17M,,,-81.16M,5.201B
2008-09,117.05M,,117.05M,30.01M,1.068B,,1.098B,,37.31M,1.253B,0.0,1.563B,7.734B,5.301M,249.84M,9.552B,-781.90M,8.770B,,552.91M,552.91M,923.02M,,,,10.25B,12.03B,,,224.68M,,,64.84M,64.84M,,289.52M,5.950B,,5.950B,,,248.24M,,,5.950B,6.490B,537.10M,,4.835B,285.17M,,,-28.88M,5.293B
2008-06,216.79M,,216.79M,31.92M,1.073B,,1.105B,,32.39M,1.354B,0.0,1.561B,7.626B,90.67M,308.17M,9.586B,-725.75M,8.860B,,582.09M,582.09M,923.56M,,,,10.37B,12.22B,,,223.39M,,,65.79M,65.79M,,289.18M,6.593B,,6.593B,,,273.04M,,,6.593B,7.143B,521.68M,,4.349B,285.17M,,,-8.198M,4.808B
2008-03,154.00M,,154.00M,32.85M,1.068B,,1.101B,,29.66M,1.285B,0.0,1.593B,7.739B,,330.73M,9.663B,-722.22M,8.941B,,598.17M,598.17M,923.67M,,,,10.46B,12.50B,,,249.71M,,,68.39M,68.39M,,318.10M,6.552B,,6.552B,,,313.74M,,,6.552B,8.159B,502.99M,,3.755B,285.17M,,,-55.90M,4.028B
2007-12,96.27M,,96.27M,44.89M,,,44.89M,,36.43M,177.59M,0.0,1.565B,7.494B,,372.53M,9.431B,-605.88M,8.825B,,623.07M,623.07M,888.95M,1.065B,,941.27M,12.34B,12.52B,,,238.09M,,,51.65M,51.65M,,289.74M,7.511B,,7.511B,,,,,617.41M,8.128B,8.418B,501.99M,-120.92M,3.725B,285.17M,,,-2.102M,4.104B
2007-09,568.85M,886.42M,1.455B,34.40M,,,34.40M,5.578M,65.08M,1.560B,,,,,,,,9.213B,,648.92M,648.92M,886.42M,159.88M,,,10.91B,12.10B,,,214.81M,2.75B,2.75B,,,,2.965B,4.614B,,4.614B,44.45M,44.45M,339.03M,,,4.658B,7.913B,492.45M,-69.44M,3.413B,285.17M,-0.028M,7.746M,7.718M,3.844B
2007-06,351.22M,897.08M,1.248B,,,,33.65M,204.68M,,1.487B,,,,,,7.005B,-618.32M,6.386B,,328.75M,328.75M,897.08M,203.15M,,,7.815B,8.879B,,,166.65M,108.50M,108.50M,,,,275.14M,4.593B,,4.593B,29.64M,29.64M,340.80M,,,4.622B,4.934B,491.55M,-294.10M,3.393B,285.17M,,,14.32M,3.604B
2007-03,102.92M,508.64M,611.56M,33.96M,,,33.96M,4.83M,30.49M,680.84M,,,,,,7.892B,-628.98M,7.263B,,430.01M,430.01M,853.64M,199.30M,,,8.746B,9.391B,,,166.66M,298.31M,298.31M,,,,464.97M,5.073B,,5.073B,27.28M,27.28M,341.73M,,,5.100B,5.429B,491.16M,-268.14M,3.379B,285.17M,,,18.51M,3.620B
2006-12,58.40M,,58.40M,31.03M,,,31.03M,512.19M,,601.62M,,,,,,6.449B,-519.96M,5.929B,,,380.57M,703.40M,196.48M,,,7.210B,10.01B,,,200.09M,624.50M,624.50M,,,,824.59M,4.145B,,4.145B,20.80M,20.80M,161.76M,,,4.166B,6.557B,483.77M,-316.37M,3.109B,285.17M,,,17.72M,3.294B
2006-09,645.36M,49.76M,695.12M,12.68M,,,12.68M,27.96M,125.16M,860.92M,,,,,,4.135B,-657.55M,3.478B,,58.50M,58.50M,49.76M,145.31M,,,3.731B,4.612B,,,89.37M,,,,,,89.37M,2.923B,,2.923B,31.37M,31.37M,152.61M,,,2.955B,3.044B,422.73M,-482.12M,1.479B,285.17M,,,-4.888M,1.415B
2006-06,21.48M,51.14M,72.62M,12.42M,,,12.42M,45.75M,2.375M,133.16M,,,,,,4.108B,-657.18M,3.451B,,60.85M,60.85M,51.14M,145.69M,,,3.709B,3.859B,,,76.78M,265.10M,265.10M,,,,341.88M,2.196B,,2.196B,35.97M,35.97M,157.71M,,,2.232B,2.309B,422.22M,-495.07M,1.464B,285.17M,,,0.314M,1.392B
2006-03,55.96M,,55.96M,13.70M,,,13.70M,,2.694M,72.35M,,,,,,4.042B,-638.40M,3.404B,,51.56M,51.56M,49.06M,152.64M,,,3.657B,3.789B,,,72.87M,2.120B,2.120B,,,,2.193B,1.745B,,1.745B,31.78M,31.78M,156.79M,,,1.777B,2.225B,422.02M,-472.98M,1.457B,285.17M,,,1.357M,1.408B
2005-12,0.00,48.60M,48.60M,,,,,,2.27M,50.87M,,,,,,,,3.242B,,38.80M,38.80M,,186.83M,,,3.467B,3.597B,,,,258.60M,258.60M,,,,258.60M,1.698B,,1.698B,,,149.28M,,,1.698B,2.048B,136.19M,-467.10M,1.446B,,,,,1.400B
2005-09,38.17M,,38.17M,13.51M,,,13.51M,,2.39M,54.07M,,,,,,3.779B,-590.28M,3.189B,,23.24M,23.24M,49.75M,149.87M,,,3.412B,3.495B,,,70.53M,170.00M,170.00M,,,,240.53M,1.854B,,1.854B,19.02M,19.02M,140.90M,,,1.873B,1.944B,421.03M,-446.09M,1.446B,285.17M,,,,1.410B
2005-06,18.89M,,18.89M,13.63M,,,13.63M,,16.90M,49.42M,,,,,,3.462B,-565.56M,2.896B,,19.72M,19.72M,48.69M,147.65M,,,3.112B,3.188B,,,62.76M,115.30M,115.30M,,,,178.06M,1.566B,,1.566B,18.43M,18.43M,120.44M,,,1.584B,1.647B,420.80M,-428.72M,1.440B,285.17M,,,,1.420B
2005-03,17.81M,57.38M,75.19M,14.22M,,,14.22M,,,89.41M,,,,,,3.317B,-544.50M,2.772B,,18.52M,18.52M,57.38M,143.82M,,,2.992B,3.048B,,,62.40M,247.80M,247.80M,,,,310.20M,1.433B,,1.433B,17.32M,17.32M,121.84M,,,1.450B,1.512B,419.49M,-409.92M,1.416B,285.17M,,,,1.414B
2004-12,,,,,,,,,4.678M,4.678M,,,,,,,,2.817B,,18.87M,18.87M,,146.39M,,,2.982B,3.105B,,,,300.10M,300.10M,,,,300.10M,1.187B,,1.187B,,,121.78M,,,1.187B,1.563B,133.66M,-402.72M,1.403B,,,,,1.419B
2004-09,11.37M,,11.37M,16.91M,,,16.91M,,,28.28M,,,,,,3.268B,-513.52M,2.755B,,,,58.52M,144.53M,,,2.958B,3.014B,,,60.58M,142.80M,142.80M,,,,203.38M,1.390B,,1.390B,16.28M,16.28M,125.26M,,,1.407B,1.467B,418.18M,-377.02M,1.391B,285.17M,,,,1.421B
2004-06,11.55M,,11.55M,17.08M,,,17.08M,,,28.63M,,,,,,3.059B,-512.91M,2.546B,,,,72.34M,168.57M,,,2.787B,2.919B,,,54.81M,154.00M,154.00M,,,,208.81M,1.293B,,1.293B,14.74M,14.74M,117.19M,,,1.307B,1.362B,417.80M,-350.77M,1.384B,285.17M,,,,1.439B
2004-03,28.13M,,28.13M,16.42M,,,16.42M,,,44.55M,,,,,,2.969B,-494.27M,2.475B,,,,61.97M,176.66M,,,2.714B,2.857B,,,57.35M,90.00M,90.00M,,,,147.35M,1.217B,,1.217B,20.27M,20.27M,117.36M,,,1.237B,1.295B,417.12M,-331.90M,1.373B,285.17M,,,,1.446B
