,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,1.962B,968.00M,2.93B,835.00M,,835.00M,286.00M,123.00M,209.00M,,618.00M,,126.00M,338.00M,4.847B,0.00,101.00M,3.442B,9.087B,,1.148B,13.78B,-5.598B,8.18B,509.00M,171.00M,680.00M,3.818B,,3.075B,147.00M,15.90B,20.75B,,470.00M,,470.00M,975.00M,1.445B,,,,75.00M,,75.00M,,,,1.52B,1.945B,,1.945B,,,,768.00M,,51.00M,,1.496B,4.209B,5.729B,,807.00M,2.974B,12.66B,1.206B,,,,-266.00M,14.97B,,AOR,Restated
2009-06,2.234B,841.00M,3.075B,790.00M,,790.00M,291.00M,129.00M,227.00M,,647.00M,,128.00M,388.00M,5.028B,0.00,93.00M,3.302B,8.448B,,1.353B,13.20B,-5.311B,7.885B,277.00M,21.00M,298.00M,3.168B,,3.08B,145.00M,14.58B,19.60B,,502.00M,,502.00M,949.00M,1.451B,,,,80.00M,,80.00M,,,,1.531B,1.938B,,1.938B,,,,766.00M,,49.00M,,1.517B,4.221B,5.752B,,807.00M,2.409B,12.62B,1.204B,,,,-828.00M,13.80B,,AOR,Restated
2009-03,1.78B,805.00M,2.585B,593.00M,,593.00M,305.00M,166.00M,260.00M,,731.00M,,151.00M,379.00M,4.439B,,,,,,,12.90B,-5.089B,7.806B,277.00M,25.00M,302.00M,2.435B,,3.059B,137.00M,13.74B,18.18B,,542.00M,,542.00M,982.00M,1.524B,,,,68.00M,,68.00M,,,,1.592B,1.596B,,1.596B,,,,774.00M,,48.00M,,1.521B,3.891B,5.483B,,806.00M,1.876B,12.58B,1.202B,,,,-1.409B,12.65B,,AOR,Restated
2008-12,1.873B,943.00M,2.816B,512.00M,,512.00M,308.00M,197.00M,293.00M,,798.00M,,158.00M,335.00M,4.619B,0.00,71.00M,2.906B,8.364B,,1.928B,13.27B,-5.07B,8.199B,277.00M,28.00M,305.00M,3.056B,,2.932B,145.00M,14.64B,19.26B,,846.00M,,846.00M,1.128B,1.974B,,,,78.00M,,78.00M,,,,2.052B,1.527B,,1.527B,,,,784.00M,,48.00M,,1.402B,3.713B,5.765B,,804.00M,1.94B,12.50B,1.16B,,,,-643.00M,13.44B,,AOR,Restated
2008-09,2.596B,576.00M,3.172B,828.00M,,828.00M,127.00M,155.00M,298.00M,175.00M,755.00M,,162.00M,305.00M,5.222B,,,,,,,12.06B,-4.84B,7.22B,306.00M,,306.00M,,,2.616B,3.626B,13.77B,18.99B,,958.00M,,958.00M,1.025B,1.983B,,,,75.00M,,75.00M,,,,2.058B,1.47B,,1.47B,,,,,,48.00M,,1.986B,3.456B,5.514B,,804.00M,1.77B,12.48B,1.161B,,,,-468.00M,13.43B,,,Restated
2008-06,2.175B,1.332B,3.507B,958.00M,,958.00M,127.00M,149.00M,283.00M,167.00M,726.00M,,168.00M,289.00M,5.648B,,,,,,,11.74B,-4.796B,6.944B,303.00M,,303.00M,,,2.579B,3.706B,13.53B,19.18B,,831.00M,,831.00M,1.051B,1.882B,,,,76.00M,,76.00M,,,,1.958B,1.474B,,1.474B,,,,,,48.00M,,2.019B,3.493B,5.451B,,804.00M,1.08B,12.45B,659.00M,,,,9.00M,13.68B,,,Restated
2008-03,2.124B,1.185B,3.309B,988.00M,,988.00M,135.00M,144.00M,248.00M,165.00M,692.00M,,47.00M,303.00M,5.339B,,,,,,,11.58B,-4.741B,6.837B,306.00M,,306.00M,,,229.00M,3.552B,10.92B,16.26B,,701.00M,,701.00M,1.083B,1.784B,,,,78.00M,,78.00M,,,,1.862B,1.503B,,1.503B,,,,,,47.00M,,2.111B,3.614B,5.476B,,801.00M,-2.053B,12.35B,588.00M,,,,231.00M,10.74B,,,Restated
2007-12,2.216B,1.30B,3.516B,856.00M,,856.00M,258.00M,141.00M,232.00M,,631.00M,,54.00M,237.00M,5.294B,0.00,68.00M,2.553B,7.179B,,645.00M,10.44B,-4.459B,5.986B,277.00M,31.00M,308.00M,3.036B,,202.00M,389.00M,9.921B,15.22B,,609.00M,,609.00M,1.88B,2.489B,,,,23.00M,,23.00M,,,,2.512B,1.514B,,1.514B,,,,744.00M,,46.00M,,903.00M,3.161B,5.673B,,799.00M,-3.002B,12.28B,492.00M,,,,-90.00M,9.496B,,,Restated
2007-09,1.878B,1.451B,3.329B,874.00M,,874.00M,132.00M,206.00M,167.00M,160.00M,665.00M,,37.00M,221.00M,5.126B,,,,,,,9.939B,-4.337B,5.602B,311.00M,,311.00M,,,92.00M,3.142B,9.147B,14.27B,,495.00M,,495.00M,1.739B,2.234B,,,,21.00M,,21.00M,,,,2.255B,1.46B,,1.46B,,,,,,44.00M,,1.716B,3.176B,5.431B,,797.00M,-3.641B,12.22B,363.00M,,,,-213.00M,8.798B,,,
2007-06,1.874B,1.329B,3.203B,793.00M,,793.00M,132.00M,242.00M,151.00M,152.00M,677.00M,,33.00M,301.00M,5.007B,,,,,,,9.357B,-4.178B,5.179B,313.00M,,313.00M,,,116.00M,2.925B,8.533B,13.54B,,474.00M,,474.00M,1.712B,2.186B,,,,19.00M,,19.00M,,,,2.205B,1.456B,,1.456B,,,,,,43.00M,,1.67B,3.126B,5.331B,,796.00M,-4.179B,12.16B,234.00M,,,,-382.00M,8.166B,,,
2007-03,1.123B,1.765B,2.888B,781.00M,,781.00M,142.00M,265.00M,128.00M,150.00M,685.00M,,38.00M,237.00M,4.629B,,,,,,,9.516B,-4.235B,5.281B,314.00M,,314.00M,,,116.00M,2.821B,8.532B,13.16B,,551.00M,,551.00M,1.66B,2.211B,,,,20.00M,,20.00M,,,,2.231B,1.466B,,1.466B,,,,,,46.00M,,1.774B,3.24B,5.471B,,793.00M,-4.668B,12.07B,222.00M,,,,-330.00M,7.644B,,,
2006-12,1.157B,2.01B,3.167B,746.00M,,746.00M,125.00M,233.00M,139.00M,142.00M,639.00M,,47.00M,199.00M,4.798B,0.00,68.00M,2.226B,6.163B,,823.00M,9.28B,-4.087B,5.193B,316.00M,,316.00M,,,114.00M,2.644B,8.267B,13.06B,,631.00M,,631.00M,1.144B,1.775B,,,,20.00M,,20.00M,,,524.00M,2.319B,1.696B,,1.696B,,,,,,45.00M,,1.759B,3.455B,5.774B,,791.00M,-4.992B,12.01B,201.00M,,,,-360.00M,7.246B,,,
2006-09,979.00M,1.833B,2.812B,753.00M,,753.00M,147.00M,266.00M,124.00M,136.00M,673.00M,,64.00M,184.00M,4.486B,,,,,,,9.088B,-4.006B,5.082B,331.00M,,331.00M,,,56.00M,2.892B,8.361B,12.85B,,574.00M,,574.00M,1.726B,2.30B,,,,20.00M,,20.00M,,,,2.32B,1.71B,,1.71B,,,,,,41.00M,,1.588B,3.298B,5.618B,,790.00M,-5.638B,11.94B,196.00M,,,,297.00M,7.188B,,,
2006-06,1.098B,1.377B,2.475B,633.00M,,633.00M,282.00M,269.00M,113.00M,,664.00M,,65.00M,198.00M,4.035B,,,,,,,8.925B,-3.893B,5.032B,277.00M,56.00M,333.00M,,,51.00M,2.748B,8.164B,12.20B,,705.00M,,705.00M,1.645B,2.35B,,,,22.00M,,22.00M,,,,2.372B,1.475B,,1.475B,,,,,,40.00M,,1.628B,3.103B,5.475B,,787.00M,-6.076B,11.87B,191.00M,,,,292.00M,6.684B,,,
2006-03,1.262B,1.216B,2.478B,696.00M,,696.00M,144.00M,226.00M,120.00M,126.00M,616.00M,,65.00M,189.00M,4.044B,,,,,,,8.571B,-3.755B,4.816B,,336.00M,336.00M,,,50.00M,2.511B,7.713B,11.76B,,661.00M,,661.00M,1.699B,2.36B,,,,23.00M,,23.00M,,,,2.383B,1.788B,,1.788B,,,,,,46.00M,,1.50B,3.288B,5.671B,,786.00M,-6.591B,11.81B,181.00M,,,,218.00M,6.04B,,,
2005-12,1.342B,1.092B,2.434B,629.00M,,629.00M,124.00M,198.00M,135.00M,113.00M,570.00M,,44.00M,183.00M,3.86B,0.00,70.00M,1.999B,5.177B,,1.061B,8.307B,-3.632B,4.675B,,338.00M,338.00M,,,10.00M,2.324B,7.347B,11.21B,,690.00M,,690.00M,1.662B,2.352B,,,,18.00M,,18.00M,,,,2.37B,1.789B,,1.789B,,,,,,43.00M,,1.518B,3.307B,5.677B,,776.00M,-6.847B,11.55B,168.00M,,,,177.00M,5.487B,,,
2005-09,1.395B,1.023B,2.418B,631.00M,,631.00M,130.00M,171.00M,148.00M,110.00M,559.00M,,87.00M,204.00M,3.899B,,,,,,,7.91B,-3.543B,4.367B,,380.00M,380.00M,,,487.00M,1.75B,6.984B,10.88B,,554.00M,,554.00M,1.384B,1.938B,,,,293.00M,,293.00M,,,,2.231B,1.804B,,1.804B,,,,,,27.00M,,1.595B,3.399B,5.63B,,767.00M,-6.692B,11.28B,164.00M,,,,35.00M,5.226B,,,
2005-06,1.301B,814.00M,2.115B,645.00M,,645.00M,130.00M,157.00M,161.00M,104.00M,552.00M,,93.00M,223.00M,3.628B,,,,,,,7.735B,-3.515B,4.22B,,383.00M,383.00M,,,464.00M,1.702B,6.769B,10.40B,,609.00M,,609.00M,1.214B,1.823B,,,,288.00M,,288.00M,,,,2.111B,1.915B,,1.915B,,,,,,28.00M,,1.48B,3.395B,5.506B,,805.00M,-6.895B,11.04B,158.00M,62.00M,,,68.00M,4.863B,,,
2005-03,847.00M,700.00M,1.547B,621.00M,,621.00M,137.00M,170.00M,157.00M,98.00M,562.00M,,90.00M,208.00M,3.028B,,,,,,,7.655B,-3.559B,4.096B,,387.00M,387.00M,,,478.00M,1.644B,6.605B,9.633B,,667.00M,,667.00M,1.001B,1.668B,,,,288.00M,,288.00M,,,,1.956B,2.125B,,2.125B,,,,,,29.00M,,1.335B,3.46B,5.416B,,782.00M,-7.06B,10.48B,155.00M,63.00M,,,137.00M,4.188B,,,
2004-12,1.009B,872.00M,1.881B,585.00M,,585.00M,139.00M,172.00M,136.00M,88.00M,535.00M,,94.00M,188.00M,3.283B,0.00,76.00M,1.943B,4.569B,,885.00M,7.473B,-3.532B,3.941B,,398.00M,398.00M,,,440.00M,1.648B,6.427B,9.71B,,682.00M,,682.00M,1.176B,1.858B,,,,478.00M,,478.00M,,,2.00M,2.338B,2.214B,,2.214B,,,,,,29.00M,,1.313B,3.527B,5.865B,,776.00M,-7.309B,10.36B,162.00M,64.00M,,,148.00M,3.816B,,,
2004-09,1.147B,592.00M,1.739B,538.00M,,538.00M,138.00M,136.00M,138.00M,86.00M,498.00M,,81.00M,214.00M,3.07B,,,,,,,6.913B,-3.408B,3.505B,,408.00M,408.00M,,,450.00M,1.436B,5.799B,8.869B,,489.00M,,489.00M,,489.00M,,,,214.00M,,214.00M,1.027B,1.027B,,1.73B,2.438B,,2.438B,,,,,,30.00M,,1.103B,3.541B,5.271B,,773.00M,-7.472B,10.34B,166.00M,64.00M,,,91.00M,3.568B,,,
2004-06,964.00M,623.00M,1.587B,566.00M,,566.00M,144.00M,146.00M,127.00M,84.00M,501.00M,,236.00M,175.00M,3.065B,,,,,,,7.299B,-3.636B,3.663B,,1.875B,1.875B,,,1.278B,1.368B,8.184B,11.25B,,377.00M,,377.00M,1.065B,1.442B,,312.00M,,312.00M,,312.00M,,,,1.754B,2.448B,,2.448B,,,,,,30.00M,,1.015B,3.463B,5.217B,,772.00M,-4.981B,10.35B,234.00M,64.00M,,,95.00M,6.002B,,,
2004-03,1.01B,451.00M,1.461B,544.00M,,544.00M,134.00M,145.00M,144.00M,81.00M,504.00M,,242.00M,190.00M,2.941B,,,,,,,7.183B,-3.543B,3.64B,,1.885B,1.885B,,,1.277B,1.33B,8.132B,11.07B,,376.00M,,376.00M,1.008B,1.384B,,313.00M,,313.00M,,313.00M,,,,1.697B,2.553B,,2.553B,,,,,,30.00M,,1.023B,3.576B,5.273B,,782.00M,-5.089B,10.32B,346.00M,79.00M,,,100.00M,5.77B,,,
2003-12,833.00M,433.00M,1.266B,525.00M,117.00M,642.00M,138.00M,113.00M,141.00M,75.00M,467.00M,77.00M,242.00M,,2.694B,0.00,80.00M,1.946B,4.264B,,745.00M,7.035B,-3.415B,3.62B,,1.901B,1.901B,,,1.225B,1.312B,8.058B,10.75B,,333.00M,,333.00M,1.074B,1.407B,,146.00M,,146.00M,,146.00M,,,,1.553B,2.668B,,2.668B,,,,,,36.00M,,1.031B,3.699B,5.252B,,786.00M,-5.144B,10.30B,574.00M,85.00M,,,98.00M,5.464B,,,
2003-09,809.00M,608.00M,1.417B,498.00M,117.00M,615.00M,135.00M,127.00M,140.00M,89.00M,491.00M,70.00M,375.00M,,2.968B,,,,,,,6.939B,-3.357B,3.582B,,1.905B,1.905B,,,1.106B,1.253B,7.846B,10.81B,,310.00M,,310.00M,1.089B,1.399B,,,,49.00M,,49.00M,,,,1.448B,2.819B,,2.819B,,,,,,36.00M,,1.229B,4.048B,5.496B,,799.00M,-5.115B,10.28B,581.00M,105.00M,,,-96.00M,5.282B,,,
2003-06,747.00M,766.00M,1.513B,482.00M,155.00M,637.00M,145.00M,131.00M,170.00M,92.00M,538.00M,70.00M,379.00M,,3.137B,,,,,,,7.084B,-3.542B,3.542B,,1.935B,1.935B,,,1.081B,1.174B,7.732B,10.87B,,294.00M,,294.00M,1.169B,1.463B,,,,156.00M,,156.00M,,,,1.619B,3.095B,,3.095B,,,,,,40.00M,,1.284B,4.379B,5.998B,,808.00M,-5.148B,9.905B,592.00M,147.00M,,,-142.00M,4.831B,,,
2003-03,1.127B,722.00M,1.849B,494.00M,140.00M,634.00M,140.00M,128.00M,194.00M,94.00M,556.00M,58.00M,323.00M,,3.42B,,,,,,,7.072B,-3.496B,3.576B,,1.926B,1.926B,,,1.018B,1.057B,7.577B,11.00B,,299.00M,,299.00M,1.115B,1.414B,,,,145.00M,,145.00M,,,,1.559B,3.71B,,3.71B,,,,,,19.00M,,1.121B,4.831B,6.39B,,789.00M,-5.126B,9.671B,613.00M,155.00M,,,-133.00M,4.588B,,,
2002-12,1.426B,664.00M,2.09B,470.00M,358.00M,828.00M,135.00M,115.00M,212.00M,97.00M,559.00M,52.00M,296.00M,,3.825B,0.00,93.00M,1.828B,4.62B,,539.00M,7.08B,-3.375B,3.705B,,1.928B,1.928B,,,887.00M,1.061B,7.581B,11.41B,,339.00M,,339.00M,1.137B,1.476B,,,,204.00M,,204.00M,,,,1.68B,3.963B,,3.963B,,,,,,59.00M,,1.013B,4.976B,6.656B,,789.00M,-4.921B,9.695B,702.00M,155.00M,,,-170.00M,4.691B,,,
2002-09,983.00M,618.00M,1.601B,541.00M,,541.00M,151.00M,121.00M,244.00M,103.00M,619.00M,,380.00M,374.00M,3.515B,,,,,,,7.997B,-3.405B,4.592B,2.113B,378.00M,2.491B,,,,1.584B,8.667B,12.18B,,286.00M,,286.00M,976.00M,1.262B,,,,213.00M,,213.00M,,,,1.475B,4.171B,,4.171B,,,,,,138.00M,,1.001B,5.172B,6.647B,,856.00M,-4.33B,9.738B,736.00M,245.00M,,,-131.00M,5.397B,,,
2002-06,940.00M,383.00M,1.323B,605.00M,,605.00M,170.00M,134.00M,257.00M,110.00M,671.00M,,400.00M,333.00M,3.332B,,,,,,,8.059B,-3.302B,4.757B,,2.39B,2.39B,,,,1.407B,8.554B,11.89B,,310.00M,,310.00M,1.052B,1.362B,,,,57.00M,,57.00M,,,,1.419B,4.285B,,4.285B,,,,,,107.00M,7.00M,993.00M,5.285B,6.704B,,10.03B,-4.07B,,775.00M,,,,-108.00M,5.075B,,,
2002-03,958.00M,867.00M,1.825B,616.00M,,616.00M,196.00M,144.00M,274.00M,103.00M,717.00M,,329.00M,209.00M,3.696B,,,,,,,8.189B,-3.222B,4.967B,,2.27B,2.27B,,,,1.355B,8.592B,12.29B,,338.00M,,338.00M,910.00M,1.248B,,,,385.00M,,385.00M,,,,1.633B,4.418B,,4.418B,,,,,,113.00M,7.00M,802.00M,5.227B,6.86B,,10.04B,-3.70B,,806.00M,,,,-218.00M,5.315B,,,
2001-12,1.037B,1.182B,2.219B,593.00M,,593.00M,210.00M,153.00M,251.00M,111.00M,725.00M,,347.00M,223.00M,4.107B,0.00,97.00M,1.808B,4.977B,,1.282B,8.164B,-3.067B,5.097B,,2.289B,2.289B,,,,1.30B,8.686B,12.79B,,441.00M,,441.00M,1.076B,1.517B,,,,477.00M,,477.00M,,,,1.994B,4.461B,,4.461B,,,,,,119.00M,7.00M,798.00M,5.266B,7.26B,,10.04B,-3.61B,,827.00M,,-199.00M,6.00M,-193.00M,5.414B,,,
2001-09,111.00M,1.484B,1.595B,1.012B,,1.012B,240.00M,212.00M,385.00M,121.00M,958.00M,,383.00M,,3.948B,,,,,,,8.608B,-3.308B,5.30B,2.008B,338.00M,2.346B,,,,1.09B,8.736B,12.68B,,430.00M,,430.00M,1.029B,1.459B,,347.00M,,347.00M,,347.00M,,,,1.806B,3.901B,,3.901B,,,,,,141.00M,8.00M,797.00M,4.706B,6.512B,,9.96B,-2.954B,,811.00M,,,,-164.00M,6.031B,,,
2001-06,131.00M,1.18B,1.311B,1.348B,,1.348B,,,,,977.00M,,442.00M,,4.078B,,,,,,,8.222B,-2.921B,5.301B,1.874B,409.00M,2.283B,,,,989.00M,8.573B,12.65B,,512.00M,,512.00M,910.00M,1.422B,,,,473.00M,,473.00M,,,,1.895B,3.855B,,3.855B,,,,,,144.00M,8.00M,812.00M,4.675B,6.57B,,9.774B,-2.734B,,804.00M,,,,-299.00M,5.937B,,,
2001-03,126.00M,1.023B,1.149B,,,1.351B,,,,,1.215B,,,359.00M,4.074B,,,,,,,7.724B,-2.785B,4.939B,,7.286B,7.286B,,,,874.00M,13.10B,17.17B,,614.00M,,614.00M,,614.00M,,,,197.00M,,197.00M,,,827.00M,1.638B,3.838B,,3.838B,9.00M,,9.00M,,,140.00M,,789.00M,4.636B,6.274B,,9.693B,2.077B,,777.00M,8.00M,-249.00M,15.00M,-234.00M,10.76B,,,
2000-12,1.079B,715.00M,1.794B,1.302B,,1.302B,377.00M,263.00M,300.00M,100.00M,1.04B,,172.00M,326.00M,4.634B,0.00,84.00M,1.627B,4.455B,,1.175B,7.341B,-2.662B,4.679B,,7.34B,7.34B,,,,873.00M,12.89B,17.53B,,855.00M,,855.00M,966.00M,1.821B,,,,128.00M,,128.00M,,,,1.949B,3.966B,,3.966B,61.00M,,61.00M,,,139.00M,9.00M,769.00M,4.805B,6.754B,,9.512B,2.001B,,753.00M,,-168.00M,41.00M,-127.00M,10.63B,,,
2000-09,104.50M,1.133B,1.238B,,,1.295B,,,,,943.20M,,,239.60M,3.716B,,,,,,,6.678B,-2.585B,4.092B,,3.582B,3.582B,,,,798.00M,8.472B,12.19B,,506.80M,,506.80M,,506.80M,,,,111.40M,,111.40M,,,850.90M,1.469B,1.946B,,1.946B,,,,,,138.70M,,772.90M,2.719B,4.188B,,6.609B,2.114B,,746.90M,8.90M,,,-114.60M,7.861B,,,
2000-06,106.00M,1.274B,1.380B,1.220B,,1.220B,,,,,839.80M,,,207.60M,3.646B,,,,,,,6.348B,-2.492B,3.856B,,3.586B,3.586B,,,,844.60M,8.287B,11.93B,,445.00M,,445.00M,,445.00M,,,,126.30M,,126.30M,,,835.40M,1.407B,1.977B,,1.977B,,,,,,132.60M,,802.40M,2.780B,4.186B,,6.484B,1.913B,,727.30M,9.60M,,,-55.60M,7.615B,,,
2000-03,1.313B,,1.313B,,,1.147B,,,,,787.00M,,,253.90M,3.501B,,,,,,,6.018B,-2.389B,3.629B,,1.150B,1.150B,,,,734.30M,5.514B,9.014B,,416.70M,,416.70M,,416.70M,,,,150.10M,,150.10M,,,698.20M,1.265B,1.988B,,1.988B,,,,,,126.50M,,745.80M,2.734B,3.999B,,3.786B,1.817B,,715.60M,10.40M,,,1.80M,4.889B,,,
1999-12,122.00M,,122.00M,872.00M,,872.00M,,,,,602.00M,,,388.00M,1.984B,,,,,,,5.559B,-2.357B,3.202B,,507.00M,507.00M,,,,833.00M,4.542B,6.526B,,418.00M,,418.00M,,418.00M,,,,421.00M,,421.00M,,,715.00M,1.554B,1.49B,,1.49B,,,,,,285.00M,,720.00M,2.21B,3.764B,,1.373B,1.79B,,656.00M,14.00M,,,-31.00M,2.477B,,,
1999-09,70.00M,31.50M,101.50M,,,768.40M,,,,,550.60M,,,211.50M,1.632B,,,,,,,5.108B,-2.198B,2.910B,,344.50M,344.50M,,,,787.40M,4.042B,5.674B,,283.80M,,283.80M,,283.80M,,,,297.80M,,297.80M,,,637.10M,1.219B,1.288B,,1.288B,,,,,,361.40M,,690.10M,1.978B,3.196B,,1.048B,1.731B,,642.90M,15.20M,,,-19.60M,2.116B,,,
1999-06,76.10M,,76.10M,,,742.40M,,,,,553.20M,,,241.10M,1.613B,,,,,,,5.000B,-2.173B,2.826B,,311.00M,311.00M,,,,740.20M,3.878B,5.490B,,243.20M,,243.20M,,243.20M,,,,350.00M,,350.00M,,,570.50M,1.164B,1.287B,,1.287B,,,,,,363.50M,,685.70M,1.972B,3.136B,,15.10M,1.642B,,,15.10M,,,,1.991B,,,
1999-03,151.90M,,151.90M,,,592.30M,,,,,514.00M,,,180.20M,1.438B,,,,,,,4.774B,-2.044B,2.729B,,309.00M,309.00M,,,,689.60M,3.728B,5.166B,,250.50M,,250.50M,,250.50M,,,,143.90M,,143.90M,,,524.20M,918.60M,1.291B,,1.291B,,,,,,349.60M,,683.10M,1.974B,2.893B,,16.00M,1.564B,,,16.00M,,,,1.924B,,,
1998-12,45.40M,,45.40M,,,636.00M,,,,,458.70M,,,170.20M,1.310B,,,,,,,4.679B,-1.994B,2.685B,,309.70M,309.70M,,,,677.00M,3.672B,4.982B,,291.70M,,291.70M,,291.70M,,,,204.60M,,204.60M,,,578.40M,1.075B,998.30M,,998.30M,,,,,,711.30M,,674.10M,1.672B,2.747B,,17.90M,1.522B,,,17.90M,,,,1.524B,,,
1998-09,93.00M,,93.00M,,,593.50M,,,,,450.50M,,,143.80M,1.281B,,,,,,,4.349B,-1.892B,2.457B,,283.20M,283.20M,,,,739.10M,3.480B,4.760B,,213.80M,,213.80M,,213.80M,,,,60.40M,,60.40M,,,582.90M,857.10M,1.093B,,1.093B,,,,,,362.10M,,1.024B,2.118B,2.975B,,18.40M,1.460B,,,18.40M,,,,1.424B,,,
1998-06,191.30M,,191.30M,,,543.30M,,,,,464.70M,,,135.20M,1.334B,,,,,,,4.189B,-1.830B,2.358B,,281.10M,281.10M,,,,767.90M,3.408B,4.742B,,207.40M,,207.40M,,207.40M,,,,38.80M,,38.80M,,,628.80M,875.00M,1.096B,,1.096B,,,,,,343.70M,,655.90M,1.752B,2.627B,,384.20M,1.397B,,,384.20M,,,,1.772B,,,
1998-03,79.50M,,79.50M,,,514.10M,,,,,443.40M,,,122.60M,1.160B,,,,,,,3.998B,-1.773B,2.226B,,290.10M,290.10M,,,,1.064B,3.579B,4.739B,,172.40M,,172.40M,,172.40M,,,,383.80M,,383.80M,,,398.20M,954.40M,1.120B,,1.120B,,,,,,344.20M,,645.80M,1.766B,2.720B,,384.50M,1.315B,,,384.50M,,,,1.674B,,,
1997-12,97.00M,,97.00M,,,559.70M,,,,,428.30M,,,114.10M,1.199B,,,,,,,4.001B,-1.733B,2.268B,,294.20M,294.20M,,,,930.70M,3.493B,4.692B,,300.00M,,300.00M,,300.00M,,,,213.00M,,213.00M,,,444.70M,957.70M,1.126B,,1.126B,,,,,,349.30M,,627.50M,1.753B,2.711B,,385.10M,1.296B,,,385.10M,,,,1.632B,,,
1997-09,80.00M,,80.00M,,,642.80M,,,,,597.70M,,,137.90M,1.458B,,,,,,,4.102B,-1.958B,2.144B,,366.60M,366.60M,,,,654.10M,3.164B,4.623B,,169.90M,,169.90M,,169.90M,,,,151.60M,,151.60M,,,516.70M,838.20M,1.145B,,1.145B,,,,,,355.10M,,672.20M,1.817B,2.655B,,385.30M,1.230B,,,385.30M,,,,1.613B,,,
1997-06,140.30M,,140.30M,,,623.30M,,,,,582.10M,,,124.50M,1.470B,,,,,,,3.968B,-1.908B,2.060B,,369.90M,369.90M,,,,610.00M,3.040B,4.510B,,162.80M,,162.80M,,162.80M,,,,134.30M,,134.30M,,,522.70M,819.80M,1.161B,,1.161B,,,,,,338.50M,,1.034B,2.195B,3.015B,,21.10M,1.159B,,,21.10M,,,,1.157B,,,
1997-03,106.90M,,106.90M,,,638.30M,,,,,538.60M,,,117.60M,1.401B,,,,,,,3.811B,-1.844B,1.968B,,322.10M,322.10M,,,,598.40M,2.888B,4.290B,,177.20M,,177.20M,,177.20M,,,,48.00M,,48.00M,,,513.30M,738.50M,1.195B,,1.195B,,,,,,316.50M,,1.023B,2.218B,2.957B,,21.70M,1.074B,,,21.70M,,,,1.016B,,,
1996-12,223.20M,,223.20M,,,566.30M,,,,,498.50M,,,130.70M,1.419B,,,,,,,3.771B,-1.793B,1.978B,,330.40M,330.40M,,,,594.50M,2.903B,4.321B,,268.90M,,268.90M,,268.90M,,,,53.90M,,53.90M,,,484.70M,807.50M,1.208B,,1.208B,,,,,,310.70M,,1.011B,2.220B,3.027B,,22.20M,1.024B,,,22.20M,,,,983.30M,,,
1996-09,127.50M,,127.50M,,,545.80M,,,,,504.00M,,,122.90M,1.300B,,,,,,,3.663B,-1.814B,1.849B,,342.20M,342.20M,,,,2.238B,4.428B,5.729B,,159.20M,,159.20M,,159.20M,,,,427.80M,,427.80M,,,452.70M,1.040B,1.278B,,1.278B,,,,,,311.50M,,637.20M,1.916B,2.955B,,387.70M,1.452B,,,387.70M,,,,2.462B,,,
1996-06,122.20M,,122.20M,,,550.90M,,,,,501.00M,,,136.50M,1.311B,,,,,,,3.867B,-2.098B,1.769B,,347.10M,347.10M,,,,2.350B,4.467B,5.777B,,166.20M,,166.20M,,166.20M,,,,415.00M,,415.00M,,,431.60M,1.013B,1.304B,,1.304B,,,,,,667.40M,,634.70M,1.938B,2.951B,,23.30M,1.514B,,,23.30M,,,,2.159B,,,
