,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-01,7.275B,7.275B,3.905B,3.905B,,34.51B,3.063B,,48.95B,0.00,19.85B,73.81B,32.16B,5.341B,,131.16B,-35.51B,95.65B,15.26B,,15.26B,3.567B,114.48B,163.43B,,28.85B,,677.00M,29.53B,18.11B,47.64B,,7.354B,7.354B,315.00M,7.669B,,,83.00M,55.39B,31.35B,3.20B,34.55B,6.014B,6.014B,1.794B,397.00M,,40.96B,96.35B,,393.00M,63.66B,3.92B,,,-2.688B,65.28B,,AOR,Restated
2008-10,5.92B,5.92B,3.25B,3.25B,,40.42B,3.245B,,52.86B,,,,,130.59B,,130.59B,-34.05B,96.54B,15.42B,,15.42B,3.026B,114.99B,167.84B,,30.78B,993.00M,355.00M,32.13B,15.34B,47.47B,7.932B,4.753B,12.68B,314.00M,13.00B,,,128.00M,60.60B,30.80B,3.268B,34.07B,5.575B,5.575B,,2.034B,,41.70B,102.30B,,4.219B,59.81B,,,,1.511B,65.54B,,AOR,Restated
2008-07,6.907B,6.907B,3.226B,3.226B,,35.38B,3.311B,,49.53B,,,,,132.44B,,132.44B,-34.24B,98.20B,16.40B,,16.40B,2.759B,117.36B,166.90B,,29.93B,1.927B,555.00M,32.42B,15.61B,48.02B,4.347B,2.18B,6.527B,324.00M,6.851B,,,31.00M,54.90B,34.17B,3.544B,37.71B,5.41B,5.41B,,2.076B,,45.20B,100.10B,,3.986B,57.88B,,,,4.924B,66.79B,,AOR,Restated
2008-04,8.072B,8.072B,3.256B,3.256B,,35.54B,3.426B,,50.30B,,,,,130.50B,,130.50B,-32.88B,97.62B,16.62B,,16.62B,2.943B,117.19B,167.48B,,29.05B,3.322B,1.711B,34.08B,14.91B,48.99B,5.924B,5.864B,11.79B,321.00M,12.11B,,,,61.10B,32.38B,3.584B,35.96B,5.31B,5.31B,,1.878B,,43.15B,104.25B,,3.628B,55.26B,,,,4.345B,63.23B,,AOR,Restated
2008-01,5.492B,5.492B,3.642B,3.642B,,35.16B,2.76B,,48.02B,0.00,19.88B,72.14B,30.24B,5.736B,,127.99B,-31.12B,96.87B,15.88B,,15.88B,2.748B,115.49B,163.51B,,30.34B,,1.00B,31.34B,15.72B,47.07B,5.04B,5.913B,10.95B,316.00M,11.27B,,,140.00M,58.48B,29.80B,3.603B,33.40B,5.087B,5.087B,,1.939B,,40.43B,98.91B,,397.00M,57.32B,3.028B,,,3.864B,64.61B,,AOR,Restated
2007-10,4.95B,4.95B,3.07B,3.07B,,39.56B,3.337B,,50.91B,,,,,126.46B,,126.46B,-30.33B,96.13B,14.90B,,14.90B,3.123B,114.15B,165.06B,,30.80B,896.00M,0.00,31.70B,14.81B,46.50B,9.126B,4.412B,13.54B,309.00M,13.85B,,,,60.35B,30.07B,3.52B,33.59B,5.614B,5.614B,,2.432B,,41.64B,101.98B,,3.421B,55.52B,,,,4.139B,63.08B,,AOR,Restated
2007-07,6.094B,6.094B,2.767B,2.767B,,34.18B,3.342B,,46.39B,,,,,122.17B,,122.17B,-29.22B,92.95B,14.66B,,14.66B,2.959B,110.56B,156.95B,,27.75B,1.794B,170.00M,29.71B,14.06B,43.77B,8.117B,3.176B,11.29B,189.00M,11.48B,,,,55.25B,27.97B,3.594B,31.56B,5.449B,5.449B,,2.404B,,39.41B,94.66B,,3.412B,55.41B,,,,3.46B,62.29B,,AOR,Restated
2007-04,6.563B,6.563B,2.924B,2.924B,,35.20B,2.892B,,47.58B,,,,,118.42B,,118.42B,-28.13B,90.28B,14.58B,,14.58B,2.974B,107.84B,155.42B,,27.56B,3.088B,1.558B,32.21B,13.41B,45.62B,4.627B,4.212B,8.839B,246.00M,9.085B,,,,54.70B,29.57B,3.548B,33.12B,5.426B,5.426B,,2.27B,,40.81B,95.51B,,3.284B,53.96B,,,,2.671B,59.91B,,AOR,Restated
2007-01,7.767B,7.767B,2.84B,2.84B,,33.68B,2.69B,,46.98B,0.00,18.61B,64.05B,27.13B,5.392B,,115.19B,-26.75B,88.44B,13.76B,,13.76B,2.406B,104.60B,151.59B,,28.48B,,706.00M,29.19B,14.68B,43.86B,2.57B,5.428B,7.998B,285.00M,8.283B,,,,52.15B,27.22B,3.513B,30.74B,4.971B,4.971B,,2.16B,,37.87B,90.01B,,413.00M,55.82B,2.834B,,,2.508B,61.57B,,AOR,Restated
2006-10,5.908B,5.908B,2.477B,2.477B,,38.53B,2.707B,,49.62B,,,,,112.49B,,112.49B,-26.47B,86.02B,13.26B,,13.26B,2.217B,101.50B,151.12B,,29.26B,607.00M,252.00M,30.12B,14.28B,44.40B,7.968B,5.49B,13.46B,300.00M,13.76B,,,,58.16B,24.15B,3.622B,27.78B,4.785B,4.785B,,1.632B,,34.19B,92.36B,,3.237B,53.74B,,,,1.788B,58.76B,,AOR,Restated
2006-07,6.386B,6.386B,2.522B,2.522B,,32.09B,3.307B,,46.17B,,,,,106.38B,,106.38B,-23.20B,83.18B,13.27B,,13.27B,2.165B,98.62B,144.79B,,26.02B,1.305B,700.00M,28.03B,13.03B,41.06B,6.072B,6.235B,12.31B,196.00M,12.50B,,,580.00M,54.14B,24.10B,3.883B,27.98B,4.741B,4.741B,,1.554B,,34.28B,88.42B,,3.165B,51.09B,,,2.116B,2.116B,56.37B,,AOR,Restated
2006-04,5.858B,5.858B,2.507B,2.507B,,32.21B,2.961B,,43.53B,,,,,103.96B,,103.96B,-22.50B,81.46B,12.90B,,12.90B,2.593B,96.95B,140.48B,,25.38B,2.305B,1.969B,29.66B,12.78B,42.44B,3.653B,5.528B,9.181B,248.00M,9.429B,,,,51.86B,25.04B,4.00B,29.04B,4.73B,4.73B,,1.54B,,35.31B,87.17B,,3.07B,49.02B,,,1.224B,1.224B,53.31B,,AOR,Restated
2006-01,6.193B,6.193B,2.575B,2.575B,,31.91B,2.468B,,43.82B,0.00,16.17B,55.21B,24.16B,5.392B,,100.93B,-23.06B,77.86B,12.10B,,12.10B,4.40B,94.36B,138.19B,,25.10B,,1.34B,26.44B,13.27B,39.72B,3.754B,4.595B,8.349B,284.00M,8.633B,,,477.00M,48.82B,26.43B,3.667B,30.10B,4.501B,4.501B,,1.465B,,36.19B,85.02B,,417.00M,49.10B,2.596B,,,1.053B,53.17B,,AOR,Restated
2005-10,4.535B,4.535B,1.846B,1.846B,,36.57B,1.97B,,44.92B,,,,,94.87B,,94.87B,-20.88B,73.98B,10.47B,,10.47B,2.424B,86.88B,131.80B,,25.12B,645.00M,650.00M,26.41B,12.70B,39.11B,6.774B,4.172B,10.95B,257.00M,11.20B,,,,50.32B,23.25B,3.547B,26.80B,3.391B,3.391B,,1.379B,,31.57B,81.88B,,2.925B,45.50B,,,,1.498B,49.92B,,AOR,Restated
2005-07,5.673B,5.673B,1.682B,1.682B,,30.92B,2.12B,,40.39B,,,,,92.01B,,92.01B,-20.37B,71.64B,10.41B,,10.41B,2.32B,84.37B,124.76B,,22.62B,1.269B,1.021B,24.91B,11.88B,36.80B,9.054B,3.08B,12.13B,233.00M,12.37B,,,,49.16B,20.21B,3.499B,23.71B,2.792B,2.792B,,1.379B,,27.88B,77.04B,,2.874B,43.12B,,,1.725B,1.725B,47.72B,,AOR,Restated
2005-04,4.955B,4.955B,1.52B,1.52B,,31.35B,1.817B,,39.64B,,,,,88.88B,,88.88B,-19.58B,69.30B,10.79B,,10.79B,2.485B,82.57B,122.22B,,22.91B,1.946B,1.971B,26.83B,11.06B,37.88B,7.017B,4.04B,11.06B,228.00M,11.28B,,,,49.17B,18.23B,3.396B,21.63B,2.867B,2.867B,,1.361B,,25.86B,75.02B,,2.827B,42.15B,,,2.211B,2.211B,47.19B,,AOR,Restated
2005-01,5.488B,5.488B,1.715B,1.715B,,29.76B,1.889B,,38.85B,0.00,14.47B,46.57B,22.99B,4.556B,,88.59B,-20.48B,68.12B,10.80B,,10.80B,2.379B,81.30B,120.15B,,21.99B,,1.281B,23.27B,12.12B,35.39B,3.812B,3.759B,7.571B,223.00M,7.794B,,,,43.18B,20.09B,3.171B,23.26B,2.978B,2.978B,,1.34B,,27.58B,70.76B,,423.00M,43.85B,2.425B,,,2.694B,49.40B,,AOR,Restated
2004-10,4.639B,4.639B,1.418B,1.418B,,33.35B,1.573B,,40.98B,,,,,84.89B,,84.89B,-20.34B,64.54B,10.19B,,10.19B,2.378B,77.11B,118.09B,,22.13B,537.00M,525.00M,23.20B,12.32B,35.52B,7.569B,3.721B,11.29B,206.00M,11.50B,,,,47.02B,19.10B,3.048B,22.15B,2.588B,2.588B,,1.452B,,26.19B,73.20B,,2.723B,40.85B,,,1.313B,1.313B,44.89B,,AOR,Restated
2004-07,4.709B,4.709B,1.28B,1.28B,,27.96B,1.664B,,35.62B,,,,,81.32B,,81.32B,-19.24B,62.09B,10.12B,,10.12B,2.232B,74.44B,110.06B,,19.00B,1.088B,637.00M,20.72B,10.84B,31.56B,6.827B,4.415B,11.24B,202.00M,11.44B,,,,43.01B,17.04B,3.10B,20.14B,2.328B,2.328B,,1.436B,,23.91B,66.92B,,2.643B,39.43B,,,1.074B,1.074B,43.14B,,AOR,Restated
2004-04,3.828B,3.828B,1.23B,1.23B,,28.32B,1.375B,,34.75B,,,,,78.79B,,78.79B,-18.32B,60.47B,10.13B,,10.13B,2.226B,72.83B,107.58B,,19.00B,1.642B,1.588B,22.23B,9.937B,32.17B,4.161B,4.548B,8.709B,189.00M,8.898B,,,,41.07B,17.47B,3.032B,20.50B,2.171B,2.171B,,1.459B,,24.13B,65.20B,,2.613B,38.29B,,,1.479B,1.479B,42.38B,,AOR,Restated
2004-01,5.199B,5.199B,1.254B,1.254B,,26.61B,1.356B,,34.42B,0.00,12.70B,40.19B,19.20B,4.286B,,76.38B,-17.36B,59.02B,9.882B,,9.882B,2.079B,70.98B,105.40B,,19.42B,,1.377B,20.80B,10.67B,31.47B,3.267B,2.904B,6.171B,196.00M,6.367B,,,,37.84B,17.10B,2.997B,20.10B,2.359B,2.359B,,1.484B,,23.94B,61.78B,,431.00M,40.21B,2.135B,,851.00M,851.00M,43.62B,,AOR,Restated
2003-10,3.312B,3.312B,1.111B,1.111B,,31.29B,1.081B,,36.79B,,,,,73.45B,,73.45B,-17.24B,56.20B,9.446B,,9.446B,2.383B,68.03B,104.82B,,20.58B,,679.00M,21.26B,10.16B,31.42B,4.709B,2.913B,7.622B,181.00M,7.803B,,,,39.22B,16.95B,2.997B,19.95B,2.054B,2.054B,,1.422B,,23.42B,62.65B,,2.514B,39.75B,,,-92.00M,-92.00M,42.17B,,AOR,Restated
2003-07,4.472B,4.472B,1.062B,1.062B,,25.68B,935.00M,,32.15B,,,,,71.00B,,71.00B,-16.48B,54.52B,9.573B,,9.573B,2.544B,66.63B,98.79B,,17.48B,,752.00M,18.24B,9.197B,27.43B,1.60B,3.623B,5.223B,177.00M,5.40B,,,,32.83B,17.23B,2.98B,20.21B,1.771B,1.771B,,1.381B,,23.36B,56.19B,,2.492B,39.84B,,,266.00M,266.00M,42.59B,,AOR,Restated
2003-04,2.468B,2.468B,985.00M,985.00M,,25.93B,824.00M,,31.35B,,,,,67.76B,,67.76B,-15.49B,52.27B,9.317B,,9.317B,3.542B,65.12B,96.47B,,17.86B,,1.143B,19.00B,8.363B,27.36B,857.00M,3.545B,4.402B,160.00M,4.562B,,,299.00M,32.22B,17.94B,3.00B,20.94B,1.727B,1.727B,,1.373B,,24.05B,56.27B,,2.405B,38.40B,,,-605.00M,-605.00M,40.20B,,AOR,Restated
2003-01,2.736B,2.736B,1.569B,1.569B,,24.40B,837.00M,,30.72B,0.00,11.20B,33.34B,16.74B,4.814B,,66.10B,-14.73B,51.37B,9.389B,,9.389B,3.323B,64.09B,94.81B,,16.83B,,748.00M,17.58B,8.857B,26.43B,1.079B,4.536B,5.615B,176.00M,5.791B,,,294.00M,32.52B,16.60B,3.00B,19.60B,1.859B,1.859B,,1.362B,,22.83B,55.35B,,440.00M,37.58B,1.954B,,-509.00M,-509.00M,39.46B,,AOR,Restated
2002-10,2.095B,2.095B,1.937B,1.937B,,29.51B,1.238B,,34.78B,,,,,65.00B,,65.00B,-14.93B,50.07B,,,9.173B,1.637B,60.88B,95.66B,,18.61B,,692.00M,19.31B,8.887B,28.19B,4.343B,4.513B,8.856B,160.00M,9.016B,,,,37.21B,14.89B,2.842B,17.73B,1.331B,1.331B,,1.346B,,20.41B,57.62B,,1.871B,36.77B,,,-598.00M,-598.00M,38.04B,,AOR,Restated
2002-07,2.288B,2.288B,1.934B,1.934B,,24.27B,1.304B,,29.80B,,,,,62.78B,,62.78B,-14.31B,48.47B,,9.031B,9.031B,1.29B,58.79B,88.58B,,16.98B,,639.00M,17.62B,7.773B,25.40B,1.453B,3.031B,4.484B,155.00M,4.639B,,,,30.03B,16.20B,2.878B,19.08B,1.24B,1.24B,,1.266B,,21.58B,51.62B,,1.869B,35.87B,,,-777.00M,-777.00M,36.97B,,AOR,Restated
2002-04,2.418B,2.418B,1.679B,1.679B,,23.53B,1.266B,,28.90B,,,,,60.38B,,60.38B,-13.56B,46.82B,,8.477B,8.477B,954.00M,56.25B,85.14B,,16.21B,,1.338B,17.55B,6.898B,24.45B,854.00M,3.169B,4.023B,153.00M,4.176B,,,,28.63B,15.25B,3.004B,18.25B,1.225B,1.225B,,1.192B,,20.67B,49.29B,,1.921B,35.40B,,,-1.477B,-1.477B,35.85B,,AOR,Restated
2002-01,2.161B,2.161B,2.00B,2.00B,22.75B,22.61B,1.103B,,27.88B,0.00,10.24B,28.53B,15.22B,4.626B,,58.62B,-12.87B,45.75B,8.566B,,8.566B,1.333B,55.65B,83.53B,,15.62B,,1.343B,16.96B,7.174B,24.13B,743.00M,2.257B,3.00B,148.00M,3.148B,,,,27.28B,15.69B,3.045B,18.73B,1.204B,1.204B,,1.207B,,21.14B,48.42B,,445.00M,34.44B,1.484B,,-1.268B,-1.268B,35.10B,,AOR,Restated
2001-10,2.033B,2.033B,1.669B,1.669B,,27.58B,1.336B,,32.62B,,,,,57.88B,,57.88B,-13.43B,44.45B,,,8.777B,2.50B,55.72B,88.34B,,17.88B,,,17.88B,7.015B,24.90B,4.072B,,4.072B,,4.072B,,,3.902B,32.87B,15.82B,2.989B,18.81B,1.254B,1.254B,,1.134B,,21.20B,54.07B,,1.839B,32.92B,,,-485.00M,-485.00M,34.28B,,AOR,Restated
2001-07,1.834B,1.834B,1.751B,1.751B,,23.03B,1.377B,,28.00B,,,,,55.80B,,55.80B,-12.80B,43.00B,,8.543B,8.543B,2.034B,53.58B,81.58B,,15.42B,,,15.42B,6.172B,21.59B,1.088B,,1.088B,,1.088B,,,4.741B,27.42B,15.71B,3.03B,18.74B,1.233B,1.233B,,1.106B,,21.08B,48.50B,,1.792B,32.30B,,,-1.017B,-1.017B,33.08B,,AOR,Restated
2001-04,1.477B,1.477B,1.761B,1.761B,,22.75B,1.295B,,27.28B,,,,,53.79B,,53.79B,-12.14B,41.65B,,8.606B,8.606B,1.89B,52.15B,79.43B,,14.76B,,,14.76B,5.505B,20.27B,3.554B,,3.554B,,3.554B,,,4.816B,28.64B,13.53B,3.095B,16.63B,1.11B,1.11B,,1.085B,,18.82B,47.46B,,1.86B,31.24B,,,-1.132B,-1.132B,31.96B,,AOR,Restated
2001-01,2.054B,2.054B,1.768B,1.768B,21.64B,21.44B,1.291B,,26.56B,0.00,9.433B,24.54B,13.84B,4.62B,,52.43B,-11.50B,40.93B,,9.059B,9.059B,1.582B,51.58B,78.13B,,15.09B,,841.00M,15.93B,6.355B,22.29B,2.286B,4.234B,6.52B,141.00M,6.661B,,,,28.95B,12.50B,3.154B,15.66B,1.043B,1.043B,,1.14B,,17.84B,46.79B,,447.00M,30.17B,1.411B,,-684.00M,-684.00M,31.34B,,AOR,Restated
2000-10,1.311B,1.311B,1.468B,1.468B,,24.98B,1.675B,,29.43B,,,,,50.22B,,50.22B,-10.89B,39.33B,,,8.994B,1.302B,49.62B,79.05B,,15.87B,,,15.87B,6.373B,22.24B,5.751B,,5.751B,,5.751B,,,3.47B,31.47B,13.41B,2.973B,16.38B,884.00M,884.00M,,1.082B,,18.35B,49.82B,,1.736B,28.43B,,,-935.00M,-935.00M,29.23B,,AOR,Restated
2000-07,1.31B,1.31B,1.249B,1.249B,,21.09B,1.593B,,25.24B,,,,,48.28B,,48.28B,-10.28B,38.00B,,9.265B,9.265B,893.00M,48.16B,73.41B,,12.63B,,,12.63B,5.806B,18.44B,5.94B,,5.94B,,5.94B,,,2.356B,26.74B,13.72B,2.968B,16.68B,811.00M,811.00M,,1.08B,,18.58B,45.31B,,1.717B,27.33B,,,-954.00M,-954.00M,28.10B,,AOR,Restated
2000-04,1.36B,1.36B,1.265B,1.265B,,20.97B,1.505B,,25.10B,,,,,46.75B,,46.75B,-9.758B,36.99B,,9.604B,9.604B,664.00M,47.26B,72.36B,,13.16B,,,13.16B,5.913B,19.07B,4.759B,,4.759B,,4.759B,,,3.792B,27.62B,12.78B,2.928B,15.71B,817.00M,817.00M,,1.075B,,17.60B,45.22B,,1.718B,26.00B,,,-581.00M,-581.00M,27.14B,,AOR,Restated
2000-01,1.856B,1.856B,1.341B,1.341B,20.17B,19.79B,1.366B,,24.36B,0.00,8.785B,21.17B,11.11B,4.285B,,45.35B,-9.379B,35.97B,,9.392B,9.392B,632.00M,45.99B,70.35B,,13.10B,,1.129B,14.23B,6.161B,20.40B,3.323B,1.964B,5.287B,121.00M,5.408B,,,,25.80B,13.67B,3.002B,16.67B,759.00M,759.00M,,1.279B,,18.71B,44.52B,,446.00M,25.13B,714.00M,,-455.00M,-455.00M,25.83B,,AOR,Restated
1999-10,1.435B,1.435B,1.63B,1.63B,,22.37B,1.517B,,26.96B,,,,,44.66B,,44.66B,-9.905B,34.76B,,,9.837B,820.00M,45.41B,72.37B,,14.08B,,,14.08B,6.953B,21.03B,6.459B,,6.459B,,6.459B,,,1.499B,28.99B,13.53B,3.027B,16.56B,793.00M,793.00M,,1.746B,,19.10B,48.09B,,1.052B,23.63B,,,,-403.00M,24.28B,,AOR,Restated
1999-07,1.508B,1.508B,1.276B,1.276B,,18.79B,1.256B,,22.83B,,,,,42.70B,,42.70B,-9.383B,33.31B,,,9.317B,801.00M,43.43B,66.26B,,12.33B,,,12.33B,5.40B,17.73B,5.121B,,5.121B,,5.121B,,,1.82B,24.67B,13.08B,2.964B,16.04B,834.00M,834.00M,,1.774B,,18.65B,43.32B,,876.00M,22.56B,,,,-485.00M,22.95B,,AOR,Restated
1999-04,1.967B,1.967B,1.154B,1.154B,,18.15B,1.076B,,22.35B,,,,,35.72B,,35.72B,-8.971B,26.75B,,,,2.927B,29.68B,52.02B,,11.24B,,,11.24B,4.80B,16.04B,,,,,,,,1.71B,17.74B,6.933B,2.846B,9.779B,714.00M,714.00M,,1.768B,,12.26B,30.01B,,878.00M,21.62B,,,,-481.00M,22.02B,,AOR,Restated
1999-01,1.879B,1.879B,1.118B,1.118B,17.55B,17.08B,1.059B,,21.13B,0.00,5.219B,16.06B,9.849B,3.335B,,34.46B,-8.491B,25.97B,,2.538B,2.538B,353.00M,28.86B,50.00B,,10.26B,,501.00M,10.76B,4.998B,15.76B,0.00,900.00M,900.00M,106.00M,1.006B,,,,16.76B,6.908B,2.699B,9.607B,716.00M,716.00M,,1.799B,,12.12B,28.88B,,445.00M,20.74B,435.00M,,-509.00M,-509.00M,21.11B,,AOR,Restated
1998-10,1.009B,1.009B,1.401B,1.401B,,20.62B,,488.00M,23.52B,,,,,33.32B,,33.32B,-8.028B,25.29B,,,,2.43B,27.72B,51.24B,,11.42B,,,11.42B,4.969B,16.39B,1.976B,,1.976B,,1.976B,,,984.00M,19.35B,6.953B,2.637B,9.59B,771.00M,771.00M,,1.811B,,12.17B,31.52B,,805.00M,19.44B,,,,-528.00M,19.71B,,AOR,Restated
1998-07,884.00M,884.00M,1.008B,1.008B,,17.62B,,428.00M,19.94B,,,,,32.00B,,32.00B,-7.607B,24.40B,,,,2.539B,26.94B,46.87B,,9.844B,,,9.844B,,9.844B,175.00M,550.00M,725.00M,,725.00M,,,4.227B,14.80B,7.414B,2.52B,9.934B,799.00M,799.00M,,1.802B,,12.54B,27.33B,,823.00M,19.22B,,,,-505.00M,19.54B,,AOR,Restated
1998-04,771.00M,771.00M,1.009B,1.009B,,17.51B,,398.00M,19.69B,,,,,31.22B,,31.22B,-7.221B,24.00B,,,,2.35B,26.35B,46.04B,,9.765B,,,9.765B,,9.765B,527.00M,281.00M,808.00M,,808.00M,,,4.26B,14.83B,7.193B,2.555B,9.748B,802.00M,802.00M,,1.842B,,12.39B,27.22B,,818.00M,18.46B,,,,-461.00M,18.82B,,AOR,Restated
1998-01,1.447B,1.447B,976.00M,976.00M,16.84B,16.50B,432.00M,,19.35B,0.00,4.691B,14.65B,8.039B,3.04B,,30.42B,-6.81B,23.61B,,,,2.426B,26.03B,45.38B,,9.126B,,565.00M,9.691B,3.628B,13.32B,,1.039B,1.039B,102.00M,1.141B,,,,14.46B,7.191B,2.483B,9.674B,809.00M,809.00M,,1.938B,,12.42B,26.88B,,224.00M,18.17B,585.00M,,-473.00M,-473.00M,18.50B,,AOR,Restated
1997-10,728.00M,728.00M,1.31B,1.31B,,19.30B,,293.00M,21.63B,,,,,29.47B,,29.47B,-6.706B,22.76B,,,,1.778B,24.54B,46.17B,,10.52B,,,10.52B,,10.52B,1.53B,1.023B,2.553B,,2.553B,,,3.794B,16.86B,6.69B,2.395B,9.085B,758.00M,758.00M,,1.909B,,11.75B,28.62B,,775.00M,17.23B,,-446.00M,,-446.00M,17.56B,,AOR,Restated
1997-07,930.00M,930.00M,919.00M,919.00M,,16.40B,,288.00M,18.53B,,,,,27.10B,,27.10B,-6.35B,20.75B,,,,1.392B,22.14B,40.67B,,7.885B,,,7.885B,,7.885B,,,1.274B,,1.274B,,,3.376B,12.54B,6.943B,2.306B,9.249B,467.00M,467.00M,,1.159B,,10.88B,23.41B,,776.00M,16.91B,,-420.00M,,-420.00M,17.26B,,AOR,Restated
1997-04,726.00M,726.00M,854.00M,854.00M,,15.92B,,334.00M,17.83B,,,,,26.47B,,26.47B,-5.991B,20.48B,,,,1.465B,21.94B,39.78B,,7.747B,,,7.747B,,7.747B,,,,,,,,4.251B,12.00B,6.957B,2.307B,9.264B,473.00M,473.00M,,1.06B,,10.80B,22.80B,,762.00M,16.65B,,-433.00M,,-433.00M,16.98B,,AOR,Restated
1997-01,883.00M,883.00M,845.00M,845.00M,16.19B,15.90B,368.00M,,17.99B,0.00,3.689B,12.72B,6.769B,2.782B,,25.96B,-5.64B,20.32B,,,,1.287B,21.61B,39.60B,,7.628B,,298.00M,7.926B,2.413B,10.34B,,523.00M,523.00M,95.00M,618.00M,,,,10.96B,7.709B,2.307B,10.02B,463.00M,463.00M,,1.025B,,11.50B,22.46B,,228.00M,16.77B,547.00M,-400.00M,,-400.00M,17.14B,,AOR,Restated
1996-10,76.00M,76.00M,1.171B,1.171B,,19.04B,,733.00M,21.02B,,,,,25.41B,,25.41B,-5.358B,20.05B,,,,1.134B,21.18B,42.21B,,9.367B,,,9.367B,,9.367B,1.112B,,1.112B,,1.112B,,,3.698B,14.18B,7.884B,2.223B,10.11B,1.542B,1.542B,,,,11.65B,25.83B,,775.00M,15.99B,,-386.00M,,-386.00M,16.38B,,AOR,Restated
1996-07,24.00M,24.00M,879.00M,879.00M,,16.38B,,680.00M,17.96B,,,,,24.86B,,24.86B,-5.084B,19.77B,,,,1.169B,20.94B,38.90B,,7.204B,,,7.204B,,7.204B,1.823B,,1.823B,,1.823B,,,2.641B,11.67B,8.496B,2.204B,10.70B,739.00M,739.00M,,,,11.44B,23.11B,,774.00M,15.43B,,-411.00M,,-411.00M,15.79B,,AOR,Restated
1996-04,32.00M,32.00M,908.00M,908.00M,,16.21B,,626.00M,17.78B,,,,,24.10B,,24.10B,-4.761B,19.34B,,,,1.131B,20.47B,38.25B,,7.375B,,,7.375B,,7.375B,1.575B,,1.575B,,1.575B,,,2.72B,11.67B,,,,,,,,,11.36B,23.03B,,775.00M,14.84B,,-402.00M,,-402.00M,15.22B,,AOR,Restated
1996-01,83.00M,83.00M,853.00M,853.00M,16.30B,15.99B,406.00M,,17.33B,0.00,3.559B,11.29B,6.001B,2.476B,,23.33B,-4.432B,18.89B,,,,1.316B,20.21B,37.54B,,6.442B,,123.00M,6.565B,2.091B,8.656B,2.458B,271.00M,2.729B,69.00M,2.798B,,,,11.45B,8.508B,2.092B,10.60B,400.00M,400.00M,,331.00M,,11.33B,22.78B,,229.00M,14.39B,545.00M,-412.00M,,-412.00M,14.76B,,AOR,Restated
1995-10,13.00M,13.00M,1.212B,1.212B,,18.32B,,492.00M,20.21B,,,,,22.47B,,22.47B,-4.193B,18.28B,,,,1.53B,19.80B,40.02B,,8.53B,,,8.53B,,8.53B,3.686B,,3.686B,,3.686B,,,2.609B,14.82B,8.327B,1.889B,10.22B,886.00M,886.00M,,,,11.10B,25.93B,,769.00M,13.60B,,-275.00M,,-275.00M,14.09B,,AOR,Restated
1995-07,6.00M,6.00M,858.00M,858.00M,,15.08B,,392.00M,16.51B,,,,,21.50B,,21.50B,-3.91B,17.59B,,,,1.218B,18.81B,35.32B,,6.438B,,,6.438B,,6.438B,2.123B,,2.123B,,2.123B,,,2.362B,10.92B,8.291B,1.901B,10.19B,823.00M,823.00M,,,,11.02B,21.94B,,769.00M,13.13B,,-518.00M,,-518.00M,13.38B,,AOR,Restated
1995-04,14.00M,14.00M,823.00M,823.00M,,14.68B,,439.00M,16.16B,,,,,20.47B,,20.47B,-3.643B,16.83B,,,,1.394B,18.22B,34.38B,,5.954B,,,5.954B,,5.954B,2.372B,,2.372B,,2.372B,,,2.169B,10.50B,8.119B,1.873B,9.992B,779.00M,779.00M,,,,10.77B,21.27B,,770.00M,12.65B,,-305.00M,,-305.00M,13.12B,,AOR,Restated
1995-01,45.00M,45.00M,900.00M,900.00M,14.42B,14.06B,329.00M,,15.34B,0.00,3.036B,8.973B,5.081B,2.147B,,19.24B,-3.363B,15.87B,,,,1.607B,17.48B,32.82B,,5.907B,,365.00M,6.272B,1.819B,8.091B,1.795B,23.00M,1.818B,64.00M,1.882B,,,,9.973B,7.871B,1.838B,9.709B,411.00M,411.00M,,,,10.12B,20.09B,,230.00M,12.21B,539.00M,-256.00M,,-256.00M,12.73B,,AOR,Restated
