,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,904.00M,,,-1.00M,,,694.00M,694.00M,156.00M,,,,20.00M,61.00M,,,27.00M,-17.00M,-7.00M,-5.00M,59.00M,1.832B,,2007-06,-1.506B,12.00M,-1.494B,,-40.00M,,,2007-06,,,165.00M,37.00M,-10.00M,27.00M,,,,-65.00M,12.00M,139.00M,,2007-06,375.00M,14.00M,1.067B,,2007-06,62.00M,37.00M,,-10.00M,,,,2007-06,,
2007-03,651.00M,,,,,,633.00M,633.00M,75.00M,,,,115.00M,-29.00M,,,20.00M,-10.00M,89.00M,-27.00M,43.00M,1.517B,,2007-03,-1.484B,25.00M,-1.459B,,299.00M,,,2007-03,,,-348.00M,23.00M,,23.00M,,,,-64.00M,5.00M,-384.00M,,2007-03,-40.00M,2.00M,678.00M,,2007-03,93.00M,23.00M,,,,,,2007-03,,
2006-12,582.00M,,,-152.00M,,,435.00M,435.00M,212.00M,,,,547.00M,-250.00M,,,-96.00M,22.00M,-188.00M,-1.00M,-513.00M,1.111B,,2006-12,-1.20B,4.00M,-1.196B,,-450.00M,,,2006-12,,,367.00M,20.00M,0.00,20.00M,,,,-54.00M,22.00M,355.00M,,2006-12,-22.00M,-11.00M,756.00M,,2006-12,656.00M,20.00M,,0.00,,,,2006-12,,
2006-09,705.00M,,,152.00M,,,648.00M,648.00M,86.00M,,,,-48.00M,72.00M,,,89.00M,-38.00M,287.00M,111.00M,521.00M,2.064B,,2006-09,-1.431B,10.00M,-1.421B,,208.00M,,,2006-09,,,-665.00M,26.00M,0.00,26.00M,,,,-51.00M,7.00M,-683.00M,,2006-09,168.00M,-2.00M,1.196B,,2006-09,,26.00M,,0.00,,,,2006-09,,
2006-06,859.00M,,,0.00,,,664.00M,664.00M,-30.00M,,,,-3.00M,28.00M,,,-6.00M,-7.00M,-184.00M,-25.00M,-194.00M,1.296B,,2006-06,-3.466B,7.00M,-3.459B,,402.00M,,,2006-06,,,1.247B,7.00M,0.00,7.00M,,,,-53.00M,3.00M,1.204B,,2006-06,-666.00M,25.00M,1.03B,,2006-06,-245.00M,7.00M,,0.00,,,,2006-06,,
2006-03,700.00M,,,-5.00M,,,484.00M,484.00M,140.00M,,,,216.00M,241.00M,,,-162.00M,-10.00M,-80.00M,-2.00M,-13.00M,1.522B,,2006-03,-1.249B,19.00M,-1.23B,,-54.00M,,,2006-03,,,-3.00M,20.00M,-253.00M,-233.00M,,,,-51.00M,4.00M,-283.00M,,2006-03,64.00M,1.00M,1.494B,,2006-03,245.00M,20.00M,,-253.00M,,,,2006-03,,
2005-12,970.00M,,,-231.00M,-1.647B,2.00M,279.00M,279.00M,178.00M,,,,451.00M,13.00M,,,114.00M,17.00M,136.00M,33.00M,313.00M,1.96B,,2005-12,-890.00M,1.00M,-889.00M,,111.00M,,,2005-12,,,-235.00M,7.00M,-134.00M,-127.00M,,,,-36.00M,,-398.00M,,2005-12,789.00M,4.00M,1.606B,,2005-12,,7.00M,,-134.00M,,,,2005-12,,
2005-09,744.00M,,,134.00M,533.00M,0.00,533.00M,533.00M,192.00M,,,,,-173.00M,,,96.00M,-27.00M,-215.00M,-17.00M,-336.00M,1.267B,,2005-09,-947.00M,-11.00M,-958.00M,,-242.00M,,,2005-09,,,-669.00M,36.00M,-567.00M,-531.00M,,,,-35.00M,,-1.235B,,2005-09,-1.168B,36.00M,1.095B,,2005-09,,36.00M,,-567.00M,,,,2005-09,,
2005-06,653.00M,,,97.00M,1.114B,-2.00M,533.00M,533.00M,80.00M,,,,-75.00M,53.00M,,,-14.00M,2.00M,-241.00M,-91.00M,-291.00M,997.00M,,2005-06,-1.109B,1.729B,620.00M,,484.00M,,,2005-06,,,-354.00M,24.00M,-1.005B,-981.00M,,,,-37.00M,,-1.372B,,2005-06,729.00M,-1.00M,2.227B,,2005-06,,24.00M,,-1.005B,,,,2005-06,,
2005-03,563.00M,,,-150.00M,,,579.00M,579.00M,-2.00M,,,,75.00M,-44.00M,,,51.00M,-8.00M,287.00M,37.00M,323.00M,1.388B,,2005-03,-867.00M,432.00M,-435.00M,,-66.00M,,,2005-03,,,,57.00M,-557.00M,-500.00M,,,,-38.00M,,-538.00M,,2005-03,349.00M,-2.00M,1.499B,,2005-03,,57.00M,,-557.00M,,,,2005-03,,
2004-12,673.00M,,,-155.00M,-1.696B,4.00M,533.00M,533.00M,86.00M,,,,,-176.00M,,,13.00M,22.00M,125.00M,-129.00M,-145.00M,1.124B,,2004-12,-656.00M,75.00M,-581.00M,,-376.00M,,,2004-12,,,-1.00M,48.00M,,-141.00M,,,,-27.00M,,-169.00M,,2004-12,-25.00M,29.00M,1.152B,,2004-12,,48.00M,,,,,,2004-12,,
2004-09,517.00M,,,46.00M,572.00M,-1.00M,571.00M,571.00M,133.00M,,,,,19.00M,,,-115.00M,5.00M,164.00M,-8.00M,65.00M,1.332B,,2004-09,-747.00M,0.00,-747.00M,,-226.00M,,,2004-09,,,-1.00M,32.00M,,32.00M,,,,-27.00M,,4.00M,,2004-09,363.00M,25.00M,1.17B,,2004-09,,32.00M,,,,,,2004-09,,
2004-06,502.00M,,,54.00M,1.124B,-3.00M,549.00M,549.00M,72.00M,,,,,-44.00M,-2.00M,,189.00M,-28.00M,-150.00M,-5.00M,-40.00M,1.137B,,2004-06,-765.00M,9.00M,-756.00M,,14.00M,,,2004-06,,,-760.00M,80.00M,,80.00M,,,,-27.00M,,-707.00M,,2004-06,-312.00M,-8.00M,782.00M,,2004-06,,80.00M,,,,,,2004-06,,
2004-03,494.00M,,,21.00M,,,572.00M,572.00M,79.00M,,,,,-117.00M,2.00M,,102.00M,1.00M,69.00M,,57.00M,1.223B,,2004-03,-890.00M,11.00M,-879.00M,,-38.00M,,,2004-03,,,-211.00M,108.00M,,108.00M,,,,-26.00M,,-129.00M,,2004-03,177.00M,-7.00M,1.102B,,2004-03,,108.00M,,,,,,2004-03,,
2003-12,543.00M,,,97.00M,,,562.00M,562.00M,-153.00M,,,,,-42.00M,5.00M,,23.00M,-16.00M,-31.00M,,-61.00M,988.00M,,2003-12,-782.00M,139.00M,-643.00M,,,-24.00M,,2003-12,,,-1.00M,104.00M,,104.00M,,,,-14.00M,,90.00M,,2003-12,411.00M,22.00M,1.273B,,2003-12,,104.00M,,,,,,2003-12,,
2003-09,412.00M,,,8.00M,,,508.00M,508.00M,165.00M,,,,,72.00M,-6.00M,,-25.00M,-1.00M,-119.00M,,-79.00M,1.014B,,2003-09,-705.00M,9.00M,-696.00M,,,-12.00M,,2003-09,,,-190.00M,13.00M,,13.00M,,,,-14.00M,,-191.00M,,2003-09,115.00M,1.00M,840.00M,,2003-09,,13.00M,,,,,,2003-09,,
2003-06,356.00M,,,-37.00M,,,427.00M,427.00M,144.00M,,,,,60.00M,-1.00M,7.00M,-184.00M,-18.00M,185.00M,,49.00M,939.00M,,2003-06,-588.00M,5.00M,-583.00M,,,12.00M,,2003-06,,,-330.00M,35.00M,,35.00M,,,,-11.00M,,-306.00M,,2003-06,62.00M,28.00M,724.00M,,2003-06,,35.00M,,,,,,2003-06,,
2003-03,420.00M,,,-13.00M,,,296.00M,296.00M,165.00M,,,,,-254.00M,-6.00M,-7.00M,228.00M,9.00M,-11.00M,,-41.00M,827.00M,,2003-03,-512.00M,26.00M,-486.00M,,,,,2003-03,,,,3.00M,,3.00M,,,,-10.00M,,-7.00M,,2003-03,334.00M,8.00M,634.00M,,2003-03,,3.00M,,,,,,2003-03,,
2002-12,95.00M,,,300.00M,-918.00M,-24.00M,269.00M,269.00M,77.00M,,,,,-68.00M,4.00M,,10.00M,33.00M,-142.00M,,-163.00M,578.00M,,2002-12,-377.00M,71.00M,-306.00M,,,9.00M,,2002-12,,,-78.00M,13.00M,,13.00M,,,,-11.00M,,-76.00M,,2002-12,205.00M,-1.00M,292.00M,,2002-12,,13.00M,,,,,,2002-12,,
2002-09,112.00M,,,-87.00M,918.00M,24.00M,308.00M,308.00M,3.00M,,,,,21.00M,-8.00M,,-18.00M,4.00M,-47.00M,,-48.00M,288.00M,,2002-09,-486.00M,276.00M,-210.00M,,,3.00M,,2002-09,,,-402.00M,1.00M,,1.00M,,,,-9.00M,,-410.00M,,2002-09,-329.00M,2.00M,88.00M,,2002-09,,1.00M,,,,,,2002-09,,
2002-06,-206.00M,,,631.00M,,,323.00M,323.00M,-305.00M,,,,,-51.00M,11.00M,-5.00M,-83.00M,98.00M,107.00M,,77.00M,520.00M,,2002-06,-373.00M,809.00M,436.00M,,,-17.00M,,2002-06,,,-873.00M,9.00M,,9.00M,,,,-11.00M,,-875.00M,,2002-06,64.00M,-2.00M,415.00M,,2002-06,,9.00M,,,,,,2002-06,,
2002-03,58.00M,,,33.00M,,,311.00M,311.00M,9.00M,,,,,18.00M,3.00M,5.00M,17.00M,-123.00M,37.00M,,-43.00M,368.00M,,2002-03,-2.19B,227.00M,-1.963B,,,2.00M,,2002-03,,,1.763B,9.00M,,9.00M,,,,-10.00M,,1.762B,,2002-03,169.00M,1.00M,353.00M,,2002-03,,9.00M,,,,,,2002-03,,
2001-12,-505.00M,,,1.007B,287.00M,-9.00M,278.00M,278.00M,-298.00M,,,,,15.00M,8.00M,,9.00M,21.00M,-83.00M,,-30.00M,452.00M,,2001-12,-3.975B,0.00,-3.975B,,,,,2001-12,,,3.553B,17.00M,-14.00M,3.00M,,,,-8.00M,,3.548B,,2001-12,25.00M,-5.00M,183.00M,,2001-12,,17.00M,,-14.00M,,,,2001-12,,
2001-09,-8.657M,,,101.55M,176.41M,22.05M,198.46M,198.46M,68.20M,,,,,65.61M,-4.088M,-17.76M,40.42M,-13.19M,-99.26M,,-28.27M,331.28M,,2001-09,-332.24M,15.06M,-317.18M,,,,,2001-09,,,-100.00M,-8.674M,-176.66M,-185.34M,,,,-9.181M,0.06M,-294.46M,,2001-09,-280.36M,-0.413M,163.00M,,2001-09,,-8.674M,,-176.66M,,,,2001-09,,
2001-06,136.66M,,,74.45M,184.59M,10.95M,195.54M,195.54M,104.80M,,,,-2.00M,-24.61M,1.088M,41.76M,-14.42M,-2.806M,-140.74M,,-139.73M,369.72M,,2001-06,-672.76M,3.94M,-668.82M,,,,,2001-06,,,164.00M,7.674M,-0.337M,7.337M,,,,-8.819M,3.94M,166.46M,,2001-06,-132.64M,0.413M,477.82M,,2001-06,,7.674M,,-0.337M,,,,2001-06,,
2001-03,400.00M,,,-32.00M,183.00M,10.00M,193.00M,193.00M,82.00M,,,,2.00M,79.00M,7.00M,-24.00M,2.00M,-13.00M,61.00M,,112.00M,757.00M,,2001-03,-346.00M,22.00M,-324.00M,,,,,2001-03,,,-56.00M,32.00M,-13.00M,19.00M,,,,-9.00M,-4.00M,-50.00M,,2001-03,383.00M,-1.00M,610.00M,,2001-03,,32.00M,,-13.00M,,,,2001-03,,
2000-12,237.57M,,,122.47M,662.00M,41.00M,163.65M,163.65M,98.23M,,,,,-118.57M,11.02M,,-17.84M,28.78M,-69.70M,,-166.31M,455.61M,,2000-12,-332.03M,44.36M,-287.67M,,,-7.00M,,2000-12,,,-156.98M,13.56M,-0.301M,13.26M,,,,-9.619M,-1.198M,-154.54M,,2000-12,19.41M,0.112M,194.00M,,2000-12,,13.56M,,-0.301M,,,,2000-12,,
2000-09,164.91M,,,-8.44M,-337.50M,-18.75M,183.10M,183.10M,55.75M,,,,,-22.85M,-11.22M,14.16M,49.36M,-16.75M,58.92M,,71.63M,466.95M,,2000-09,-228.95M,13.58M,-215.37M,,,-0.186M,,2000-09,,,-356.93M,23.41M,-0.099M,23.31M,,,,-8.85M,-43.20M,-385.67M,,2000-09,-134.28M,-0.348M,178.65M,,2000-09,,23.41M,,-0.099M,,,,2000-09,,
2000-06,197.43M,,,2.58M,337.50M,18.75M,238.39M,238.39M,85.78M,,,,,-110.61M,-3.461M,-14.16M,24.92M,-9.269M,73.48M,,-39.11M,485.07M,,2000-06,-600.47M,40.02M,-560.46M,,,0.09M,,2000-06,,,324.69M,27.84M,-10.60M,17.24M,,,,-6.78M,-2.079M,333.07M,,2000-06,257.78M,-0.297M,313.27M,,2000-06,,27.84M,,-10.60M,,,,2000-06,,
2000-03,61.09M,,,2.386M,,,117.86M,117.86M,17.25M,,,,,-19.97M,-1.347M,,21.56M,0.242M,-17.70M,,-17.21M,181.37M,,2000-03,-118.56M,3.048M,-115.51M,,,0.096M,,2000-03,,,-182.78M,11.19M,,11.19M,,,,-6.751M,-4.522M,-182.87M,,2000-03,-116.91M,-0.467M,49.79M,,2000-03,,11.19M,,,,,,2000-03,,
1999-12,74.86M,,,16.70M,,,167.20M,167.20M,34.68M,,,,,-39.50M,-5.978M,,-5.002M,-12.09M,-110.06M,,-176.63M,116.81M,,1999-12,-192.27M,49.48M,-142.79M,18.09M,,0.363M,,1999-12,,,-255.60M,30.45M,-11.40M,19.05M,,,,-6.395M,11.93M,-231.01M,,1999-12,-238.54M,0.838M,173.00M,,1999-12,,30.45M,,-11.40M,,,,1999-12,,
1999-09,-247.06M,,,461.10M,,,186.50M,186.50M,-119.48M,,,,0.10M,-53.80M,-3.222M,,-10.10M,-29.01M,144.26M,,48.13M,329.29M,,1999-09,-550.83M,59.62M,-491.21M,-18.09M,,0.037M,,1999-09,,,73.70M,495.35M,-0.60M,494.75M,,,,-4.705M,0.972M,564.71M,,1999-09,384.74M,0.062M,410.96M,,1999-09,,495.35M,,-0.60M,,,,1999-09,,
1999-06,16.20M,,,-5.60M,,,35.70M,35.70M,8.50M,,,,0.10M,-4.30M,0.20M,,-28.20M,1.10M,5.10M,,-26.10M,28.80M,,1999-06,-57.10M,-0.20M,-57.30M,,,0.50M,,1999-06,,,21.70M,8.50M,,8.50M,,,,-2.50M,0.70M,28.40M,,1999-06,0.40M,0.10M,14.00M,,1999-06,,8.50M,,,,,,1999-06,,
1999-03,6.00M,,,-3.20M,,,33.60M,33.60M,3.30M,,,,-0.20M,5.60M,,,20.30M,-1.00M,-7.30M,,17.60M,57.10M,,1999-03,-82.80M,5.10M,-77.70M,,,0.10M,,1999-03,,,15.20M,1.70M,,1.70M,,,,-2.40M,0.40M,14.90M,,1999-03,-5.60M,,13.50M,,1999-03,,1.70M,,,,,,1999-03,,
1998-12,-179.10M,,,427.00M,,,150.20M,150.20M,-97.60M,,,,-126.80M,14.30M,-2.80M,,-14.10M,8.40M,1.40M,1.20M,8.40M,182.10M,,1998-12,-464.40M,1.80M,-462.60M,,-1.00M,0.90M,,1998-12,,,310.00M,2.00M,-6.80M,-4.80M,,,,-7.30M,0.80M,298.70M,,1998-12,18.10M,0.40M,31.30M,,1998-12,,2.00M,,-6.80M,,,,1998-12,,
1998-09,-83.20M,,,8.30M,,,31.70M,31.70M,-37.80M,,,,127.00M,1.40M,-0.20M,,7.10M,0.20M,-3.70M,-1.20M,3.60M,49.60M,,1998-09,-76.90M,7.60M,-69.30M,,0.60M,-0.90M,,1998-09,,,4.90M,1.20M,-4.80M,-3.60M,,,,3.20M,0.40M,4.90M,,1998-09,-15.10M,-0.80M,7.20M,,1998-09,,1.20M,,-4.80M,,,,1998-09,,
1998-06,12.20M,,,6.60M,,,31.20M,31.20M,6.20M,,,,-0.20M,2.40M,0.80M,,-28.90M,0.80M,-0.10M,,-25.00M,31.00M,,1998-06,-68.80M,23.00M,-45.80M,,2.40M,-2.00M,,1998-06,,,-7.90M,0.80M,,0.80M,,,,-1.60M,0.40M,-8.30M,,1998-06,-22.70M,0.10M,23.10M,,1998-06,,0.80M,,,,,,1998-06,,
