,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,632.00M,0.00,,-162.00M,-3.00M,-182.00M,776.00M,,776.00M,776.00M,43.00M,0.00,40.00M,,21.00M,-75.00M,-1.156B,-84.00M,618.00M,,-162.00M,-838.00M,492.00M,,2020-10,-719.00M,,-719.00M,0.00,,-700.00M,,2020-10,20.00M,,20.00M,11.00M,-320.00M,-309.00M,-141.00M,-141.00M,-2.00M,,2020-10,2.82B,-640.00M,2.18B,,2020-10,11.00M,33.00M,-13.00M,-320.00M,101.00M,,2020-10,AOR,
2020-07,820.00M,0.00,,-368.00M,-4.00M,-367.00M,760.00M,,760.00M,760.00M,100.00M,,44.00M,,36.00M,27.00M,-71.00M,5.00M,-93.00M,,-161.00M,-233.00M,1.16B,,2020-07,-645.00M,,-645.00M,0.00,,-659.00M,,2020-07,-14.00M,,-14.00M,30.00M,-247.00M,-217.00M,-126.00M,-126.00M,-50.00M,,2020-07,2.726B,94.00M,2.82B,,2020-07,30.00M,0.00,-14.00M,-247.00M,185.00M,,2020-07,AOR,
2020-04,1.212B,0.00,,-422.00M,-5.00M,-439.00M,1.018B,,1.018B,1.018B,76.00M,,63.00M,,139.00M,90.00M,756.00M,100.00M,950.00M,,-141.00M,2.176B,4.245B,,2020-04,-698.00M,,-698.00M,0.00,,-689.00M,,2020-04,-660.00M,,-660.00M,57.00M,-422.00M,-365.00M,-128.00M,-128.00M,-76.00M,,2020-04,399.00M,2.327B,2.726B,,2020-04,57.00M,504.00M,-1.164B,-422.00M,188.00M,,2020-04,AOR,
2020-01,319.00M,412.00M,,9.00M,7.00M,420.00M,801.00M,,801.00M,801.00M,-10.00M,-118.00M,38.00M,,-72.00M,-129.00M,285.00M,-244.00M,-463.00M,,-162.00M,-762.00M,616.00M,,2020-01,-765.00M,,-765.00M,0.00,,-787.00M,,2020-01,573.00M,,573.00M,23.00M,-431.00M,-408.00M,-130.00M,-130.00M,-10.00M,,2020-01,545.00M,-146.00M,399.00M,,2020-01,23.00M,1.102B,-529.00M,-431.00M,116.00M,,2020-01,AOR,
2019-10,143.00M,0.00,,-105.00M,10.00M,-88.00M,772.00M,,772.00M,772.00M,3.00M,238.00M,28.00M,,45.00M,49.00M,-910.00M,-52.00M,794.00M,,-164.00M,-370.00M,771.00M,,2019-10,-782.00M,,-782.00M,0.00,,-785.00M,,2019-10,58.00M,,58.00M,14.00M,-11.00M,3.00M,-130.00M,-130.00M,-1.00M,,2019-10,629.00M,-84.00M,545.00M,,2019-10,14.00M,8.00M,50.00M,-11.00M,101.00M,,2019-10,AOR,Restated
2019-07,287.00M,0.00,,45.00M,11.00M,-44.00M,740.00M,,740.00M,740.00M,24.00M,,41.00M,,37.00M,11.00M,150.00M,65.00M,-33.00M,,-167.00M,-76.00M,1.009B,,2019-07,-680.00M,,-680.00M,1.00M,,-575.00M,,2019-07,-68.00M,,-68.00M,6.00M,-8.00M,-2.00M,-113.00M,-113.00M,-31.00M,,2019-07,409.00M,220.00M,629.00M,,2019-07,6.00M,44.00M,-112.00M,-8.00M,191.00M,,2019-07,AOR,Restated
2019-04,763.00M,-176.00M,,-106.00M,11.00M,-328.00M,976.00M,,976.00M,976.00M,-73.00M,,48.00M,,281.00M,33.00M,124.00M,201.00M,346.00M,,-146.00M,601.00M,2.268B,,2019-04,-901.00M,,-901.00M,326.00M,,-464.00M,,2019-04,-1.704B,,-1.704B,12.00M,-15.00M,-3.00M,-113.00M,-113.00M,-4.00M,,2019-04,429.00M,-20.00M,409.00M,,2019-04,12.00M,9.00M,-1.713B,-15.00M,115.00M,,2019-04,AOR,Restated
2019-01,251.00M,0.00,,-76.00M,22.00M,-52.00M,581.00M,,581.00M,581.00M,-193.00M,56.00M,39.00M,,19.00M,-113.00M,247.00M,-219.00M,-307.00M,,0.00,-270.00M,431.00M,,2019-01,-710.00M,-76.00M,-786.00M,0.00,235.00M,-556.00M,,2019-01,254.00M,,254.00M,10.00M,-14.00M,-4.00M,-113.00M,-113.00M,-12.00M,,2019-01,429.00M,0.00,429.00M,,2019-01,10.00M,1.203B,-949.00M,-14.00M,190.00M,,2019-01,AOR,Restated
2018-10,308.00M,0.00,,100.00M,16.00M,116.00M,569.00M,,569.00M,569.00M,56.00M,0.00,34.00M,,-176.00M,-22.00M,-853.00M,-66.00M,642.00M,,0.00,-434.00M,473.00M,,2018-10,-770.00M,76.00M,-694.00M,0.00,0.00,-758.00M,,2018-10,468.00M,,468.00M,15.00M,-17.00M,-2.00M,-113.00M,-113.00M,0.00,,2018-10,361.00M,68.00M,429.00M,,2018-10,15.00M,17.00M,451.00M,-17.00M,112.00M,,2018-10,AOR,Restated
2018-07,501.00M,-11.00M,,-216.00M,11.00M,-216.00M,574.00M,,574.00M,574.00M,75.00M,,36.00M,,44.00M,50.00M,118.00M,94.00M,-94.00M,,0.00,-122.00M,892.00M,,2018-07,-729.00M,,-729.00M,-170.00M,-392.00M,-1.221B,,2018-07,145.00M,,145.00M,30.00M,-170.00M,-140.00M,-101.00M,-101.00M,95.00M,,2018-07,691.00M,-330.00M,361.00M,,2018-07,30.00M,6.00M,139.00M,-170.00M,188.00M,,2018-07,AOR,Restated
