,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,SECFilingLinks,AsOriginallyReported,Restated
2007-04,,150.00M,38.00M,188.00M,719.00M,,719.00M,5.166B,4.696B,254.00M,590.00M,6.447B,,,,,,,,21.11B,-9.203B,11.91B,2.12B,,2.12B,522.00M,14.55B,21.00B,,2007-04,718.00M,4.582B,,,1.414B,,1.414B,170.00M,170.00M,,1.836B,8.002B,5.177B,,5.177B,295.00M,295.00M,,,2.262B,7.734B,15.74B,943.00M,5.789B,2.91B,4.135B,-247.00M,2007-04,,
2007-01,,157.00M,32.00M,189.00M,778.00M,,778.00M,5.059B,4.609B,265.00M,914.00M,6.755B,0.00,1.69B,9.623B,8.255B,592.00M,822.00M,,20.98B,-9.203B,11.78B,2.192B,,2.192B,489.00M,14.46B,21.22B,,2007-01,796.00M,4.60B,,,906.00M,,906.00M,,268.00M,268.00M,1.807B,7.581B,6.154B,,6.154B,722.00M,722.00M,,,1.835B,8.711B,16.29B,937.00M,5.501B,2.755B,4.011B,-259.00M,2007-01,,
2006-10,,141.00M,,141.00M,718.00M,,718.00M,5.421B,4.968B,250.00M,596.00M,6.673B,,,,,,,,19.97B,-8.421B,11.55B,2.192B,,2.192B,503.00M,14.25B,20.92B,,2006-10,705.00M,4.552B,,,814.00M,,814.00M,,217.00M,217.00M,2.006B,7.589B,6.147B,,6.147B,778.00M,778.00M,,,1.796B,8.721B,16.31B,934.00M,5.162B,2.658B,3.905B,-238.00M,2006-10,,
2006-07,,803.00M,542.00M,1.345B,709.00M,,709.00M,4.851B,4.428B,301.00M,,6.783B,,,,,,,,19.85B,-8.421B,11.43B,2.192B,,2.192B,499.00M,14.12B,20.90B,,2006-07,686.00M,4.315B,,,814.00M,,814.00M,,217.00M,217.00M,2.195B,7.541B,6.145B,,6.145B,809.00M,809.00M,,,1.755B,8.709B,16.25B,933.00M,4.994B,2.628B,3.672B,-228.00M,2006-07,,
2006-04,,659.00M,,659.00M,696.00M,,696.00M,4.855B,4.445B,311.00M,545.00M,6.656B,,,,,,,,19.82B,-8.421B,11.40B,2.192B,,2.192B,485.00M,14.08B,20.74B,,2006-04,635.00M,4.199B,,,743.00M,,743.00M,,217.00M,217.00M,1.95B,7.109B,6.443B,,6.443B,834.00M,834.00M,,,1.745B,9.022B,16.13B,931.00M,4.832B,2.599B,3.533B,-225.00M,2006-04,,
2006-01,,210.00M,488.00M,698.00M,680.00M,6.00M,686.00M,4.886B,4.486B,296.00M,300.00M,6.466B,0.00,1.675B,9.059B,7.98B,561.00M,511.00M,,19.79B,-8.421B,11.36B,,2.192B,2.192B,459.00M,14.02B,20.48B,,2006-01,742.00M,4.292B,,,554.00M,,554.00M,,217.00M,217.00M,1.652B,6.715B,6.678B,,6.678B,843.00M,843.00M,,,1.856B,9.377B,16.09B,927.00M,4.573B,2.536B,3.403B,-243.00M,2006-01,,
2005-10,,237.00M,562.00M,799.00M,664.00M,,664.00M,5.186B,4.786B,226.00M,98.00M,6.573B,,,,,,,,19.09B,-7.706B,11.38B,,2.192B,2.192B,431.00M,14.00B,20.58B,,2005-10,,3.763B,,,639.00M,,639.00M,,267.00M,267.00M,2.548B,7.217B,6.621B,,6.621B,879.00M,879.00M,,,1.777B,9.277B,16.49B,926.00M,4.211B,2.494B,3.349B,-199.00M,2005-10,,
2005-07,,379.00M,510.00M,889.00M,641.00M,,641.00M,4.642B,4.25B,264.00M,,6.044B,,,,,,,,19.14B,-7.706B,11.44B,,2.192B,2.192B,417.00M,14.04B,20.09B,,2005-07,649.00M,4.07B,,,295.00M,,295.00M,,267.00M,267.00M,1.875B,6.507B,6.926B,,6.926B,911.00M,911.00M,,,1.849B,9.686B,16.19B,924.00M,4.026B,2.482B,3.337B,-200.00M,2005-07,,
2005-04,,135.00M,521.00M,656.00M,616.00M,,616.00M,,4.676B,272.00M,-348.00M,5.872B,,,,,,,,19.17B,-7.706B,11.47B,,2.192B,2.192B,394.00M,14.05B,19.92B,,2005-04,570.00M,4.015B,,,71.00M,,71.00M,,267.00M,267.00M,1.676B,6.029B,7.433B,,7.433B,919.00M,919.00M,,,1.837B,10.19B,16.22B,921.00M,3.835B,2.448B,3.297B,-201.00M,2005-04,,
2005-01,,144.00M,506.00M,650.00M,661.00M,167.00M,828.00M,4.729B,4.356B,572.00M,,6.406B,0.00,1.58B,8.779B,7.797B,506.00M,541.00M,,19.20B,-7.706B,11.50B,,2.191B,2.191B,397.00M,14.08B,20.49B,,2005-01,659.00M,4.437B,,,71.00M,,71.00M,,267.00M,267.00M,1.541B,6.316B,7.90B,,7.90B,939.00M,939.00M,,,1.796B,10.64B,16.95B,918.00M,3.541B,2.432B,3.149B,-202.00M,2005-01,,
2004-10,,130.00M,567.00M,697.00M,644.00M,,644.00M,,4.63B,227.00M,-1.00M,6.197B,,,,,,,,18.69B,-7.247B,11.44B,,3.138B,3.138B,311.00M,14.89B,21.09B,,2004-10,584.00M,4.49B,,,207.00M,,207.00M,,138.00M,138.00M,1.573B,6.408B,7.613B,,7.613B,1.133B,1.133B,,,1.60B,10.35B,16.75B,917.00M,4.217B,2.406B,3.079B,-124.00M,2004-10,,
2004-07,,127.00M,496.00M,623.00M,607.00M,,607.00M,,4.071B,261.00M,,5.562B,,,,,,,,18.58B,-7.247B,11.33B,,3.139B,3.139B,249.00M,14.72B,20.28B,,2004-07,559.00M,4.16B,,,256.00M,,256.00M,,138.00M,138.00M,1.586B,6.14B,7.299B,,7.299B,1.092B,1.092B,,,1.484B,9.875B,16.02B,916.00M,4.072B,2.401B,2.996B,-124.00M,2004-07,,
2004-04,,143.00M,493.00M,636.00M,629.00M,,629.00M,,4.229B,344.00M,,5.838B,,,,,,,,18.50B,-7.247B,11.26B,,3.132B,3.132B,251.00M,14.64B,20.48B,,2004-04,541.00M,4.176B,,,255.00M,,255.00M,,203.00M,203.00M,1.412B,6.046B,7.757B,,7.757B,1.035B,1.035B,,,1.499B,10.29B,16.34B,916.00M,3.93B,2.394B,2.976B,-124.00M,2004-04,,
2004-01,,159.00M,579.00M,738.00M,674.00M,66.00M,740.00M,4.493B,4.169B,551.00M,,6.198B,0.00,2.054B,7.99B,7.745B,,636.00M,,18.42B,-7.247B,11.18B,,3.134B,3.134B,253.00M,14.56B,20.76B,,2004-01,547.00M,4.184B,,,248.00M,,248.00M,,138.00M,138.00M,1.595B,6.165B,8.116B,,8.116B,974.00M,974.00M,,,1.524B,10.61B,16.78B,913.00M,3.641B,2.382B,2.827B,-124.00M,2004-01,,
2003-10,,135.00M,,135.00M,623.00M,,623.00M,,4.474B,248.00M,,5.48B,,,,,,,,18.14B,-6.881B,11.26B,,3.578B,3.578B,295.00M,15.13B,20.61B,,2003-10,,3.219B,,,106.00M,,106.00M,,,,2.336B,5.661B,8.321B,,8.321B,,,,,2.368B,10.69B,16.35B,912.00M,4.004B,2.349B,2.826B,-181.00M,2003-10,,
2003-07,,406.00M,,406.00M,581.00M,,581.00M,,4.022B,277.00M,,5.286B,,,,,,,,17.84B,-6.881B,10.96B,,3.574B,3.574B,302.00M,14.84B,20.12B,,2003-07,577.00M,3.633B,,,72.00M,,72.00M,,,,1.763B,5.468B,8.098B,,8.098B,,,,,2.369B,10.47B,15.94B,910.00M,3.894B,2.33B,2.764B,-182.00M,2003-07,,
2003-04,,156.00M,,156.00M,589.00M,,589.00M,,4.209B,320.00M,,5.274B,,,,,,,,17.70B,-6.881B,10.82B,,3.575B,3.575B,334.00M,14.73B,20.00B,,2003-04,,3.222B,,,69.00M,,69.00M,,,,2.046B,5.337B,8.202B,,8.202B,,,,,2.387B,10.59B,15.93B,909.00M,3.704B,2.321B,2.655B,-201.00M,2003-04,,
2003-01,,171.00M,,171.00M,677.00M,,677.00M,,4.175B,543.00M,,5.566B,0.00,1.357B,3.947B,7.583B,3.74B,802.00M,,17.43B,-6.881B,10.55B,,3.575B,3.575B,413.00M,14.54B,20.10B,,2003-01,571.00M,3.849B,,,352.00M,,352.00M,,,,1.407B,5.608B,8.222B,,8.222B,,,,,2.422B,10.64B,16.25B,908.00M,3.352B,2.317B,2.521B,-206.00M,2003-01,,
2002-10,,137.00M,,137.00M,678.00M,,678.00M,,4.637B,215.00M,,5.667B,,,,,,,,16.39B,-6.02B,10.37B,,3.566B,3.566B,411.00M,14.34B,20.01B,,2002-10,,3.616B,,,417.00M,,417.00M,,,,2.151B,6.184B,8.205B,,8.205B,,,,,1.851B,10.06B,16.24B,906.00M,3.028B,2.277B,2.408B,-33.00M,2002-10,,
2002-07,,167.00M,,167.00M,604.00M,,604.00M,,4.076B,300.00M,,5.147B,,,,,,,,16.25B,-6.02B,10.23B,,3.566B,3.566B,359.00M,14.15B,19.30B,,2002-07,524.00M,3.817B,,,437.00M,,437.00M,,,,1.525B,5.779B,7.913B,,7.913B,,,,,1.878B,9.791B,15.57B,905.00M,2.773B,2.271B,2.188B,-33.00M,2002-07,,
2002-04,,185.00M,,185.00M,641.00M,,641.00M,,4.193B,324.00M,,5.343B,,,,,,,,16.05B,-6.02B,10.03B,,3.572B,3.572B,313.00M,13.92B,19.26B,,2002-04,540.00M,3.806B,,,455.00M,,455.00M,,,,1.43B,5.691B,7.961B,,7.961B,,,,,1.818B,9.779B,15.47B,904.00M,2.509B,2.256B,1.847B,-31.00M,2002-04,,
2002-01,,161.00M,,161.00M,679.00M,,679.00M,,4.178B,494.00M,,5.512B,0.00,1.241B,6.214B,6.931B,501.00M,790.00M,,15.68B,-6.02B,9.657B,,3.594B,3.594B,306.00M,13.56B,19.07B,,2002-01,584.00M,3.589B,,,436.00M,,436.00M,,,,1.46B,5.485B,8.394B,,8.394B,,,,,1.688B,10.08B,15.57B,901.00M,2.147B,2.217B,1.73B,-33.00M,2002-01,,
2001-10,,143.00M,,143.00M,685.00M,,685.00M,,4.568B,275.00M,,5.671B,,,,,,,,14.94B,-5.421B,9.522B,,3.618B,3.618B,326.00M,13.47B,19.14B,,2001-10,,3.447B,,,389.00M,,389.00M,,,,2.176B,6.012B,8.273B,,8.273B,,,,,1.647B,9.92B,15.93B,900.00M,1.796B,2.12B,1.611B,,2001-10,,
2001-07,,137.00M,,137.00M,649.00M,,649.00M,,4.039B,331.00M,,5.156B,,,,,,,,14.85B,-5.421B,9.429B,3.625B,,3.625B,317.00M,13.37B,18.53B,,2001-07,536.00M,3.654B,350.00M,,350.00M,,350.00M,,,,1.621B,5.625B,8.212B,,8.212B,,,,,1.472B,9.684B,15.31B,898.00M,1.663B,2.14B,1.483B,,2001-07,,
2001-04,,160.00M,,160.00M,672.00M,,672.00M,,4.206B,440.00M,,5.478B,,,,,,,,14.51B,-5.421B,9.092B,3.645B,,3.645B,332.00M,13.07B,18.55B,,2001-04,553.00M,3.688B,330.00M,,330.00M,,330.00M,,,,1.487B,5.505B,8.49B,,8.49B,,,,,1.429B,9.919B,15.42B,896.00M,1.408B,2.124B,1.305B,,2001-04,,
2001-01,,161.00M,,161.00M,687.00M,,687.00M,,4.063B,,501.00M,5.412B,0.00,14.23B,,,,,,14.23B,-5.421B,8.813B,3.639B,,3.639B,315.00M,12.77B,18.18B,,2001-01,603.00M,3.612B,336.00M,,336.00M,,336.00M,,,,1.434B,5.382B,8.21B,,8.21B,,,,,1.498B,9.708B,15.09B,891.00M,1.104B,2.092B,998.00M,,2001-01,,
2000-10,,131.00M,,131.00M,,,618.00M,,4.412B,,197.00M,5.358B,,,,,,,,13.97B,-5.275B,8.698B,,3.707B,3.707B,343.00M,12.75B,18.11B,,2000-10,,3.274B,,,309.00M,,309.00M,,,,2.402B,5.985B,7.746B,,7.746B,,,,,1.529B,9.275B,15.26B,889.00M,755.00M,2.073B,871.00M,,2000-10,,
2000-07,,155.00M,,155.00M,,,573.00M,,3.795B,,261.00M,4.784B,,,,,,,,13.68B,-5.149B,8.534B,,3.726B,3.726B,311.00M,12.57B,17.36B,,2000-07,,2.911B,,,586.00M,,586.00M,,,,2.366B,5.863B,7.222B,,7.222B,,,,,1.531B,8.753B,14.62B,888.00M,557.00M,2.061B,767.00M,,2000-07,,
2000-04,,163.00M,,163.00M,,,608.00M,,3.903B,,435.00M,5.109B,,,,,,,,13.34B,-4.976B,8.36B,,3.725B,3.725B,426.00M,12.51B,17.62B,,2000-04,,3.047B,,,570.00M,,570.00M,,,,2.205B,5.822B,7.619B,,7.619B,,,,,1.575B,9.194B,15.02B,888.00M,338.00M,2.044B,666.00M,,2000-04,,
2000-01,,281.00M,,281.00M,,,636.00M,,3.938B,,690.00M,5.545B,,,,,,,,13.03B,-4.767B,8.266B,,3.718B,3.718B,403.00M,12.39B,17.93B,,2000-01,,2.773B,,,591.00M,,591.00M,,,,2.30B,5.664B,8.422B,,8.422B,,,,,1.168B,9.59B,15.25B,885.00M,227.00M,2.023B,457.00M,,2000-01,,
1999-10,,283.00M,,283.00M,,,620.00M,,4.276B,,418.00M,5.597B,,,,,,,,12.72B,-4.665B,8.058B,,3.80B,3.80B,483.00M,12.34B,17.94B,,1999-10,,3.292B,,,530.00M,,530.00M,,,,2.477B,6.299B,7.863B,,7.863B,,,,,1.368B,9.231B,15.53B,884.00M,-12.00M,1.986B,450.00M,,1999-10,,
1999-07,,304.00M,,304.00M,,,544.00M,,3.666B,,550.00M,5.064B,,,,,,,,12.19B,-4.524B,7.663B,,3.808B,3.808B,507.00M,11.98B,17.04B,,1999-07,,2.981B,,,280.00M,,280.00M,,,,2.406B,5.667B,7.713B,,7.713B,,,,,1.413B,9.126B,14.79B,880.00M,-143.00M,1.963B,451.00M,,1999-07,,
1999-04,,68.00M,,68.00M,,,379.00M,,1.734B,,374.00M,2.555B,,,,,,,,7.126B,-3.197B,3.929B,,,,250.00M,4.179B,6.734B,,1999-04,,1.673B,,,49.00M,,49.00M,,,,1.298B,3.02B,3.212B,,3.212B,204.00M,204.00M,,,462.00M,3.878B,6.898B,,-573.00M,,,,1999-04,,
1998-12,,299.00M,,299.00M,,,587.00M,,3.493B,,692.00M,5.071B,,,,,,,,11.40B,-4.178B,7.22B,,3.847B,3.847B,503.00M,11.57B,16.64B,,1998-12,,2.926B,,,311.00M,,311.00M,,,,2.213B,5.45B,7.848B,,7.848B,,,,,1.426B,9.274B,14.72B,876.00M,-421.00M,1.913B,451.00M,,1998-12,,
1998-09,,74.80M,,74.80M,,,381.80M,,1.706B,,186.70M,2.349B,,,,,,,,6.716B,-3.072B,3.644B,,,,474.90M,4.119B,6.468B,,1998-09,,1.685B,,,165.00M,,165.00M,,,,1.288B,3.138B,3.314B,,3.314B,146.60M,146.60M,,,472.80M,3.934B,7.071B,,-924.70M,,,,1998-09,,
1998-06,,61.70M,,61.70M,,,385.90M,,1.570B,,271.20M,2.289B,,,,,,,,6.474B,-3.000B,3.474B,,,,392.70M,3.866B,6.155B,,1998-06,,1.636B,,,152.40M,,152.40M,,,,1.262B,3.050B,3.140B,,3.140B,166.30M,166.30M,,,466.80M,3.773B,6.823B,,-1.043B,,,,1998-06,,
1998-03,,59.30M,,59.30M,,,377.00M,,1.719B,,335.40M,2.490B,,,,,,,,6.325B,-2.947B,3.378B,,,,373.40M,3.752B,6.242B,,1998-03,,1.527B,,,24.80M,,24.80M,,,,1.216B,2.768B,3.531B,,3.531B,162.80M,162.80M,,,471.00M,4.165B,6.933B,,-1.081B,,,,1998-03,,
