,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-06,134.70M,18.76B,18.89B,4.522B,,4.522B,178.00M,23.59B,1.084B,449.40M,463.80M,913.20M,22.38B,,24.71B,31.96B,2.706B,0.00,,2.706B,2.706B,1.931B,,1.931B,1.931B,4.637B,733.40M,733.40M,140.70M,140.70M,10.67B,7.470B,466.80M,19.49B,24.12B,581.90M,5.031B,1.265B,,,970.10M,-1.10M,-11.20M,957.80M,7.836B
2016-03,209.90M,17.79B,18.00B,4.379B,,4.379B,216.70M,22.60B,1.062B,447.60M,479.40M,927.00M,21.33B,,23.65B,30.72B,2.451B,0.00,,2.451B,2.451B,1.930B,,1.930B,1.930B,4.382B,771.20M,771.20M,113.90M,113.90M,10.29B,7.141B,467.40M,18.78B,23.16B,583.00M,4.878B,1.231B,,,878.50M,-1.00M,-9.50M,868.00M,7.560B
2015-12,224.10M,17.50B,17.73B,3.988B,,3.988B,199.30M,21.92B,1.037B,447.60M,494.90M,942.50M,20.94B,,23.25B,29.82B,2.068B,519.20M,,2.587B,2.587B,,,,,2.587B,2.708B,2.708B,109.30M,109.30M,10.04B,6.622B,464.90M,19.94B,22.53B,583.60M,4.687B,1.219B,,,809.00M,-1.50M,-7.10M,800.40M,7.289B
2015-09,194.50M,17.75B,17.95B,4.140B,,4.140B,221.70M,22.31B,1.024B,446.40M,510.50M,956.90M,21.01B,,23.27B,29.94B,2.431B,0.00,,2.431B,2.431B,,,,,2.431B,2.714B,2.714B,85.70M,85.70M,9.827B,6.972B,442.90M,20.04B,22.47B,584.60M,4.911B,1.197B,,,777.40M,-1.50M,-6.70M,769.20M,7.462B
2015-06,263.80M,17.26B,17.52B,3.867B,,3.867B,233.00M,21.62B,1.019B,472.90M,526.00M,998.90M,20.58B,,22.87B,29.30B,2.253B,0.00,,2.253B,2.253B,,,,,2.253B,2.739B,2.739B,176.00M,176.00M,9.701B,6.642B,433.40M,19.69B,21.94B,585.90M,4.695B,1.177B,,,907.50M,-0.80M,-4.70M,902.00M,7.360B
2015-03,101.50M,16.49B,16.59B,3.777B,,3.777B,99.30M,20.46B,957.50M,,,,19.83B,,21.08B,26.88B,2.166B,0.00,,2.166B,2.166B,,,,,2.166B,2.560B,2.560B,97.20M,97.20M,9.002B,5.854B,,17.51B,19.68B,587.30M,4.369B,1.197B,,,1.057B,-0.80M,-7.20M,1.049B,7.202B
2014-12,108.40M,15.70B,15.81B,3.538B,,3.538B,85.30M,19.43B,960.60M,1.60M,11.30M,12.90M,19.02B,,20.28B,25.79B,1.894B,404.10M,,2.298B,2.298B,,,,,2.298B,2.165B,2.165B,98.90M,98.90M,8.857B,5.440B,0.00,16.56B,18.86B,587.80M,4.133B,1.184B,,,1.022B,-0.30M,1.50M,1.023B,6.929B
2014-09,90.60M,15.94B,16.03B,3.706B,,3.706B,92.30M,19.83B,954.00M,,,,19.08B,0.00,20.30B,25.93B,2.264B,0.00,,2.264B,2.264B,0.00,,0.00,0.00,2.264B,2.164B,2.164B,57.40M,57.40M,8.728B,5.777B,,16.73B,18.99B,589.20M,4.204B,1.170B,,,970.20M,0.70M,1.80M,972.70M,6.935B
2014-06,126.10M,15.62B,15.74B,3.566B,,3.566B,89.80M,19.40B,952.50M,,,,18.76B,0.00,19.97B,25.45B,2.134B,0.00,,2.134B,2.134B,0.00,,0.00,0.00,2.134B,2.208B,2.208B,98.80M,98.80M,8.640B,5.583B,,16.53B,18.66B,591.50M,3.990B,1.169B,,,1.035B,1.10M,2.50M,1.039B,6.789B
2014-03,96.70M,14.38B,14.48B,3.516B,,3.516B,81.80M,18.07B,950.00M,,,,17.40B,0.00,18.96B,24.32B,1.912B,0.00,,1.912B,1.912B,0.00,,0.00,0.00,1.912B,1.861B,1.861B,51.10M,51.10M,8.593B,5.460B,,15.97B,17.88B,593.10M,3.735B,1.159B,,,946.90M,0.60M,3.80M,951.30M,6.439B
2013-12,75.10M,14.81B,14.89B,3.311B,,3.311B,74.90M,18.27B,960.90M,,,,18.05B,,19.32B,24.41B,1.785B,890.20M,,2.675B,2.675B,,,,,2.675B,1.861B,1.861B,28.40M,28.40M,8.480B,5.174B,,15.54B,18.22B,595.80M,3.50B,1.142B,,,947.00M,0.60M,4.10M,951.70M,6.190B
2013-09,100.90M,14.94B,15.04B,3.501B,,3.501B,82.60M,18.63B,955.30M,,,,18.00B,27.40M,19.20B,24.51B,1.918B,,,1.918B,1.918B,150.00M,,150.00M,150.00M,2.068B,1.861B,1.861B,,,8.310B,5.478B,,15.65B,17.72B,600.00M,4.199B,1.123B,,,865.40M,1.00M,4.50M,870.90M,6.793B
2013-06,96.90M,14.51B,14.60B,3.402B,,3.402B,79.60M,18.09B,950.60M,,,,17.49B,67.90M,18.67B,23.84B,1.844B,,,1.844B,1.844B,150.00M,,150.00M,150.00M,1.994B,1.914B,1.914B,,,8.086B,5.324B,,15.32B,17.32B,600.40M,4.00B,1.109B,,,807.60M,1.20M,5.40M,814.20M,6.524B
2013-03,110.20M,14.37B,14.48B,3.372B,,3.372B,72.80M,17.92B,935.90M,,,,17.30B,49.00M,18.45B,23.54B,1.934B,,,1.934B,1.934B,149.90M,,149.90M,149.90M,2.084B,1.914B,1.914B,,,7.948B,5.207B,,15.07B,17.15B,603.20M,3.72B,1.097B,,,961.90M,2.00M,5.80M,969.70M,6.390B
2012-12,179.10M,13.76B,13.94B,3.184B,,3.184B,66.30M,17.19B,933.70M,,,,16.48B,109.40M,17.73B,22.69B,1.684B,172.00M,,1.856B,1.856B,149.90M,,149.90M,149.90M,2.005B,1.913B,1.913B,,,7.838B,4.931B,,14.68B,16.69B,604.60M,3.454B,1.077B,,,862.70M,2.20M,6.10M,871.00M,6.007B
2012-09,192.20M,2.394B,2.586B,3.356B,,3.403B,72.80M,6.062B,918.20M,,,,17.18B,,18.33B,23.43B,,,,,1.848B,,,,,1.848B,2.063B,2.063B,,,7.760B,5.203B,,15.03B,16.87B,604.70M,3.996B,1.049B,,,903.00M,2.10M,,905.10M,6.555B
2012-06,165.50M,1.679B,1.845B,3.222B,,3.370B,71.10M,5.286B,914.30M,,,,16.61B,,17.72B,22.72B,,,,,1.782B,,,,,1.782B,2.063B,2.063B,,,7.573B,5.015B,,14.65B,16.43B,609.20M,3.794B,1.040B,,,841.00M,1.70M,,842.70M,6.287B
2012-03,156.00M,1.520B,1.676B,3.168B,,3.168B,70.00M,4.914B,916.40M,,,,16.40B,,17.52B,22.27B,1.710B,,11.30M,1.721B,1.721B,,,,,1.721B,2.08B,2.08B,,,7.337B,4.881B,,14.30B,16.02B,611.20M,3.715B,1.029B,,,892.50M,2.30M,,894.80M,6.250B
2011-12,155.70M,13.31B,13.47B,2.930B,,2.930B,69.80M,16.47B,911.30M,,,,15.96B,196.00M,17.14B,21.84B,1.771B,,,1.771B,1.771B,499.70M,,499.70M,499.70M,2.270B,1.942B,1.942B,,,7.246B,4.579B,,13.77B,16.04B,613.00M,3.495B,1.006B,,,682.80M,1.80M,7.90M,692.50M,5.807B
2011-09,170.30M,1.700B,1.87B,3.086B,,3.086B,81.80M,5.038B,910.90M,,,,15.99B,298.50M,17.15B,22.14B,,,,,1.797B,,,,,1.797B,2.444B,2.444B,,,7.257B,4.830B,,14.53B,16.33B,620.60M,3.632B,986.70M,,,574.60M,2.00M,,576.60M,5.816B
2011-06,149.70M,1.344B,1.493B,2.983B,,2.983B,86.70M,4.562B,917.10M,,,,16.03B,111.40M,17.15B,21.81B,,,,,1.652B,,,,,1.652B,1.959B,1.959B,,,7.143B,4.704B,,13.81B,15.46B,642.70M,3.836B,1.008B,,,861.30M,2.20M,,863.50M,6.350B
2011-03,155.50M,1.128B,1.284B,2.928B,,2.928B,86.70M,4.299B,927.40M,,,,15.78B,7.50M,17.03B,21.53B,,,,,1.586B,,,,,1.586B,1.959B,1.959B,,,7.074B,4.587B,,13.62B,15.21B,655.70M,3.839B,1.013B,,,810.80M,1.90M,,812.70M,6.321B
2010-12,158.90M,1.091B,1.250B,2.738B,,2.927B,88.10M,4.265B,932.60M,,,,15.52B,,16.71B,21.15B,,,,,1.718B,,,,,1.718B,1.958B,1.958B,,,7.071B,4.354B,,13.38B,15.10B,662.40M,3.596B,1.007B,,,767.30M,1.70M,14.70M,783.70M,6.049B
2010-06,153.80M,1.649B,1.803B,2.766B,,2.766B,74.40M,4.643B,947.70M,,,,15.83B,318.20M,16.96B,21.50B,,,,,1.556B,,,,,1.556B,2.178B,2.178B,,,6.886B,4.572B,,13.64B,15.19B,667.60M,4.098B,964.50M,,,574.00M,0.60M,,574.60M,6.305B
2010-03,155.10M,1.389B,1.544B,2.723B,,2.723B,72.60M,4.340B,956.30M,,,,15.56B,177.30M,16.71B,21.05B,,,,,1.483B,,,,,1.483B,2.178B,2.178B,,,6.724B,4.453B,,13.35B,14.84B,670.50M,3.942B,949.90M,,,647.10M,1.50M,,648.60M,6.212B
2009-12,160.70M,1.078B,1.239B,2.455B,,2.455B,69.30M,3.763B,961.30M,,,,14.71B,416.70M,15.87B,20.05B,,,,,1.298B,,,,,1.298B,2.177B,2.177B,,,6.653B,4.173B,,13.00B,14.30B,672.60M,3.683B,939.70M,,,430.20M,1.40M,21.60M,453.20M,5.749B
2009-09,172.50M,1.228B,1.400B,2.636B,,2.636B,68.40M,4.105B,974.10M,,,,14.67B,490.90M,15.81B,20.05B,,,,,1.529B,,,,,1.529B,2.177B,2.177B,,,6.352B,4.494B,,13.02B,14.55B,676.20M,3.562B,922.20M,,,336.10M,,,336.10M,5.496B
2009-06,160.70M,1.137B,1.298B,2.545B,,2.545B,62.60M,3.906B,989.90M,,,,13.61B,727.60M,14.75B,19.09B,,,,,1.408B,,,,,1.408B,2.176B,2.176B,,,6.199B,4.380B,,12.75B,14.16B,680.00M,3.353B,914.20M,,,-7.00M,,,-7.00M,4.925B
2009-03,134.50M,1.294B,1.428B,2.517B,,2.517B,60.80M,4.006B,997.50M,,,,12.77B,766.00M,13.91B,18.22B,,,,,1.368B,,,,,1.368B,2.176B,2.176B,,,6.077B,4.291B,,12.54B,13.91B,680.70M,2.925B,901.30M,,,-203.70M,,,-203.70M,4.303B
2008-12,2.90M,1.154B,1.156B,2.409B,,2.409B,62.40M,3.628B,997.10M,,,,12.98B,821.60M,14.13B,18.25B,,,,,1.506B,,,,,1.506B,2.176B,2.176B,,,6.177B,4.176B,,12.53B,14.04B,676.50M,2.698B,892.90M,,,-51.90M,0.00,,-51.90M,4.215B
2008-09,6.60M,733.80M,740.40M,2.585B,,2.585B,63.50M,3.389B,1.002B,,,,12.73B,724.50M,14.39B,18.64B,1.558B,,0.00,1.558B,1.558B,,,,,1.558B,2.175B,2.175B,,,6.146B,4.499B,,12.82B,14.38B,675.60M,2.541B,874.90M,,,169.50M,,,169.50M,4.261B
2008-06,9.90M,513.20M,523.10M,2.516B,,2.516B,63.10M,3.102B,1.003B,,,,13.98B,291.20M,15.16B,18.91B,1.53B,0.00,0.00,1.53B,1.53B,,,,,1.53B,2.175B,2.175B,,,6.001B,4.404B,,12.58B,14.11B,675.40M,3.225B,863.60M,,,41.70M,,,41.70M,4.806B
2008-03,8.50M,1.533B,1.542B,2.503B,,2.503B,66.90M,4.112B,1.001B,,,,13.88B,190.60M,15.39B,18.72B,1.533B,,0.00,1.533B,1.533B,,,,,1.533B,2.174B,2.174B,,,5.952B,4.308B,,12.43B,13.97B,677.50M,3.063B,846.30M,,,,,,162.80M,4.750B
2007-12,5.80M,382.40M,388.20M,2.395B,,2.395B,69.80M,2.853B,1.000B,,,,14.17B,106.00M,15.36B,18.84B,,,,,1.581B,,,,,1.581B,2.174B,2.174B,,,5.943B,4.210B,,12.33B,13.91B,680.20M,2.928B,834.80M,,,492.80M,,,492.80M,4.936B
2007-09,7.70M,374.10M,381.80M,2.614B,355.30M,2.969B,78.10M,3.429B,990.10M,,,,14.82B,0.00,16.01B,19.67B,1.578B,,50.90M,1.629B,1.629B,,,,,1.629B,2.174B,2.174B,,,5.921B,4.547B,,12.64B,14.32B,698.10M,3.110B,834.20M,,,,,,701.10M,5.344B
2007-06,14.00M,278.00M,292.00M,2.617B,380.50M,2.998B,84.80M,3.375B,987.40M,,,,16.18B,0.00,17.37B,21.07B,1.462B,,56.20M,1.519B,1.519B,,,,,1.519B,2.173B,2.173B,,,5.842B,4.533B,,12.55B,15.57B,724.10M,3.278B,853.30M,,,,,,647.30M,5.503B
2007-03,9.90M,594.30M,604.20M,2.633B,,2.633B,88.70M,3.326B,979.70M,,,,15.10B,0.00,16.67B,20.01B,1.401B,,143.30M,1.545B,1.545B,,,,,1.545B,1.186B,1.186B,,,5.720B,4.487B,,11.39B,13.08B,736.20M,4.715B,850.30M,,,,,,629.50M,6.931B
2006-12,5.60M,581.20M,586.80M,2.498B,,2.498B,89.50M,3.174B,973.40M,,,,14.69B,16.80M,16.30B,19.48B,,,,,,,,,,,,,,,5.725B,4.335B,,10.06B,12.64B,748.00M,4.647B,847.40M,,,,,,604.30M,6.847B
2006-09,14.50M,1.058B,1.072B,2.699B,,2.699B,98.10M,3.869B,941.60M,,,,14.85B,36.10M,16.37B,19.85B,,,,,1.564B,,,,,1.564B,1.185B,1.185B,,,5.724B,4.658B,,11.57B,13.13B,761.70M,4.587B,837.20M,,,,,,528.20M,6.714B
2006-06,17.60M,720.30M,737.90M,2.663B,,2.663B,103.80M,3.505B,902.70M,,,,14.67B,71.50M,16.14B,19.60B,1.674B,,0.00,1.674B,1.674B,,,,,1.674B,1.185B,1.185B,,,5.695B,4.627B,,11.51B,13.18B,775.20M,4.506B,827.80M,,,,,,313.20M,6.422B
2006-03,10.60M,708.50M,719.10M,2.640B,,2.640B,100.50M,3.459B,822.50M,,,,14.52B,0.00,15.91B,19.26B,1.469B,,48.30M,1.517B,1.517B,,,,,1.517B,1.285B,1.285B,,,5.632B,4.508B,,11.43B,12.94B,195.90M,4.938B,906.00M,,,,,,375.70M,6.316B
2005-12,5.60M,773.60M,779.20M,2.501B,,2.501B,103.70M,3.384B,758.70M,,,,14.27B,138.30M,15.57B,18.90B,,,,,1.511B,,,,,1.511B,1.285B,1.285B,,,5.660B,4.335B,,11.28B,12.79B,197.30M,4.726B,848.20M,,,,,,398.70M,6.108B
2005-09,6.90M,919.20M,926.10M,2.628B,,2.628B,114.60M,3.668B,695.80M,,,,14.53B,65.40M,15.74B,19.16B,1.746B,,0.00,1.746B,1.746B,,,,,1.746B,1.285B,1.285B,,,5.737B,4.576B,,11.60B,13.34B,197.10M,4.462B,830.60M,,,,,,390.00M,5.810B
2005-06,19.80M,2.267B,2.286B,2.522B,,2.522B,120.50M,4.929B,704.30M,,,,13.99B,,15.22B,18.46B,1.495B,,94.80M,1.590B,1.590B,,,,,1.590B,1.285B,1.285B,,,5.490B,4.504B,,11.28B,12.87B,197.70M,4.242B,818.80M,,,,,,407.80M,5.590B
2005-03,16.80M,1.043B,1.060B,2.469B,,2.469B,121.30M,3.650B,660.90M,,,,13.40B,,14.56B,17.72B,1.386B,,45.40M,1.431B,1.431B,,,,,1.431B,1.284B,1.284B,,,5.348B,4.364B,,11.00B,12.43B,199.60M,4.061B,805.80M,,,,,,310.00M,5.295B
2004-12,20.00M,1.377B,1.397B,2.287B,,2.287B,119.80M,3.804B,666.50M,,,,13.08B,0.00,14.22B,17.18B,1.325B,,26.00M,1.351B,1.351B,,,,,1.351B,1.284B,1.284B,,,5.286B,4.108B,,10.68B,12.03B,200.40M,3.813B,743.30M,,,,,,444.80M,5.155B
2004-09,34.50M,2.204B,2.239B,2.398B,295.30M,2.693B,125.90M,5.058B,674.60M,,,,14.32B,0.00,15.08B,18.50B,1.549B,,43.40M,1.592B,1.592B,,,,,1.592B,1.290B,1.290B,,,5.156B,4.326B,,10.77B,12.36B,217.00M,4.816B,789.50M,,,,-3.90M,364.60M,360.70M,6.131B
2004-06,22.00M,1.115B,1.137B,2.323B,,2.323B,129.30M,3.589B,647.90M,,,,13.67B,0.00,14.69B,17.72B,1.507B,,52.40M,1.560B,1.560B,,,,,1.560B,1.29B,1.29B,,,4.925B,4.221B,,10.44B,12.00B,217.30M,4.484B,777.30M,,,,-3.90M,304.80M,300.90M,5.721B
2004-03,23.10M,1.114B,1.137B,2.248B,,2.248B,120.10M,3.505B,616.00M,,,,13.25B,0.00,14.24B,17.16B,1.386B,,156.40M,1.542B,1.542B,,,,,1.542B,1.290B,1.290B,,,4.704B,4.084B,,10.08B,11.62B,217.50M,4.159B,755.30M,,,,-3.90M,479.00M,475.10M,5.542B
2003-12,12.10M,648.00M,660.10M,2.351B,,2.351B,114.70M,3.126B,584.70M,,,,12.53B,81.60M,13.21B,16.28B,1.290B,,0.00,1.290B,1.290B,,,,,1.290B,1.490B,1.490B,,,4.576B,3.895B,,9.961B,11.25B,216.40M,3.730B,688.30M,,,,,,425.00M,5.031B
2003-09,21.90M,633.50M,655.40M,2.152B,,2.152B,115.10M,2.923B,548.00M,,,,12.40B,33.90M,13.31B,16.16B,,,,,1.668B,,,,,1.668B,1.490B,1.490B,,,4.384B,4.029B,,9.902B,11.57B,216.10M,3.396B,679.10M,,,,-3.90M,333.60M,329.70M,4.590B
2003-06,17.90M,1.124B,1.142B,2.045B,241.90M,2.287B,116.60M,3.545B,525.40M,,,,11.77B,26.20M,12.35B,15.30B,,,,,1.426B,,,,,1.426B,1.489B,1.489B,,,4.152B,3.853B,,9.495B,10.92B,217.40M,3.180B,674.50M,,,,-4.80M,346.40M,341.60M,4.381B
2003-03,23.30M,828.30M,851.60M,1.939B,,1.939B,101.60M,2.892B,509.20M,,,,10.66B,163.40M,11.46B,14.15B,,,,,1.212B,,,,,1.212B,1.489B,1.489B,,,3.909B,3.590B,,8.988B,10.20B,217.00M,2.988B,607.40M,,,,-4.80M,145.50M,140.70M,3.954B
2002-12,16.90M,567.80M,584.70M,1.743B,,1.743B,96.70M,2.424B,503.10M,,,,10.28B,,11.27B,13.56B,,,,,1.190B,,,,,1.190B,1.489B,1.489B,,,3.813B,3.304B,,8.606B,9.796B,218.00M,2.796B,584.70M,,,,,,169.30M,3.768B
2002-09,17.60M,565.10M,582.70M,1.795B,205.40M,2.000B,95.40M,2.679B,498.10M,,,,9.565B,209.10M,10.11B,12.88B,,,,,1.257B,,,,,1.257B,1.096B,1.096B,,,3.632B,3.362B,,8.090B,9.347B,217.70M,2.649B,578.00M,,,,-4.80M,97.60M,92.80M,3.538B
2002-06,14.90M,449.30M,464.20M,1.734B,201.20M,1.935B,96.20M,2.496B,498.30M,,,,9.31B,152.40M,9.852B,12.50B,,,,,1.391B,,,,,1.391B,1.096B,1.096B,,,3.437B,3.194B,,7.727B,9.118B,218.30M,2.517B,573.30M,8.80M,,,-4.80M,75.60M,70.80M,3.380B
