,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-04,237.52M,0.00,-0.253M,10.00M,-13.49M,-3.738M,38.21M,2.979M,41.19M,41.19M,-5.63M,,4.052M,,2.429M,17.51M,-37.84M,-4.495M,-111.24M,,,-136.66M,139.16M,,2018-04,-87.47M,5.688M,-81.78M,0.429M,0.188M,-81.16M,,2018-04,0.037M,-70.00M,-69.96M,-19.54M,-19.54M,-99.32M,-99.32M,6.523M,,,2018-04,385.78M,-124.30M,261.57M,,2018-04,-70.00M,0.037M,-19.54M,,AOR,Restated
2018-01,303.21M,,-1.131M,0.023M,-23.53M,-24.64M,35.87M,3.256M,39.12M,39.12M,-68.86M,,7.339M,,-10.88M,69.63M,-21.26M,0.569M,7.804M,,,58.88M,304.18M,,2018-01,-53.69M,0.751M,-52.94M,-858.10M,5.746M,-905.30M,,2018-01,374.73M,255.00M,629.73M,-25.20M,-25.20M,-89.81M,-89.81M,23.46M,,,2018-01,444.12M,-62.95M,385.78M,,2018-01,630.00M,-0.274M,-25.20M,,AOR,Restated
2017-10,218.36M,,-0.961M,8.00M,-12.21M,-5.175M,32.66M,2.192M,34.86M,34.86M,50.81M,,1.724M,,-1.959M,-46.44M,113.91M,-0.126M,143.26M,,,203.70M,502.49M,,2017-10,-102.78M,1.478M,-101.30M,-520.46M,9.946M,-610.93M,,2017-10,0.00,0.00,0.00,0.00,0.00,-89.67M,-89.67M,7.389M,,,2017-10,633.34M,-190.72M,444.12M,,2017-10,0.00,,0.00,,AOR,Restated
2017-07,182.55M,,-0.002M,6.999M,-3.956M,3.041M,30.74M,2.048M,32.79M,32.79M,0.023M,,2.006M,,-4.201M,-24.01M,-25.09M,-0.543M,97.10M,,,34.63M,250.84M,,2017-07,-41.54M,1.119M,-40.42M,0.00,-3.505M,-40.35M,,2017-07,0.00,0.00,0.00,-44.90M,-44.90M,-89.83M,-89.83M,5.458M,,,2017-07,548.90M,81.21M,633.34M,,2017-07,0.00,0.00,-44.90M,,AOR,Restated
2017-04,210.89M,,2.086M,9.999M,-10.12M,1.964M,29.94M,2.071M,32.01M,32.01M,0.121M,,4.621M,,-1.41M,4.221M,-30.28M,-2.365M,-137.70M,,,-162.89M,85.30M,,2017-04,-39.08M,-2.769M,-41.85M,0.00,0.381M,-41.47M,,2017-04,0.00,0.00,0.00,-19.00M,-19.00M,-89.88M,-89.88M,1.481M,,,2017-04,609.82M,-63.56M,548.90M,,2017-04,0.00,0.00,-19.00M,,AOR,Restated
2017-01,235.30M,,-0.801M,2.523M,-13.30M,-11.58M,29.25M,2.072M,31.32M,31.32M,11.22M,,7.24M,,-1.208M,36.51M,-17.51M,-19.42M,-79.85M,,,-77.04M,195.25M,,2017-01,-37.90M,3.926M,-33.97M,135.94M,3.596M,105.57M,,2017-01,0.00,0.00,0.00,-30.59M,-30.59M,-76.63M,-76.63M,7.398M,,,2017-01,415.14M,201.00M,609.82M,,2017-01,0.00,0.00,-30.59M,,AOR,Restated
2016-10,244.19M,,-0.058M,,-35.78M,10.35M,33.58M,1.863M,35.45M,35.45M,39.90M,0.00,1.738M,39.19M,-0.04M,-26.86M,48.30M,6.632M,27.73M,,,47.56M,418.33M,,2016-10,-89.70M,3.637M,-86.06M,0.766M,4.698M,-80.60M,,2016-10,,-145.00M,-145.00M,-42.91M,-42.91M,-76.75M,-76.75M,2.842M,-39.19M,,2016-10,379.60M,36.73M,415.14M,,2016-10,-145.00M,0.00,-42.91M,,AOR,Restated
2016-07,195.78M,,0.05M,,3.619M,3.669M,30.13M,2.479M,32.61M,32.61M,6.825M,0.00,1.913M,-2.734M,-0.872M,-9.424M,-26.53M,3.822M,36.10M,,,-24.64M,212.55M,,2016-07,-65.98M,-0.119M,-66.10M,-171.51M,-5.313M,-242.91M,,2016-07,,145.00M,145.00M,-38.62M,-38.62M,-76.87M,-76.87M,0.863M,2.734M,,2016-07,379.88M,2.75M,379.60M,,2016-07,145.00M,0.00,-38.62M,,AOR,Restated
2016-04,215.38M,,-0.038M,,-0.07M,-0.108M,30.18M,1.92M,32.10M,32.10M,-0.662M,0.991M,7.016M,-16.31M,-2.456M,6.24M,-32.61M,-5.136M,-75.31M,,,-105.52M,130.44M,,2016-04,-66.37M,1.298M,-65.07M,0.00,1.09M,-63.98M,,2016-04,,0.00,0.00,-6.358M,-6.358M,-76.74M,-76.74M,4.856M,16.31M,,2016-04,375.22M,4.524M,379.88M,,2016-04,,0.00,-6.358M,,AOR,Restated
2016-01,235.17M,,0.126M,,-6.454M,-6.328M,29.68M,2.125M,31.80M,31.80M,-1.735M,,7.162M,-20.15M,2.081M,50.95M,-1.439M,7.917M,-27.79M,,,30.69M,278.69M,,2016-01,-33.48M,1.411M,-32.07M,0.00,11.09M,-20.98M,,2016-01,,-185.00M,-185.00M,0.00,0.00,-66.14M,-66.14M,3.514M,20.15M,,2016-01,347.24M,30.24M,375.22M,,2016-01,,-185.00M,0.00,,AOR,Restated
2015-10,187.44M,,1.405M,,-7.957M,-6.552M,32.45M,1.957M,34.41M,34.41M,10.36M,21.54M,1.457M,-8.811M,0.351M,-56.52M,-6.938M,-24.79M,160.00M,,,61.56M,301.75M,,2015-10,-47.26M,3.477M,-43.78M,-2.248M,-8.222M,-54.25M,,2015-10,,-165.00M,-165.00M,-24.93M,-24.93M,-66.07M,-66.07M,2.631M,8.811M,,2015-10,349.17M,2.934M,347.24M,,2015-10,0.00,-165.00M,-24.93M,,AOR,Restated
2015-07,146.96M,,-1.516M,,20.91M,19.39M,31.08M,2.218M,33.30M,33.30M,-3.822M,0.00,1.711M,-3.379M,1.058M,51.65M,-0.756M,27.60M,-6.436M,,,49.29M,244.51M,,2015-07,-41.82M,3.974M,-37.84M,-768.34M,-1.955M,-808.14M,,2015-07,,350.00M,350.00M,0.00,0.00,-66.05M,-66.05M,1.838M,3.379M,,2015-07,624.40M,-274.46M,349.17M,,2015-07,350.00M,0.00,0.00,,AOR,Restated
2015-04,180.44M,,-0.012M,,2.126M,2.114M,31.04M,1.928M,32.97M,32.97M,12.28M,0.00,7.025M,-7.797M,-1.188M,-3.972M,53.31M,-0.64M,-78.93M,,,-26.60M,199.24M,,2015-04,-27.31M,1.119M,-26.19M,,-9.553M,-35.74M,,2015-04,,0.00,0.00,0.00,0.00,-65.91M,-65.91M,3.942M,-3.905M,,2015-04,527.10M,97.61M,624.40M,,2015-04,,0.00,0.00,,AOR,Restated
2015-01,172.43M,,-5.117M,,-1.639M,-6.756M,30.72M,2.039M,32.76M,32.76M,1.161M,,5.524M,-2.963M,-1.068M,31.29M,36.82M,18.35M,-39.94M,,,45.42M,246.50M,,2015-01,-27.67M,9.931M,-17.74M,,14.93M,-2.811M,,2015-01,,0.00,0.00,,,-52.80M,-52.80M,2.057M,1.382M,,2015-01,334.17M,194.33M,527.10M,,2015-01,,0.00,,,AOR,Restated
2014-10,171.85M,,-0.406M,,-2.033M,-2.439M,30.50M,2.407M,32.91M,32.91M,7.418M,,1.703M,-6.886M,0.465M,-35.48M,84.59M,6.558M,98.60M,,,147.49M,352.51M,,2014-10,-47.31M,1.717M,-45.59M,-424.33M,-2.623M,-472.54M,,2014-10,,0.00,0.00,-30.87M,-30.87M,-52.80M,-52.80M,2.027M,4.386M,,2014-10,530.98M,-197.28M,334.17M,,2014-10,115.00M,,-30.87M,,AOR,Restated
2014-07,139.01M,,-0.617M,,5.577M,4.96M,31.14M,2.31M,33.45M,33.45M,-0.257M,,1.746M,-7.776M,-1.27M,-21.34M,-23.39M,-4.25M,24.86M,,,-50.54M,119.33M,,2014-07,-34.76M,2.337M,-32.43M,-0.374M,1.016M,-31.78M,,2014-07,,0.00,0.00,-12.94M,-12.94M,-52.77M,-52.77M,2.95M,7.776M,,2014-07,499.33M,32.56M,530.98M,,2014-07,0.00,,-12.94M,,AOR,Restated
2014-04,140.71M,,-0.275M,,-3.583M,-3.858M,29.62M,2.304M,31.92M,31.92M,2.211M,,5.987M,-5.927M,-0.447M,-10.14M,-129.00M,13.58M,-83.60M,,,-209.85M,-39.26M,,2014-04,-40.02M,1.953M,-38.07M,-0.101M,-4.139M,-42.31M,,2014-04,,,,-15.13M,-15.13M,-52.76M,-52.76M,2.109M,5.927M,,2014-04,639.84M,-141.42M,499.33M,,2014-04,,,-15.13M,,AOR,Restated
2014-01,154.46M,,-0.369M,,5.285M,4.916M,29.43M,2.331M,31.76M,31.76M,0.428M,,4.957M,-4.111M,-0.135M,46.48M,46.16M,-4.297M,32.44M,,,122.02M,314.29M,,2014-01,-37.04M,4.278M,-32.76M,-41.40M,4.028M,-70.13M,,2014-01,,,,,,-44.83M,-44.83M,3.437M,4.111M,,2014-01,434.01M,206.87M,639.84M,,2014-01,,,,,AOR,Restated
2013-10,158.48M,,-1.436M,,-2.129M,-3.565M,29.55M,2.317M,31.86M,31.86M,7.076M,,1.167M,-4.476M,-0.29M,-37.10M,35.76M,-15.40M,25.94M,,,18.70M,208.96M,,2013-10,-38.03M,3.645M,-34.39M,0.00,-1.809M,-36.20M,,2013-10,,0.00,0.00,-25.15M,-25.15M,-44.89M,-44.89M,0.944M,0.476M,,2013-10,329.50M,104.14M,434.01M,,2013-10,0.00,0.00,-25.15M,,AOR,Restated
2013-07,113.90M,,-0.65M,,12.64M,12.00M,29.42M,2.406M,31.82M,31.82M,-5.743M,,4.523M,-0.792M,0.432M,-52.16M,-4.876M,5.584M,79.58M,,,15.15M,171.29M,,2013-07,-23.24M,2.208M,-21.03M,-2.287M,0.206M,-23.11M,,2013-07,,0.00,0.00,-37.74M,-37.74M,-45.02M,-45.02M,0.653M,0.792M,,2013-07,262.75M,66.86M,329.50M,,2013-07,0.00,0.00,-37.74M,,AOR,Restated
2013-04,126.64M,,0.193M,,2.835M,3.028M,28.75M,2.567M,31.32M,31.32M,2.129M,,6.33M,-4.877M,-0.742M,4.297M,3.977M,-2.299M,-62.31M,,,-48.08M,115.74M,,2013-04,-23.44M,1.392M,-22.05M,-663.13M,-12.94M,-698.11M,,2013-04,,0.00,0.00,-7.928M,-7.928M,-44.97M,-44.97M,5.393M,4.877M,,2013-04,887.68M,-624.99M,262.75M,,2013-04,25.00M,-25.00M,-7.928M,,AOR,Restated
2013-01,131.04M,,-0.234M,,0.156M,-0.078M,27.66M,2.189M,29.84M,29.84M,-2.395M,,5.576M,-13.26M,-1.142M,40.50M,-3.161M,2.318M,-53.95M,,,-7.776M,141.81M,,2013-01,-22.05M,2.919M,-19.13M,0.00,85.48M,66.34M,,2013-01,,,,,,-39.44M,-39.44M,23.22M,13.26M,,2013-01,682.39M,205.20M,887.68M,,2013-01,,,,,AOR,Restated
2012-10,134.29M,,0.075M,,6.449M,6.524M,28.57M,2.295M,30.87M,30.87M,4.485M,,2.519M,-2.02M,-0.987M,-32.62M,-23.47M,-4.674M,114.09M,,,58.05M,233.73M,,2012-10,-38.39M,1.054M,-37.33M,0.00,3.482M,-33.85M,,2012-10,,0.00,0.00,-10.67M,-10.67M,-39.52M,-39.52M,0.79M,-1.48M,,2012-10,533.22M,148.99M,682.39M,,2012-10,0.00,0.00,-10.67M,,AOR,Restated
2012-07,112.41M,,0.034M,,-0.375M,-0.341M,26.69M,2.227M,28.92M,28.92M,0.976M,,3.062M,-2.193M,-0.218M,-35.08M,-14.38M,26.65M,-25.47M,,,-71.59M,71.02M,,2012-07,-35.70M,1.707M,-33.99M,0.00,12.92M,-21.08M,,2012-07,,0.00,0.00,-8.604M,-8.604M,-39.50M,-39.50M,3.882M,2.967M,,2012-07,524.78M,8.694M,533.22M,,2012-07,0.00,0.00,-8.604M,,AOR,Restated
2012-04,128.94M,,-0.101M,,-7.816M,-7.917M,26.86M,2.027M,28.89M,28.89M,-0.592M,,4.889M,-2.705M,-1.27M,-16.84M,-29.84M,-17.85M,-28.93M,,,-89.36M,60.87M,,2012-04,-27.76M,0.748M,-27.01M,0.00,3.748M,-23.26M,,2012-04,,0.00,0.00,-30.97M,-30.97M,-39.59M,-39.59M,6.143M,2.705M,,2012-04,548.62M,-24.10M,524.78M,,2012-04,0.00,0.00,-30.97M,,AOR,Restated
2012-01,129.33M,,-0.178M,,0.159M,-0.019M,28.39M,2.426M,30.82M,30.82M,-0.201M,,6.24M,-1.929M,-1.039M,38.60M,2.995M,3.067M,-60.17M,,,-11.04M,152.16M,,2012-01,-30.46M,1.055M,-29.40M,-0.168M,0.998M,-28.57M,,2012-01,,,,-11.12M,-11.12M,-33.60M,-33.60M,3.885M,1.929M,,2012-01,463.13M,84.68M,548.62M,,2012-01,,,-11.12M,,AOR,Restated
2011-10,118.50M,,-0.382M,,-7.618M,-8.00M,28.95M,2.284M,31.24M,31.24M,1.712M,,2.409M,-1.615M,3.152M,-33.18M,-19.95M,-8.793M,75.47M,,,23.66M,171.05M,,2011-10,-40.66M,0.89M,-39.77M,0.00,-58.26M,-98.03M,,2011-10,0.00,,0.00,-72.28M,-72.28M,-33.98M,-33.98M,3.24M,-3.384M,,2011-10,497.36M,-33.39M,463.13M,,2011-10,0.00,0.00,-72.28M,,AOR,Restated
2011-07,99.96M,,-0.197M,,-5.562M,-5.759M,28.37M,2.273M,30.65M,30.65M,8.227M,,2.578M,-3.335M,1.321M,-22.14M,-55.49M,-26.62M,31.12M,,,-90.14M,43.51M,,2011-07,-20.36M,1.325M,-19.04M,0.00,-21.46M,-40.49M,,2011-07,-350.09M,,-350.09M,-45.93M,-45.93M,-34.07M,-34.07M,6.776M,3.336M,,2011-07,913.70M,-416.96M,497.36M,,2011-07,-0.093M,-350.00M,-45.93M,,AOR,Restated
2011-04,110.70M,,-0.29M,,-6.672M,-6.962M,28.66M,2.419M,31.08M,31.08M,-6.879M,,4.002M,-5.86M,-0.855M,0.885M,-23.11M,26.29M,-25.06M,,,-14.64M,110.59M,,2011-04,-19.16M,0.891M,-18.26M,0.00,4.322M,-13.94M,,2011-04,247.66M,,247.66M,-20.99M,-20.99M,-34.02M,-34.02M,19.75M,5.36M,,2011-04,598.81M,314.40M,913.70M,,2011-04,247.66M,,-20.99M,,AOR,Restated
2011-01,150.04M,,0.237M,,-2.874M,-2.637M,28.70M,2.50M,31.20M,31.20M,3.692M,,8.24M,-4.395M,0.377M,24.26M,6.491M,19.63M,-77.80M,,,-21.18M,165.33M,,2011-01,-16.74M,1.28M,-15.46M,-7.207M,4.143M,-18.52M,,2011-01,,,,-13.73M,-13.73M,-27.90M,-27.90M,24.02M,0.747M,,2011-01,467.84M,129.94M,598.81M,,2011-01,,,-13.73M,,AOR,Restated
2010-10,122.61M,,-0.313M,,-4.131M,-4.444M,30.73M,2.746M,33.47M,33.47M,28.14M,,2.534M,-3.055M,-9.079M,-47.05M,-2.896M,34.56M,88.97M,,,43.73M,213.91M,,2010-10,-26.07M,1.715M,-24.35M,-0.126M,-64.49M,-88.97M,,2010-10,0.00,,0.00,-16.40M,-16.40M,-27.94M,-27.94M,6.104M,2.933M,,2010-10,376.92M,89.62M,467.84M,,2010-10,0.00,0.00,-16.40M,,AOR,Restated
2010-07,86.36M,,-0.138M,,-2.222M,-2.36M,28.07M,2.576M,30.65M,30.65M,-2.602M,,2.682M,-0.913M,1.348M,-27.53M,-23.68M,7.462M,33.60M,,,-22.88M,92.28M,,2010-07,-23.63M,0.831M,-22.80M,0.166M,0.175M,-22.46M,,2010-07,0.00,,0.00,-23.34M,-23.34M,-28.03M,-28.03M,2.579M,0.705M,,2010-07,355.18M,21.74M,376.92M,,2010-07,0.00,0.00,-23.34M,,AOR,Restated
2010-04,78.54M,,-0.014M,-0.096M,-3.952M,-4.062M,27.87M,2.751M,30.62M,30.62M,-0.954M,,3.824M,-2.819M,4.12M,-7.665M,-36.97M,-0.952M,-8.402M,,-6.636M,-45.71M,65.40M,,2010-04,-21.51M,1.41M,-20.10M,-27.76M,-80.58M,-128.44M,,2010-04,0.00,,0.00,-13.74M,-13.74M,-28.03M,-28.03M,7.792M,3.109M,,2010-04,449.09M,-93.91M,355.18M,,2010-04,0.00,,-13.74M,,AOR,Restated
2010-01,112.27M,,0.071M,0.096M,-2.821M,-2.654M,28.39M,2.459M,30.85M,30.85M,4.841M,,5.362M,-3.511M,1.851M,23.60M,-10.36M,-1.778M,-51.32M,,6.636M,-33.22M,113.94M,,2010-01,-18.61M,0.959M,-17.65M,-0.384M,-0.565M,-18.60M,,2010-01,,,,-16.08M,-16.08M,-25.37M,-25.37M,6.409M,3.551M,,2010-01,385.25M,63.84M,449.09M,,2010-01,,,-16.08M,,AOR,Restated
2009-10,104.61M,0.00,-0.214M,6.741M,-1.394M,5.133M,30.44M,2.629M,33.06M,33.06M,4.146M,,2.222M,-0.316M,1.906M,-16.88M,22.30M,37.07M,73.36M,,,77.79M,226.64M,,2009-10,-25.93M,1.695M,-24.24M,0.00,-0.751M,-24.99M,,2009-10,,-60.00M,-60.00M,-24.27M,-24.27M,-25.50M,-25.50M,0.452M,-2.19M,,2009-10,295.10M,90.15M,385.25M,,2009-10,,-60.00M,-24.27M,,AOR,Restated
2009-07,78.10M,0.043M,0.182M,-5.262M,-1.216M,-6.253M,29.02M,2.563M,31.58M,31.58M,-0.04M,,2.416M,-0.397M,2.019M,-19.33M,3.511M,-0.042M,31.67M,,,-37.23M,68.17M,,2009-07,-25.21M,1.291M,-23.92M,-0.121M,5.864M,-18.17M,,2009-07,,-40.00M,-40.00M,-3.501M,-3.501M,-25.50M,-25.50M,0.476M,1.30M,,2009-07,312.33M,-17.23M,295.10M,,2009-07,,-40.00M,-3.501M,,AOR,Restated
2009-04,81.10M,-3.634M,-0.031M,-3.735M,-1.485M,-8.885M,28.87M,2.587M,31.46M,31.46M,0.061M,,3.366M,-0.095M,3.271M,34.05M,-6.234M,22.98M,-74.24M,,,-19.45M,87.56M,,2009-04,-20.30M,0.411M,-19.88M,-0.037M,4.865M,-15.06M,,2009-04,,,,0.00,0.00,-25.50M,-25.50M,0.342M,0.246M,,2009-04,264.74M,47.59M,312.33M,,2009-04,,,0.00,,AOR,Restated
2009-01,82.18M,,0.191M,-1.299M,-0.698M,-1.806M,28.45M,2.585M,31.03M,31.03M,-4.478M,,4.05M,-0.505M,3.545M,40.88M,42.54M,1.469M,-20.12M,,,65.92M,176.39M,,2009-01,-25.52M,1.606M,-23.92M,-0.543M,-2.547M,-27.01M,,2009-01,,,,-10.38M,-10.38M,-24.88M,-24.88M,1.117M,-5.286M,,2009-01,154.78M,109.96M,264.74M,,2009-01,,,-10.38M,,AOR,Restated
2008-10,70.95M,0.00,0.096M,20.77M,-1.693M,19.18M,28.41M,2.665M,31.08M,31.08M,4.188M,,,,1.863M,-33.08M,-135.31M,,21.02M,,,-39.06M,88.19M,,2008-10,-29.60M,0.919M,-28.68M,-0.05M,-1.268M,-30.00M,,2008-10,0.00,25.00M,25.00M,-13.08M,-13.08M,-24.95M,-24.95M,,-11.68M,,2008-10,109.99M,44.79M,154.78M,,2008-10,85.00M,-60.00M,-13.08M,,AOR,Restated
2008-07,51.95M,0.00,1.833M,12.19M,-5.677M,11.32M,28.40M,2.74M,31.14M,31.14M,-5.409M,,,,2.427M,-24.82M,85.39M,,45.64M,,,-23.17M,68.26M,,2008-07,-28.35M,0.662M,-27.69M,-23.26M,-7.398M,-57.37M,,2008-07,-0.054M,5.00M,50.00M,-34.54M,-34.54M,-70.58M,-25.12M,,1.609M,,2008-07,107.16M,2.831M,109.99M,,2008-07,75.00M,-70.05M,-34.54M,,,Restated
2008-04,77.56M,,-0.529M,-6.412M,2.999M,-6.909M,28.01M,2.90M,30.91M,30.91M,-0.607M,,,,-1.107M,-6.081M,-85.39M,,-41.00M,,,-141.60M,-41.75M,,2008-04,-36.05M,0.906M,-35.14M,-2.907M,43.28M,5.233M,,2008-04,0.054M,70.00M,25.00M,-7.765M,-7.765M,20.35M,-25.12M,,7.327M,,2008-04,144.23M,-37.08M,107.16M,,2008-04,,70.05M,-7.765M,,,
2008-01,88.18M,,0.529M,6.412M,-2.999M,3.942M,29.81M,3.248M,33.06M,33.06M,-7.885M,,,,1.107M,21.14M,,,8.658M,,,38.52M,156.92M,,2008-01,-31.90M,0.698M,-31.20M,-1.013M,-39.88M,-72.09M,,2008-01,-0.054M,-70.00M,-70.05M,-14.16M,-14.16M,-20.35M,-20.35M,,14.21M,,2008-01,149.75M,-5.515M,144.23M,,2008-01,,-70.05M,-14.16M,,AOR,Restated
