,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.232B,,,,,298.00M,510.00M,808.00M,808.00M,100.00M,247.00M,-470.00M,149.00M,,,,-321.00M,,2.066B,-496.00M,,-496.00M,0.00,17.00M,7.00M,-472.00M,-1.329B,-28.00M,-1.357B,,-2.00M,-2.00M,-639.00M,-639.00M,83.00M,0.00,-1.915B,4.763B,-321.00M,38.00M,4.48B,,1.00M,-1.33B,-2.00M
2020-06,537.00M,,,,,272.00M,553.00M,825.00M,825.00M,115.00M,164.00M,231.00M,-550.00M,,,,-319.00M,,1.322B,-642.00M,,-642.00M,16.00M,4.00M,3.00M,-619.00M,1.278B,-20.00M,1.258B,,-4.00M,-4.00M,-642.00M,-642.00M,57.00M,-11.00M,658.00M,3.377B,1.361B,25.00M,4.763B,,1.279B,-1.00M,-4.00M
2020-03,564.00M,,,,,267.00M,561.00M,828.00M,828.00M,233.00M,-369.00M,-104.00M,-437.00M,,,,-541.00M,,715.00M,-360.00M,,-360.00M,0.00,-36.00M,3.00M,-393.00M,-1.00M,51.00M,50.00M,,-236.00M,-236.00M,-638.00M,-638.00M,89.00M,,-735.00M,3.86B,-413.00M,-70.00M,3.377B,,,-1.00M,-236.00M
2019-12,1.049B,,,,,273.00M,483.00M,756.00M,756.00M,85.00M,1.042B,82.00M,137.00M,,,,-244.00M,,2.416B,-434.00M,,-434.00M,1.00M,-60.00M,4.00M,-489.00M,-1.076B,-52.00M,-1.128B,,-496.00M,-496.00M,-568.00M,-568.00M,7.00M,,-2.185B,4.091B,-258.00M,27.00M,3.86B,,1.842B,-2.918B,-496.00M
2019-09,960.00M,,,,,270.00M,484.00M,754.00M,754.00M,94.00M,352.00M,-22.00M,-190.00M,,,,-212.00M,,1.948B,-401.00M,,-401.00M,-11.00M,-24.00M,4.00M,-432.00M,-2.00M,12.00M,10.00M,,-1.00M,-1.00M,-569.00M,-569.00M,47.00M,,-513.00M,3.137B,1.003B,-49.00M,4.091B,,0.00,-2.00M,-1.00M
2019-06,1.006B,,,,,268.00M,483.00M,751.00M,751.00M,114.00M,-392.00M,-165.00M,-254.00M,,,,-419.00M,,1.06B,-468.00M,,-468.00M,-34.00M,0.00,4.00M,-498.00M,-21.00M,27.00M,6.00M,,-4.00M,-4.00M,-568.00M,-568.00M,117.00M,,-449.00M,3.022B,113.00M,2.00M,3.137B,,0.00,-21.00M,-4.00M
2019-03,672.00M,,,,,267.00M,486.00M,753.00M,753.00M,226.00M,-483.00M,-170.00M,-286.00M,,,,-456.00M,,712.00M,-335.00M,,-335.00M,-78.00M,2.00M,15.00M,-396.00M,-500.00M,13.00M,-487.00M,,-217.00M,-217.00M,-565.00M,-565.00M,127.00M,,-1.142B,3.844B,-826.00M,4.00M,3.022B,,,-500.00M,-217.00M
2018-12,654.00M,,,,,275.00M,488.00M,763.00M,763.00M,81.00M,-608.00M,90.00M,-64.00M,,,,582.00M,,1.765B,-467.00M,,-467.00M,-11.00M,-35.00M,17.00M,-496.00M,-4.156B,-48.00M,-4.204B,,-104.00M,-104.00M,-495.00M,-495.00M,27.00M,,-4.776B,7.369B,-3.507B,-18.00M,3.844B,,-2.00M,-4.154B,-104.00M
2018-09,563.00M,,,,,269.00M,544.00M,813.00M,813.00M,83.00M,981.00M,-143.00M,-114.00M,,,,-257.00M,,2.183B,-354.00M,,-354.00M,0.00,19.00M,12.00M,-323.00M,3.012B,-118.00M,2.894B,,-3.00M,-3.00M,-494.00M,-494.00M,74.00M,,2.471B,3.065B,4.331B,-27.00M,7.369B,,4.011B,-999.00M,-3.00M
2018-06,733.00M,,,,,288.00M,562.00M,850.00M,850.00M,101.00M,-191.00M,-84.00M,-165.00M,,,,-249.00M,,1.244B,-298.00M,,-298.00M,30.00M,-37.00M,6.00M,-299.00M,-1.301B,134.00M,-1.167B,,-3.00M,-3.00M,-494.00M,-494.00M,33.00M,,-1.631B,3.857B,-686.00M,-106.00M,3.065B,,,-1.301B,-3.00M
2018-03,418.00M,,,,,268.00M,584.00M,852.00M,852.00M,212.00M,-150.00M,-53.00M,-171.00M,,,,-224.00M,,1.108B,-275.00M,,-275.00M,-25.00M,-5.00M,67.00M,-238.00M,-5.979B,6.00M,-5.973B,,-128.00M,-128.00M,-491.00M,-491.00M,137.00M,,-6.455B,9.407B,-5.585B,35.00M,3.857B,,,-5.979B,-128.00M
2017-12,-828.00M,-45.00M,,,2.00M,283.00M,560.00M,843.00M,843.00M,68.00M,-490.00M,-38.00M,210.00M,,,,2.045B,,1.64B,-345.00M,,-345.00M,-2.829B,17.00M,5.00M,-3.152B,600.00M,390.00M,990.00M,,-11.00M,-11.00M,-464.00M,-464.00M,75.00M,8.00M,-112.00M,11.01B,-1.624B,19.00M,9.407B,,6.742B,-6.142B,-721.00M
2017-09,603.00M,-12.00M,,,-12.00M,255.00M,501.00M,756.00M,756.00M,75.00M,530.00M,-113.00M,166.00M,,,,53.00M,,2.005B,-263.00M,,-263.00M,24.00M,-70.00M,3.00M,-306.00M,-1.00M,5.00M,4.00M,,-8.00M,-8.00M,-463.00M,-463.00M,89.00M,-8.00M,-386.00M,9.675B,1.313B,24.00M,11.01B,,0.00,-1.00M,-8.00M
2017-06,283.00M,0.00,,,0.00,256.00M,392.00M,648.00M,648.00M,92.00M,379.00M,-86.00M,35.00M,,,,-51.00M,,1.351B,-255.00M,,-255.00M,238.00M,-13.00M,24.00M,-6.00M,-2.00M,26.00M,24.00M,,-3.00M,-3.00M,-462.00M,-462.00M,57.00M,0.00,-384.00M,8.706B,961.00M,8.00M,9.675B,,,-2.00M,-3.00M
