,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,3.994B,3.994B,2.374B,1.62B,,0.00,55.00M,1.00M,-54.00M,1.445B,1.445B,175.00M,1.00M,55.00M,-54.00M,,-54.00M,121.00M,26.00M,95.00M,,95.00M,95.00M,301.00M,125.00M,176.00M,0.25,,0.25,0.25,0.25,,0.25,0.25,374.00M,380.00M,0.0
2020-07,3.275B,3.275B,2.126B,1.149B,,-58.00M,58.00M,2.00M,-56.00M,1.076B,1.076B,73.00M,2.00M,58.00M,-56.00M,-58.00M,-56.00M,-41.00M,21.00M,-62.00M,,-62.00M,-19.66M,143.00M,126.00M,17.00M,-0.17,,-0.0568,-0.17,-0.17,,-0.0568,-0.17,374.00M,374.00M,0.0
2020-04,2.107B,2.107B,1.839B,268.00M,,,19.00M,4.00M,-15.00M,1.512B,1.512B,-1.244B,4.00M,19.00M,-15.00M,,-15.00M,-1.259B,-327.00M,-932.00M,,-932.00M,-932.00M,-1.11B,130.00M,-1.24B,-2.51,,-2.51,-2.51,-2.51,,-2.51,-2.51,372.00M,372.00M,0.0
2020-01,4.674B,4.674B,3.00B,1.674B,,,18.00M,9.00M,-9.00M,1.919B,1.919B,-245.00M,9.00M,18.00M,-9.00M,,-9.00M,-254.00M,-70.00M,-184.00M,,-184.00M,-184.00M,-96.00M,140.00M,-236.00M,-0.49,,-0.49,-0.49,-0.49,,-0.49,-0.49,373.00M,375.00M,0.2425
2019-10,3.998B,3.998B,2.439B,1.559B,,0.00,19.00M,7.00M,-12.00M,1.338B,1.338B,221.00M,7.00M,19.00M,-12.00M,,-12.00M,209.00M,69.00M,140.00M,,140.00M,140.00M,368.00M,140.00M,228.00M,0.37,,0.37,0.37,0.37,,0.37,0.37,375.00M,376.00M,0.2425
2019-07,4.005B,4.005B,2.449B,1.556B,,0.00,19.00M,8.00M,-11.00M,1.274B,1.274B,282.00M,8.00M,19.00M,-11.00M,,-11.00M,271.00M,103.00M,168.00M,,168.00M,168.00M,429.00M,139.00M,290.00M,0.44,,0.44,0.44,0.44,,0.44,0.44,378.00M,379.00M,0.2425
2019-04,3.706B,3.706B,2.362B,1.344B,,,20.00M,6.00M,-14.00M,1.028B,1.028B,316.00M,6.00M,20.00M,-14.00M,,-14.00M,302.00M,75.00M,227.00M,,227.00M,227.00M,460.00M,138.00M,322.00M,0.6,,0.6,0.6,0.6,,0.6,0.6,379.00M,381.00M,0.2425
2019-01,4.623B,4.623B,2.978B,1.645B,,,19.00M,12.00M,-7.00M,1.273B,1.273B,372.00M,12.00M,19.00M,-7.00M,,-7.00M,365.00M,89.00M,276.00M,,276.00M,276.00M,537.00M,153.00M,384.00M,0.72,,0.72,0.72,0.72,,0.72,0.72,379.00M,382.00M,0.2425
2018-10,4.089B,4.089B,2.466B,1.623B,,,21.00M,8.00M,-13.00M,1.26B,1.26B,363.00M,8.00M,21.00M,-13.00M,,-13.00M,350.00M,84.00M,266.00M,,266.00M,266.00M,516.00M,145.00M,371.00M,0.69,,0.69,0.69,0.69,,0.69,0.69,384.00M,387.00M,0.2425
2018-07,4.085B,4.085B,2.458B,1.627B,,,17.00M,7.00M,-10.00M,1.229B,1.229B,398.00M,7.00M,17.00M,-10.00M,,-10.00M,388.00M,91.00M,297.00M,,297.00M,297.00M,545.00M,140.00M,405.00M,0.77,,0.77,0.77,0.76,,0.76,0.76,387.00M,390.00M,0.2425
