,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,348.00M,,138.00M,138.00M,383.00M,58.00M,,-80.00M,134.00M,-20.00M,-75.00M,94.00M,-55.00M,78.00M,925.00M,-104.00M,-104.00M,-580.00M,26.00M,-658.00M,-12.00M,,-12.00M,,-248.00M,-248.00M,-120.00M,-120.00M,33.00M,,-347.00M,4.422B,-80.00M,94.00M,4.436B,,0.00,-12.00M,-248.00M
2020-06,361.00M,,137.00M,137.00M,-74.00M,65.00M,,43.00M,65.00M,59.00M,145.00M,218.00M,-40.00M,447.00M,979.00M,-93.00M,-93.00M,-403.00M,237.00M,-259.00M,-12.00M,,-12.00M,,-74.00M,-74.00M,-121.00M,-121.00M,36.00M,,-171.00M,3.886B,549.00M,-13.00M,4.422B,,0.00,-12.00M,-74.00M
2020-03,367.00M,,136.00M,136.00M,-19.00M,55.00M,,144.00M,13.00M,44.00M,26.00M,-328.00M,59.00M,-186.00M,497.00M,-112.00M,-112.00M,-86.00M,-74.00M,-272.00M,1.727B,,1.727B,,-511.00M,-511.00M,-121.00M,-121.00M,40.00M,,1.135B,2.645B,1.36B,-119.00M,3.886B,,1.74B,-13.00M,-511.00M
2019-12,395.00M,,133.00M,133.00M,-103.00M,45.00M,,80.00M,213.00M,-13.00M,239.00M,-121.00M,70.00M,388.00M,938.00M,-93.00M,-93.00M,-239.00M,-43.00M,-375.00M,-12.00M,,-12.00M,,-163.00M,-163.00M,-110.00M,-110.00M,32.00M,,-253.00M,2.343B,310.00M,-8.00M,2.645B,,,-12.00M,-163.00M
2019-09,497.00M,,127.00M,127.00M,-23.00M,52.00M,,65.00M,-47.00M,19.00M,-131.00M,170.00M,-12.00M,-1.00M,717.00M,-97.00M,-97.00M,-146.00M,583.00M,340.00M,-7.00M,,-7.00M,,-259.00M,-259.00M,-111.00M,-111.00M,37.00M,,-340.00M,1.66B,717.00M,-34.00M,2.343B,,0.00,-7.00M,-259.00M
2019-06,509.00M,,133.00M,133.00M,-138.00M,54.00M,,-19.00M,2.00M,-47.00M,-39.00M,178.00M,-58.00M,36.00M,575.00M,-96.00M,-96.00M,-35.00M,1.398B,1.267B,-7.00M,,-7.00M,,-1.054B,-1.054B,-116.00M,-116.00M,40.00M,,-1.137B,950.00M,705.00M,5.00M,1.66B,,0.00,-7.00M,-1.054B
2019-03,441.00M,,133.00M,133.00M,-42.00M,66.00M,,-7.00M,-131.00M,49.00M,90.00M,-386.00M,56.00M,-322.00M,269.00M,-106.00M,-106.00M,-197.00M,659.00M,356.00M,-2.00M,,-2.00M,,-771.00M,-771.00M,-116.00M,-116.00M,50.00M,,-839.00M,1.161B,-214.00M,3.00M,950.00M,,0.00,-2.00M,-771.00M
2018-12,648.00M,,131.00M,131.00M,-38.00M,68.00M,,-71.00M,-52.00M,1.00M,-152.00M,142.00M,30.00M,-31.00M,702.00M,-96.00M,-96.00M,-632.00M,178.00M,-550.00M,23.00M,0.00,23.00M,,-267.00M,-267.00M,-116.00M,-116.00M,39.00M,,-325.00M,1.339B,-173.00M,-5.00M,1.161B,,,-2.00M,-267.00M
2018-09,477.00M,,127.00M,127.00M,-5.00M,69.00M,,96.00M,17.00M,-2.00M,7.00M,144.00M,-69.00M,97.00M,862.00M,-94.00M,-94.00M,-1.00M,-171.00M,-266.00M,-25.00M,0.00,-25.00M,,-45.00M,-45.00M,-116.00M,-116.00M,40.00M,,-146.00M,901.00M,450.00M,-12.00M,1.339B,,,-25.00M,-45.00M
2018-06,456.00M,,123.00M,123.00M,49.00M,71.00M,,77.00M,-57.00M,-89.00M,-110.00M,163.00M,-45.00M,-138.00M,640.00M,-91.00M,-91.00M,-477.00M,-16.00M,-584.00M,-25.00M,0.00,-25.00M,,-633.00M,-633.00M,-118.00M,-118.00M,42.00M,,-734.00M,1.599B,-678.00M,-20.00M,901.00M,,,-25.00M,-633.00M
2018-03,520.00M,,117.00M,117.00M,2.00M,59.00M,,23.00M,-273.00M,86.00M,247.00M,-393.00M,-2.00M,-335.00M,388.00M,-96.00M,-96.00M,-1.00M,-130.00M,-227.00M,-39.00M,-75.00M,-114.00M,,-316.00M,-316.00M,-118.00M,-118.00M,60.00M,,-488.00M,1.925B,-327.00M,1.00M,1.599B,,,-39.00M,-316.00M
2017-12,-18.00M,,122.00M,122.00M,170.00M,60.00M,,-22.00M,35.00M,21.00M,-291.00M,667.00M,104.00M,536.00M,836.00M,-80.00M,-80.00M,-144.00M,64.00M,-160.00M,-33.00M,75.00M,42.00M,,-332.00M,-332.00M,-86.00M,-86.00M,43.00M,,-333.00M,1.577B,343.00M,5.00M,1.925B,,,-33.00M,-332.00M
2017-09,495.00M,,114.00M,114.00M,-54.00M,52.00M,,14.00M,-181.00M,-7.00M,102.00M,293.00M,-50.00M,157.00M,773.00M,-78.00M,-78.00M,-66.00M,20.00M,-124.00M,-20.00M,-150.00M,-170.00M,,-13.00M,-13.00M,-90.00M,-90.00M,42.00M,,-231.00M,1.157B,418.00M,2.00M,1.577B,,,-20.00M,-13.00M
2017-06,470.00M,,103.00M,103.00M,-1.00M,55.00M,,-8.00M,-17.00M,-11.00M,-101.00M,95.00M,-72.00M,-106.00M,521.00M,-60.00M,-60.00M,0.00,-329.00M,-389.00M,-21.00M,-200.00M,-221.00M,,-30.00M,-30.00M,-89.00M,-89.00M,43.00M,,-297.00M,1.308B,-165.00M,14.00M,1.157B,,,-21.00M,-30.00M
2017-03,557.00M,,104.00M,104.00M,9.00M,54.00M,,-55.00M,-86.00M,13.00M,20.00M,-384.00M,36.00M,-401.00M,277.00M,-66.00M,-66.00M,-6.00M,163.00M,91.00M,-21.00M,350.00M,329.00M,,-1.514B,-1.514B,,,61.00M,,-1.124B,2.034B,-756.00M,30.00M,1.308B,,,-21.00M,-1.514B
2016-12,416.00M,,101.00M,101.00M,-47.00M,52.00M,,36.00M,-69.00M,-6.00M,-20.00M,127.00M,11.00M,43.00M,604.00M,-87.00M,-87.00M,-149.00M,146.00M,-90.00M,-16.00M,0.00,-16.00M,,-20.00M,-20.00M,0.00,0.00,41.00M,,5.00M,1.55B,519.00M,-35.00M,2.034B,,,-16.00M,-20.00M
2016-09,444.00M,,97.00M,97.00M,-70.00M,49.00M,,0.00,-74.00M,6.00M,36.00M,214.00M,-104.00M,78.00M,603.00M,-74.00M,-74.00M,-34.00M,-505.00M,-613.00M,-14.00M,0.00,-14.00M,,-157.00M,-157.00M,0.00,0.00,44.00M,,-127.00M,1.684B,-137.00M,3.00M,1.55B,,,-14.00M,-157.00M
2016-06,252.00M,,93.00M,93.00M,-43.00M,62.00M,,12.00M,-132.00M,-42.00M,-42.00M,239.00M,-32.00M,-9.00M,366.00M,-75.00M,-75.00M,-81.00M,124.00M,-32.00M,-14.00M,-100.00M,-114.00M,,-78.00M,-78.00M,0.00,0.00,42.00M,,-150.00M,1.524B,184.00M,-24.00M,1.684B,,,-14.00M,-78.00M
2016-03,441.00M,,88.00M,88.00M,69.00M,54.00M,,-2.00M,-55.00M,48.00M,-78.00M,-526.00M,28.00M,-583.00M,72.00M,-64.00M,-64.00M,-70.00M,-94.00M,-228.00M,-13.00M,-250.00M,-263.00M,,-257.00M,-257.00M,,,49.00M,,-471.00M,2.125B,-627.00M,26.00M,1.524B,,,-13.00M,-257.00M
2015-12,423.80M,,88.00M,88.00M,-18.70M,50.40M,19.00M,21.10M,-131.40M,2.20M,-25.40M,253.50M,39.60M,138.50M,723.70M,-74.30M,-74.30M,-2.00M,-264.30M,-340.60M,-13.40M,350.00M,336.60M,,-76.80M,-76.80M,,,32.10M,-19.00M,272.90M,1.477B,656.00M,-7.60M,2.125B,,,-13.40M,-76.80M
2015-09,397.20M,,82.40M,82.40M,-70.40M,46.40M,-3.70M,19.20M,-4.90M,-2.60M,13.00M,343.60M,-12.10M,337.00M,817.90M,-65.10M,-65.10M,,-111.80M,-176.90M,-13.40M,-100.00M,-113.40M,,-169.20M,-169.20M,,,30.40M,3.70M,-248.50M,1.089B,392.50M,-5.10M,1.477B,,,-13.40M,-169.20M
2015-06,420.10M,,84.00M,84.00M,-65.90M,49.40M,-7.80M,13.80M,-75.00M,-8.90M,20.80M,112.10M,-90.00M,-41.00M,456.10M,-75.60M,-75.60M,0.00,-413.90M,-489.50M,-13.10M,0.00,-13.10M,,-175.60M,-175.60M,,,31.80M,7.80M,-149.10M,1.271B,-182.50M,0.40M,1.089B,,,-13.10M,-175.60M
2015-03,382.90M,,75.60M,75.60M,29.00M,45.80M,-7.50M,-5.10M,-110.70M,28.30M,-41.40M,-276.20M,73.50M,-326.50M,189.30M,-58.00M,-58.00M,0.00,-306.00M,-364.00M,-13.10M,-550.00M,-563.10M,,-38.40M,-38.40M,,,36.70M,7.50M,-557.30M,2.010B,-732.00M,-6.70M,1.271B,,,-13.10M,-38.40M
2014-12,362.60M,,62.80M,62.80M,-56.60M,34.40M,-9.50M,18.20M,-91.30M,-18.60M,-43.20M,-3.80M,67.10M,-89.80M,324.20M,-74.50M,-74.50M,-2.680B,219.60M,-2.534B,985.00M,650.00M,1.635B,,-76.70M,-76.70M,,,51.10M,2.00M,1.611B,2.618B,-598.80M,-8.80M,2.01B,,,-15.00M,-76.70M
2014-09,355.60M,,49.70M,49.70M,-45.80M,31.20M,-2.50M,16.10M,-6.50M,36.50M,-23.20M,171.90M,3.50M,182.20M,583.20M,-55.50M,-55.50M,0.00,120.10M,64.60M,0.00,0.00,0.00,,-9.50M,-9.50M,,,0.10M,1.00M,-8.40M,1.992B,639.40M,-14.20M,2.618B,,,0.00,-9.50M
2014-06,371.90M,,48.80M,48.80M,-33.90M,33.60M,-6.10M,6.50M,-108.50M,-57.50M,-28.20M,154.50M,22.70M,-17.00M,408.30M,-38.70M,-38.70M,-9.90M,-208.90M,-257.50M,0.00,0.00,0.00,,-122.70M,-122.70M,,,23.10M,6.10M,-93.50M,1.936B,57.30M,-0.90M,1.992B,,,0.00,-122.70M
