,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,510.00M,510.00M,274.30M,235.70M,197.90M,3.80M,,,,,,197.90M,37.80M,,,,3.80M,,33.80M,12.10M,21.70M,,2.80M,,24.50M,19.26M,51.70M,13.90M,37.80M,0.37,0.05,0.0,0.3279,0.42,0.37,0.05,0.0477,0.3284,0.42,58.00M,58.70M,0.24
2001-12,534.60M,534.60M,291.00M,243.60M,241.30M,-97.10M,,,,,,241.30M,2.30M,,,,-97.10M,,-18.00M,-0.60M,-17.40M,,0.00,,-17.40M,76.46M,18.70M,16.40M,2.30M,-0.3,0.01,0.0,1.321,-0.29,-0.3,0.01,0.0,1.3159999999999998,-0.29,57.90M,58.10M,0.24
2001-09,508.10M,508.10M,285.70M,222.40M,199.00M,-11.10M,,,,,,199.00M,23.40M,,,,-11.10M,,3.20M,2.60M,0.60M,,,,0.60M,7.26M,40.40M,17.00M,23.40M,0.01,0.0,,0.1248,0.01,0.01,0.0,,0.1244,0.01,58.00M,58.20M,0.24
2001-06,525.60M,525.60M,286.30M,239.30M,205.90M,-8.10M,,,,,,205.90M,33.40M,,,,-8.10M,,16.10M,7.20M,8.90M,,,,8.90M,13.76M,50.30M,16.90M,33.40M,0.15,0.0,,0.2339,0.15,0.15,0.0,,0.2335,0.15,57.90M,58.20M,0.24
2001-03,527.40M,527.40M,283.70M,243.70M,202.50M,1.90M,,,,,,202.50M,41.20M,,,,1.90M,,46.30M,16.90M,29.40M,,-2.50M,,26.90M,28.19M,58.90M,17.70M,41.20M,0.51,-0.05,0.0,0.4891,0.46,0.5052,-0.05,-0.0433,0.4844,0.46,57.80M,58.20M,0.24
2000-12,556.32M,556.32M,289.89M,266.43M,210.43M,-54.39M,,,,,,225.18M,41.26M,,,,-54.39M,,27.41M,9.213M,18.20M,,,,43.60M,54.31M,56.00M,14.75M,41.26M,0.32,0.43,,0.9435,0.75,0.31,0.43,,0.931,0.74,57.91M,58.15M,0.24
2000-09,511.83M,511.83M,263.84M,248.00M,189.58M,9.744M,,,,,,205.13M,42.87M,,,,9.744M,,42.31M,15.44M,26.87M,,,,26.87M,20.68M,58.41M,15.54M,42.87M,0.46,0.0,,0.3542,0.46,0.46,0.0,,0.3546,0.46,58.49M,58.68M,0.24
2000-06,563.20M,563.20M,280.55M,282.65M,195.35M,11.30M,,,,,,213.79M,68.86M,,,,11.30M,,69.59M,25.40M,44.19M,,,,44.19M,37.02M,87.37M,18.51M,68.86M,0.75,0.0,,0.6277,0.75,0.75,0.0,,0.6281,0.75,58.64M,58.82M,0.23
2000-03,544.30M,544.30M,282.40M,261.90M,195.30M,0.70M,,,,,,208.30M,53.60M,,,,0.70M,,55.70M,20.40M,35.30M,,25.40M,,60.70M,34.86M,71.00M,17.40M,53.60M,0.6,0.43,0.0,0.5924,1.03,0.6,0.43,0.4327,0.5924,1.03,58.50M,58.70M,0.23
1999-12,566.70M,566.70M,315.40M,251.30M,196.50M,-3.00M,,,,,,214.30M,37.00M,,,,-3.00M,,42.40M,15.00M,27.40M,,,,27.40M,29.34M,54.80M,17.80M,37.00M,0.47,0.0,,0.5029,0.47,0.47,0.0,,0.5029,0.47,58.91M,58.91M,0.23
1999-09,453.20M,453.20M,221.90M,231.30M,170.50M,6.00M,,,,,,183.30M,48.00M,,,,6.00M,,66.20M,23.60M,42.60M,,,,42.60M,38.74M,60.80M,12.80M,48.00M,0.73,0.0,,0.6638,0.73,0.72,0.0,,0.6547,0.72,58.36M,59.17M,0.23
1999-06,473.15M,473.15M,235.60M,237.55M,174.50M,-13.30M,,,,,,186.80M,50.75M,,,,-13.30M,,39.10M,14.10M,25.00M,,,,25.00M,33.50M,63.05M,12.30M,50.75M,0.43,0.0,,0.5763,0.43,0.42,0.0,,0.5629,0.42,58.14M,59.52M,0.22
1999-03,452.60M,452.60M,221.20M,231.40M,182.20M,16.40M,,,,,,194.70M,36.70M,,,,16.40M,,50.20M,18.00M,32.20M,,,,32.20M,21.68M,49.20M,12.50M,36.70M,0.55,0.0,,0.3703,0.55,0.55,0.0,,0.3703,0.55,58.55M,58.55M,0.22
1998-12,476.70M,476.70M,269.00M,207.70M,180.50M,-61.30M,,,,,,192.70M,15.00M,,,,-61.30M,,20.40M,7.80M,12.60M,,,,12.60M,50.46M,27.20M,12.20M,15.00M,0.21,0.0,,0.841,0.21,0.21,0.0,,0.841,0.21,60.00M,60.00M,0.22
1998-09,427.30M,427.30M,264.00M,163.30M,176.40M,-149.90M,,,,,,188.20M,-24.90M,,,,-149.90M,,-98.00M,-24.00M,-74.00M,,,,-74.00M,39.19M,-13.10M,11.80M,-24.90M,-1.24,0.0,,0.6567,-1.24,-1.24,0.0,,0.6567,-1.24,59.68M,59.68M,0.22
1998-06,442.20M,442.20M,227.20M,215.00M,178.10M,14.30M,,,,,,188.40M,26.60M,,,,14.30M,,35.40M,12.70M,22.70M,,,,22.70M,13.53M,36.90M,10.30M,26.60M,0.38,0.0,,0.2265,0.38,0.38,0.0,,0.2265,0.38,59.74M,59.74M,0.21
