,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,3.239B,697.00M,3.936B,3.638B,,3.638B,557.00M,830.00M,1.248B,,2.635B,,,,987.00M,11.20B,,,,,,,,19.45B,-12.53B,6.923B,5.861B,1.392B,7.253B,625.00M,,,1.595B,16.44B,27.63B,,1.404B,,,1.404B,1.225B,2.629B,,,,921.00M,,921.00M,,,,2.216B,5.766B,5.204B,,5.204B,,,,2.058B,559.00M,1.686B,8.948B,14.71B,,9.00M,23.25B,3.089B,10.62B,,,-3.368B,12.36B,,AOR,Restated
2009-06,2.596B,378.00M,2.974B,3.456B,,3.456B,553.00M,803.00M,1.245B,,2.601B,,,,867.00M,9.898B,,,,,,,,19.19B,-12.29B,6.899B,5.734B,1.386B,7.12B,413.00M,,,1.726B,16.20B,26.10B,,1.243B,,,1.243B,1.116B,2.359B,,,,908.00M,,908.00M,,,,2.051B,5.318B,5.172B,,5.172B,,,,2.763B,418.00M,1.621B,9.556B,14.87B,,9.00M,22.68B,3.133B,11.34B,,,-3.683B,10.80B,,AOR,Restated
2009-03,1.632B,247.00M,1.879B,3.099B,,3.099B,573.00M,772.00M,1.315B,,2.66B,,,,1.009B,8.647B,,,,,,,,18.56B,-11.82B,6.744B,5.533B,1.402B,6.935B,358.00M,,,1.616B,15.69B,24.34B,,1.124B,,,1.124B,878.00M,2.002B,,,,946.00M,,946.00M,,,,1.78B,4.728B,5.088B,,5.088B,,,,2.811B,404.00M,1.57B,9.469B,14.20B,,9.00M,22.35B,3.086B,11.62B,,,-4.091B,9.737B,,AOR,Restated
2008-12,1.849B,373.00M,2.222B,3.195B,130.00M,3.325B,657.00M,851.00M,1.505B,,3.013B,552.00M,,271.00M,215.00M,9.598B,0.00,281.00M,5.787B,11.74B,,903.00M,99.00M,18.81B,-11.93B,6.886B,5.753B,1.398B,7.151B,463.00M,206.00M,1.053B,400.00M,16.20B,25.79B,,1.301B,,491.00M,1.792B,428.00M,2.22B,,,1.552B,1.552B,,1.552B,322.00M,341.00M,19.00M,887.00M,5.839B,5.166B,58.00M,5.224B,21.00M,22.00M,43.00M,3.384B,424.00M,458.00M,9.65B,15.49B,,9.00M,22.23B,3.006B,11.68B,,,-3.646B,9.88B,,AOR,Restated
2008-09,2.24B,727.00M,2.967B,3.763B,,3.763B,632.00M,933.00M,1.513B,,3.078B,,,,980.00M,10.79B,,,,,,,,18.85B,-12.04B,6.809B,5.573B,1.263B,6.836B,,,,3.176B,16.82B,27.61B,,1.557B,,,1.557B,1.23B,2.787B,,,,2.257B,,2.257B,,,,1.964B,7.008B,4.779B,,4.779B,,,,,,3.621B,8.40B,15.41B,,9.00M,22.07B,2.964B,11.72B,299.00M,-1.424B,-1.125B,12.20B,,,
2008-06,1.547B,455.00M,2.002B,3.943B,,3.943B,651.00M,989.00M,1.535B,,3.175B,,,,1.419B,10.54B,,,,,,,,19.22B,-12.30B,6.919B,5.536B,1.232B,6.768B,,,,3.132B,16.82B,27.36B,,1.658B,,,1.658B,1.302B,2.96B,,,,1.913B,,1.913B,,,,2.114B,6.987B,4.095B,,4.095B,,,,,,3.741B,7.836B,14.82B,,9.00M,21.44B,2.925B,11.30B,,,-534.00M,12.54B,,,Restated
2008-03,2.727B,567.00M,3.294B,3.776B,,3.776B,637.00M,952.00M,1.432B,,3.021B,,,,1.234B,11.32B,,,,,,,,18.96B,-12.19B,6.775B,4.759B,793.00M,5.552B,,,,3.117B,15.44B,26.77B,,1.557B,,,1.557B,1.305B,2.862B,,,,2.042B,,2.042B,,,,1.796B,6.70B,4.14B,,4.14B,,,,,,3.494B,7.634B,14.33B,,9.00M,20.93B,2.833B,10.90B,1.103B,-1.539B,-436.00M,12.44B,,,Restated
2007-12,1.896B,579.00M,2.475B,3.362B,220.00M,3.582B,623.00M,880.00M,1.349B,,2.852B,410.00M,,428.00M,,9.838B,0.00,303.00M,5.496B,11.80B,,684.00M,106.00M,18.39B,-11.81B,6.582B,4.589B,801.00M,5.39B,778.00M,318.00M,176.00M,234.00M,14.86B,24.69B,,1.505B,,712.00M,2.217B,458.00M,2.675B,,,901.00M,901.00M,,901.00M,323.00M,345.00M,22.00M,632.00M,5.362B,4.019B,69.00M,4.088B,355.00M,36.00M,391.00M,1.924B,,872.00M,7.585B,12.95B,,9.00M,20.32B,2.785B,10.52B,,,-747.00M,11.75B,,AOR,Restated
2007-09,1.675B,1.024B,2.699B,3.703B,,3.703B,591.00M,879.00M,1.324B,,2.794B,,,,1.204B,10.40B,,,,,,,,18.01B,-11.67B,6.34B,4.387B,748.00M,5.135B,,,,2.48B,13.96B,24.36B,,1.503B,,,1.503B,1.321B,2.824B,,,,2.405B,,2.405B,,,,1.912B,7.141B,2.824B,,2.824B,,,,,,3.42B,6.244B,13.38B,,9.00M,19.85B,2.731B,10.17B,657.00M,-2.106B,-1.449B,10.97B,,,
2007-06,1.348B,531.00M,1.879B,3.62B,,3.62B,599.00M,884.00M,1.296B,,2.779B,,,,1.176B,9.454B,,,,,,,,17.47B,-11.35B,6.119B,4.244B,743.00M,4.987B,,,,2.256B,13.36B,22.82B,,1.472B,,,1.472B,1.396B,2.868B,,,,2.669B,,2.669B,,,,1.838B,7.375B,1.766B,,1.766B,,,,,,3.403B,5.169B,12.54B,,9.00M,19.32B,2.662B,9.941B,361.00M,-2.138B,-1.777B,10.27B,,,
2007-03,1.697B,589.00M,2.286B,3.444B,,3.444B,587.00M,842.00M,1.285B,,2.714B,,,,1.282B,9.726B,,,,,,,,17.27B,-11.28B,5.991B,4.14B,711.00M,4.851B,,,,2.171B,13.01B,22.74B,,1.441B,,,1.441B,1.458B,2.899B,,,,2.831B,,2.831B,,,,1.774B,7.504B,1.771B,,1.771B,,,,,,3.41B,5.181B,12.68B,,9.00M,18.90B,2.527B,9.521B,283.00M,-2.149B,-1.866B,10.05B,,,
2006-12,1.447B,471.00M,1.918B,3.102B,255.00M,3.357B,571.00M,795.00M,1.235B,,2.601B,658.00M,,412.00M,,8.946B,0.00,281.00M,5.002B,11.13B,,505.00M,99.00M,17.02B,-11.11B,5.907B,4.082B,708.00M,4.79B,480.00M,373.00M,253.00M,150.00M,12.35B,21.29B,,1.402B,,1.31B,2.712B,556.00M,3.268B,,,,2.506B,,2.506B,299.00M,306.00M,7.00M,524.00M,7.323B,1.047B,65.00M,1.112B,84.00M,50.00M,134.00M,2.039B,,727.00M,4.012B,11.34B,,9.00M,17.93B,2.484B,8.456B,,,-1.873B,9.959B,,AOR,Restated
2006-09,999.00M,130.00M,1.129B,3.332B,,3.332B,577.00M,812.00M,1.243B,,2.632B,,,,1.216B,8.309B,,,,,,,,16.75B,-10.96B,5.782B,3.862B,630.00M,4.492B,,,,4.10B,14.37B,22.68B,,1.373B,,,1.373B,1.383B,2.756B,,,,2.57B,,2.57B,,,,1.537B,6.863B,1.23B,,1.23B,,,,,,3.607B,4.837B,11.70B,,9.00M,17.13B,2.417B,8.293B,26.00M,-303.00M,-277.00M,10.98B,,,
2006-06,987.00M,259.00M,1.246B,3.171B,,3.171B,548.00M,797.00M,1.212B,,2.557B,,,,1.127B,8.101B,,,,,,,,16.42B,-10.78B,5.643B,3.572B,501.00M,4.073B,,,,4.216B,13.93B,22.03B,,1.343B,,,1.343B,1.23B,2.573B,,,,1.458B,,1.458B,,,,1.395B,5.426B,1.253B,,1.253B,,,,,,3.832B,5.085B,10.51B,,9.00M,16.59B,2.373B,7.102B,-31.00M,-318.00M,-349.00M,11.52B,,,
2006-03,912.00M,384.00M,1.296B,3.105B,,3.105B,480.00M,747.00M,1.152B,,2.379B,,,,1.141B,7.921B,,,,,,,,16.27B,-10.69B,5.574B,3.492B,482.00M,3.974B,,,,4.144B,13.69B,21.61B,,1.342B,,,1.342B,1.424B,2.766B,,,,1.343B,,1.343B,,,,1.348B,5.457B,1.291B,,1.291B,,,,,,3.876B,5.167B,10.62B,,9.00M,16.22B,2.256B,7.005B,,,-486.00M,10.99B,,,
2005-12,1.072B,0.00,1.072B,2.838B,283.00M,3.121B,406.00M,706.00M,1.05B,,2.162B,524.00M,,236.00M,,7.115B,0.00,256.00M,4.717B,10.73B,,331.00M,93.00M,16.13B,-10.53B,5.593B,3.53B,486.00M,4.016B,272.00M,437.00M,138.00M,65.00M,13.43B,20.54B,,1.256B,,1.152B,2.408B,455.00M,2.863B,,,,1.072B,,1.072B,237.00M,246.00M,9.00M,368.00M,5.238B,1.309B,59.00M,1.368B,1.342B,45.00M,1.387B,1.305B,,848.00M,4.908B,10.15B,,9.00M,15.72B,2.225B,6.965B,,,-411.00M,10.40B,,AOR,Restated
2005-09,1.848B,,1.848B,3.061B,,3.061B,421.00M,693.00M,984.00M,,2.098B,,,,1.16B,8.167B,,,,,,,,16.13B,-10.53B,5.604B,,3.98B,3.98B,,,,3.615B,13.20B,21.37B,,1.249B,,,1.249B,1.528B,2.777B,,,,2.582B,,2.582B,,,,1.52B,6.879B,688.00M,,688.00M,,,,,,3.552B,4.24B,11.12B,,9.00M,16.94B,287.00M,6.548B,,,-445.00M,10.25B,,,
2005-06,1.765B,,1.765B,2.951B,,2.951B,382.00M,671.00M,967.00M,,2.02B,,,,1.212B,7.948B,,,,,,,,15.92B,-10.41B,5.516B,,2.752B,2.752B,,,,3.341B,11.61B,19.56B,,1.201B,,,1.201B,1.662B,2.863B,,,,1.103B,,1.103B,,,,1.34B,5.306B,706.00M,,706.00M,,,,,,3.445B,4.151B,9.457B,,9.00M,16.45B,287.00M,6.175B,,,-467.00M,10.10B,,,
2005-03,2.669B,,2.669B,2.899B,,2.899B,371.00M,655.00M,954.00M,,1.98B,,,,1.374B,8.922B,,,,,,,,16.07B,-10.45B,5.624B,,2.85B,2.85B,,,,3.359B,11.83B,20.76B,,1.201B,,,1.201B,1.442B,2.643B,,,,2.201B,,2.201B,,,,1.393B,6.237B,707.00M,,707.00M,,,,,,3.521B,4.228B,10.46B,,9.00M,16.05B,287.00M,5.843B,,,-214.00M,10.29B,,,
2004-12,2.757B,,2.757B,2.792B,543.00M,3.335B,336.00M,614.00M,947.00M,,1.897B,519.00M,,212.00M,,8.72B,0.00,279.00M,4.619B,10.88B,,415.00M,101.00M,16.29B,-10.58B,5.711B,2.655B,277.00M,2.932B,227.00M,348.00M,132.00M,47.00M,11.99B,20.71B,,1.168B,,1.041B,2.209B,359.00M,2.568B,,,,2.094B,,2.094B,226.00M,244.00M,18.00M,459.00M,6.071B,727.00M,71.00M,798.00M,1.284B,55.00M,1.339B,1.267B,,855.00M,4.259B,10.33B,,9.00M,15.65B,287.00M,5.503B,,,132.00M,10.38B,,AOR,Restated
2004-09,2.20B,,2.20B,2.853B,,2.853B,341.00M,629.00M,983.00M,,1.953B,,,,1.291B,8.297B,,,,,,,,15.87B,-10.40B,5.468B,,2.789B,2.789B,,,,1.51B,9.767B,18.06B,,1.116B,,,1.116B,1.393B,2.509B,,,,1.377B,,1.377B,,,,1.387B,5.273B,1.284B,,1.284B,,,,,,2.811B,4.095B,9.368B,,9.00M,15.23B,287.00M,5.098B,-241.00M,-1.494B,-1.735B,8.696B,,,
2004-06,2.314B,,2.314B,2.913B,,2.913B,337.00M,605.00M,998.00M,,1.94B,,,,1.46B,8.627B,,,,,,,,15.72B,-10.27B,5.456B,,2.799B,2.799B,,,,1.48B,9.735B,18.36B,,1.108B,,,1.108B,1.581B,2.689B,,,,1.358B,,1.358B,,,,1.547B,5.594B,1.303B,,1.303B,,,,,,3.008B,4.311B,9.905B,,9.00M,14.76B,287.00M,4.764B,-315.00M,-1.523B,-1.838B,8.457B,,,
2004-03,1.818B,,1.818B,2.904B,,2.904B,316.00M,585.00M,979.00M,,1.88B,,,,1.461B,8.063B,,,,,,,,15.78B,-10.27B,5.512B,,2.816B,2.816B,,,,1.587B,9.915B,17.98B,,1.066B,,,1.066B,1.457B,2.523B,,,,1.106B,,1.106B,,,,1.534B,5.163B,1.718B,,1.718B,,,,,,2.996B,4.714B,9.877B,,9.00M,14.38B,287.00M,4.797B,-243.00M,-1.538B,-1.781B,8.101B,,,
2003-12,1.836B,,1.836B,2.714B,448.00M,3.162B,299.00M,596.00M,921.00M,,1.816B,543.00M,,363.00M,,7.72B,0.00,259.00M,4.353B,10.85B,,286.00M,92.00M,15.84B,-10.23B,5.609B,2.419B,274.00M,2.693B,218.00M,477.00M,183.00M,67.00M,9.88B,17.60B,,1.087B,,1.051B,2.138B,393.00M,2.531B,,,,1.202B,,1.202B,196.00M,208.00M,12.00M,416.00M,5.082B,1.735B,70.00M,1.805B,426.00M,72.00M,498.00M,1.497B,,833.00M,4.633B,9.715B,,9.00M,14.01B,287.00M,4.641B,,,-1.554B,7.885B,,AOR,Restated
2003-09,1.279B,,1.279B,2.791B,,2.791B,310.00M,611.00M,961.00M,,1.882B,,,,1.39B,7.342B,,,,,,,,15.51B,-10.04B,5.467B,,2.594B,2.594B,,,,1.394B,9.455B,16.80B,,969.00M,,,969.00M,,969.00M,,,,1.255B,,1.255B,,,,2.744B,4.968B,1.738B,,1.738B,,,,,,2.583B,4.321B,9.289B,,9.00M,13.65B,287.00M,4.535B,-509.00M,-1.393B,-1.902B,7.508B,,,
2003-06,974.00M,,974.00M,2.771B,,2.771B,323.00M,628.00M,1.039B,,1.99B,,,,1.302B,7.037B,,,,,,,,15.44B,-9.883B,5.555B,,2.533B,2.533B,,,,1.441B,9.529B,16.57B,,972.00M,,,972.00M,,972.00M,,,,1.059B,,1.059B,,,,2.796B,4.827B,1.962B,,1.962B,,,,,,2.822B,4.784B,9.611B,,5.00M,13.26B,291.00M,4.609B,-572.00M,-1.416B,-1.988B,6.955B,,,
2003-03,561.00M,,561.00M,2.643B,,2.643B,328.00M,621.00M,1.008B,,1.957B,,,,1.303B,6.464B,,,,,,,,15.19B,-9.641B,5.55B,,2.428B,2.428B,,,,1.403B,9.381B,15.84B,,963.00M,,,963.00M,,963.00M,,,,1.20B,,1.20B,,,,2.529B,4.692B,2.119B,,2.119B,,,,,,2.718B,4.837B,9.529B,,5.00M,12.94B,291.00M,4.688B,-824.00M,-1.403B,-2.227B,6.316B,,,
2002-12,618.00M,,618.00M,2.527B,313.00M,2.84B,329.00M,591.00M,1.011B,,1.931B,439.00M,,231.00M,,6.059B,0.00,238.00M,3.979B,10.42B,,391.00M,27.00M,15.06B,-9.437B,5.621B,1.898B,269.00M,2.167B,238.00M,446.00M,210.00M,121.00M,9.27B,15.33B,,945.00M,,675.00M,1.62B,279.00M,1.899B,,,,1.237B,,1.237B,198.00M,208.00M,10.00M,345.00M,4.457B,2.14B,2.00M,2.142B,346.00M,112.00M,458.00M,1.527B,,752.00M,4.879B,9.336B,,5.00M,12.75B,291.00M,4.767B,,,-2.026B,5.993B,,,Restated
2002-09,821.00M,,821.00M,2.585B,,2.585B,332.00M,594.00M,1.019B,,1.945B,,,,1.205B,6.556B,,,,,,,,14.71B,-9.258B,5.451B,,1.412B,1.412B,,,,2.30B,9.163B,15.72B,,867.00M,,,867.00M,,867.00M,,,,1.261B,,1.261B,,,,2.383B,4.511B,1.678B,,1.678B,,,,,,2.887B,4.565B,9.076B,,5.00M,12.51B,291.00M,4.767B,-1.039B,-357.00M,-1.396B,6.643B,,,
2002-06,665.00M,,665.00M,2.795B,,2.795B,354.00M,577.00M,1.067B,,1.998B,,,,1.165B,6.623B,,,,,,,,14.74B,-9.183B,5.552B,,1.314B,1.314B,,,,1.472B,8.338B,14.96B,,835.00M,,,835.00M,,835.00M,,,,806.00M,,806.00M,,,,2.545B,4.186B,1.838B,,1.838B,,,,,,2.557B,4.395B,8.581B,,5.00M,12.23B,291.00M,4.791B,-969.00M,-383.00M,-1.352B,6.38B,,,
2002-03,590.00M,,590.00M,2.61B,,2.61B,364.00M,590.00M,1.046B,,2.00B,,,,1.073B,6.273B,,,,,,,,14.32B,-8.836B,5.488B,,1.241B,1.241B,,,,1.429B,8.158B,14.43B,,781.00M,,,781.00M,,781.00M,,,,984.00M,,984.00M,,,,2.247B,4.012B,1.891B,,1.891B,,,,,,2.526B,4.417B,8.429B,,5.00M,12.08B,291.00M,4.856B,-1.161B,-355.00M,-1.516B,6.002B,,,
2001-12,616.00M,,616.00M,2.482B,304.00M,2.786B,377.00M,611.00M,1.103B,,2.091B,,,290.00M,513.00M,6.296B,0.00,224.00M,3.51B,10.21B,,423.00M,,14.36B,-8.75B,5.615B,,1.213B,1.213B,,,152.00M,1.33B,8.31B,14.61B,,753.00M,,,753.00M,,753.00M,,,,1.373B,,1.373B,,,,2.383B,4.509B,1.52B,,1.52B,469.00M,,469.00M,,527.00M,1.495B,3.484B,7.993B,,5.00M,11.91B,291.00M,4.633B,-1.152B,-339.00M,-1.491B,6.086B,,,Restated
2001-09,439.00M,,439.00M,2.851B,,2.851B,417.00M,660.00M,1.165B,,2.242B,,,,1.024B,6.556B,,,,,,,,14.53B,-8.719B,5.813B,,,,,,,2.836B,8.649B,15.20B,,1.189B,,,1.189B,,1.189B,,,,1.588B,,1.588B,,,,2.229B,5.006B,1.425B,,1.425B,,,,,,2.608B,4.033B,9.039B,,5.00M,11.78B,291.00M,4.541B,-1.033B,-341.00M,-1.374B,6.166B,,,
2001-06,566.00M,,566.00M,2.951B,,2.951B,416.00M,684.00M,1.199B,,2.299B,,,,975.00M,6.791B,,,,,,,,14.27B,-8.45B,5.819B,,,,,,,2.707B,8.526B,15.32B,,1.154B,,,1.154B,,1.154B,,,,2.086B,,2.086B,,,,2.28B,5.52B,1.24B,,1.24B,,,,,,2.436B,3.676B,9.196B,,5.00M,11.64B,291.00M,4.346B,-1.133B,-335.00M,-1.468B,6.121B,,,
2001-03,575.00M,,575.00M,2.948B,,2.948B,427.00M,694.00M,1.22B,,2.341B,,,,961.00M,6.825B,,,,,,,,14.23B,-8.373B,5.853B,,,,,,,2.686B,8.539B,15.36B,,1.162B,,,1.162B,,1.162B,,,,2.302B,,2.302B,,,,1.971B,5.435B,955.00M,,955.00M,,,,,,2.501B,3.456B,8.891B,,5.00M,11.70B,291.00M,4.12B,-1.071B,-335.00M,-1.406B,6.473B,,,
2000-12,302.00M,,302.00M,2.891B,,2.891B,418.00M,663.00M,1.231B,,2.312B,,,152.00M,722.00M,6.379B,0.00,249.00M,3.477B,9.958B,,486.00M,,14.17B,-8.347B,5.823B,,852.00M,852.00M,,,143.00M,1.325B,8.143B,14.52B,,1.081B,,,1.081B,,1.081B,,,,1.866B,,1.866B,,,,1.807B,4.754B,971.00M,,971.00M,362.00M,,362.00M,,346.00M,1.558B,2.891B,7.645B,,5.00M,11.52B,291.00M,4.065B,-885.00M,-332.00M,-1.217B,6.531B,,,
2000-09,323.00M,,323.00M,3.057B,,3.057B,415.00M,603.00M,1.218B,,2.236B,,,,1.035B,6.651B,,,,,,,,13.56B,-8.022B,5.536B,,,,,,,2.495B,8.031B,14.68B,,1.077B,,,1.077B,,1.077B,,,,1.633B,,1.633B,,,,2.12B,4.83B,1.141B,,1.141B,,,,,,2.274B,3.415B,8.245B,,5.00M,11.45B,291.00M,4.21B,-910.00M,-185.00M,-1.095B,6.437B,,,
2000-06,420.00M,16.00M,436.00M,3.009B,,3.009B,419.00M,607.00M,1.226B,,2.252B,,,,1.057B,6.754B,,,,,,,,13.65B,-7.936B,5.71B,,,,,,,2.469B,8.179B,14.93B,,1.078B,,,1.078B,,1.078B,,,,1.871B,,1.871B,,,,2.025B,4.974B,1.193B,,1.193B,,,,,,2.343B,3.536B,8.51B,,5.00M,11.17B,291.00M,4.127B,-753.00M,-166.00M,-919.00M,6.423B,,,
2000-03,214.00M,62.00M,276.00M,2.81B,,2.81B,379.00M,586.00M,1.142B,,2.107B,,,,914.00M,6.107B,,,,,,,,13.41B,-7.802B,5.604B,,,,,,,2.258B,7.862B,13.97B,,984.00M,,,984.00M,,984.00M,,,,1.094B,,1.094B,,,,1.864B,3.942B,1.449B,,1.449B,,,,,,2.319B,3.768B,7.71B,,236.00M,10.98B,60.00M,4.084B,-748.00M,-180.00M,-928.00M,6.259B,,,
1999-12,387.00M,,387.00M,2.778B,,2.778B,383.00M,544.00M,1.103B,,2.03B,,,172.00M,699.00M,6.066B,0.00,265.00M,3.429B,9.356B,,602.00M,,13.65B,-7.876B,5.776B,,537.00M,537.00M,,,88.00M,1.429B,7.83B,13.90B,,1.008B,,,1.008B,,1.008B,,,,1.13B,,1.13B,,,,1.681B,3.819B,1.48B,,1.48B,332.00M,,332.00M,,371.00M,1.605B,3.417B,7.236B,,236.00M,10.74B,60.00M,3.833B,-694.00M,-221.00M,-915.00M,6.289B,,,
1999-09,302.00M,188.00M,490.00M,2.848B,,2.848B,438.00M,525.00M,1.088B,,2.051B,,,,1.194B,6.583B,,,,,,,,13.23B,-7.767B,5.46B,,,,,,,1.862B,7.322B,13.90B,,975.00M,,,975.00M,,975.00M,,,,640.00M,,640.00M,,,,2.25B,3.865B,1.55B,,1.55B,,,,,,2.12B,3.67B,7.535B,,236.00M,10.54B,60.00M,3.584B,-658.00M,-220.00M,-878.00M,6.37B,,,
1999-06,258.00M,217.00M,475.00M,2.712B,,2.712B,423.00M,536.00M,1.062B,,2.021B,,,,1.03B,6.238B,,,,,,,,13.22B,-7.818B,5.398B,,,,,,,1.731B,7.129B,13.37B,,885.00M,,,885.00M,,885.00M,,,,748.00M,,748.00M,,,,2.047B,3.68B,1.553B,,1.553B,,,,,,1.961B,3.514B,7.194B,,236.00M,10.33B,60.00M,3.446B,-728.00M,-279.00M,-1.007B,6.173B,,,
1999-03,253.00M,98.00M,351.00M,2.647B,,2.647B,407.00M,538.00M,1.147B,,2.092B,,,,966.00M,6.056B,,,,,,,,13.28B,-7.759B,5.516B,,,,,,,2.174B,7.69B,13.75B,,913.00M,,,913.00M,,913.00M,,,,1.151B,,1.151B,,,,1.918B,3.982B,1.569B,,1.569B,,,,,,2.226B,3.795B,7.777B,,236.00M,10.12B,60.00M,3.43B,-702.00M,-316.00M,-1.018B,5.969B,,,
1998-12,211.00M,237.00M,448.00M,2.666B,,2.666B,445.00M,613.00M,1.161B,,2.219B,,,175.00M,711.00M,6.219B,0.00,283.00M,3.328B,9.102B,,684.00M,,13.40B,-7.831B,5.566B,,523.00M,523.00M,,,88.00M,1.757B,7.934B,14.15B,,868.00M,,,868.00M,,868.00M,,,,1.492B,,1.492B,,6.00M,6.00M,1.856B,4.222B,1.614B,,1.614B,193.00M,,193.00M,,390.00M,1.798B,3.605B,7.827B,,236.00M,9.98B,60.00M,3.482B,-518.00M,-340.00M,-858.00M,5.936B,,,
1998-09,204.00M,177.00M,381.00M,2.664B,,2.664B,468.00M,636.00M,1.324B,,2.428B,,,,1.017B,6.49B,,,,,,,,13.00B,-7.684B,5.311B,,,,,,,2.164B,7.475B,13.96B,,878.00M,,,878.00M,,878.00M,,,,1.696B,,1.696B,,,,1.926B,4.50B,1.426B,,1.426B,,,,,,2.155B,3.581B,8.081B,,236.00M,10.02B,60.00M,3.539B,-553.00M,-345.00M,-898.00M,5.884B,,,
1998-06,219.00M,185.00M,404.00M,2.612B,,2.612B,489.00M,647.00M,1.331B,,2.467B,,,,883.00M,6.366B,,,,,,,,12.55B,-7.286B,5.266B,,,,,,,2.246B,7.512B,13.88B,,901.00M,,,901.00M,,901.00M,,,,1.787B,,1.787B,,,,1.695B,4.383B,1.221B,,1.221B,,,,,,2.23B,3.451B,7.834B,,236.00M,10.08B,60.00M,3.357B,-624.00M,-352.00M,-976.00M,6.044B,,,
1998-03,180.00M,248.00M,428.00M,2.583B,,2.583B,491.00M,642.00M,1.346B,,2.479B,,,,882.00M,6.372B,,,,,,,,12.33B,-7.174B,5.154B,,,,,,,2.131B,7.285B,13.66B,,846.00M,,,846.00M,,846.00M,,,,1.521B,,1.521B,,,,1.845B,4.212B,1.216B,,1.216B,,,,,,2.216B,3.432B,7.644B,,236.00M,9.97B,60.00M,3.301B,-589.00M,-363.00M,-952.00M,6.013B,,,
1997-12,230.00M,247.00M,477.00M,2.434B,,2.434B,501.00M,605.00M,1.293B,,2.399B,,,134.00M,724.00M,6.168B,0.00,275.00M,2.916B,8.178B,,729.00M,,12.10B,-7.064B,5.034B,,,,,,167.00M,1.869B,7.07B,13.24B,,898.00M,,,898.00M,,898.00M,,,,1.499B,,1.499B,,9.00M,9.00M,1.577B,3.983B,1.015B,,1.015B,89.00M,,89.00M,,361.00M,1.864B,2.968B,6.951B,,236.00M,9.848B,60.00M,3.30B,-547.00M,-371.00M,-918.00M,5.926B,,,
1997-09,306.00M,222.00M,528.00M,2.64B,,2.64B,494.00M,626.00M,1.253B,,2.373B,,,,1.082B,6.623B,,,,,,,,12.03B,-7.117B,4.914B,,,,,,,1.884B,6.798B,13.42B,,908.00M,,,908.00M,,908.00M,,,,585.00M,,585.00M,,,,1.99B,3.483B,1.131B,,1.131B,,,,,,2.483B,3.614B,7.097B,,236.00M,9.744B,60.00M,2.941B,-394.00M,-381.00M,-775.00M,6.324B,,,
1997-06,391.00M,121.00M,512.00M,2.668B,,2.668B,485.00M,635.00M,1.25B,,2.37B,,,,1.168B,6.718B,,,,,,,,12.22B,-7.241B,4.976B,,,,,,,1.90B,6.876B,13.59B,,910.00M,,,910.00M,,910.00M,,,,1.014B,,1.014B,,,,1.611B,3.535B,1.118B,,1.118B,,,,,,2.592B,3.71B,7.245B,,236.00M,9.061B,60.00M,2.315B,-302.00M,-391.00M,-693.00M,6.349B,,,
1997-03,373.00M,163.00M,536.00M,2.612B,,2.612B,489.00M,614.00M,1.201B,,2.304B,,,,985.00M,6.437B,,,,,,,,11.98B,-7.159B,4.826B,,,,,,,2.033B,6.859B,13.30B,,887.00M,,,887.00M,,887.00M,,,,1.151B,,1.151B,,,,1.647B,3.685B,831.00M,,831.00M,,,,,,2.544B,3.375B,7.06B,,296.00M,8.921B,,2.25B,-334.00M,-397.00M,-731.00M,6.236B,,,
