,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.525B,,1.525B,551.91M,,621.92M,940.38M,28.62M,636.74M,,1.138B,34.35M,,,3.319B,,,,,7.538B,,7.538B,-2.645B,4.893B,2.375B,643.88M,3.019B,,349.18M,,,2020-09,825.02M,6.698M,831.72M,306.34M,1.138B,,98.79M,98.79M,,,,1.237B,3.176B,300.47M,3.477B,728.90M,728.90M,540.43M,260.61M,4.466B,2020-09,2.56M,4.089B,4.217B,2.982B,,2020-09,AOR,
2020-06,902.51M,,902.51M,593.38M,,671.11M,1.002B,33.68M,668.96M,,1.174B,56.21M,,,2.804B,,,,,7.443B,,7.443B,-2.568B,4.876B,2.374B,651.49M,3.025B,,359.20M,,,2020-06,870.70M,18.76M,889.45M,341.25M,1.231B,,102.34M,102.34M,,,,1.333B,2.481B,318.96M,2.800B,765.57M,765.57M,531.93M,250.99M,3.816B,2020-06,2.56M,4.148B,4.216B,2.986B,,2020-06,AOR,
2020-03,909.13M,,909.13M,569.18M,,575.40M,1.008B,39.12M,696.99M,,943.64M,80.98M,,,2.509B,,,,,7.692B,,7.692B,-2.487B,5.205B,2.373B,643.31M,3.017B,,491.15M,,,2020-03,841.38M,17.05M,858.44M,347.84M,1.206B,,102.60M,102.60M,,,,1.309B,2.496B,334.59M,2.831B,723.58M,723.58M,516.32M,248.26M,3.802B,2020-03,2.56M,4.382B,4.208B,2.987B,,2020-03,AOR,
2019-12,885.16M,,885.16M,879.68M,,885.16M,1.038B,36.79M,639.94M,,1.474B,61.66M,,,3.306B,447.55M,,,6.062B,1.008B,187.16M,7.704B,-2.415B,5.290B,2.374B,373.51M,2.747B,,521.28M,300.14M,,2019-12,1.216B,27.96M,1.244B,337.99M,1.582B,,104.42M,104.42M,,,,1.686B,2.456B,364.42M,2.820B,889.27M,889.27M,531.23M,260.16M,3.969B,2019-12,2.56M,4.744B,4.205B,2.988B,,2019-12,AOR,
2019-09,981.86M,,981.86M,839.83M,,863.42M,957.54M,29.04M,860.13M,,1.637B,50.43M,,,3.533B,,,,,7.587B,,7.587B,-2.337B,5.251B,2.370B,632.35M,3.003B,,405.04M,,,2019-09,1.230B,18.78M,1.249B,357.18M,1.606B,,99.62M,99.62M,,,,1.705B,2.425B,355.41M,2.781B,916.52M,916.52M,521.16M,247.46M,3.945B,2019-09,2.56M,4.741B,4.225B,2.965B,,2019-09,AOR,Restated
2019-06,914.64M,,914.64M,799.37M,,863.94M,1.029B,35.85M,747.15M,,1.637B,51.23M,,,3.466B,,,,,7.516B,,7.516B,-2.263B,5.253B,2.376B,637.53M,3.013B,,372.20M,,,2019-06,1.199B,25.82M,1.225B,344.90M,1.570B,,93.99M,93.99M,,,,1.664B,2.431B,357.64M,2.788B,877.46M,877.46M,517.85M,243.54M,3.909B,2019-06,2.56M,4.533B,4.216B,2.769B,,2019-06,AOR,Restated
2019-03,496.14M,,496.14M,1.041B,,1.080B,1.080B,30.86M,684.75M,,1.668B,77.53M,,,3.321B,,,,,7.427B,,7.427B,-2.183B,5.244B,2.528B,641.13M,3.169B,,388.55M,,,2019-03,1.159B,73.59M,1.232B,349.26M,1.582B,,87.67M,87.67M,,,,1.669B,2.431B,342.17M,2.773B,844.57M,844.57M,530.53M,241.90M,3.860B,2019-03,2.56M,4.393B,4.205B,2.564B,,2019-03,AOR,Restated
2018-12,1.155B,,1.155B,671.70M,,705.74M,1.020B,31.41M,662.71M,,1.354B,81.51M,,,3.296B,455.51M,,,5.785B,296.84M,243.78M,6.781B,-2.098B,4.683B,2.246B,182.37M,2.429B,,339.86M,247.03M,,2018-12,872.63M,17.64M,890.26M,277.89M,1.168B,,0.00,0.00,,,,1.168B,2.412B,0.00,2.412B,722.58M,722.58M,540.49M,233.27M,3.367B,2018-12,2.56M,4.197B,4.196B,2.491B,,2018-12,AOR,Restated
2018-09,1.076B,,1.076B,847.60M,,862.48M,1.105B,35.26M,753.56M,,1.862B,57.07M,,,3.858B,,,,,,,6.704B,-2.031B,4.673B,2.256B,435.82M,2.691B,,272.60M,,,2018-09,1.176B,78.32M,1.255B,285.90M,1.541B,,,,,,,1.541B,2.409B,,2.409B,755.56M,755.56M,551.23M,226.27M,3.391B,2018-09,2.56M,4.113B,4.200B,2.329B,,2018-09,AOR,Restated
2018-06,979.87M,,979.87M,825.25M,,843.12M,1.165B,28.65M,636.68M,,1.817B,62.60M,,,3.702B,,,,,,,6.616B,-1.955B,4.661B,2.241B,422.71M,2.664B,,254.48M,,,2018-06,1.243B,74.85M,1.318B,237.71M,1.556B,,,,,,,1.556B,2.388B,,2.388B,705.07M,705.07M,563.28M,229.03M,3.322B,2018-06,2.56M,3.832B,4.192B,2.198B,,2018-06,AOR,Restated
2018-03,781.47M,,781.47M,842.80M,,864.41M,1.124B,33.90M,554.60M,,1.592B,54.76M,,,3.293B,,,,,,,6.558B,-1.885B,4.673B,2.243B,432.84M,2.676B,,270.06M,,,2018-03,1.194B,35.72M,1.230B,235.21M,1.465B,,,,,,,1.465B,2.383B,,2.383B,679.90M,679.90M,576.45M,226.38M,3.289B,2018-03,2.56M,3.545B,4.184B,2.169B,,2018-03,AOR,Restated
2017-12,630.76M,,630.76M,720.73M,,765.07M,1.174B,24.79M,655.34M,,1.630B,36.91M,,,3.063B,442.21M,,,5.409B,467.47M,205.05M,6.524B,-1.811B,4.713B,2.245B,198.99M,2.444B,,231.32M,241.00M,,2017-12,1.221B,3.159M,1.224B,198.76M,1.423B,,,,,,,1.423B,2.499B,,2.499B,647.78M,647.78M,526.11M,225.73M,3.373B,2017-12,2.56M,3.347B,4.133B,2.141B,,2017-12,AOR,Restated
