,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,548.00M,548.00M,353.40M,194.60M,,76.20M,12.50M,-6.20M,2.10M,0.20M,-1.90M,-0.50M,88.20M,106.40M,0.20M,2.10M,-1.90M,-6.80M,-1.90M,97.70M,21.10M,82.30M,,,,82.30M,87.94M,128.20M,28.40M,99.80M,1.11,,,1.186,1.11,1.09,,,1.1640000000000001,1.09,73.90M,75.80M,0.16
2020-06,527.20M,527.20M,332.10M,195.10M,,77.70M,10.80M,-6.40M,2.00M,0.20M,-1.80M,-1.40M,87.10M,108.00M,0.20M,2.00M,-1.80M,-4.20M,-1.80M,102.00M,16.00M,91.20M,,,,91.20M,94.91M,130.20M,26.20M,104.00M,1.24,,,1.29,1.24,1.21,,,1.2590000000000001,1.21,73.80M,75.50M,0.16
2020-03,491.50M,491.50M,324.50M,167.00M,,71.80M,10.70M,0.00,2.00M,0.80M,-1.20M,,82.50M,84.50M,0.80M,2.00M,-1.20M,3.20M,-1.20M,86.50M,15.00M,74.30M,,,,74.30M,71.41M,114.50M,26.00M,88.50M,1.01,,,0.9709,1.01,0.99,,,0.9517,0.99,73.90M,75.50M,0.16
2019-12,470.60M,470.60M,317.40M,153.20M,,69.00M,10.20M,-0.50M,2.10M,1.30M,-0.80M,-3.40M,71.10M,82.10M,1.30M,2.10M,-0.80M,-3.90M,-0.80M,77.40M,16.50M,63.90M,,,,63.90M,67.05M,105.80M,26.30M,79.50M,0.86,,,0.9024,0.86,0.84,,,0.8816,0.84,74.30M,75.70M,0.16
2019-09,456.10M,456.10M,308.30M,147.80M,,64.80M,9.30M,-2.70M,2.10M,1.00M,-1.10M,-2.40M,71.70M,76.10M,1.00M,2.10M,-1.10M,-10.10M,-1.10M,64.90M,10.90M,56.30M,,,,56.30M,63.62M,92.30M,25.30M,67.00M,0.76,,,0.8589,0.76,0.75,,,0.847,0.75,74.00M,75.50M,0.15
2019-06,469.70M,469.70M,311.80M,157.90M,,70.30M,9.60M,-2.70M,2.00M,0.60M,-1.40M,-0.40M,79.50M,78.40M,0.60M,2.00M,-1.40M,2.60M,-1.40M,79.60M,15.50M,66.10M,,,,66.10M,64.41M,107.90M,26.30M,81.60M,0.9,,,0.877,0.9,0.88,,,0.8575,0.88,73.70M,75.10M,0.15
2019-03,443.50M,443.50M,296.70M,146.80M,,68.60M,9.80M,-0.80M,2.30M,0.90M,-1.40M,0.70M,79.10M,67.70M,0.90M,2.30M,-1.40M,3.60M,-1.40M,69.90M,16.10M,55.40M,,,,55.40M,53.09M,97.70M,25.50M,72.20M,0.75,,,0.7189,0.75,0.73,,,0.6994,0.73,74.10M,75.30M,0.15
2018-12,422.50M,422.50M,289.30M,133.20M,,59.70M,9.80M,1.00M,2.30M,0.70M,-1.60M,-1.10M,68.40M,64.80M,0.70M,2.30M,-1.60M,2.60M,-1.60M,65.80M,14.90M,52.00M,,,,52.00M,51.23M,94.40M,26.30M,68.10M,0.7,,,0.6895,0.7,0.69,,,0.6797,0.69,73.90M,75.40M,0.15
2018-09,431.70M,431.70M,296.10M,135.60M,,64.90M,10.10M,-1.40M,2.00M,0.50M,-1.50M,-2.70M,72.30M,63.30M,0.50M,2.00M,-1.50M,-0.70M,-1.50M,61.10M,8.00M,55.20M,,,,55.20M,57.37M,89.30M,26.20M,63.10M,0.75,,,0.7794,0.75,0.73,,,0.7587,0.73,73.90M,75.70M,0.14
2018-06,447.50M,447.50M,305.30M,142.20M,70.00M,70.00M,10.80M,-2.50M,2.20M,0.30M,-1.90M,-1.40M,79.40M,62.80M,0.30M,2.20M,-1.90M,-0.80M,-1.90M,60.10M,6.00M,56.10M,,,,56.10M,58.35M,87.80M,25.50M,62.30M,0.76,,,0.7906,0.76,0.75,,,0.78,0.75,73.60M,75.00M,0.14
2018-03,415.70M,415.70M,281.30M,134.40M,68.30M,68.30M,9.60M,-3.60M,1.90M,0.60M,-1.30M,-0.50M,77.40M,57.00M,0.60M,1.90M,-1.30M,-2.00M,-1.30M,53.70M,12.50M,43.60M,,,,43.60M,46.36M,82.00M,26.40M,55.60M,0.59,,,0.6274,0.59,0.58,,,0.6166,0.58,73.90M,75.50M,0.14
2017-12,415.60M,415.60M,287.00M,128.60M,,59.60M,9.70M,2.90M,2.10M,0.40M,-1.70M,1.80M,71.10M,57.50M,0.40M,2.10M,-1.70M,3.50M,-1.70M,59.30M,61.80M,0.00,,,,0.00,-1.74M,86.30M,24.90M,61.40M,0.0,,,-0.0234,0.0,0.0,,,-0.0234,0.0,74.20M,74.20M,0.14
2017-09,398.20M,398.20M,273.10M,125.10M,62.60M,62.60M,9.10M,0.20M,1.40M,0.30M,-1.10M,-9.30M,62.40M,62.70M,0.30M,1.40M,-1.10M,1.30M,-1.10M,62.90M,14.00M,51.00M,,,,51.00M,50.84M,89.30M,25.00M,64.30M,0.69,,,0.6879,0.69,0.67,,,0.668,0.67,74.20M,75.90M,0.13
2017-06,397.60M,397.60M,272.60M,125.00M,61.30M,61.30M,10.00M,-11.50M,2.20M,0.30M,-1.90M,0.20M,71.50M,53.50M,0.30M,2.20M,-1.90M,-10.90M,-1.90M,40.70M,2.90M,38.80M,,,,38.80M,49.48M,66.40M,23.50M,42.90M,0.53,,,0.6746,0.53,0.51,,,0.6509,0.51,73.90M,75.80M,0.13
2017-03,387.70M,387.70M,253.50M,134.20M,62.50M,62.50M,10.30M,-0.30M,2.10M,0.30M,-1.80M,0.60M,73.40M,60.80M,0.30M,2.10M,-1.80M,0.50M,-1.80M,59.50M,2.20M,60.90M,,,,60.90M,61.19M,84.90M,23.30M,61.60M,0.83,,,0.8339,0.83,0.81,,,0.8139,0.81,73.30M,74.90M,0.13
2016-12,382.30M,382.30M,258.60M,123.70M,60.70M,60.70M,9.60M,-3.10M,1.40M,0.30M,-1.10M,-2.40M,67.90M,55.80M,0.30M,1.40M,-1.10M,-1.50M,-1.10M,53.20M,16.10M,39.10M,,,,39.10M,41.26M,77.40M,22.80M,54.60M,0.53,,,0.5591,0.53,0.52,,,0.5485,0.52,74.20M,75.90M,0.13
2016-09,376.70M,376.70M,255.60M,121.10M,58.30M,58.30M,9.00M,-2.30M,2.20M,0.20M,-2.00M,0.20M,67.50M,53.60M,0.20M,2.20M,-2.00M,-2.30M,-2.00M,49.30M,14.40M,37.60M,,,,37.60M,39.23M,74.40M,22.90M,51.50M,0.51,,,0.5322,0.51,0.5,,,0.5217,0.5,73.30M,75.00M,0.12
2016-06,388.00M,388.00M,254.70M,133.30M,62.50M,62.50M,8.80M,-0.20M,2.00M,0.30M,-1.70M,0.60M,71.90M,61.40M,0.30M,2.00M,-1.70M,-0.20M,-1.70M,59.50M,17.00M,44.70M,,,,44.70M,44.84M,84.20M,22.70M,61.50M,0.61,,,0.6119,0.61,0.6,,,0.6019,0.6,73.30M,74.80M,0.12
2016-03,362.10M,362.10M,238.80M,123.30M,58.10M,58.10M,9.40M,-23.10M,2.50M,0.30M,-2.20M,,67.50M,55.80M,0.30M,2.50M,-2.20M,-25.80M,-2.20M,27.80M,6.90M,22.10M,,,,22.10M,41.50M,52.60M,22.30M,30.30M,0.31,,,0.5776,0.31,0.3,,,0.5618,0.3,72.50M,74.10M,0.12
2015-12,359.70M,359.70M,240.10M,119.60M,62.40M,62.40M,10.00M,-1.70M,2.90M,0.30M,-2.60M,0.30M,72.70M,46.90M,0.30M,2.90M,-2.60M,-1.70M,-2.60M,42.60M,11.20M,33.40M,,,,33.40M,34.65M,68.80M,23.30M,45.50M,0.46,,,0.4773,0.46,0.45,,,0.4668,0.45,72.30M,74.40M,0.12
2015-09,344.50M,344.50M,236.20M,108.30M,54.60M,54.60M,8.50M,-49.50M,3.70M,0.50M,-3.20M,-0.80M,62.30M,46.00M,0.50M,3.70M,-3.20M,-49.50M,-3.20M,-6.70M,-6.60M,1.50M,,,,1.50M,31.20M,19.40M,22.40M,-3.00M,0.02,,,0.4314,0.02,0.02,,,0.4219,0.02,72.20M,73.90M,0.11
2015-06,359.70M,359.70M,241.50M,118.20M,71.70M,71.70M,8.10M,-0.10M,3.40M,0.40M,-3.00M,-0.80M,79.00M,39.20M,0.40M,3.40M,-3.00M,-0.10M,-3.00M,36.10M,9.20M,27.80M,,,,27.80M,27.87M,61.70M,22.20M,39.50M,0.39,,,0.391,0.39,0.38,,,0.381,0.38,72.00M,73.70M,0.11
2015-03,335.90M,335.90M,226.20M,109.70M,55.20M,55.20M,7.50M,-0.20M,4.10M,0.40M,-3.70M,-0.40M,62.30M,47.40M,0.40M,4.10M,-3.70M,-0.20M,-3.70M,44.10M,12.50M,32.90M,,,,32.90M,33.04M,70.20M,22.00M,48.20M,0.46,,,0.462,0.46,0.45,,,0.452,0.45,71.70M,73.30M,0.11
2014-12,349.80M,349.80M,240.10M,109.70M,58.80M,58.80M,7.80M,0.00,3.80M,0.80M,-3.00M,-1.50M,65.10M,44.60M,0.80M,3.80M,-3.00M,0.00,-3.00M,41.60M,11.70M,31.40M,,,,31.40M,31.40M,67.40M,22.00M,45.40M,0.44,,,0.44,0.44,0.43,,,0.43,0.43,71.20M,73.70M,0.11
2014-09,355.90M,355.90M,246.00M,109.90M,56.00M,56.00M,10.80M,-0.30M,4.50M,1.80M,-2.70M,-1.20M,65.60M,44.30M,1.80M,4.50M,-2.70M,-0.30M,-2.70M,41.30M,11.70M,31.00M,,,,31.00M,31.22M,68.90M,23.10M,45.80M,0.44,,,0.443,0.44,0.43,,,0.433,0.43,71.00M,72.60M,0.1
