,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,9.352B,16.78B,,16.78B,,,,,11.40B,1.93B,,,39.46B,,,,,,,,,12.40B,6.394B,1.308B,7.702B,,13.41B,1.523B,3.827B,38.86B,78.32B,,6.128B,562.00M,6.69B,4.738B,11.43B,,,11.16B,11.16B,11.16B,1.108B,1.108B,,2.017B,25.72B,26.00B,,26.00B,,,6.872B,47.00M,,4.358B,37.23B,62.95B,,6.23B,35.17B,25.18B,,,,-888.00M,15.33B,,AOR,
2020-09,,9.315B,15.94B,,15.94B,4.356B,1.113B,5.984B,,11.45B,1.831B,,,38.53B,,,,,,,,,12.23B,6.304B,1.363B,7.667B,,13.36B,1.44B,3.51B,38.21B,76.74B,,5.193B,0.00,5.193B,4.579B,9.772B,,,12.02B,12.02B,12.02B,1.209B,1.209B,,1.978B,24.98B,26.11B,,26.11B,,,6.254B,45.00M,,4.408B,36.77B,61.75B,,6.204B,35.51B,25.32B,,,,-1.448B,14.95B,,AOR,
2020-06,,8.784B,15.92B,,15.92B,4.456B,1.076B,5.839B,,11.37B,1.792B,,,37.86B,,,,,,,,,12.36B,6.192B,1.42B,7.612B,,13.73B,1.459B,3.549B,38.70B,76.57B,,5.083B,558.00M,5.641B,4.505B,10.15B,,,11.72B,11.72B,11.72B,1.227B,1.227B,,2.143B,25.23B,26.91B,,26.91B,,,6.285B,43.00M,,4.366B,37.56B,62.79B,,6.12B,34.84B,25.41B,,,,-1.815B,13.73B,,AOR,
2020-03,,7.123B,16.95B,,16.95B,4.511B,1.227B,6.01B,,11.75B,1.761B,,,37.59B,,,,,,,,,12.49B,6.14B,1.478B,7.618B,,13.22B,1.426B,3.559B,38.31B,75.89B,,5.769B,0.00,5.769B,4.654B,10.42B,,,12.72B,12.72B,12.72B,1.295B,1.295B,,2.074B,26.52B,24.37B,,24.37B,,,6.333B,42.00M,,4.437B,35.14B,61.66B,,6.046B,35.50B,25.34B,,,,-2.012B,14.20B,,AOR,
2019-12,,8.284B,17.90B,,17.90B,4.521B,1.147B,5.598B,,11.27B,1.739B,,,39.19B,0.00,664.00M,6.71B,15.02B,6.208B,620.00M,29.22B,-16.31B,12.90B,6.196B,1.565B,7.761B,,13.84B,1.411B,3.34B,39.26B,78.45B,,5.957B,567.00M,6.524B,5.379B,11.90B,,,11.38B,11.38B,11.38B,1.187B,1.187B,,2.155B,26.62B,26.15B,128.00M,26.28B,,,6.599B,41.00M,,4.323B,37.20B,63.82B,,5.935B,34.44B,24.22B,,,,-1.567B,14.59B,,AOR,
2019-09,,7.906B,17.47B,,17.47B,4.668B,1.335B,6.177B,,12.18B,1.607B,,,39.16B,,,,,,,,,12.84B,6.142B,1.63B,7.772B,,13.60B,1.372B,3.242B,38.83B,77.99B,,6.141B,0.00,6.141B,5.245B,11.39B,,,12.32B,12.32B,12.32B,1.309B,1.309B,,2.188B,27.20B,25.59B,,25.59B,,,5.90B,41.00M,,4.311B,35.80B,63.00B,,5.951B,34.48B,23.69B,,,,-1.783B,14.95B,,AOR,Restated
2019-06,,7.429B,18.54B,,18.54B,3.829B,2.574B,5.604B,,12.01B,1.818B,,,39.79B,,,,,,,,,13.17B,6.211B,1.733B,7.944B,,13.62B,1.473B,3.194B,39.40B,79.19B,,7.022B,579.00M,7.601B,5.20B,12.80B,,,11.51B,11.51B,11.51B,1.263B,1.263B,,2.157B,27.74B,24.76B,,24.76B,,,7.448B,41.00M,,4.362B,36.57B,64.31B,,5.822B,32.98B,22.47B,,,,-1.499B,14.84B,,AOR,Restated
2019-03,,7.128B,17.89B,,17.89B,3.818B,2.737B,5.785B,,12.34B,1.765B,,,39.13B,,,,,,,,,13.26B,6.191B,1.807B,7.998B,,13.82B,1.378B,3.142B,39.60B,78.73B,,7.198B,0.00,7.198B,4.946B,12.14B,,,11.54B,11.54B,11.54B,1.354B,1.354B,,2.348B,27.39B,24.24B,,24.24B,,,7.441B,41.00M,,4.179B,35.86B,63.25B,,5.804B,32.44B,21.21B,,,,-1.588B,15.44B,,AOR,Restated
2018-12,,7.857B,17.45B,,17.45B,4.708B,1.259B,5.562B,,11.53B,1.765B,,,38.60B,0.00,671.00M,6.977B,15.44B,6.015B,682.00M,29.78B,-16.21B,13.57B,6.217B,1.897B,8.114B,,14.45B,1.439B,2.332B,39.91B,78.51B,,7.051B,495.00M,7.546B,5.957B,13.50B,,,11.55B,11.55B,11.55B,1.243B,1.243B,,1.919B,28.22B,24.50B,497.00M,25.00B,,,7.455B,41.00M,,3.756B,36.21B,64.43B,,5.827B,30.43B,20.53B,,,,-1.684B,14.04B,,AOR,Restated
2018-09,,8.007B,16.80B,,16.80B,3.625B,2.764B,5.425B,,11.81B,1.835B,,,38.45B,,,,,,,,,13.61B,6.233B,1.976B,8.209B,,14.37B,1.288B,2.278B,39.76B,78.21B,,6.788B,0.00,6.788B,5.555B,12.34B,,,10.33B,10.33B,10.33B,1.491B,1.491B,,1.867B,26.03B,25.44B,,25.44B,,,7.046B,40.00M,,3.799B,36.29B,62.32B,,5.715B,30.38B,18.68B,,,,-1.568B,15.85B,,AOR,Restated
2018-06,,8.654B,16.90B,,16.90B,3.485B,2.678B,5.092B,,11.26B,1.835B,,,38.64B,,,,,,,,,13.75B,6.249B,2.039B,8.288B,,14.40B,1.626B,2.278B,40.35B,78.99B,,6.831B,511.00M,7.342B,5.239B,12.58B,,,12.47B,12.47B,12.47B,1.378B,1.378B,,1.871B,28.30B,23.70B,,23.70B,,,8.092B,63.00M,,3.954B,35.74B,64.04B,,5.746B,28.66B,18.03B,,,,-1.496B,14.88B,,AOR,Restated
2018-03,,7.888B,16.67B,,16.67B,3.368B,2.465B,5.114B,,10.95B,1.856B,,,37.36B,,,,,,,,,13.91B,6.376B,2.163B,8.539B,,14.36B,1.687B,2.156B,40.66B,78.01B,,6.938B,,6.938B,5.025B,11.96B,,,12.15B,12.15B,12.15B,1.399B,1.399B,,1.89B,27.40B,23.16B,,23.16B,,,8.233B,66.00M,,3.942B,35.34B,62.74B,,5.64B,27.93B,17.35B,,,,-1.016B,15.21B,,AOR,Restated
2017-12,,8.261B,16.19B,,16.19B,3.003B,2.254B,4.761B,,10.02B,1.772B,,,36.24B,0.00,664.00M,7.515B,16.63B,6.038B,688.00M,31.54B,-17.38B,14.16B,6.20B,2.111B,8.311B,,14.53B,1.693B,2.027B,40.72B,76.96B,,6.487B,466.00M,6.953B,5.779B,12.73B,,,11.03B,11.03B,11.03B,1.426B,1.426B,,1.742B,26.93B,23.41B,437.00M,23.85B,,,8.365B,69.00M,,4.053B,36.26B,63.20B,,5.593B,26.30B,17.00B,,,,-1.192B,13.70B,,AOR,Restated
2017-09,,9.591B,15.68B,,15.68B,2.981B,2.241B,4.99B,,10.21B,1.707B,,,37.18B,,,,,,,,,14.19B,6.196B,2.175B,8.371B,,14.16B,2.845B,1.811B,41.38B,78.56B,,6.113B,0.00,6.113B,5.447B,11.56B,,,11.09B,11.09B,11.09B,1.51B,1.51B,,1.744B,25.90B,24.84B,,24.84B,,,8.973B,70.00M,,3.152B,36.96B,62.86B,,5.46B,28.53B,17.13B,,,,-1.233B,15.63B,,AOR,Restated
2017-06,,10.23B,15.60B,,15.60B,2.744B,1.954B,4.69B,,9.388B,1.776B,,,36.99B,,,,,,,,,14.42B,6.142B,2.232B,8.374B,,14.14B,2.866B,1.722B,41.52B,78.51B,,5.778B,461.00M,6.239B,5.197B,11.44B,,,13.38B,13.38B,13.38B,1.533B,1.533B,,1.787B,28.13B,23.82B,,23.82B,,,9.248B,70.00M,,3.235B,36.30B,64.43B,,5.316B,27.47B,17.31B,,,,-1.471B,14.01B,,AOR,Restated
2017-03,,9.472B,15.22B,,15.22B,2.534B,1.85B,4.698B,,9.082B,1.777B,,,35.55B,,,,,,,,,14.73B,6.051B,2.287B,8.338B,,14.37B,2.94B,1.626B,42.00B,77.55B,,5.302B,0.00,5.302B,4.752B,10.05B,,,14.56B,14.56B,14.56B,1.383B,1.383B,,1.641B,27.64B,23.72B,,23.72B,,,9.291B,72.00M,,3.238B,36.25B,63.89B,,5.222B,27.58B,17.39B,,,,-1.827B,13.59B,,AOR,Restated
2016-12,,7.168B,14.50B,,14.50B,2.319B,1.719B,4.576B,,8.614B,1.682B,,,31.97B,0.00,667.00M,7.383B,17.03B,6.086B,771.00M,31.94B,-16.62B,15.32B,6.02B,2.349B,8.369B,,14.58B,2.79B,1.671B,42.74B,74.70B,,4.614B,452.00M,5.066B,4.299B,9.365B,1.168B,6.135B,6.662B,13.96B,13.96B,1.167B,1.167B,,1.635B,26.13B,22.75B,68.00M,22.82B,,,9.357B,76.00M,,3.184B,35.36B,61.49B,,5.277B,27.38B,17.48B,,,,-2.039B,13.14B,,AOR,Restated
2016-09,,6.113B,14.52B,,14.52B,2.597B,2.015B,4.866B,,9.478B,1.892B,,,32.00B,,,,,,,,,15.68B,6.725B,2.453B,9.178B,,14.94B,2.579B,2.029B,44.40B,76.40B,,4.713B,0.00,4.713B,4.308B,9.021B,,,13.49B,13.49B,13.49B,1.161B,1.161B,,1.62B,25.29B,23.62B,,23.62B,,,8.499B,70.00M,,3.276B,35.40B,60.69B,,5.266B,29.45B,17.54B,,,,-1.527B,15.64B,,AOR,Restated
2016-06,,6.764B,15.53B,,15.53B,2.636B,1.906B,4.916B,,9.458B,1.857B,,,33.61B,,,,,,,,,15.92B,6.677B,2.652B,9.329B,,14.87B,2.536B,2.044B,44.69B,78.30B,,5.104B,450.00M,5.554B,4.392B,9.946B,,,14.34B,14.34B,14.34B,1.259B,1.259B,,1.635B,27.18B,23.98B,,23.98B,,,8.533B,71.00M,,3.301B,35.81B,63.00B,,5.277B,29.17B,17.58B,,,,-1.633B,15.23B,,AOR,Restated
2016-03,,5.886B,16.17B,,16.17B,2.747B,1.897B,5.205B,,9.849B,1.847B,,,33.75B,,,,,,,,,15.94B,6.71B,2.741B,9.451B,,14.69B,2.486B,2.001B,44.56B,78.31B,,5.101B,0.00,5.101B,4.30B,9.401B,,,13.89B,13.89B,13.89B,1.328B,1.328B,,1.593B,26.22B,24.47B,,24.47B,,,8.60B,77.00M,,3.269B,36.34B,62.55B,,5.247B,29.52B,17.60B,,,,-1.493B,15.68B,,AOR,Restated
2015-12,,6.46B,15.69B,,15.69B,2.721B,1.857B,5.122B,,9.70B,1.662B,,,33.51B,0.00,644.00M,7.242B,17.32B,5.728B,1.041B,31.98B,-15.89B,16.09B,6.615B,2.821B,9.436B,,14.82B,2.489B,1.998B,44.83B,78.34B,,5.023B,448.00M,5.471B,5.11B,10.58B,1.156B,5.811B,5.877B,12.84B,12.84B,1.146B,1.146B,,1.671B,26.24B,25.09B,77.00M,25.17B,,,8.843B,76.00M,,3.203B,37.22B,63.46B,,5.238B,29.25B,17.64B,,,,-2.035B,14.81B,,AOR,Restated
2015-09,,6.046B,15.64B,,15.64B,3.121B,1.987B,6.042B,,11.15B,993.00M,1.446B,,35.28B,,,,,,,,,15.96B,6.546B,2.841B,9.387B,231.00M,14.82B,1.559B,1.74B,43.69B,78.97B,,5.206B,0.00,5.206B,4.984B,10.19B,,,12.34B,12.34B,12.34B,1.61B,1.61B,,1.698B,25.83B,25.21B,,25.21B,,,8.638B,72.00M,,3.322B,37.17B,63.00B,,5.19B,35.19B,17.64B,,,,-6.843B,15.90B,,AOR,Restated
2015-06,,7.821B,16.42B,,16.42B,3.185B,2.099B,6.397B,,11.68B,859.00M,1.441B,,38.23B,,,,,,,,,16.14B,6.55B,2.863B,9.413B,229.00M,14.99B,1.473B,1.776B,44.02B,82.24B,,5.862B,463.00M,6.325B,4.908B,11.23B,,,10.88B,10.88B,10.88B,1.754B,1.754B,,1.744B,25.61B,27.44B,,27.44B,,,8.759B,69.00M,,3.271B,39.48B,65.08B,,5.142B,34.82B,16.14B,,,,-6.729B,17.09B,,AOR,Restated
2015-03,,7.563B,16.62B,,16.62B,3.25B,2.335B,6.514B,,12.10B,768.00M,1.438B,,38.49B,,,,,,,,,16.28B,6.493B,2.89B,9.383B,230.00M,14.96B,1.342B,1.802B,44.00B,82.49B,,6.328B,0.00,6.328B,4.889B,11.22B,,,11.97B,11.97B,11.97B,1.636B,1.636B,,1.741B,26.57B,26.80B,,26.80B,,,8.877B,76.00M,,3.206B,38.89B,65.45B,,5.101B,35.00B,16.04B,,,,-7.101B,16.96B,,AOR,Restated
2014-12,,7.341B,16.76B,,16.76B,3.246B,2.455B,6.504B,,12.20B,818.00M,1.739B,,38.87B,0.00,665.00M,7.119B,16.97B,5.596B,1.221B,31.57B,-15.00B,16.58B,6.694B,3.076B,9.77B,257.00M,16.01B,1.404B,1.798B,45.81B,84.68B,,6.515B,424.00M,6.939B,5.986B,12.92B,1.02B,3.688B,6.793B,11.50B,11.50B,1.697B,1.697B,,1.754B,27.88B,27.70B,85.00M,27.78B,,,8.963B,80.00M,,3.231B,39.98B,67.86B,,5.016B,33.89B,15.73B,,,,-6.431B,16.75B,,AOR,Restated
2014-09,,6.082B,17.01B,,17.01B,3.513B,2.983B,6.832B,,13.33B,1.25B,1.37B,,39.04B,,,,,,,,,16.43B,6.801B,3.21B,10.01B,265.00M,16.16B,761.00M,1.814B,45.45B,84.49B,,6.778B,0.00,6.778B,5.696B,12.47B,,,11.10B,11.10B,11.10B,2.165B,2.165B,,1.848B,27.59B,28.18B,,28.18B,,,6.539B,73.00M,,3.284B,38.00B,65.59B,,4.968B,33.98B,15.76B,,,,-4.357B,18.82B,,AOR,Restated
2014-06,,7.927B,17.52B,,17.52B,3.406B,2.915B,6.734B,,13.06B,1.307B,1.463B,,41.28B,,,,,,,,,16.69B,6.969B,3.398B,10.37B,259.00M,16.67B,737.00M,1.832B,46.55B,87.83B,,6.86B,439.00M,7.299B,5.383B,12.68B,,,12.94B,12.94B,12.94B,2.344B,2.344B,,1.779B,29.74B,27.31B,,27.31B,,,6.597B,67.00M,,3.259B,37.16B,66.90B,,4.89B,32.96B,13.31B,,,,-3.683B,20.86B,,AOR,Restated
2014-03,,5.345B,17.40B,,17.40B,3.327B,2.76B,6.801B,,12.89B,935.00M,1.401B,,37.97B,,,,,,,,,16.72B,6.986B,3.509B,10.50B,266.00M,16.49B,700.00M,1.762B,46.43B,84.40B,,6.731B,0.00,6.731B,4.929B,11.66B,,,11.29B,11.29B,11.29B,2.50B,2.50B,,1.845B,27.30B,26.80B,,26.80B,,,6.715B,64.00M,,3.217B,36.73B,64.03B,,4.773B,32.78B,13.44B,,,,-3.801B,20.30B,,AOR,Restated
