,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-09,9.16B,9.16B,6.674B,2.486B,992.00M,453.00M,,126.00M,,-126.00M,560.00M,2.005B,481.00M,,126.00M,-126.00M,28.00M,-126.00M,383.00M,96.00M,283.00M,0.00,283.00M,283.00M,1.27B,761.00M,509.00M,,0.48,,0.48,0.48,,0.48,,0.48,0.48,,584.70M,589.60M,0.77,,AOR,Restated
2016-06,10.34B,10.34B,7.567B,2.775B,1.123B,468.00M,,130.00M,,-130.00M,399.00M,1.99B,785.00M,,130.00M,-130.00M,84.00M,-130.00M,739.00M,184.00M,553.00M,-3.00M,550.00M,550.00M,1.623B,754.00M,869.00M,,0.94,,0.94,0.94,,0.93,,0.93,0.93,,584.10M,588.60M,0.77,,AOR,Restated
2016-03,9.461B,9.461B,6.974B,2.487B,1.088B,508.00M,,129.00M,,-129.00M,397.00M,1.993B,494.00M,,129.00M,-129.00M,,-129.00M,365.00M,92.00M,272.00M,-1.00M,271.00M,271.00M,1.234B,740.00M,494.00M,,0.46,,0.46,0.46,,0.46,,0.46,0.46,,582.80M,587.70M,0.77,,AOR,Restated
2015-12,11.03B,11.03B,8.387B,2.643B,1.255B,572.00M,,126.00M,,-126.00M,991.00M,2.818B,-175.00M,,126.00M,-126.00M,54.00M,-126.00M,-247.00M,-158.00M,-90.00M,-4.00M,-94.00M,-94.00M,653.00M,774.00M,-121.00M,,-0.15,,-0.15,-0.15,,-0.15,,-0.15,-0.15,,583.50M,589.30M,0.77,,AOR,Restated
2015-09,10.96B,10.96B,8.014B,2.948B,1.129B,513.00M,,127.00M,,-127.00M,381.00M,2.023B,925.00M,,127.00M,-127.00M,-15.00M,-127.00M,783.00M,218.00M,562.00M,-3.00M,559.00M,559.00M,1.668B,758.00M,910.00M,,0.95,,0.95,0.95,,0.94,,0.94,0.94,,588.40M,594.80M,0.77,,AOR,Restated
2015-06,12.32B,12.32B,8.822B,3.495B,1.318B,510.00M,,125.00M,,-125.00M,334.00M,2.162B,1.333B,,125.00M,-125.00M,-72.00M,-125.00M,1.136B,335.00M,803.00M,-1.00M,802.00M,802.00M,2.022B,761.00M,1.261B,,1.33,,1.33,1.33,,1.31,,1.31,1.31,,603.20M,610.70M,0.70,,AOR,Restated
2015-03,12.70B,12.70B,8.91B,3.792B,1.249B,524.00M,,129.00M,,-129.00M,317.00M,2.09B,1.702B,,129.00M,-129.00M,194.00M,-129.00M,1.767B,521.00M,1.248B,-3.00M,1.245B,1.245B,2.649B,753.00M,1.896B,,2.06,,2.06,2.06,,2.03,,2.03,2.03,,604.90M,612.70M,0.70,,AOR,Restated
2014-12,14.24B,14.24B,11.60B,2.64B,2.354B,823.00M,,126.00M,,-126.00M,414.00M,3.591B,-951.00M,,126.00M,-126.00M,86.00M,-126.00M,-991.00M,-509.00M,-480.00M,-6.00M,-486.00M,-486.00M,-70.00M,795.00M,-865.00M,,1.25,,1.25,1.25,,1.23,,1.23,1.23,,607.00M,617.50M,0.70,,AOR,Restated
2014-09,13.55B,13.55B,9.791B,3.758B,1.446B,533.00M,,128.00M,,-128.00M,387.00M,2.366B,1.392B,,128.00M,-128.00M,117.00M,-128.00M,1.381B,364.00M,1.021B,-4.00M,1.017B,1.017B,2.307B,798.00M,1.509B,,1.66,,1.66,1.66,,1.63,,1.63,1.63,,611.50M,622.80M,0.70,,AOR,Restated
2014-06,14.15B,14.15B,10.35B,3.80B,1.437B,516.00M,,120.00M,,-120.00M,372.00M,2.325B,1.475B,,120.00M,-120.00M,65.00M,-120.00M,1.42B,419.00M,1.002B,-3.00M,999.00M,999.00M,2.329B,789.00M,1.54B,,1.60,,1.60,1.60,,1.57,,1.57,1.57,,626.30M,638.30M,0.60,,AOR,Restated
2014-03,13.24B,13.24B,9.597B,3.644B,1.292B,508.00M,,110.00M,,-110.00M,446.00M,2.246B,1.398B,,110.00M,-110.00M,54.00M,-110.00M,1.342B,418.00M,925.00M,-3.00M,922.00M,922.00M,2.233B,781.00M,1.452B,,1.47,,1.47,1.47,,1.44,,1.44,1.44,,626.70M,639.30M,0.60,,AOR,Restated
2013-12,14.40B,14.40B,10.72B,3.686B,1.417B,467.00M,,109.00M,,-109.00M,350.00M,2.234B,1.452B,,109.00M,-109.00M,44.00M,-109.00M,1.387B,376.00M,1.006B,-3.00M,1.003B,1.003B,2.32B,824.00M,1.496B,,1.57,,1.57,1.57,,1.54,,1.54,1.54,,638.00M,650.50M,0.60,,AOR,Restated
2013-09,13.42B,13.42B,9.952B,3.471B,1.319B,469.00M,,116.00M,,-116.00M,282.00M,2.07B,1.401B,,116.00M,-116.00M,-24.00M,-116.00M,1.261B,310.00M,950.00M,-4.00M,946.00M,946.00M,2.156B,779.00M,1.377B,,1.48,,1.48,1.48,,1.45,,1.45,1.45,,639.30M,651.90M,0.60,,AOR,Restated
2013-06,14.62B,14.62B,10.96B,3.663B,1.421B,548.00M,,120.00M,,-120.00M,137.00M,2.106B,1.557B,,120.00M,-120.00M,-84.00M,-120.00M,1.353B,387.00M,965.00M,-5.00M,960.00M,960.00M,2.234B,761.00M,1.473B,,1.48,,1.48,1.48,,1.45,,1.45,1.45,,649.90M,662.70M,0.52,,AOR,Restated
2013-03,13.21B,13.21B,9.828B,3.382B,1.39B,562.00M,,120.00M,,-120.00M,212.00M,2.164B,1.218B,,120.00M,-120.00M,29.00M,-120.00M,1.127B,246.00M,882.00M,-2.00M,880.00M,880.00M,1.97B,723.00M,1.247B,,1.34,,1.34,1.34,,1.31,,1.31,1.31,,656.20M,671.60M,0.52,,AOR,Restated
2012-12,16.08B,16.08B,12.10B,3.978B,1.591B,613.00M,,115.00M,,-115.00M,156.00M,2.36B,1.618B,,115.00M,-115.00M,-591.00M,-115.00M,912.00M,214.00M,700.00M,-3.00M,697.00M,697.00M,1.77B,743.00M,1.027B,,1.07,,1.07,1.07,,1.04,,1.04,1.04,,654.40M,669.30M,0.52,,AOR,Restated
2012-09,16.44B,16.44B,11.84B,4.609B,1.471B,634.00M,,129.00M,,-129.00M,-92.00M,2.013B,2.596B,,129.00M,-129.00M,-17.00M,-129.00M,2.45B,753.00M,1.702B,-3.00M,1.699B,1.699B,3.299B,720.00M,2.579B,,2.60,,2.60,2.60,,2.54,,2.54,2.54,,653.60M,668.70M,0.52,,AOR,Restated
2012-06,17.37B,17.37B,12.48B,4.896B,1.517B,632.00M,,110.00M,,-110.00M,131.00M,2.28B,2.616B,,110.00M,-110.00M,70.00M,-110.00M,2.576B,872.00M,1.709B,-10.00M,1.699B,1.699B,3.375B,689.00M,2.686B,,2.60,,2.60,2.60,,2.54,,2.54,2.54,,652.90M,669.60M,0.46,,AOR,Restated
2012-03,15.98B,15.98B,11.44B,4.54B,1.34B,587.00M,,113.00M,,-113.00M,290.00M,2.217B,2.323B,,113.00M,-113.00M,88.00M,-113.00M,2.298B,689.00M,1.611B,-25.00M,1.586B,1.586B,3.072B,661.00M,2.411B,,2.44,,2.44,2.44,,2.37,,2.37,2.37,,650.00M,670.20M,0.46,,AOR,Restated
2011-12,17.24B,17.24B,13.59B,3.654B,1.487B,604.00M,1.007B,-516.00M,,516.00M,,3.172B,482.00M,,-516.00M,516.00M,980.00M,516.00M,1.978B,416.00M,1.562B,-15.00M,1.547B,751.79M,2.157B,695.00M,1.462B,,2.39,,1.161,2.39,,2.32,,1.126,2.32,,647.10M,666.10M,0.46,,AOR,Restated
2011-09,15.72B,15.72B,11.46B,4.261B,1.36B,584.00M,-360.00M,323.00M,,-323.00M,,1.944B,2.317B,,323.00M,-323.00M,-360.00M,-323.00M,1.634B,474.00M,1.154B,-13.00M,1.141B,1.397B,2.615B,658.00M,1.957B,,1.76,0.00,2.155,1.76,,1.71,0.00,2.094,1.71,,646.60M,666.00M,0.46,,AOR,Restated
2011-06,14.23B,14.23B,10.30B,3.927B,1.257B,584.00M,-437.00M,299.00M,,-299.00M,,1.841B,2.086B,,299.00M,-299.00M,-437.00M,-299.00M,1.35B,318.00M,1.022B,-7.00M,1.015B,1.349B,2.248B,599.00M,1.649B,,1.57,0.00,2.088,1.57,,1.52,0.00,2.021,1.52,,645.50M,667.20M,0.44,,AOR,Restated
2011-03,12.95B,12.95B,9.057B,3.892B,1.099B,525.00M,-215.00M,290.00M,,-290.00M,,1.624B,2.268B,,290.00M,-290.00M,-215.00M,-290.00M,1.763B,512.00M,1.243B,-18.00M,1.225B,1.378B,2.628B,575.00M,2.053B,,1.91,0.00,2.148,1.91,,1.84,0.00,2.069,1.84,,641.40M,664.90M,0.44,,AOR,Restated
2010-12,12.81B,12.81B,10.26B,2.544B,1.109B,543.00M,779.00M,-619.00M,,619.00M,,2.843B,-299.00M,,-619.00M,619.00M,912.00M,619.00M,1.232B,233.00M,988.00M,-20.00M,968.00M,336.33M,1.228B,615.00M,613.00M,,1.53,,0.5387,1.53,,1.47,,0.5138,1.47,,637.20M,660.60M,0.44,,AOR,Restated
2010-09,11.13B,11.13B,7.752B,3.382B,1.148B,510.00M,-309.00M,312.00M,,-312.00M,,1.658B,1.724B,,312.00M,-312.00M,-309.00M,-312.00M,1.103B,295.00M,801.00M,-9.00M,792.00M,1.018B,1.98B,565.00M,1.415B,,1.25,0.00,1.608,1.25,,1.22,0.00,1.567,1.22,,632.60M,651.60M,0.44,,AOR,Restated
2010-06,10.41B,10.41B,7.372B,3.037B,1.059B,450.00M,-267.00M,315.00M,,-315.00M,,1.509B,1.528B,,315.00M,-315.00M,-267.00M,-315.00M,946.00M,209.00M,733.00M,-26.00M,707.00M,915.01M,1.823B,562.00M,1.261B,,1.12,0.00,1.450,1.12,,1.09,0.00,1.412,1.09,,629.80M,647.00M,0.42,,AOR,Restated
2010-03,8.238B,8.238B,5.894B,2.344B,932.00M,402.00M,-206.00M,335.00M,,-335.00M,,1.334B,1.01B,,335.00M,-335.00M,-206.00M,-335.00M,469.00M,231.00M,236.00M,-3.00M,233.00M,366.90M,1.358B,554.00M,804.00M,,0.37,0.00,0.5838,0.37,,0.36,0.00,0.5681,0.36,,626.40M,643.50M,0.42,,AOR,Restated
2009-12,7.898B,7.898B,5.852B,2.046B,942.00M,355.00M,-2.014B,326.00M,,-228.00M,,-142.00M,2.188B,,326.00M,-228.00M,-1.832B,-228.00M,128.00M,-91.00M,206.00M,26.00M,232.00M,1.541B,1.157B,703.00M,454.00M,,0.37,0.00,2.466,0.37,,0.36,0.00,2.398,0.36,,624.50M,642.20M,0.42,,AOR,Restated
2009-09,7.298B,7.298B,5.255B,2.043B,907.00M,327.00M,66.00M,347.00M,,-347.00M,276.00M,1.51B,533.00M,,347.00M,-347.00M,66.00M,-347.00M,252.00M,-139.00M,392.00M,12.00M,404.00M,361.10M,1.16B,561.00M,599.00M,,0.65,0.00,0.5811,0.65,,0.64,0.00,0.5725,0.64,,622.40M,635.50M,0.42,,AOR,Restated
2009-06,7.975B,7.975B,5.752B,2.223B,914.00M,351.00M,163.00M,381.00M,,-381.00M,339.00M,1.604B,619.00M,,381.00M,-381.00M,163.00M,-381.00M,401.00M,40.00M,360.00M,11.00M,371.00M,224.26M,1.32B,538.00M,782.00M,,0.61,0.00,0.3701,0.61,,0.60,0.00,0.3632,0.60,,611.80M,619.80M,0.42,,AOR,Restated
2009-03,9.225B,9.225B,7.027B,2.198B,882.00M,388.00M,64.00M,380.00M,,-380.00M,824.00M,2.094B,104.00M,,380.00M,-380.00M,64.00M,-380.00M,-212.00M,-80.00M,-131.00M,19.00M,-112.00M,-151.85M,702.00M,534.00M,168.00M,,-0.19,0.00,-0.2562,-0.19,,-0.19,0.00,-0.2562,-0.19,,602.10M,602.10M,0.42,,AOR,Restated
2008-12,12.92B,12.92B,10.07B,2.857B,1.305B,507.00M,-1.461B,370.00M,,-269.00M,,920.00M,1.937B,,370.00M,-269.00M,-1.306B,-269.00M,362.00M,-296.00M,663.00M,-2.00M,661.00M,1.611B,1.259B,527.00M,732.00M,,1.11,0.00,2.686,1.11,,1.09,0.00,2.642,1.09,,602.40M,612.00M,0.42,,AOR,Restated
2008-09,12.98B,12.98B,9.704B,3.277B,1.061B,437.00M,146.00M,350.00M,,-350.00M,315.00M,1.813B,1.464B,,350.00M,-350.00M,146.00M,-350.00M,1.26B,395.00M,876.00M,-8.00M,868.00M,767.77M,2.111B,501.00M,1.61B,,1.43,0.00,1.265,1.43,,1.39,0.00,1.230,1.39,,607.00M,624.80M,0.42,,,Restated
2008-06,13.62B,13.62B,10.04B,3.588B,1.074B,415.00M,83.00M,349.00M,,-349.00M,295.00M,1.784B,1.804B,,349.00M,-349.00M,83.00M,-349.00M,1.538B,434.00M,1.114B,-8.00M,1.106B,1.046B,2.367B,480.00M,1.887B,,1.80,0.00,1.703,1.80,,1.74,0.00,1.646,1.74,,614.30M,635.50M,0.36,,,Restated
2008-03,11.80B,11.80B,8.609B,3.187B,959.00M,369.00M,122.00M,358.00M,,-358.00M,282.00M,1.61B,1.577B,,358.00M,-358.00M,122.00M,-358.00M,1.341B,420.00M,932.00M,-10.00M,922.00M,838.21M,2.171B,472.00M,1.699B,,1.49,0.00,1.354,1.49,,1.45,0.00,1.319,1.45,,617.50M,637.90M,0.36,,,Restated
2007-12,12.14B,12.14B,8.92B,3.224B,265.00M,357.00M,-1.098B,,,,,-217.00M,3.441B,,,,-1.079B,,1.32B,330.00M,1.012B,,975.00M,1.798B,3.24B,496.00M,2.744B,,1.55,0.00,2.858,1.55,,1.50,0.00,2.767,1.50,,629.80M,649.90M,0.36,,AOR,Restated
2007-09,11.44B,11.44B,8.27B,3.172B,1.213B,357.00M,51.00M,,,,289.00M,1.859B,1.313B,,,,78.00M,,1.295B,395.00M,927.00M,,927.00M,891.56M,1.765B,452.00M,1.313B,,1.45,0.00,1.394,1.45,,1.40,0.00,1.346,1.40,,638.30M,660.00M,0.36,,,
2007-06,11.36B,11.36B,8.579B,2.777B,968.00M,350.00M,-176.00M,,,,246.00M,1.564B,1.213B,,,,-171.00M,,1.203B,385.00M,823.00M,,823.00M,942.67M,1.65B,437.00M,1.213B,,1.28,0.00,1.467,1.28,,1.24,0.00,1.421,1.24,,640.50M,662.80M,0.30,,,
2007-03,10.02B,10.02B,7.407B,2.609B,890.00M,340.00M,-128.00M,,,,239.00M,1.469B,1.14B,,,,-109.00M,,1.172B,375.00M,816.00M,,816.00M,903.04M,1.552B,412.00M,1.14B,,1.27,0.00,1.405,1.27,,1.23,0.00,1.361,1.23,,643.90M,665.20M,0.30,,,
2006-12,11.00B,11.00B,7.971B,3.032B,278.00M,368.00M,-1.049B,,,,,-108.00M,3.14B,,,,-1.079B,,1.127B,252.00M,882.00M,,882.00M,1.696B,2.765B,382.00M,2.383B,,1.36,0.00,2.618,1.36,,1.31,0.00,2.526,1.31,,647.60M,669.70M,0.30,,AOR,Restated
2006-09,10.52B,10.52B,7.61B,2.907B,1.234B,329.00M,72.00M,,,,266.00M,1.829B,1.078B,,,,97.00M,,1.078B,334.00M,769.00M,,769.00M,719.31M,1.496B,418.00M,1.078B,,1.18,0.00,1.104,1.18,,1.14,0.00,1.067,1.14,,653.20M,677.20M,0.30,,,
2006-06,10.60B,10.60B,7.672B,2.933B,1.111B,343.00M,50.00M,,,,,1.454B,1.479B,,,,82.00M,,1.463B,449.00M,1.046B,,1.046B,1.011B,1.881B,402.00M,1.479B,,1.58,0.00,1.528,1.58,,1.52,0.00,1.470,1.52,,662.10M,688.50M,0.25,,,
2006-03,9.392B,9.392B,6.784B,2.608B,1.083B,307.00M,43.00M,,,,,1.39B,1.218B,,,,60.00M,,1.193B,370.00M,840.00M,,840.00M,810.34M,1.618B,400.00M,1.218B,,1.25,0.00,1.206,1.25,,1.20,0.00,1.158,1.20,,672.00M,699.10M,0.25,,,
2005-12,9.663B,9.663B,6.906B,2.757B,228.00M,290.00M,99.00M,,,,404.00M,922.00M,1.835B,,,,38.00M,,1.104B,270.00M,846.00M,,846.00M,771.21M,2.576B,364.00M,2.212B,,1.26,0.00,1.149,1.26,,1.20,0.00,1.093,1.20,,672.10M,701.00M,0.25,,AOR,Restated
2005-09,8.977B,8.977B,6.547B,2.43B,1.008B,285.00M,80.00M,,,,197.00M,1.49B,940.00M,,,,98.00M,,952.00M,303.00M,667.00M,,667.00M,612.46M,1.309B,369.00M,940.00M,,0.98,0.00,0.8997,0.98,,0.94,0.00,0.8633,0.94,,678.80M,710.70M,0.25,,,
2005-06,9.36B,9.36B,7.074B,2.286B,997.00M,268.00M,90.00M,,,,,1.265B,1.021B,,,,119.00M,,1.046B,315.00M,760.00M,,760.00M,697.10M,1.393B,372.00M,1.021B,,1.12,0.00,1.027,1.12,,1.08,0.00,0.9908,1.08,,678.30M,705.10M,0.205,,,
2005-03,8.339B,8.339B,6.385B,1.954B,744.00M,241.00M,-105.00M,,,,213.00M,1.198B,756.00M,,,,-91.00M,,799.00M,232.00M,581.00M,,581.00M,655.51M,1.128B,372.00M,756.00M,,0.85,0.00,0.9589,0.85,,0.81,0.00,0.9145,0.81,,684.10M,713.30M,0.205,,,
2004-12,8.584B,8.584B,7.235B,1.349B,269.00M,243.00M,82.00M,,,,154.00M,666.00M,683.00M,,,,104.00M,,711.00M,182.00M,551.00M,,551.00M,489.99M,1.025B,342.00M,683.00M,,0.8034,,0.7144,0.8034,,0.8034,,0.7144,0.8034,,685.87M,685.87M,0.205,,AOR,
2004-09,7.659B,7.659B,5.745B,1.914B,881.00M,240.00M,60.00M,,,,130.00M,1.251B,663.00M,,,,77.00M,,663.00M,182.00M,498.00M,,498.00M,454.47M,1.015B,352.00M,663.00M,,0.73,0.00,0.6663,0.73,,0.70,0.00,0.6383,0.70,,683.60M,706.00M,0.205,,,
2004-06,7.583B,7.583B,5.563B,2.02B,744.00M,214.00M,-121.00M,,,,292.00M,1.25B,770.00M,,,,-107.00M,,761.00M,209.00M,566.00M,,566.00M,653.77M,1.123B,353.00M,770.00M,,0.83,0.00,0.9582,0.83,,0.80,0.00,0.9237,0.80,,684.80M,709.50M,0.185,,,
2004-03,6.48B,6.48B,4.889B,1.591B,673.00M,231.00M,61.00M,,,,119.00M,1.023B,568.00M,,,,67.00M,,572.00M,158.00M,420.00M,,420.00M,375.85M,918.00M,350.00M,568.00M,,0.615,0.00,0.5506,0.615,,0.595,0.00,0.5329,0.595,,685.20M,711.40M,0.185,,,
2003-12,6.509B,6.509B,4.537B,1.972B,521.00M,175.00M,38.00M,,,,321.00M,1.017B,955.00M,,,,27.00M,,465.00M,125.00M,349.00M,,349.00M,321.22M,1.347B,339.00M,1.008B,,0.505,0.00,0.4648,0.505,,0.485,0.00,0.4462,0.485,,691.00M,716.80M,0.185,,,Restated
2003-09,5.545B,5.545B,4.244B,1.301B,627.00M,173.00M,-40.00M,,,,116.00M,916.00M,385.00M,,,,-33.00M,,284.00M,69.00M,222.00M,,222.00M,252.28M,722.00M,337.00M,385.00M,,0.32,0.00,0.3637,0.32,,0.31,0.00,0.3525,0.31,,692.60M,712.20M,0.175,,,
2003-06,5.932B,5.932B,4.459B,1.473B,604.00M,169.00M,37.00M,,,,118.00M,891.00M,582.00M,,,,37.00M,,554.00M,155.00M,399.00M,,399.00M,372.35M,921.00M,339.00M,582.00M,,0.58,0.00,0.5413,0.58,,0.575,0.00,0.5368,0.575,,689.40M,696.80M,0.175,,,
2003-03,4.821B,4.821B,3.757B,1.064B,570.00M,152.00M,18.00M,,,,120.00M,842.00M,222.00M,,,,22.00M,,174.00M,49.00M,129.00M,,129.00M,116.07M,554.00M,332.00M,222.00M,,0.185,0.00,0.1662,0.185,,0.185,0.00,0.1664,0.185,,688.63M,693.65M,0.175,,,
