,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.933B,5.933B,4.332B,1.601B,585.90M,14.00M,,,,,585.90M,1.015B,,,,19.30M,,1.034B,239.10M,795.20M,,-3.40M,791.80M,781.03M,1.035B,20.40M,1.015B,,2.17,,,2.140,2.17,,2.14,,,2.111,2.14,,364.40M,370.00M,0.20,,AOR,
2020-09,6.400B,6.400B,4.754B,1.647B,597.70M,0.00,,,,,597.70M,1.049B,,,,7.00M,,1.056B,224.90M,831.20M,,-2.20M,829.00M,829.00M,1.072B,23.00M,1.049B,,2.28,,,2.28,2.28,,2.24,,,2.24,2.24,,364.00M,369.60M,0.175,,AOR,
2020-06,5.39B,5.39B,4.085B,1.305B,527.50M,0.00,,,,,527.50M,777.80M,,,,4.60M,,782.40M,149.50M,632.90M,,-2.20M,630.70M,630.70M,796.40M,18.60M,777.80M,,1.73,,,1.73,1.73,,1.72,,,1.72,1.72,,363.80M,367.70M,0.175,,AOR,
2020-03,4.50B,4.50B,3.451B,1.049B,466.80M,28.50M,,,,,466.80M,582.40M,,,,38.90M,,621.30M,137.30M,484.00M,,-1.30M,482.70M,460.50M,602.20M,19.80M,582.40M,,1.32,,,1.259,1.32,,1.30,,,1.240,1.30,,365.80M,370.10M,0.175,,AOR,
2019-12,4.021B,4.021B,3.084B,936.50M,455.80M,31.10M,,,,,455.80M,480.70M,,,,42.60M,,523.30M,90.80M,432.50M,,-1.20M,431.30M,405.61M,499.70M,19.00M,480.70M,,1.17,,,1.100,1.17,,1.16,,,1.091,1.16,,368.30M,373.40M,0.175,,AOR,Restated
2019-09,5.039B,5.039B,3.882B,1.157B,505.50M,0.00,,,,,505.50M,651.90M,,,,8.20M,,660.10M,156.20M,503.90M,,1.40M,505.30M,505.30M,671.50M,19.60M,651.90M,,1.37,,,1.37,1.37,,1.35,,,1.35,1.35,,369.90M,375.00M,0.15,,AOR,Restated
2019-06,4.906B,4.906B,3.832B,1.075B,480.00M,22.60M,,,,,480.00M,594.70M,,,,32.00M,,626.70M,153.10M,473.60M,,1.20M,474.80M,457.71M,613.00M,18.30M,594.70M,,1.28,,,1.234,1.28,,1.26,,,1.215,1.26,,372.30M,376.90M,0.15,,AOR,Restated
2019-03,4.129B,4.129B,3.257B,872.00M,444.20M,29.30M,,,,,444.20M,427.80M,,,,35.00M,,462.80M,108.40M,354.40M,,-3.10M,351.30M,328.86M,445.00M,17.20M,427.80M,,0.94,,,0.8799,0.94,,0.93,,,0.8706,0.93,,373.30M,377.70M,0.15,,AOR,Restated
2018-12,3.519B,3.519B,2.751B,767.90M,402.80M,2.00M,,,,,402.80M,365.10M,,,,10.60M,,375.70M,89.00M,286.70M,,0.50M,287.20M,285.67M,382.00M,16.90M,365.10M,,0.77,,,0.7659,0.77,,0.76,,,0.7560,0.76,,375.10M,380.10M,0.15,,AOR,Restated
2018-09,4.505B,4.505B,3.459B,1.046B,456.90M,4.30M,,,,,456.90M,589.10M,,,,18.60M,,607.70M,138.80M,468.90M,,-2.70M,466.20M,462.88M,604.90M,15.80M,589.10M,,1.24,,,1.231,1.24,,1.22,,,1.211,1.22,,376.60M,382.80M,0.125,,AOR,Restated
