,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.359B,,1.359B,664.00M,219.00M,883.00M,247.00M,,90.00M,2.579B,43.11B,,,,,43.11B,-11.87B,31.24B,3.566B,795.00M,35.60B,38.18B,1.273B,257.00M,,1.53B,,1.53B,,89.00M,,89.00M,386.00M,2.005B,12.63B,,12.63B,6.898B,,6.898B,,,1.701B,21.23B,23.24B,255.00M,12.91B,2.246B,,-471.00M,14.94B
2020-06,1.143B,,1.143B,592.00M,230.00M,822.00M,257.00M,,128.00M,2.35B,43.04B,,,,,43.04B,-11.82B,31.22B,3.59B,805.00M,35.61B,37.96B,1.268B,239.00M,,1.507B,,1.507B,,85.00M,,85.00M,343.00M,1.935B,12.61B,,12.61B,6.874B,,6.874B,,,1.68B,21.17B,23.10B,256.00M,12.86B,2.217B,,-475.00M,14.86B
2020-03,608.00M,,608.00M,665.00M,224.00M,889.00M,265.00M,,240.00M,2.002B,42.97B,,,,,42.97B,-11.79B,31.18B,3.47B,787.00M,35.44B,37.44B,1.284B,200.00M,,1.484B,,1.484B,,400.00M,,400.00M,352.00M,2.236B,11.81B,,11.81B,6.828B,,6.828B,,,1.683B,20.32B,22.55B,258.00M,12.90B,2.205B,,-481.00M,14.88B
2019-12,580.00M,,580.00M,682.00M,238.00M,920.00M,244.00M,,337.00M,2.081B,96.00M,2.385B,1.814B,29.69B,651.00M,43.60B,-11.98B,31.61B,3.428B,800.00M,35.84B,37.92B,710.00M,229.00M,106.00M,1.309B,149.00M,1.458B,316.00M,316.00M,97.00M,413.00M,411.00M,2.30B,11.88B,441.00M,12.32B,6.815B,280.00M,7.199B,589.00M,,330.00M,20.44B,22.74B,259.00M,13.21B,2.209B,,-491.00M,15.18B
2019-09,452.00M,,452.00M,720.00M,253.00M,973.00M,266.00M,,325.00M,2.016B,43.78B,,,,,43.78B,-12.38B,31.39B,3.376B,714.00M,35.48B,37.50B,1.407B,202.00M,,1.609B,,1.609B,,751.00M,,751.00M,401.00M,2.761B,11.08B,,11.08B,6.689B,,6.689B,,,1.727B,19.50B,22.26B,262.00M,13.31B,2.219B,,-553.00M,15.24B
2019-06,274.00M,,274.00M,767.00M,272.00M,1.039B,256.00M,,345.00M,1.914B,43.57B,,,,,43.57B,-12.37B,31.20B,3.301B,756.00M,35.26B,37.17B,1.407B,270.00M,,1.677B,,1.677B,,401.00M,,401.00M,373.00M,2.451B,11.08B,,11.08B,6.596B,,6.596B,,,1.738B,19.41B,21.86B,265.00M,13.38B,2.226B,,-557.00M,15.31B
2019-03,411.00M,,411.00M,793.00M,255.00M,1.048B,228.00M,,235.00M,1.922B,43.53B,,,,,43.53B,-12.37B,31.16B,3.198B,784.00M,35.14B,37.06B,1.334B,338.00M,,1.672B,,1.672B,,835.00M,,835.00M,378.00M,2.885B,10.57B,,10.57B,6.518B,,6.518B,,,1.759B,18.85B,21.73B,267.00M,13.41B,2.213B,,-560.00M,15.33B
2018-12,358.00M,,358.00M,740.00M,269.00M,1.009B,207.00M,,288.00M,1.862B,437.00M,2.337B,1.694B,29.06B,879.00M,43.46B,-12.37B,31.09B,3.109B,177.00M,34.38B,36.24B,828.00M,255.00M,122.00M,1.407B,139.00M,1.546B,,585.00M,,585.00M,442.00M,2.591B,10.56B,,10.56B,6.46B,280.00M,6.846B,586.00M,,294.00M,18.29B,20.88B,269.00M,13.44B,2.216B,,-563.00M,15.36B
2018-09,729.00M,,729.00M,781.00M,262.00M,1.043B,267.00M,,70.00M,2.109B,42.99B,,,,,42.99B,-12.28B,30.71B,3.109B,392.00M,34.21B,36.32B,1.394B,230.00M,,1.624B,,1.624B,,500.00M,,500.00M,317.00M,2.441B,10.64B,,10.64B,6.464B,,6.464B,,,1.302B,18.40B,20.84B,274.00M,13.64B,1.996B,,-435.00M,15.48B
2018-06,430.00M,,430.00M,773.00M,262.00M,1.035B,260.00M,,179.00M,1.904B,42.72B,,,,,42.72B,-12.18B,30.54B,3.058B,286.00M,33.88B,35.79B,1.323B,269.00M,,1.592B,,1.592B,,500.00M,,500.00M,260.00M,2.352B,9.146B,,9.146B,6.414B,,6.414B,,,1.317B,16.88B,19.23B,281.00M,14.46B,2.263B,,-441.00M,16.56B
