,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.681B,1.681B,22.00M,686.00M,708.00M,15.00M,33.00M,,723.00M,,1.00B,484.00M,60.00M,424.00M,4.00M,,0.00,27.00M,428.00M,424.00M,26.00M,603.00M,0.41,0.0,,,0.41,0.41,0.41,0.0,,,0.41,0.41,967.80M,973.99M,0.185
2020-06,1.71B,1.71B,24.00M,670.00M,694.00M,18.00M,34.00M,,712.00M,,1.018B,215.00M,30.00M,185.00M,2.00M,,0.00,26.00M,187.00M,185.00M,32.00M,387.00M,0.16,0.01,,,0.16,0.17,0.16,0.01,,,0.16,0.17,967.15M,972.14M,0.185
2020-03,1.458B,1.458B,21.00M,615.00M,636.00M,17.00M,36.00M,,653.00M,,981.00M,168.00M,23.00M,145.00M,1.00M,,0.00,27.00M,146.00M,145.00M,54.00M,438.00M,0.12,0.0,,,0.12,0.12,0.12,0.0,,,0.12,0.12,967.45M,976.11M,0.185
2019-12,1.63B,1.63B,27.00M,642.00M,669.00M,19.00M,32.00M,,688.00M,,979.00M,541.00M,75.00M,466.00M,3.00M,,0.00,27.00M,469.00M,466.00M,58.00M,847.00M,0.45,0.0,,,0.45,0.45,0.45,0.0,,,0.45,0.45,973.56M,985.32M,0.185
2019-09,1.622B,1.622B,26.00M,640.00M,666.00M,26.00M,33.00M,,692.00M,,972.00M,483.00M,70.00M,413.00M,3.00M,,0.00,30.00M,416.00M,413.00M,62.00M,828.00M,0.39,0.0,,,0.39,0.39,0.38,0.0,,,0.38,0.39,988.32M,998.33M,0.185
2019-06,1.603B,1.603B,24.00M,686.00M,710.00M,22.00M,32.00M,,732.00M,,981.00M,510.00M,87.00M,423.00M,2.00M,,0.00,20.00M,425.00M,423.00M,63.00M,858.00M,0.4,0.0,,,0.4,0.4,0.4,0.0,,,0.4,0.4,999.16M,1.008B,0.17
2019-03,1.513B,1.513B,19.00M,650.00M,669.00M,22.00M,26.00M,,691.00M,,977.00M,488.00M,82.00M,406.00M,1.00M,,0.00,20.00M,407.00M,406.00M,58.00M,815.00M,0.38,0.0,,,0.38,0.38,0.38,0.0,,,0.38,0.38,1.007B,1.017B,0.17
2018-12,1.645B,1.645B,25.00M,672.00M,697.00M,22.00M,32.00M,,719.00M,,1.00B,574.00M,92.00M,482.00M,2.00M,,0.00,23.00M,484.00M,482.00M,92.00M,871.00M,0.45,0.0,,,0.45,0.45,0.45,0.0,,,0.45,0.45,1.018B,1.030B,0.17
2018-09,1.595B,1.595B,26.00M,657.00M,683.00M,23.00M,31.00M,,706.00M,,986.00M,569.00M,87.00M,482.00M,0.00,,0.00,14.00M,482.00M,482.00M,95.00M,822.00M,0.45,0.0,,,0.45,0.45,0.45,0.0,,,0.45,0.45,1.036B,1.050B,0.17
2018-06,1.639B,1.639B,26.00M,688.00M,714.00M,25.00M,30.00M,,739.00M,,979.00M,582.00M,103.00M,479.00M,3.00M,,0.00,15.00M,482.00M,479.00M,92.00M,808.00M,0.44,0.0,,,0.44,0.44,0.44,0.0,,,0.44,0.44,1.053B,1.066B,0.12
