,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2016-09,393.00M,,,,287.00M,264.00M,,,7.00M,115.00M,,265.00M,,945.00M,,-290.00M,,-290.00M,42.00M,-457.00M,-24.00M,-729.00M,,-147.00M,,-147.00M,,-29.00M,-29.00M,-21.00M,-21.00M,-21.00M,-218.00M,,348.00M,-2.00M,-2.00M,344.00M,,,,383.00M,-530.00M,-29.00M,,AOR,Restated
2016-06,-288.00M,,,,804.00M,-154.00M,,,-67.00M,181.00M,,106.00M,,622.00M,,-603.00M,,-603.00M,-100.00M,-399.00M,142.00M,-960.00M,,476.00M,,476.00M,,-53.00M,-53.00M,-21.00M,-21.00M,-19.00M,383.00M,,308.00M,45.00M,-5.00M,348.00M,,,,1.019B,-543.00M,-53.00M,,AOR,Restated
2016-03,199.00M,,,,585.00M,-275.00M,,,-20.00M,-287.00M,,-635.00M,,149.00M,,-292.00M,,-292.00M,139.00M,-10.00M,6.00M,-157.00M,,15.00M,,15.00M,,-33.00M,-33.00M,-21.00M,-21.00M,-84.00M,-123.00M,,440.00M,-131.00M,-1.00M,308.00M,,,,1.824B,-1.809B,-33.00M,,AOR,Restated
2015-12,-291.00M,,,,-1.265B,89.00M,,,38.00M,75.00M,,1.023B,,1.352B,,-108.00M,,-108.00M,-202.00M,-4.00M,-34.00M,-348.00M,,-191.00M,,-191.00M,0.00,-648.00M,-648.00M,-21.00M,-21.00M,-27.00M,-887.00M,,328.00M,117.00M,-5.00M,440.00M,,,0.00,-23.00M,-168.00M,-648.00M,,AOR,Restated
2015-09,282.00M,,,,567.00M,274.00M,,,21.00M,12.00M,,259.00M,,1.108B,,-220.00M,,-220.00M,37.00M,-319.00M,-51.00M,-553.00M,,-84.00M,,-84.00M,0.00,-330.00M,-330.00M,-23.00M,-23.00M,-35.00M,-472.00M,,249.00M,83.00M,-4.00M,328.00M,,,0.00,348.00M,-432.00M,-330.00M,,AOR,Restated
2015-06,247.00M,,,,293.00M,-90.00M,,,-45.00M,107.00M,,505.00M,,1.045B,,-774.00M,,-774.00M,36.00M,-313.00M,-77.00M,-1.128B,,297.00M,,297.00M,0.00,-220.00M,-220.00M,-23.00M,-23.00M,3.00M,57.00M,,271.00M,-26.00M,4.00M,249.00M,,,0.00,867.00M,-570.00M,-220.00M,,AOR,Restated
2015-03,49.00M,,,,510.00M,-153.00M,,,-57.00M,-227.00M,,-517.00M,,42.00M,,-453.00M,,-453.00M,-9.00M,566.00M,-10.00M,94.00M,,-123.00M,,-123.00M,7.00M,-67.00M,-60.00M,-23.00M,-23.00M,-17.00M,-223.00M,,364.00M,-87.00M,-6.00M,271.00M,,,7.00M,636.00M,-759.00M,-67.00M,,AOR,Restated
2014-12,294.00M,,,,-1.357B,167.00M,,,-1.00M,275.00M,,348.00M,,894.00M,,-978.00M,,-978.00M,-466.00M,995.00M,-56.00M,-505.00M,,-274.00M,,-274.00M,1.00M,-226.00M,-225.00M,-23.00M,-23.00M,-135.00M,-657.00M,,637.00M,-268.00M,-5.00M,364.00M,,,1.00M,745.00M,-1.019B,-226.00M,,AOR,Restated
2014-09,269.00M,,,,379.00M,713.00M,,,51.00M,-46.00M,,256.00M,,904.00M,,-623.00M,,-623.00M,906.00M,-41.00M,-48.00M,194.00M,,-426.00M,,-426.00M,0.00,-214.00M,-214.00M,-24.00M,-24.00M,-80.00M,-744.00M,,277.00M,365.00M,-5.00M,637.00M,,11.00M,0.00,493.00M,-919.00M,-214.00M,,AOR,Restated
2014-06,215.00M,,,,366.00M,-180.00M,,,-88.00M,188.00M,,188.00M,,769.00M,,-394.00M,,-394.00M,33.00M,-155.00M,-6.00M,-522.00M,,-26.00M,,-26.00M,0.00,-164.00M,-164.00M,-24.00M,-24.00M,-60.00M,-274.00M,,301.00M,-24.00M,1.00M,277.00M,,3.00M,0.00,65.00M,-91.00M,-164.00M,,AOR,Restated
2014-03,184.00M,,,,746.00M,38.00M,,,-90.00M,-294.00M,,-507.00M,,423.00M,,-758.00M,,-758.00M,6.00M,113.00M,2.00M,-637.00M,,461.00M,,461.00M,5.00M,-18.00M,-13.00M,-24.00M,-24.00M,-191.00M,233.00M,,295.00M,5.00M,1.00M,301.00M,,-14.00M,5.00M,701.00M,-240.00M,-18.00M,,AOR,Restated
2013-12,-125.00M,,,,-876.00M,-59.00M,,,44.00M,255.00M,,360.00M,,767.00M,,-430.00M,,-430.00M,4.00M,-885.00M,-122.00M,-1.433B,,866.00M,,866.00M,1.00M,0.00,1.00M,-24.00M,-24.00M,-140.00M,703.00M,,257.00M,37.00M,0.00,294.00M,,,1.00M,1.302B,-436.00M,0.00,,AOR,Restated
2013-09,384.00M,,,,312.00M,326.00M,,,6.00M,161.00M,,130.00M,,826.00M,,-157.00M,,-157.00M,-166.00M,-197.00M,-52.00M,-572.00M,,39.00M,,39.00M,1.00M,-48.00M,-47.00M,-24.00M,-24.00M,-134.00M,-166.00M,,162.00M,90.00M,3.00M,257.00M,,2.00M,1.00M,355.00M,-316.00M,-48.00M,,AOR,Restated
2013-06,412.00M,,,,278.00M,-112.00M,,,-67.00M,155.00M,,-795.00M,,-105.00M,,-548.00M,,-548.00M,-32.00M,-19.00M,-61.00M,-660.00M,,632.00M,,632.00M,0.00,-85.00M,-85.00M,-25.00M,-25.00M,229.00M,751.00M,,179.00M,-16.00M,1.00M,162.00M,,-2.00M,0.00,1.178B,-546.00M,-85.00M,,AOR,Restated
2013-03,398.00M,,,,335.00M,-68.00M,,,-3.00M,-101.00M,,-125.00M,,608.00M,,-602.00M,,-602.00M,22.00M,-31.00M,-22.00M,-633.00M,,224.00M,,224.00M,3.00M,-95.00M,-92.00M,-24.00M,-24.00M,-125.00M,-17.00M,,228.00M,-42.00M,-7.00M,179.00M,,,3.00M,420.00M,-196.00M,-95.00M,,AOR,Restated
2012-12,83.00M,,,,-1.22B,-195.00M,,,88.00M,-32.00M,,371.00M,,752.00M,,-411.00M,,-411.00M,-659.00M,-89.00M,-34.00M,-1.193B,,422.00M,,422.00M,4.00M,-73.00M,-69.00M,-25.00M,-25.00M,171.00M,499.00M,,169.00M,58.00M,1.00M,228.00M,,,4.00M,1.234B,-812.00M,-73.00M,,AOR,Restated
2012-09,310.00M,,,,437.00M,265.00M,,,67.00M,46.00M,,249.00M,,996.00M,,-125.00M,,-125.00M,-435.00M,-166.00M,-18.00M,-744.00M,,-309.00M,,-309.00M,4.00M,-88.00M,-84.00M,-24.00M,-24.00M,195.00M,-222.00M,,136.00M,30.00M,3.00M,169.00M,,,4.00M,543.00M,-852.00M,-88.00M,,AOR,Restated
2012-06,198.00M,,,,403.00M,115.00M,,,-75.00M,100.00M,,177.00M,,778.00M,,-631.00M,,-631.00M,111.00M,-71.00M,-54.00M,-645.00M,,90.00M,,90.00M,0.00,-51.00M,-51.00M,-25.00M,-25.00M,-109.00M,-95.00M,,99.00M,38.00M,-1.00M,136.00M,,,0.00,1.005B,-915.00M,-51.00M,,AOR,Restated
2012-03,519.00M,,,,270.00M,142.00M,,,-6.00M,-187.00M,,-461.00M,,328.00M,,-238.00M,,-238.00M,72.00M,-311.00M,-36.00M,-513.00M,,39.00M,,39.00M,5.00M,,5.00M,-25.00M,-25.00M,135.00M,154.00M,,129.00M,-31.00M,1.00M,99.00M,,,5.00M,370.00M,-331.00M,,,AOR,Restated
2011-12,412.00M,,,,-849.00M,861.00M,,,32.00M,23.00M,,1.289B,,1.941B,,-833.00M,,-833.00M,-514.00M,-548.00M,345.00M,-1.55B,,-232.00M,,-232.00M,-172.00M,443.00M,271.00M,,-25.00M,-405.00M,-391.00M,,128.00M,0.00,1.00M,129.00M,,,-172.00M,970.00M,-1.202B,443.00M,,AOR,Restated
2011-09,316.00M,,,,532.00M,21.00M,,,122.00M,-73.00M,,260.00M,,1.108B,,-202.00M,,-202.00M,19.00M,-544.00M,1.00M,-726.00M,,53.00M,,53.00M,0.00,-327.00M,-327.00M,,-25.00M,-100.00M,-399.00M,,148.00M,-17.00M,-3.00M,128.00M,,,0.00,250.00M,-197.00M,-327.00M,,AOR,Restated
2011-06,404.00M,,,,279.00M,65.00M,,,17.00M,21.00M,,-896.00M,,-213.00M,,-150.00M,,-150.00M,9.00M,1.502B,-172.00M,1.189B,,-323.00M,,-323.00M,166.00M,-660.00M,-494.00M,,-25.00M,-109.00M,-951.00M,,123.00M,25.00M,0.00,148.00M,,,166.00M,197.00M,-520.00M,-660.00M,,AOR,Restated
2011-03,562.00M,,,,164.00M,138.00M,,,10.00M,-297.00M,,403.00M,,1.129B,,-150.00M,,-150.00M,,-365.00M,-301.00M,-816.00M,,-9.00M,,-9.00M,10.00M,-188.00M,-178.00M,,-26.00M,-99.00M,-312.00M,,120.00M,1.00M,2.00M,123.00M,,,10.00M,904.00M,-913.00M,-188.00M,,AOR,Restated
2010-12,691.00M,,,,-877.00M,-297.00M,,,,132.00M,82.00M,-1.867B,89.00M,-852.00M,,-247.00M,-789.00M,-1.036B,,1.90B,-83.00M,1.00B,,0.00,,0.00,3.00M,-54.00M,-51.00M,,-26.00M,-84.00M,-161.00M,,132.00M,-13.00M,1.00M,120.00M,,,3.00M,0.00,0.00,-54.00M,,AOR,Restated
2010-09,153.00M,,,,194.00M,2.00M,,,,27.00M,22.00M,-163.00M,-89.00M,95.00M,,-197.00M,198.00M,1.00M,,-333.00M,-17.00M,-274.00M,,417.00M,,417.00M,-329.00M,-85.00M,-414.00M,,-26.00M,241.00M,218.00M,,91.00M,39.00M,2.00M,132.00M,,,-329.00M,520.00M,-103.00M,-85.00M,,AOR,Restated
2010-06,541.00M,,,,271.00M,-36.00M,,,,15.00M,-112.00M,-306.00M,,506.00M,,-261.00M,591.00M,330.00M,,-85.00M,14.00M,259.00M,,-555.00M,,-555.00M,333.00M,-78.00M,255.00M,,-27.00M,-482.00M,-809.00M,,135.00M,-44.00M,0.00,91.00M,,,333.00M,0.00,-555.00M,-78.00M,,AOR,Restated
2010-03,623.00M,,,,175.00M,-4.00M,,,,-42.00M,8.00M,-504.00M,,294.00M,,-212.00M,,-212.00M,,-209.00M,10.00M,-411.00M,,124.00M,,124.00M,1.00M,-188.00M,-187.00M,,-26.00M,153.00M,64.00M,,190.00M,-53.00M,-2.00M,135.00M,,,1.00M,125.00M,-1.00M,-188.00M,,AOR,Restated
2009-12,608.00M,,,,-2.225B,79.00M,,,,54.00M,205.00M,977.00M,-7.00M,1.827B,,-359.00M,48.00M,-311.00M,,-1.872B,0.00,-2.176B,,780.00M,,780.00M,183.00M,-193.00M,-10.00M,,455.00M,-844.00M,381.00M,,156.00M,32.00M,2.00M,190.00M,,,183.00M,1.114B,-334.00M,-193.00M,,AOR,Restated
2009-09,691.00M,,,,334.00M,165.00M,,,,62.00M,-143.00M,103.00M,-16.00M,1.112B,,-790.00M,30.00M,-760.00M,,-276.00M,-12.00M,-1.032B,,40.00M,,40.00M,3.00M,-109.00M,-106.00M,,-188.00M,191.00M,-63.00M,,136.00M,17.00M,3.00M,156.00M,,,3.00M,348.00M,-308.00M,-109.00M,,AOR,Restated
2009-06,559.00M,,,,489.00M,-458.00M,,,,-113.00M,28.00M,-534.00M,,514.00M,,-813.00M,7.00M,-806.00M,,314.00M,-55.00M,-547.00M,,245.00M,,245.00M,1.00M,-34.00M,-33.00M,,-187.00M,-1.00M,24.00M,,138.00M,-9.00M,7.00M,136.00M,,,1.00M,495.00M,-250.00M,-34.00M,,AOR,Restated
2009-03,-473.00M,,,,1.36B,76.00M,,,,-133.00M,-19.00M,251.00M,,1.138B,,-567.00M,,-567.00M,,-606.00M,65.00M,-1.108B,,161.00M,,161.00M,1.00M,0.00,1.00M,,-188.00M,5.00M,-21.00M,,131.00M,9.00M,-2.00M,138.00M,,,1.00M,171.00M,-10.00M,0.00,,AOR,Restated
2008-12,-5.523B,,,,5.373B,45.00M,,1.00M,,41.00M,204.00M,1.269B,0.00,1.994B,,-1.06B,,-973.00M,,-1.114B,-184.00M,-2.268B,,585.00M,,585.00M,0.00,-21.00M,-21.00M,,-185.00M,-203.00M,176.00M,,236.00M,-98.00M,-7.00M,131.00M,,,0.00,965.00M,-380.00M,-21.00M,,AOR,Restated
2008-09,22.00M,,,,877.00M,140.00M,,-334.00M,,332.00M,-13.00M,-2.344B,-9.00M,-1.454B,,-1.158B,,-1.158B,,2.646B,4.00M,1.494B,,279.00M,,279.00M,2.00M,58.00M,60.00M,,-149.00M,-166.00M,24.00M,,177.00M,64.00M,-5.00M,236.00M,,,2.00M,434.00M,-155.00M,58.00M,,AOR,Restated
2008-06,5.219B,,,,-4.265B,-154.00M,22.00M,-219.00M,,-158.00M,-8.00M,741.00M,-351.00M,1.344B,,-940.00M,,-940.00M,,-700.00M,-145.00M,-1.21B,,58.00M,,58.00M,1.00M,0.00,1.00M,,-198.00M,-34.00M,-173.00M,,216.00M,-39.00M,0.00,177.00M,,,1.00M,501.00M,-443.00M,0.00,,AOR,Restated
2008-03,862.00M,,,,32.00M,-117.00M,-22.00M,159.00M,,-346.00M,-106.00M,91.00M,502.00M,1.487B,,-839.00M,,-839.00M,,-442.00M,8.00M,-1.23B,,81.00M,,81.00M,1.00M,-70.00M,-69.00M,,-200.00M,-12.00M,-200.00M,,160.00M,57.00M,-1.00M,216.00M,,,1.00M,385.00M,-304.00M,-70.00M,,AOR,Restated
2007-12,-390.00M,,,,726.00M,84.00M,72.00M,-7.00M,,241.00M,204.00M,579.00M,177.00M,1.297B,,-895.00M,24.00M,-871.00M,0.00,-725.00M,,-1.273B,,31.00M,,31.00M,2.00M,0.00,2.00M,,-197.00M,160.00M,-3.00M,,134.00M,21.00M,5.00M,160.00M,,,2.00M,2.142B,-1.00M,0.00,,AOR,Restated
2007-09,555.00M,,,,102.00M,1.00M,22.00M,-159.00M,,257.00M,-271.00M,983.00M,422.00M,2.062B,,-634.00M,0.00,-634.00M,-4.029B,1.113B,-56.00M,-3.775B,,2.108B,,2.108B,-1.00M,-293.00M,-294.00M,,-107.00M,2.00M,1.708B,,139.00M,-5.00M,0.00,134.00M,,,-1.00M,,-2.00M,-293.00M,,AOR,Restated
2007-06,654.00M,,,,-238.00M,-31.00M,9.00M,-301.00M,,277.00M,-28.00M,1.596B,306.00M,2.318B,,-394.00M,12.00M,-382.00M,,-2.042B,91.00M,-2.165B,,-1.00M,,-1.00M,3.00M,-65.00M,-62.00M,,-107.00M,1.00M,-166.00M,,152.00M,-13.00M,0.00,139.00M,,,3.00M,0.00,-1.00M,-65.00M,,AOR,Restated
2007-03,768.00M,,,,100.00M,-41.00M,-31.00M,311.00M,,-534.00M,-36.00M,-865.00M,-9.00M,-6.00M,,-324.00M,1.00M,-323.00M,,755.00M,-35.00M,398.00M,,-1.00M,,-1.00M,4.00M,-314.00M,-310.00M,,-374.00M,271.00M,-414.00M,,174.00M,-22.00M,0.00,152.00M,,,4.00M,0.00,-1.00M,-314.00M,,AOR,Restated
2006-12,772.20M,,,,1.826B,-176.70M,24.80M,780.40M,2.025B,-708.60M,-2.743B,-790.30M,,31.10M,,-318.70M,12.30M,-306.40M,0.00,-2.003B,2.846B,536.90M,,-596.50M,,-596.50M,432.40M,-255.00M,177.40M,,-96.70M,-71.50M,-587.30M,,193.30M,-19.30M,,174.00M,,,432.40M,44.30M,-640.80M,-255.00M,,AOR,
2006-09,635.10M,,,,240.60M,1.259B,21.00M,-780.50M,-157.60M,552.80M,-1.677B,-782.70M,,93.00M,,-220.30M,10.20M,-210.10M,0.00,-981.00M,-573.10M,-1.764B,,1.019B,,1.019B,878.30M,-10.30M,868.00M,,-96.70M,-98.90M,1.691B,,173.30M,20.00M,,193.30M,,,878.30M,1.041B,-21.90M,-10.30M,,AOR,Restated
2006-06,568.70M,,,,173.70M,-30.80M,51.60M,8.00M,-73.60M,-87.20M,321.30M,189.30M,,931.70M,,-195.70M,1.00M,-194.70M,,-690.60M,-421.70M,-1.307B,,-13.40M,,-13.40M,752.70M,-188.80M,563.90M,,-90.00M,-57.80M,402.70M,,145.90M,27.40M,,173.30M,,,752.70M,11.10M,-24.50M,-188.80M,,AOR,Restated
2006-03,541.00M,,,,182.50M,205.70M,-100.30M,-0.90M,231.20M,-465.60M,65.30M,-64.60M,,658.90M,,-199.90M,0.50M,-199.40M,,-921.50M,1.018B,-102.40M,,-42.20M,,-42.20M,8.10M,-55.70M,-47.60M,,-162.00M,-340.80M,-592.60M,,182.00M,-36.10M,,145.90M,,,8.10M,0.80M,-43.00M,-55.70M,,AOR,Restated
2005-12,108.80M,29.00M,29.00M,,-155.60M,2.124B,541.30M,402.90M,1.910B,-1.749B,-2.170B,1.095B,,1.142B,,-160.70M,-15.30M,-176.00M,57.30M,-1.456B,-85.20M,-1.660B,,-32.60M,,-32.60M,691.20M,0.00,691.20M,,-70.80M,-109.90M,477.90M,,222.40M,-40.40M,,182.00M,,,691.20M,42.10M,-74.70M,0.00,,AOR,
2005-09,302.20M,-154.70M,-154.70M,,170.80M,1.30M,66.20M,-134.20M,33.50M,772.80M,-332.40M,441.20M,,759.50M,,-103.40M,4.50M,-98.90M,-11.60M,-318.30M,-298.80M,-727.60M,,-1.90M,,-1.90M,6.70M,0.00,6.70M,,-66.20M,-100.00M,-161.40M,,351.90M,-129.50M,,222.40M,,,6.70M,0.00,-1.90M,0.00,,AOR,Restated
2005-06,435.60M,,,,83.50M,999.40M,58.90M,-185.40M,1.232B,-547.50M,-586.60M,970.50M,,1.490B,,-153.50M,10.00M,-143.50M,11.60M,515.20M,215.80M,599.10M,,-1.855B,,-1.855B,2.60M,0.00,2.60M,,-62.40M,-16.90M,-1.932B,,195.00M,156.90M,,351.90M,,,2.60M,249.60M,-2.105B,0.00,,AOR,Restated
2005-03,346.30M,,,,126.80M,411.60M,122.90M,-12.60M,361.10M,-750.90M,-629.10M,-497.00M,,-23.90M,,-60.20M,0.80M,-59.40M,,-207.90M,281.50M,14.20M,,72.00M,,72.00M,3.40M,0.00,3.40M,,-62.50M,-42.20M,-29.30M,,234.00M,-39.00M,,195.00M,,,3.40M,1.168B,-1.096B,0.00,,AOR,Restated
2004-12,497.40M,3.40M,3.40M,,-1.294B,-92.30M,-356.30M,450.10M,-531.80M,772.70M,602.90M,889.40M,,478.10M,,-71.30M,22.70M,-48.60M,-1.758B,1.356B,-1.329B,-1.780B,,1.152B,,1.152B,268.00M,0.00,268.00M,,-57.90M,20.70M,1.383B,,139.10M,80.80M,,219.90M,,,268.00M,1.201B,-49.00M,0.00,,AOR,
2004-09,278.50M,-44.10M,-44.10M,,1.416B,437.10M,516.20M,-374.80M,803.80M,819.40M,-2.678B,-444.80M,,1.206B,,-71.20M,14.60M,-56.60M,2.60M,2.041B,-3.416B,-1.428B,,246.70M,,246.70M,18.90M,-18.10M,0.80M,,-57.90M,-18.40M,171.20M,,190.70M,-51.60M,,139.10M,,,18.90M,249.40M,-2.70M,-18.10M,,AOR,Restated
2004-06,410.50M,141.50M,141.50M,,-203.60M,-1.138B,46.60M,108.00M,-1.092B,113.70M,2.691B,837.20M,,1.186B,,-64.80M,14.10M,-50.70M,644.50M,-4.826B,3.686B,-545.90M,,-530.90M,,-530.90M,-0.30M,,-0.30M,,-57.90M,6.80M,-582.30M,,133.30M,57.40M,,190.70M,,,-0.30M,0.10M,-531.00M,,,AOR,Restated
