,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,478.00M,49.28B,49.76B,7.097B,387.00M,7.452B,,57.21B,10.45B,785.00M,610.00M,1.395B,1.165B,52.68B,,68.15B,80.24B,,92.00M,,92.00M,92.00M,37.00M,37.00M,37.00M,,,129.00M,10.07B,,10.07B,1.065B,4.023B,5.088B,,22.71B,5.119B,1.321B,42.98B,61.06B,,3.00M,14.15B,3.133B,7.00M,,581.00M,17.86B,,AOR,
2020-09,886.00M,48.45B,49.33B,7.85B,,7.85B,,57.18B,10.47B,765.00M,,765.00M,1.176B,51.60B,,67.03B,79.46B,,466.00M,,466.00M,466.00M,35.00M,35.00M,35.00M,,,501.00M,10.37B,,10.37B,913.00M,3.951B,4.864B,,22.53B,5.02B,1.248B,42.79B,60.84B,,3.00M,14.44B,3.379B,685.00M,,238.00M,17.37B,,AOR,
2020-06,668.00M,47.31B,47.98B,8.431B,,8.431B,,56.41B,10.48B,764.00M,,764.00M,1.125B,50.36B,,65.72B,78.44B,,985.00M,,985.00M,985.00M,47.00M,47.00M,47.00M,,,1.032B,9.958B,,9.958B,875.00M,3.852B,4.727B,,22.27B,4.996B,1.209B,41.95B,60.03B,,3.00M,14.32B,3.371B,491.00M,,5.00M,17.20B,,AOR,
2020-03,939.00M,43.79B,44.73B,8.136B,,8.136B,,52.86B,14.75B,763.00M,,763.00M,1.101B,46.74B,,66.59B,79.25B,,249.00M,,249.00M,249.00M,2.46B,2.46B,2.46B,,,2.709B,9.508B,,9.508B,858.00M,3.848B,4.706B,,21.87B,4.745B,2.212B,40.83B,60.08B,,3.00M,15.17B,3.347B,458.00M,,-1.093B,16.97B,,AOR,
2019-12,336.00M,46.82B,47.15B,6.66B,644.00M,7.28B,,54.43B,15.57B,767.00M,647.00M,1.414B,1.072B,50.18B,,70.73B,82.24B,,108.00M,,108.00M,108.00M,77.00M,77.00M,77.00M,,,185.00M,11.46B,,11.46B,1.168B,3.779B,4.947B,,21.72B,4.583B,2.811B,42.71B,60.31B,,3.00M,15.82B,3.374B,13.00M,,-68.00M,19.12B,,AOR,Restated
2019-09,442.00M,47.03B,47.47B,7.622B,,7.622B,,55.09B,15.56B,772.00M,,772.00M,995.00M,50.39B,,71.00B,82.50B,,242.00M,,242.00M,242.00M,87.00M,87.00M,87.00M,,,329.00M,11.40B,,11.40B,1.141B,3.707B,4.848B,,21.60B,4.608B,2.838B,42.45B,60.24B,,3.00M,16.43B,3.62B,647.00M,,17.00M,19.42B,,AOR,Restated
2019-06,440.00M,46.33B,46.77B,8.144B,,8.144B,,54.91B,15.51B,768.00M,,768.00M,985.00M,49.76B,,70.33B,82.28B,,576.00M,,576.00M,576.00M,87.00M,87.00M,87.00M,,,663.00M,11.46B,,11.46B,1.227B,3.595B,4.822B,,21.73B,4.648B,2.88B,42.66B,59.88B,,3.00M,16.37B,3.612B,478.00M,,3.00M,19.51B,,AOR,Restated
2019-03,339.00M,45.09B,45.43B,8.012B,,8.012B,,53.44B,15.41B,682.00M,,682.00M,933.00M,48.54B,,68.86B,80.45B,,307.00M,,307.00M,307.00M,132.00M,132.00M,132.00M,,,439.00M,11.23B,,11.23B,1.084B,3.472B,4.556B,,21.84B,4.422B,2.865B,42.04B,58.55B,,3.00M,16.14B,3.607B,327.00M,,-390.00M,19.04B,,AOR,Restated
2018-12,405.00M,43.41B,43.82B,6.791B,773.00M,7.566B,,51.38B,15.51B,665.00M,611.00M,1.276B,901.00M,47.28B,,66.80B,78.32B,,42.00M,,42.00M,42.00M,17.00M,17.00M,17.00M,,,59.00M,11.36B,,11.36B,841.00M,3.402B,4.243B,,21.98B,4.183B,2.868B,41.77B,56.93B,,3.00M,15.77B,3.627B,5.00M,,-880.00M,18.52B,,AOR,Restated
2018-09,571.00M,43.42B,43.99B,7.836B,,7.836B,,51.83B,15.47B,657.00M,,657.00M,983.00M,47.71B,,69.66B,78.72B,,217.00M,,217.00M,217.00M,149.00M,149.00M,149.00M,,,366.00M,11.31B,,11.31B,911.00M,,911.00M,,21.60B,4.289B,2.934B,38.12B,56.84B,,3.00M,16.79B,3.813B,896.00M,,-758.00M,18.95B,,AOR,Restated
