,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.775B,2.775B,26.00M,1.613B,1.639B,50.00M,0.00,1.689B,-2.00M,643.00M,788.00M,129.00M,659.00M,,,,55.00M,659.00M,659.00M,298.00M,1.002B,1.64,,,1.64,1.64,1.62,,,1.62,1.62,367.44M,372.62M,0.42
2017-12,2.682B,2.682B,25.00M,1.331B,1.356B,54.00M,-165.00M,1.245B,0.00,616.00M,813.00M,464.00M,349.00M,,,,36.00M,349.00M,448.00M,289.00M,994.00M,0.91,,,1.178,0.91,0.89,,,1.1540000000000001,0.89,369.88M,375.52M,0.42
2017-09,2.607B,2.607B,14.00M,1.432B,1.446B,54.00M,-36.00M,1.464B,1.00M,603.00M,822.00M,137.00M,685.00M,,,,55.00M,685.00M,714.99M,275.00M,980.00M,1.69,,,1.77,1.69,1.66,,,1.739,1.66,372.76M,378.52M,0.42
2017-06,2.57B,2.57B,,1.401B,1.401B,54.00M,-54.00M,1.401B,0.00,575.00M,776.00M,156.00M,620.00M,,,,36.00M,620.00M,663.15M,257.00M,901.00M,1.56,,,1.675,1.56,1.53,,,1.643,1.53,375.40M,380.92M,0.38
2017-03,2.436B,2.436B,,1.483B,1.483B,52.00M,-29.00M,1.506B,-40.00M,510.00M,584.00M,82.00M,502.00M,,,,55.00M,502.00M,526.94M,264.00M,724.00M,1.17,,,1.235,1.17,1.15,,,1.215,1.15,381.22M,386.42M,0.38
2016-12,2.334B,2.334B,,1.603B,1.655B,54.00M,-46.00M,1.663B,2.00M,514.00M,345.00M,-248.00M,593.00M,,,0.00,36.00M,593.00M,620.60M,259.00M,447.00M,1.45,,,1.5219999999999998,1.45,1.43,,,1.501,1.43,384.06M,389.12M,0.38
2016-09,2.382B,2.382B,,1.329B,1.329B,55.00M,-89.00M,1.295B,4.00M,537.00M,636.00M,72.00M,564.00M,,,-1.00M,55.00M,563.00M,641.85M,210.00M,746.00M,1.31,,,1.5130000000000001,1.31,1.29,,,1.4909999999999999,1.29,388.36M,393.21M,0.38
2016-06,2.348B,2.348B,,1.28B,1.28B,49.00M,-20.00M,1.309B,-1.00M,521.00M,709.00M,92.00M,617.00M,,,2.00M,33.00M,619.00M,636.42M,228.00M,808.00M,1.48,,,1.524,1.48,1.47,,,1.514,1.47,394.16M,398.85M,0.34
2016-03,2.26B,2.26B,,1.401B,1.401B,49.00M,-104.00M,1.346B,2.00M,512.00M,430.00M,62.00M,368.00M,,,,49.00M,368.00M,457.02M,232.00M,547.00M,0.8,,,1.023,0.8,0.79,,,1.011,0.79,399.42M,403.62M,0.34
2015-12,2.394B,2.394B,,1.333B,1.398B,50.00M,-32.00M,1.416B,0.00,494.00M,680.00M,103.00M,577.00M,,,-1.00M,28.00M,576.00M,603.15M,210.00M,789.00M,1.36,,,1.4280000000000002,1.36,1.34,,,1.4069999999999998,1.34,401.98M,407.24M,0.34
2015-09,2.342B,2.342B,,1.349B,1.349B,48.00M,-3.00M,1.394B,-2.00M,513.00M,647.00M,67.00M,580.00M,,,1.00M,42.00M,581.00M,583.69M,207.00M,748.00M,1.33,,,1.337,1.33,1.31,,,1.317,1.31,406.61M,412.17M,0.34
2015-06,2.368B,2.368B,,1.261B,1.261B,49.00M,-256.00M,1.054B,-3.00M,535.00M,472.00M,54.00M,418.00M,,,0.00,29.00M,418.00M,644.71M,198.00M,566.00M,0.95,,,1.5019999999999998,0.95,0.93,,,1.474,0.93,410.67M,416.71M,0.34
2015-03,2.349B,2.349B,,1.371B,1.371B,50.00M,-156.00M,1.265B,-1.00M,546.00M,499.00M,94.00M,405.00M,,,,31.00M,405.00M,531.67M,186.00M,595.00M,0.9,,,1.207,0.9,0.89,,,1.192,0.89,412.22M,418.75M,0.3
2014-12,2.266B,2.266B,,1.298B,1.298B,60.00M,-225.00M,1.133B,0.00,574.00M,548.00M,71.00M,477.00M,,,0.00,18.00M,477.00M,672.85M,186.00M,650.00M,1.26,,,1.73,1.26,1.24,,,1.7009999999999998,1.24,416.57M,424.50M,0.3
2014-09,2.383B,2.383B,,1.195B,1.195B,54.00M,-20.00M,1.229B,0.00,570.00M,688.00M,128.00M,560.00M,,,0.00,18.00M,560.00M,576.28M,177.00M,789.00M,1.28,,,1.319,1.28,1.26,,,1.298,1.26,421.97M,429.74M,0.3
2014-06,2.405B,2.405B,,1.222B,1.222B,54.00M,-28.00M,1.248B,-2.00M,561.00M,746.00M,124.00M,622.00M,,,,19.00M,622.00M,645.35M,183.00M,835.00M,1.41,,,1.465,1.41,1.38,,,1.4340000000000002,1.38,427.82M,435.32M,0.3
2014-03,2.294B,2.294B,,1.401B,1.401B,54.00M,-33.00M,1.422B,6.00M,555.00M,455.00M,92.00M,363.00M,,,,6.00M,363.00M,389.30M,153.00M,555.00M,0.83,,,0.8911,0.83,0.81,,,0.8699,0.81,430.62M,438.82M,0.26
2013-12,2.138B,2.138B,,1.253B,1.253B,54.00M,-13.00M,1.294B,0.00,585.00M,592.00M,125.00M,467.00M,,,,6.00M,467.00M,477.26M,191.00M,691.00M,1.25,,,1.274,1.25,1.22,,,1.2429999999999999,1.22,435.75M,445.44M,0.26
2013-09,2.24B,2.24B,,1.138B,1.138B,53.00M,-30.00M,1.161B,-4.00M,546.00M,703.00M,163.00M,540.00M,,,,7.00M,540.00M,563.04M,184.00M,800.00M,1.2,,,1.252,1.2,1.17,,,1.2209999999999999,1.17,442.86M,452.15M,0.26
2013-06,2.374B,2.374B,,1.152B,1.152B,54.00M,-30.00M,1.176B,-7.00M,596.00M,762.00M,183.00M,579.00M,,,,6.00M,579.00M,601.80M,140.00M,866.00M,1.26,,,1.31,1.26,1.24,,,1.2890000000000001,1.24,452.18M,461.04M,0.26
2013-03,2.255B,2.255B,,1.272B,1.272B,53.00M,-14.00M,1.311B,2.00M,576.00M,609.00M,145.00M,464.00M,,,,7.00M,464.00M,474.67M,160.00M,720.00M,1.0,,,1.023,1.0,0.98,,,1.003,0.98,454.32M,462.75M,0.26
2012-12,2.27B,2.27B,,1.149B,1.149B,53.00M,-139.00M,1.063B,21.00M,622.00M,587.00M,117.00M,470.00M,,,,0.00,470.00M,581.29M,172.00M,698.00M,1.02,,,1.262,1.02,1.0,,,1.238,1.0,459.22M,467.08M,0.24
2012-09,2.186B,2.186B,,1.127B,1.127B,46.00M,334.00M,1.507B,18.00M,619.00M,941.00M,267.00M,674.00M,,,,15.00M,674.00M,434.77M,120.00M,1.052B,1.39,,,0.8835,1.39,1.36,,,0.8616,1.36,472.36M,480.01M,0.24
2012-06,2.251B,2.251B,,1.15B,1.15B,48.00M,-37.00M,1.161B,-27.00M,672.00M,652.00M,162.00M,490.00M,,,,7.00M,490.00M,517.81M,91.00M,766.00M,1.0,,,1.058,1.0,0.98,,,1.037,0.98,481.40M,488.52M,0.24
2012-03,2.24B,2.24B,,1.255B,1.255B,51.00M,-21.00M,1.285B,11.00M,625.00M,586.00M,159.00M,427.00M,,,,7.00M,427.00M,442.29M,106.00M,726.00M,0.86,,,0.8915,0.86,0.85,,,0.8812,0.85,484.94M,490.45M,0.24
2011-12,1.479B,1.479B,,514.00M,514.00M,51.00M,-44.00M,521.00M,-14.00M,606.00M,532.00M,151.00M,381.00M,,,,-8.00M,381.00M,412.51M,153.00M,691.00M,0.77,,,0.8349,0.77,0.76,,,0.8244,0.76,485.35M,489.04M,0.18
2011-09,2.452B,2.452B,,1.336B,1.336B,50.00M,-110.00M,1.276B,15.00M,578.00M,629.00M,74.00M,555.00M,,,,12.00M,555.00M,652.06M,96.00M,779.00M,1.11,0.0,,1.308,1.11,1.1,0.0,,1.296,1.1,490.84M,494.78M,0.18
2011-06,2.562B,2.562B,,1.401B,1.401B,50.00M,-61.00M,1.39B,89.00M,572.00M,715.00M,202.00M,513.00M,,,,11.00M,513.00M,556.77M,110.00M,862.00M,1.01,0.0,,1.0979999999999999,1.01,1.0,0.0,,1.087,1.0,496.81M,501.04M,0.18
2011-03,2.361B,2.361B,,1.165B,1.165B,49.00M,-19.00M,1.195B,-7.00M,577.00M,660.00M,189.00M,471.00M,,,,,471.00M,484.56M,59.00M,817.00M,0.94,0.0,,0.9673,0.94,0.93,0.0,,0.9571,0.93,497.47M,500.98M,0.18
2010-12,716.00M,716.00M,,637.00M,637.00M,47.00M,851.00M,1.535B,-634.00M,656.00M,252.00M,169.00M,83.00M,,,,,83.00M,-470.15M,-2.00M,430.00M,0.17,,,-0.946,0.17,0.16,,,-0.9495,0.16,495.64M,498.55M,0.01
2010-09,2.459B,2.459B,,1.203B,1.203B,52.00M,-155.00M,1.10B,108.00M,724.00M,782.00M,236.00M,546.00M,,,,6.00M,546.00M,654.22M,-59.00M,962.00M,1.09,0.0,,1.308,1.09,1.08,0.0,,1.297,1.08,495.73M,498.16M,0.01
2010-06,2.544B,2.544B,,1.187B,1.187B,46.00M,-695.00M,538.00M,3.00M,658.00M,350.00M,-82.00M,432.00M,,,,5.00M,432.00M,883.75M,-55.00M,538.00M,0.87,0.0,,1.7819999999999998,0.87,0.87,0.0,,1.776,0.87,495.61M,498.89M,0.01
2010-03,2.536B,2.536B,,1.05B,1.05B,34.00M,-240.00M,844.00M,192.00M,661.00M,702.00M,207.00M,495.00M,,,,,495.00M,664.23M,-114.00M,919.00M,0.99,0.0,,1.3319999999999999,0.99,0.99,0.0,,1.33,0.99,494.59M,498.06M,0.01
2009-12,3.977B,3.977B,,1.112B,1.112B,32.00M,-1.414B,-270.00M,57.00M,1.239B,680.00M,182.00M,4.182B,,,,,498.00M,5.218B,2.31B,318.00M,1.15,0.0,,3.247,1.15,1.15,0.0,,3.2319999999999998,1.15,493.71M,497.31M,0.01
2009-09,1.979B,1.979B,,1.132B,1.132B,36.00M,-11.00M,1.157B,42.00M,466.00M,487.00M,160.00M,327.00M,,,,,327.00M,334.39M,36.00M,919.00M,0.66,0.0,,0.675,0.66,0.66,0.0,,0.6748,0.66,493.45M,498.29M,0.01
2009-06,3.69B,3.69B,,1.009B,1.009B,34.00M,-12.00M,1.031B,26.00M,580.00M,744.00M,242.00M,502.00M,,-3.684B,,,-3.182B,510.10M,34.00M,937.00M,-7.16,0.0,-0.0,-7.143,-7.16,-7.16,0.0,-7.952999999999999,-7.143,-7.16,463.20M,465.81M,0.01
2009-03,2.015B,2.015B,,1.023B,1.023B,34.00M,-30.00M,1.027B,29.00M,564.00M,614.00M,138.00M,476.00M,,,,,476.00M,499.26M,-23.00M,788.00M,1.03,0.0,,1.084,1.03,1.02,0.0,,1.073,1.02,432.18M,435.30M,0.01
2008-12,2.795B,2.795B,,1.006B,1.006B,44.00M,-905.00M,145.00M,71.00M,843.00M,362.00M,106.00M,256.00M,,0.00,,,256.00M,896.00M,-745.00M,946.00M,0.51,0.0,0.0,1.994,0.51,0.51,0.0,0.0,1.994,0.51,431.17M,431.17M,0.24
2008-09,2.771B,2.771B,,1.338B,1.338B,34.00M,-30.00M,1.342B,-3.00M,525.00M,846.00M,369.00M,477.00M,,0.00,,,477.00M,269.00M,132.00M,1.348B,1.1,0.0,0.0,0.6173,1.1,1.09,0.0,0.0,0.6119,1.09,430.87M,435.03M,0.24
2008-06,2.672B,2.672B,,1.396B,1.396B,33.00M,-32.00M,1.397B,9.00M,657.00M,831.00M,283.00M,548.00M,,0.00,,,548.00M,569.10M,159.00M,1.311B,1.36,0.0,0.0,1.412,1.36,1.35,0.0,0.0,1.402,1.35,402.48M,406.96M,0.24
2008-03,2.577B,2.577B,,1.062B,1.062B,,-26.00M,1.036B,-9.00M,625.00M,803.00M,273.00M,530.00M,,,,,530.00M,547.16M,172.00M,1.466B,1.37,0.0,,1.4140000000000001,1.37,1.35,0.0,,1.3940000000000001,1.35,387.94M,393.65M,0.23
2007-12,2.479B,2.479B,,793.00M,793.00M,,,793.00M,-21.00M,556.00M,306.00M,83.00M,223.00M,,,,,223.00M,223.00M,-230.00M,1.204B,0.55,0.0,,0.55,0.55,0.54,0.0,,0.54,0.54,385.47M,391.87M,0.23
2007-09,2.24B,2.24B,,916.00M,916.00M,,,916.00M,-6.00M,464.00M,551.00M,193.00M,358.00M,,,,,358.00M,358.00M,,1.47B,0.92,0.0,,0.92,0.92,0.91,0.0,,0.91,0.91,386.84M,392.15M,0.22
2007-06,1.921B,1.921B,,1.077B,1.077B,,-183.00M,894.00M,-1.00M,385.00M,563.00M,197.00M,366.00M,0.00,,,,366.00M,484.97M,,1.381B,1.09,0.0,,1.444,1.09,1.07,0.0,,1.419,1.07,335.77M,341.10M,0.22
2007-03,1.696B,1.696B,,739.00M,739.00M,,,739.00M,1.00M,325.00M,483.00M,169.00M,314.00M,,,,,314.00M,314.00M,190.00M,1.33B,0.94,0.0,,0.94,0.94,0.93,0.0,,0.93,0.93,334.04M,338.73M,0.21
2006-12,,,,,,,,,,,,,309.00M,0.00,,,,309.00M,309.00M,65.00M,,0.93,0.0,,0.93,0.93,0.91,0.0,,0.91,0.91,331.42M,336.23M,0.21
2006-09,,,,,,,,,,,,,278.00M,,,,,278.00M,278.00M,,,0.84,0.0,,0.84,0.84,0.83,0.0,,0.83,0.83,330.44M,335.51M,0.2
2006-06,1.651B,1.651B,,947.00M,947.00M,,-134.00M,813.00M,14.00M,262.00M,475.00M,248.00M,227.00M,0.00,,,,227.00M,307.40M,,1.247B,0.69,0.0,,0.933,0.69,0.68,0.0,,0.9194,0.68,330.80M,335.88M,0.2
2006-03,1.523B,1.523B,11.00M,635.00M,646.00M,,,646.00M,-3.00M,266.00M,427.00M,145.00M,282.00M,10.00M,,,,292.00M,282.00M,108.00M,1.122B,0.85,0.03,,0.85,0.88,0.84,0.03,,0.84,0.87,332.76M,337.12M,0.19
2005-12,1.416B,1.416B,,589.00M,557.00M,,,557.00M,-2.00M,242.00M,377.00M,128.00M,249.00M,-116.00M,,,,133.00M,249.00M,154.00M,996.00M,0.75,0.0,,0.75,0.75,0.74,0.0,,0.74,0.74,330.69M,336.55M,0.19
2005-09,1.388B,1.388B,11.00M,566.00M,577.00M,,,577.00M,1.00M,236.00M,380.00M,130.00M,250.00M,-107.00M,,,,143.00M,239.47M,79.00M,917.00M,0.76,-0.33,,0.728,0.43,0.75,-0.33,,0.7185,0.43,329.10M,334.10M,0.18
2005-06,1.361B,1.361B,,552.00M,552.00M,,,552.00M,1.00M,217.00M,333.00M,113.00M,220.00M,,,,,220.00M,220.00M,117.00M,809.00M,0.67,0.0,,0.67,0.67,0.66,0.0,,0.66,0.66,330.12M,334.09M,0.18
2005-03,1.308B,1.308B,10.00M,524.00M,534.00M,,,534.00M,-1.00M,212.00M,342.00M,116.00M,226.00M,,,,,226.00M,226.00M,149.00M,733.00M,0.68,0.0,,0.68,0.68,0.67,0.0,,0.67,0.67,331.56M,334.65M,0.17
2004-12,1.253B,1.253B,,511.00M,511.00M,,,511.00M,7.00M,217.00M,279.00M,95.00M,184.00M,,,,,184.00M,184.00M,103.00M,594.00M,0.55,0.0,,0.55,0.55,0.55,0.0,,0.55,0.55,333.23M,336.83M,0.17
2004-09,1.174B,1.174B,,474.00M,474.00M,,-16.00M,458.00M,,213.00M,268.00M,91.00M,177.00M,,,,,177.00M,187.57M,176.00M,518.00M,0.52,0.0,,0.5515,0.52,0.52,0.0,,0.5511,0.52,335.63M,339.35M,0.16
2004-06,1.287B,1.287B,,510.00M,510.00M,,-16.00M,494.00M,16.00M,226.00M,334.00M,114.00M,220.00M,,,,,220.00M,230.54M,165.00M,516.00M,0.66,0.0,,0.6915,0.66,0.65,0.0,,0.6809,0.65,334.93M,340.65M,0.16
2004-03,1.219B,1.219B,,462.00M,462.00M,,-18.00M,444.00M,3.00M,203.00M,311.00M,94.00M,217.00M,,,,,217.00M,229.56M,195.00M,492.00M,0.65,0.0,,0.6875,0.65,0.63,0.0,,0.6667,0.63,334.64M,342.13M,0.15
2003-12,1.506B,1.506B,,437.00M,437.00M,,-30.00M,407.00M,-6.00M,210.00M,678.00M,231.00M,447.00M,,,,,447.00M,466.78M,276.00M,845.00M,1.35,0.0,,1.409,1.35,1.33,0.0,,1.3880000000000001,1.33,333.60M,338.82M,0.15
2003-09,1.126B,1.126B,,407.00M,407.00M,,-29.00M,378.00M,-5.00M,203.00M,305.00M,103.00M,202.00M,,,,,202.00M,221.21M,193.00M,466.00M,0.61,0.0,,0.6678,0.61,0.6,0.0,,0.6571,0.6,332.25M,336.57M,0.14
2003-06,1.082B,1.082B,,444.00M,444.00M,,,444.00M,,193.00M,-57.00M,-34.00M,-23.00M,,,,,-23.00M,-27.80M,42.00M,151.00M,-0.07,0.0,,-0.0845,-0.07,-0.07,0.0,,-0.0844,-0.07,331.32M,333.97M,0.14
2003-03,1.02B,1.02B,,443.00M,443.00M,,-37.00M,406.00M,26.00M,204.00M,186.00M,90.00M,96.00M,,,,,96.00M,118.20M,190.00M,379.00M,0.29,0.0,,0.3574,0.29,0.29,0.0,,0.3569,0.29,329.57M,332.05M,0.13
2002-12,1.457B,1.457B,,411.00M,411.00M,,,411.00M,31.00M,225.00M,752.00M,275.00M,477.00M,,,,,477.00M,477.00M,189.00M,992.00M,1.48,0.0,,1.48,1.48,1.46,0.0,,1.46,1.46,323.52M,326.77M,0.13
2002-09,956.00M,956.00M,,398.00M,398.00M,,,398.00M,31.00M,223.00M,272.00M,90.00M,182.00M,,,,,182.00M,182.00M,112.00M,524.00M,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,323.02M,328.16M,0.12
2002-06,1.004B,1.004B,,440.00M,440.00M,,,440.00M,,249.00M,265.00M,87.00M,178.00M,,,,,178.00M,178.00M,151.00M,526.00M,0.55,0.0,,0.55,0.55,0.54,0.0,,0.54,0.54,323.86M,328.26M,0.12
2002-03,982.00M,982.00M,,421.00M,421.00M,,,421.00M,,281.00M,266.00M,88.00M,178.00M,,,,,178.00M,178.00M,236.00M,509.00M,0.55,0.0,,0.55,0.55,0.54,0.0,,0.54,0.54,323.69M,329.00M,0.11
2001-12,992.00M,992.00M,9.00M,435.00M,444.00M,,,444.00M,,285.00M,252.00M,82.00M,170.00M,,,,,170.00M,170.00M,150.00M,530.00M,0.53,0.0,,0.53,0.53,0.52,0.0,,0.52,0.52,323.47M,329.53M,0.11
2001-09,962.00M,962.00M,14.00M,420.00M,434.00M,,,434.00M,,254.00M,247.00M,77.00M,170.00M,,,,,170.00M,170.00M,111.00M,698.00M,0.52,0.0,,0.52,0.52,0.51,0.0,,0.51,0.51,326.73M,331.76M,0.1
2001-06,970.00M,970.00M,15.00M,416.00M,431.00M,,,431.00M,,239.00M,248.00M,81.00M,167.00M,,,,,167.00M,167.00M,47.00M,741.00M,0.51,0.0,,0.51,0.51,0.5,0.0,,0.5,0.5,325.21M,330.54M,0.1
2001-03,890.00M,890.00M,,392.00M,392.00M,,,392.00M,,247.00M,183.00M,62.00M,121.00M,,,,,121.00M,121.00M,90.00M,791.00M,0.38,0.0,,0.38,0.38,0.37,0.0,,0.37,0.37,324.68M,330.10M,0.095
2000-12,880.00M,880.00M,15.00M,395.00M,410.00M,,,410.00M,,232.00M,226.00M,79.00M,147.00M,,,,,147.00M,147.00M,183.00M,918.00M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,322.89M,329.92M,0.095
2000-09,891.00M,891.00M,15.00M,377.00M,392.00M,,,392.00M,,235.00M,223.00M,73.00M,150.00M,,,,,150.00M,150.00M,11.00M,826.00M,0.465,0.0,,0.465,0.465,0.455,0.0,,0.455,0.455,322.44M,328.96M,0.085
2000-06,871.00M,871.00M,15.00M,366.00M,381.00M,,,381.00M,,215.00M,227.00M,79.00M,148.00M,,,,,148.00M,148.00M,116.00M,780.00M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,321.69M,328.09M,0.085
2000-03,917.00M,917.00M,15.00M,386.00M,401.00M,,,401.00M,,212.00M,230.00M,80.00M,150.00M,,,,,150.00M,150.00M,64.00M,744.00M,0.47,0.0,,0.47,0.47,0.46,0.0,,0.46,0.46,319.67M,325.49M,0.08
1999-12,752.00M,752.00M,11.00M,360.00M,371.00M,,,371.00M,,195.00M,406.00M,157.00M,249.00M,,,,,249.00M,249.00M,86.00M,848.00M,0.775,0.0,,0.775,0.775,0.76,0.0,,0.76,0.76,319.65M,327.24M,0.08
1999-09,769.00M,769.00M,12.00M,321.00M,333.00M,,,333.00M,,198.00M,189.00M,63.00M,126.00M,,,,,126.00M,126.00M,81.00M,617.00M,0.39,0.0,,0.39,0.39,0.385,0.0,,0.385,0.385,321.66M,326.63M,0.075
1999-06,769.00M,769.00M,15.00M,323.00M,338.00M,,,338.00M,,194.00M,188.00M,65.00M,123.00M,,,,,123.00M,123.00M,72.00M,604.00M,0.385,0.0,,0.385,0.385,0.375,0.0,,0.375,0.375,322.32M,328.34M,0.075
1999-03,746.00M,746.00M,15.00M,309.00M,324.00M,,,324.00M,,194.00M,185.00M,64.00M,121.00M,,,,,121.00M,121.00M,88.00M,555.00M,0.375,0.0,,0.375,0.375,0.37,0.0,,0.37,0.37,321.82M,327.89M,0.07
1998-12,730.00M,730.00M,14.00M,318.00M,332.00M,,,332.00M,,200.00M,167.00M,56.00M,111.00M,,,,,111.00M,111.00M,67.00M,555.00M,0.345,0.0,,0.345,0.345,0.34,0.0,,0.34,0.34,321.02M,327.00M,0.07
1998-09,698.00M,698.00M,17.00M,297.00M,314.00M,,,314.00M,,187.00M,166.00M,55.00M,111.00M,,,,,111.00M,111.00M,97.00M,581.00M,0.345,0.0,,0.345,0.345,0.34,0.0,,0.34,0.34,322.29M,327.84M,0.065
1998-06,675.00M,675.00M,16.00M,294.00M,310.00M,,,310.00M,,182.00M,164.00M,55.00M,109.00M,,,,,109.00M,109.00M,79.00M,532.00M,0.335,0.0,,0.335,0.335,0.33,0.0,,0.33,0.33,322.32M,329.05M,0.065
