,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.848B,83.11B,61.78B,144.89B,3.668B,540.00M,4.208B,411.00M,159.72B,7.726B,7.726B,-4.744B,2.982B,7.607B,1.87B,9.477B,27.04B,134.00M,26.90B,116.02B,199.00M,156.59B,272.08B,,,22.06B,22.06B,10.66B,10.66B,10.66B,35.15B,13.85B,,13.85B,197.51B,,211.37B,246.52B,2.975B,23.13B,10.19B,10.63B,2.471B,,,-111.00M,25.56B
2020-06,3.685B,95.72B,56.23B,151.95B,3.95B,1.661B,5.611B,446.00M,166.81B,7.605B,7.605B,-4.591B,3.014B,7.538B,1.914B,9.452B,26.86B,141.00M,26.72B,112.92B,199.00M,152.99B,280.24B,,,23.63B,23.63B,12.17B,12.17B,12.17B,39.32B,15.59B,,15.59B,200.46B,,216.05B,255.37B,2.975B,22.79B,10.18B,10.64B,2.471B,,,-430.00M,24.87B
2020-03,4.932B,155.45B,55.84B,211.30B,3.98B,2.087B,6.067B,452.00M,228.57B,7.499B,7.499B,-4.459B,3.04B,7.506B,1.963B,9.469B,32.38B,97.00M,32.28B,127.51B,206.00M,173.60B,362.53B,,,30.15B,30.15B,30.50B,30.50B,30.50B,66.02B,15.54B,,15.54B,257.10B,,272.64B,338.67B,2.975B,22.32B,10.16B,10.66B,2.471B,,,-920.00M,23.86B
2019-12,3.302B,73.20B,53.82B,127.01B,3.663B,645.00M,4.308B,395.00M,137.96B,7.507B,7.507B,-4.367B,3.14B,7.556B,2.03B,9.586B,26.31B,74.00M,26.24B,99.41B,216.00M,139.33B,245.61B,,,24.86B,24.86B,839.00M,839.00M,839.00M,26.80B,12.37B,136.00M,12.51B,181.87B,,194.38B,221.18B,3.466B,21.92B,10.13B,10.21B,2.962B,,,-876.00M,24.43B
2019-09,3.598B,66.69B,54.76B,121.44B,4.147B,548.00M,4.695B,430.00M,134.65B,7.375B,7.375B,-4.235B,3.14B,7.50B,2.077B,9.577B,27.01B,71.00M,26.94B,97.78B,95.00M,138.56B,244.61B,,,28.65B,28.65B,7.073B,7.073B,7.073B,37.06B,11.46B,,11.46B,170.89B,,182.34B,219.40B,4.194B,21.61B,10.12B,9.729B,3.69B,,,-985.00M,25.21B
2019-06,3.742B,67.56B,53.24B,120.81B,4.22B,980.00M,5.20B,549.00M,131.92B,7.211B,7.211B,-4.091B,3.12B,7.565B,2.155B,9.72B,25.42B,72.00M,25.35B,95.97B,101.00M,134.67B,241.54B,,,27.35B,27.35B,4.939B,4.939B,4.939B,34.12B,11.37B,,11.37B,170.59B,,181.97B,216.09B,4.194B,21.27B,10.11B,9.249B,3.69B,,,-874.00M,25.45B
2019-03,4.469B,59.29B,49.00B,108.30B,4.037B,1.069B,5.106B,520.00M,119.62B,7.066B,7.066B,-3.937B,3.129B,7.549B,2.208B,9.757B,23.38B,70.00M,23.31B,93.67B,100.00M,130.34B,228.33B,,,27.27B,27.27B,947.00M,947.00M,947.00M,29.64B,11.18B,,11.18B,162.47B,,173.65B,203.29B,4.194B,20.91B,10.08B,8.969B,3.69B,,,-1.18B,25.04B
2018-12,3.212B,77.66B,45.15B,122.81B,3.511B,660.00M,4.171B,493.00M,137.34B,6.366B,6.366B,-4.152B,2.214B,7.446B,2.369B,9.815B,25.79B,67.00M,25.72B,90.80B,113.00M,129.39B,244.60B,,,24.23B,24.23B,3.092B,3.092B,3.092B,28.41B,10.90B,190.00M,11.09B,180.36B,,191.45B,219.86B,4.194B,20.55B,10.06B,8.715B,3.69B,,,-1.356B,24.74B
2018-09,4.145B,69.16B,46.10B,115.26B,3.557B,810.00M,4.367B,510.00M,129.06B,6.303B,6.303B,-4.11B,2.193B,6.016B,1.461B,7.477B,23.37B,60.00M,23.31B,90.47B,120.00M,123.90B,234.01B,,,28.22B,28.22B,1.009B,1.009B,1.009B,30.92B,10.34B,,10.34B,168.20B,,178.53B,209.45B,4.194B,20.39B,10.42B,8.735B,3.69B,,,-1.711B,24.55B
2018-06,3.886B,82.65B,47.35B,129.99B,3.425B,857.00M,4.282B,425.00M,144.44B,6.188B,6.188B,-3.999B,2.189B,5.973B,1.50B,7.473B,24.12B,55.00M,24.07B,90.89B,109.00M,125.04B,248.31B,,,24.50B,24.50B,1.103B,1.103B,1.103B,28.69B,10.39B,,10.39B,186.66B,,197.05B,225.74B,3.70B,19.86B,9.82B,9.317B,3.196B,,,-1.488B,22.57B
