,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.320B,2.320B,1.566B,753.60M,,195.60M,27.10M,0.00,,39.20M,-39.20M,-29.30M,193.40M,560.20M,39.20M,-39.20M,73.60M,-39.20M,594.60M,99.90M,494.70M,0.00,,-7.90M,486.80M,310.50M,633.80M,,2020-09,2.20,,2.20,2.20,,2020-09,,,2.19,2020-09,221.50M,222.30M,1.34,,2020-09,AOR,
2020-06,2.065B,2.065B,1.345B,720.30M,,176.90M,19.90M,0.00,,32.10M,-32.10M,-15.70M,181.10M,539.20M,32.10M,-32.10M,59.30M,-32.10M,566.40M,109.30M,457.10M,0.00,,-10.60M,446.50M,290.60M,598.50M,,2020-06,2.02,,2.02,2.02,,2020-06,,,2.01,2020-06,221.20M,222.40M,1.34,,2020-06,AOR,
2020-03,2.216B,2.216B,1.460B,756.20M,,201.70M,19.20M,33.80M,,19.30M,-19.30M,-8.10M,212.80M,543.40M,19.30M,-19.30M,129.10M,-19.30M,653.20M,148.50M,504.70M,-14.30M,,-12.60M,477.80M,294.70M,672.50M,,2020-03,2.22,,2.102,2.16,,2020-03,,,2.092,2020-03,221.20M,222.30M,1.34,,2020-03,AOR,
2019-12,2.255B,2.255B,1.487B,768.10M,,201.70M,17.70M,0.00,,18.70M,-18.70M,-12.30M,207.10M,561.00M,18.70M,-18.70M,67.30M,-18.70M,609.60M,120.70M,488.90M,,,-13.30M,475.60M,289.20M,628.30M,,2019-12,2.15,,2.15,2.15,,2019-12,,,2.14,2019-12,220.90M,222.20M,1.16,,2019-12,AOR,
2019-09,2.283B,2.283B,1.491B,792.40M,,181.90M,22.90M,0.00,,30.10M,-30.10M,-15.60M,189.20M,603.20M,30.10M,-30.10M,76.80M,-30.10M,649.90M,131.20M,518.70M,0.00,,-15.50M,503.20M,293.60M,680.00M,,2019-09,2.28,,2.28,2.28,,2019-09,,,2.27,2019-09,220.60M,222.20M,1.16,,2019-09,AOR,Restated
2019-06,2.224B,2.224B,1.466B,758.00M,,188.50M,18.10M,3.60M,,34.20M,-34.20M,-14.70M,191.90M,566.10M,34.20M,-34.20M,77.60M,-34.20M,609.50M,109.30M,500.20M,0.00,,-12.20M,488.00M,269.10M,643.70M,,2019-06,2.21,,2.197,2.21,,2019-06,,,2.187,2019-06,220.60M,221.90M,1.16,,2019-06,AOR,Restated
2019-03,2.188B,2.188B,1.475B,713.00M,,190.00M,16.90M,0.00,,35.40M,-35.40M,-10.40M,196.50M,516.50M,35.40M,-35.40M,59.90M,-35.40M,541.00M,107.50M,433.50M,0.00,,-12.20M,421.30M,262.10M,576.40M,,2019-03,1.91,,1.91,1.91,,2019-03,,,1.90,2019-03,220.20M,221.40M,1.16,,2019-03,AOR,Restated
2018-12,2.224B,2.224B,1.544B,680.00M,,189.60M,15.00M,-29.00M,,37.30M,-37.30M,-8.60M,196.00M,484.00M,37.30M,-37.30M,42.40M,-37.30M,489.10M,132.10M,357.00M,,,-9.50M,347.50M,258.00M,526.40M,,2018-12,1.58,,1.676,1.58,,2018-12,,,1.666,2018-12,219.90M,221.00M,1.10,,2018-12,AOR,Restated
2018-09,2.299B,2.299B,1.566B,733.10M,,186.00M,20.40M,0.00,,35.40M,-35.40M,-7.00M,199.40M,533.70M,35.40M,-35.40M,30.60M,-35.40M,528.90M,69.20M,459.70M,0.00,,-6.80M,452.90M,257.20M,564.30M,,2018-09,2.06,,2.06,2.06,,2018-09,,,2.05,2018-09,219.30M,221.10M,1.10,,2018-09,AOR,Restated
2018-06,2.259B,2.259B,1.545B,713.60M,,188.60M,15.00M,0.00,,34.90M,-34.90M,-5.80M,197.80M,515.80M,34.90M,-34.90M,70.90M,-34.90M,551.80M,107.10M,444.70M,43.20M,,-14.00M,473.90M,245.60M,586.70M,,2018-06,1.96,,1.96,2.16,,2018-06,,,1.95,2018-06,219.50M,220.90M,1.10,,2018-06,AOR,Restated
