,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,901.55M,,901.55M,4.228B,4.323B,3.260B,231.06M,,,8.716B,,,,,4.392B,4.392B,,4.392B,4.066B,1.056B,5.122B,4.289M,394.57M,9.913B,18.63B,4.236B,0.00,4.236B,1.516B,5.752B,6.606M,288.06M,294.66M,,294.66M,,,,6.046B,8.835B,,8.835B,161.19M,161.19M,,35.91M,1.199B,10.23B,16.28B,765.18M,9.851B,1.357B,8.547B,-1.075B,2.351B
2017-12,,961.07M,,961.07M,3.954B,3.954B,3.174B,183.45M,,,8.272B,,,,,4.366B,4.366B,,4.366B,4.001B,1.056B,5.057B,92.95M,430.60M,9.947B,18.22B,3.746B,128.45M,3.874B,1.567B,5.442B,6.629M,534.72M,541.34M,,541.34M,,,,5.983B,8.312B,,8.312B,143.79M,143.79M,,33.52M,1.478B,9.968B,15.95B,765.18M,9.708B,1.361B,8.450B,-1.116B,2.269B
2017-09,,909.20M,,909.20M,4.334B,4.334B,3.181B,173.46M,,,8.597B,,,,,4.388B,4.388B,,4.388B,3.971B,1.053B,5.023B,149.93M,260.04M,9.822B,18.42B,3.951B,148.90M,4.100B,1.502B,5.602B,4.513M,533.64M,538.15M,,538.15M,,,,6.140B,8.426B,,8.426B,165.62M,165.62M,,83.11M,1.368B,10.04B,16.18B,765.18M,9.638B,1.348B,8.374B,-1.143B,2.235B
2017-06,,869.50M,,869.50M,4.012B,4.029B,2.996B,139.18M,,,8.033B,0.0,477.58M,4.072B,5.149B,,9.699B,-5.322B,4.377B,3.916B,1.038B,4.954B,142.47M,249.80M,9.723B,17.76B,3.971B,14.54M,3.986B,1.576B,5.562B,3.938M,530.08M,534.01M,,534.01M,,,,6.096B,7.661B,,7.661B,161.72M,161.72M,,82.84M,1.374B,9.279B,15.38B,765.18M,9.448B,1.327B,7.896B,-1.263B,2.382B
2017-03,,855.13M,,855.13M,4.282B,4.282B,2.944B,244.06M,,,8.326B,,,,,4.272B,4.272B,,4.272B,3.768B,1.086B,4.854B,190.14M,279.64M,9.595B,17.92B,3.850B,0.00,3.850B,1.329B,5.178B,24.68M,526.69M,551.37M,,551.37M,,,,5.730B,8.027B,,8.027B,185.18M,185.18M,,80.24M,1.569B,9.861B,15.59B,765.18M,9.317B,1.308B,7.555B,-1.505B,2.331B
2016-12,,847.29M,,847.29M,3.963B,3.963B,3.032B,168.91M,,,8.011B,,,,,4.331B,4.331B,,4.331B,3.714B,1.095B,4.809B,193.66M,284.79M,9.619B,17.63B,3.550B,0.00,3.550B,1.471B,5.021B,22.60M,8.937M,31.54M,,31.54M,,,,5.052B,8.314B,,8.314B,175.80M,175.80M,,78.90M,1.533B,10.10B,15.15B,765.18M,9.256B,1.320B,7.283B,-1.583B,2.476B
2016-09,,759.90M,,759.90M,4.191B,4.191B,3.026B,158.30M,,,8.135B,,,,,4.419B,4.419B,,4.419B,3.816B,1.204B,5.020B,198.87M,252.39M,9.889B,18.02B,3.717B,252.68M,3.969B,1.381B,5.350B,6.834M,9.218M,16.05M,,16.05M,,,,5.367B,7.844B,,7.844B,218.41M,218.41M,,76.86M,1.499B,9.637B,15.00B,765.18M,9.160B,1.313B,6.783B,-1.435B,3.021B
2016-06,,3.919B,,3.919B,3.381B,3.381B,2.639B,114.45M,,,10.05B,0.0,448.98M,3.962B,4.174B,,8.585B,-4.705B,3.880B,2.122B,207.46M,2.329B,207.32M,251.02M,6.668B,16.72B,2.936B,110.69M,3.047B,1.289B,4.336B,89.56M,8.909M,98.47M,,98.47M,,,,4.434B,7.337B,,7.337B,26.94M,26.94M,1.140B,75.39M,228.23M,8.808B,13.24B,765.18M,9.006B,1.281B,6.215B,-1.358B,3.480B
2016-03,,610.84M,,610.84M,3.509B,3.509B,2.704B,136.12M,0.00,,6.960B,,,,,3.900B,3.900B,,3.900B,2.080B,193.67M,2.273B,,217.39M,6.391B,13.35B,2.907B,,2.907B,1.118B,4.025B,79.84M,7.175M,87.01M,,87.01M,,,,4.112B,4.275B,,4.275B,107.14M,107.14M,,76.93M,810.64M,5.270B,9.382B,765.18M,8.965B,1.039B,5.811B,-988.10M,3.969B
2015-12,,595.60M,,595.60M,3.353B,3.353B,2.736B,93.59M,0.00,,6.779B,,,,,3.937B,3.937B,,3.937B,1.978B,163.09M,2.141B,,232.82M,6.310B,13.09B,2.710B,,2.710B,1.072B,3.782B,83.04M,7.076M,90.11M,,90.11M,,,,3.872B,4.266B,,4.266B,111.82M,111.82M,,45.49M,852.66M,5.276B,9.148B,765.18M,8.922B,1.023B,5.724B,-1.045B,3.941B
2015-09,,388.26M,,388.26M,3.531B,3.531B,2.841B,181.82M,85.42M,,7.028B,,,,,3.961B,3.961B,,3.961B,1.981B,168.54M,2.150B,,232.36M,6.344B,13.37B,2.888B,0.00,2.888B,999.34M,3.887B,51.81M,31.81M,83.62M,,83.62M,,,,3.971B,3.005B,,3.005B,160.69M,160.69M,,44.24M,885.50M,4.095B,8.066B,765.18M,8.816B,1.232B,4.500B,-1.008B,5.306B
2015-06,,5.130B,,5.130B,3.353B,3.353B,2.692B,183.80M,135.25M,,11.49B,0.0,441.94M,3.878B,4.071B,,8.390B,-4.408B,3.982B,1.960B,154.81M,2.115B,0.00,398.21M,6.495B,17.99B,2.882B,0.00,2.882B,1.468B,4.350B,70.75M,4.979B,5.050B,,5.050B,,,,9.400B,2.272B,,2.272B,81.59M,81.59M,648.06M,41.30M,286.67M,3.329B,12.73B,765.18M,8.752B,1.214B,4.548B,-923.20M,5.260B
2015-03,,5.085B,,5.085B,3.496B,3.496B,2.650B,150.31M,140.28M,,11.52B,,,,,3.970B,3.970B,,3.970B,1.933B,154.28M,2.088B,,404.36M,6.462B,17.98B,2.836B,0.00,2.836B,1.110B,3.946B,79.62M,314.11M,393.73M,,393.73M,,,,4.340B,7.275B,,7.275B,117.67M,117.67M,,39.73M,898.06M,8.331B,12.67B,765.18M,8.857B,1.185B,4.574B,-920.14M,5.313B
2014-12,,4.908B,,4.908B,3.530B,3.530B,2.792B,86.96M,140.46M,,11.46B,,,,,4.003B,4.003B,,4.003B,1.967B,168.45M,2.135B,,375.64M,6.514B,17.97B,2.798B,0.00,2.798B,1.100B,3.898B,76.88M,311.35M,388.22M,,388.22M,,,,4.286B,7.248B,,7.248B,117.35M,117.35M,,34.94M,940.35M,8.341B,12.63B,765.18M,8.859B,1.182B,4.634B,-828.66M,5.343B
2014-09,,384.90M,,384.90M,3.647B,3.647B,2.846B,90.49M,140.55M,,7.108B,,,,,3.969B,3.969B,,3.969B,1.981B,180.32M,2.161B,,379.95M,6.510B,13.62B,2.924B,94.44M,3.019B,1.132B,4.151B,78.64M,306.93M,385.57M,,385.57M,,,,4.536B,2.650B,,2.650B,115.50M,115.50M,,34.10M,959.92M,3.760B,8.296B,765.18M,8.879B,1.156B,4.735B,-743.17M,5.321B
2014-06,,413.05M,,413.05M,3.399B,3.399B,2.602B,126.97M,141.22M,,6.682B,0.0,431.69M,3.816B,3.836B,,8.084B,-4.098B,3.986B,1.951B,177.23M,2.128B,,345.62M,6.459B,13.14B,2.831B,,2.831B,1.161B,3.992B,70.98M,304.78M,375.75M,,375.75M,,,,4.368B,2.357B,,2.357B,121.58M,121.58M,708.48M,0.00,319.40M,3.507B,7.874B,765.18M,8.771B,1.139B,4.766B,-642.66M,5.267B
2014-03,,341.09M,,341.09M,3.511B,3.511B,2.528B,138.93M,121.03M,,6.639B,,,,,3.956B,3.956B,,3.956B,1.937B,181.04M,2.118B,,424.47M,6.499B,13.14B,2.726B,,2.726B,1.142B,3.868B,71.51M,4.454M,75.96M,,75.96M,,,,3.944B,2.986B,,2.986B,195.88M,195.88M,,,780.83M,3.963B,7.907B,765.18M,8.687B,1.120B,4.824B,-516.92M,5.231B
2013-12,,449.86M,,449.86M,3.290B,3.290B,2.507B,153.39M,121.10M,,6.521B,,,,,3.967B,3.967B,,3.967B,1.916B,191.57M,2.107B,,417.50M,6.492B,13.01B,2.444B,,2.444B,1.044B,3.487B,57.73M,204.16M,261.89M,,261.89M,,,,3.749B,2.944B,,2.944B,230.91M,230.91M,,,784.99M,3.960B,7.709B,765.18M,8.676B,1.105B,4.796B,-446.42M,5.304B
2013-09,,359.53M,,359.53M,3.423B,3.423B,2.541B,74.68M,136.26M,,6.534B,,,,,3.979B,3.979B,,3.979B,1.909B,200.07M,2.109B,,403.17M,6.491B,13.03B,2.476B,139.29M,2.615B,1.017B,3.632B,45.58M,206.16M,251.74M,,251.74M,,,,3.884B,2.878B,,2.878B,256.66M,256.66M,,,807.51M,3.943B,7.826B,765.18M,8.635B,1.087B,4.876B,-411.80M,5.199B
2013-06,,412.28M,,412.28M,3.183B,3.183B,2.396B,79.63M,150.47M,,6.222B,0.0,411.85M,3.657B,3.688B,,7.756B,-3.778B,3.978B,1.884B,205.72M,2.090B,,388.50M,6.457B,12.68B,2.428B,,2.428B,985.48M,3.414B,41.63M,207.30M,248.93M,,248.93M,,,,3.663B,2.640B,,2.640B,280.48M,280.48M,545.83M,,357.47M,3.824B,7.486B,765.18M,8.513B,1.060B,4.699B,-446.94M,5.192B
2013-03,,331.52M,,331.52M,3.397B,3.397B,2.413B,101.54M,132.48M,,6.376B,,,,,3.938B,3.938B,,3.938B,1.802B,150.78M,1.953B,,390.14M,6.282B,12.66B,2.464B,0.00,2.464B,951.85M,3.416B,32.04M,208.79M,240.84M,,240.84M,,,,3.657B,2.557B,,2.557B,116.96M,116.96M,,,1.174B,3.848B,7.505B,765.18M,8.394B,1.029B,4.416B,-620.72M,5.152B
2012-12,,320.80M,,320.80M,3.168B,3.168B,2.436B,117.86M,116.89M,,6.160B,,,,,3.961B,3.961B,,3.961B,1.803B,153.36M,1.956B,,351.66M,6.268B,12.43B,2.288B,0.00,2.288B,903.93M,3.191B,42.75M,253.17M,295.92M,,295.92M,,,,3.487B,2.809B,,2.809B,94.99M,94.99M,,,1.135B,4.039B,7.526B,765.18M,8.360B,954.99M,4.573B,-605.71M,4.902B
2012-09,,548.42M,,548.42M,3.193B,3.193B,2.371B,86.40M,134.59M,,6.334B,,,,,3.951B,3.951B,,3.951B,1.726B,125.52M,1.852B,,351.64M,6.154B,12.49B,2.344B,159.01M,2.503B,845.70M,3.349B,0.00,254.26M,254.26M,,254.26M,,,,3.603B,2.765B,,2.765B,111.65M,111.65M,,,1.114B,3.991B,7.594B,765.18M,8.303B,939.25M,4.499B,-613.98M,4.894B
2012-06,,688.87M,,688.87M,2.967B,2.967B,2.179B,115.98M,134.50M,,6.085B,0.0,352.81M,3.511B,3.478B,,7.341B,-3.457B,3.884B,1.666B,113.57M,1.779B,,389.47M,6.052B,12.14B,2.209B,50.32M,2.260B,909.14M,3.169B,0.00,254.65M,254.65M,,254.65M,,,,3.424B,2.764B,,2.764B,115.17M,115.17M,907.30M,,242.44M,4.029B,7.452B,765.18M,8.175B,939.18M,4.532B,-662.87M,4.685B
2012-03,,350.46M,,350.46M,3.094B,3.094B,2.250B,85.71M,144.13M,,5.925B,,,,,,,,3.847B,1.660B,116.01M,1.776B,,344.47M,5.967B,11.89B,2.286B,88.11M,2.374B,870.67M,3.245B,3.25M,455.97M,459.22M,,459.22M,0.00,0.00,,3.704B,2.412B,,2.412B,245.50M,245.50M,,,652.37M,3.310B,7.014B,765.18M,8.025B,923.19M,4.548B,-286.62M,4.878B
2011-12,,336.53M,,336.53M,2.883B,2.883B,2.213B,73.57M,142.07M,,5.648B,,,,,,,,3.736B,1.631B,102.59M,1.733B,,336.37M,5.806B,11.45B,2.074B,123.42M,2.198B,857.54M,3.055B,2.50M,205.92M,208.42M,,208.42M,0.00,0.00,,3.264B,2.649B,,2.649B,218.31M,218.31M,,,634.98M,3.503B,6.766B,765.18M,7.923B,907.99M,4.585B,-323.56M,4.688B
2011-09,,284.10M,,284.10M,3.061B,3.061B,2.137B,77.58M,135.96M,,5.696B,,,,,,,,3.615B,1.621B,108.61M,1.730B,,405.40M,5.751B,11.45B,2.165B,384.61M,2.549B,817.70M,3.367B,5.35M,206.33M,211.68M,,211.68M,0.00,0.00,,3.579B,2.385B,,2.385B,212.58M,212.58M,,,616.35M,3.214B,6.793B,765.18M,7.831B,891.64M,4.482B,-352.11M,4.654B
2011-06,,639.76M,,639.76M,2.898B,2.898B,2.074B,121.07M,0.00,,5.733B,0.0,348.17M,3.227B,3.173B,,6.748B,-3.236B,3.512B,1.633B,109.94M,1.743B,,397.06M,5.653B,11.39B,2.183B,0.00,2.183B,856.57M,3.040B,181.98M,207.03M,389.01M,,389.01M,146.08M,146.08M,,3.575B,2.280B,,2.280B,204.22M,204.22M,387.92M,,233.58M,3.105B,6.680B,765.18M,7.682B,887.75M,4.369B,-259.96M,4.705B
2011-03,,385.67M,0.00,385.67M,2.926B,2.926B,2.047B,79.48M,,,5.439B,,,,,,,,3.420B,1.597B,101.52M,1.698B,,393.27M,5.511B,10.95B,2.143B,84.84M,2.228B,800.16M,3.028B,2.25M,7.042M,9.292M,,9.292M,98.95M,98.95M,,3.136B,2.663B,,2.663B,130.45M,130.45M,,,812.36M,3.606B,6.743B,765.18M,7.500B,861.84M,4.589B,-330.06M,4.207B
2010-12,,209.76M,0.00,209.76M,2.623B,2.623B,1.963B,70.43M,,,4.867B,,,,,,,,3.371B,1.577B,104.51M,1.682B,,409.23M,5.461B,10.33B,1.805B,47.74M,1.852B,761.95M,2.614B,,,7.867M,,7.867M,99.28M,99.28M,,2.722B,2.654B,,2.654B,185.24M,185.24M,,,773.49M,3.612B,6.334B,765.18M,7.393B,848.61M,4.625B,-387.42M,3.994B
2010-09,,448.37M,0.00,448.37M,2.815B,2.815B,1.875B,76.42M,74.42M,,5.289B,,,,,,,,3.278B,1.578B,110.97M,1.689B,,399.75M,5.366B,10.66B,1.999B,,1.999B,1.089B,3.088B,,,7.837M,,7.837M,50.56M,50.56M,,3.146B,2.487B,,2.487B,282.84M,282.84M,,,758.91M,3.528B,6.674B,765.18M,7.286B,825.93M,4.481B,-415.76M,3.981B
2010-06,,585.44M,23.51M,608.95M,2.617B,2.617B,1.772B,78.41M,,,5.076B,0.0,322.63M,2.983B,2.855B,,6.160B,-2.956B,3.204B,1.550B,106.40M,1.656B,,377.41M,5.237B,10.31B,1.953B,,1.953B,870.11M,2.823B,,,7.97M,,7.97M,178.02M,178.02M,,3.009B,2.473B,,2.473B,271.51M,271.51M,,,732.80M,3.477B,6.486B,765.18M,7.134B,816.83M,4.408B,-480.25M,3.828B
2010-03,,652.79M,,652.79M,2.634B,2.634B,1.751B,93.77M,,,5.132B,,,,,,,,3.176B,1.559B,114.25M,1.674B,,393.91M,5.336B,10.47B,2.039B,,2.039B,794.24M,2.833B,,,7.817M,,7.817M,76.26M,76.26M,,2.917B,2.469B,,2.469B,513.21M,513.21M,,,541.23M,3.523B,6.440B,765.18M,6.944B,799.28M,4.312B,-167.83M,4.028B
2009-12,,647.61M,61.86M,709.47M,2.526B,2.526B,1.790B,63.67M,,,5.090B,,,,,,,,3.073B,1.552B,118.03M,1.670B,,374.40M,5.187B,10.28B,1.907B,,1.907B,850.08M,2.757B,,,8.438M,,8.438M,18.48M,18.48M,,2.784B,2.469B,,2.469B,545.86M,545.86M,,,548.38M,3.563B,6.347B,765.18M,6.844B,788.14M,4.287B,-180.10M,3.930B
2009-09,,851.04M,27.44M,878.47M,2.575B,2.575B,1.748B,69.01M,91.26M,,5.362B,,,,,,,,3.014B,1.529B,116.73M,1.646B,,359.00M,5.068B,10.43B,1.960B,,1.960B,1.113B,3.074B,,,8.743M,,8.743M,0.00,0.00,,3.082B,2.469B,,2.469B,616.14M,616.14M,,,548.16M,3.633B,6.715B,765.18M,6.724B,764.90M,4.306B,-233.93M,3.714B
2009-06,,1.019B,0.00,1.019B,2.469B,2.469B,1.651B,64.42M,,,5.202B,0.0,307.33M,2.818B,2.642B,,5.767B,-2.788B,2.979B,1.511B,121.09M,1.632B,,308.11M,4.946B,10.15B,1.788B,,1.788B,1.122B,2.910B,,,9.163M,,9.163M,162.36M,162.36M,,3.082B,2.467B,,2.467B,526.38M,526.38M,,,622.90M,3.617B,6.698B,765.18M,6.540B,760.35M,4.338B,-277.99M,3.450B
2009-03,,899.12M,,899.12M,2.550B,2.550B,1.710B,67.13M,,,5.226B,,,,,,,,2.892B,1.405B,87.01M,1.492B,,287.11M,4.911B,10.14B,1.830B,,1.830B,874.95M,2.705B,,,6.529M,,6.529M,404.18M,404.18M,,3.116B,2.463B,,2.463B,530.10M,530.10M,,,696.44M,3.690B,6.806B,765.18M,6.366B,755.41M,4.355B,-200.41M,3.331B
2008-12,,373.07M,,373.07M,2.624B,2.624B,1.862B,60.94M,,,4.920B,,,,,,5.465B,-2.575B,2.891B,1.385B,78.98M,1.464B,,537.31M,4.892B,9.811B,1.707B,,1.707B,1.345B,3.052B,,,6.747M,,6.747M,234.29M,234.29M,,3.293B,1.973B,,1.973B,539.53M,539.53M,,,712.06M,3.224B,6.517B,765.18M,6.282B,750.84M,4.306B,-197.29M,3.294B
2008-09,,345.62M,,345.62M,2.874B,2.874B,1.934B,69.06M,101.81M,,5.324B,,,,,,5.451B,-2.575B,2.876B,1.421B,83.71M,1.505B,,580.10M,4.961B,10.29B,2.051B,,2.051B,757.46M,2.809B,,,5.269M,,5.269M,,,584.61M,3.398B,1.974B,,1.974B,717.59M,717.59M,,,689.74M,3.381B,6.780B,765.18M,6.186B,727.56M,4.075B,-98.31M,3.505B
2008-06,,551.55M,,551.55M,2.723B,2.723B,1.836B,63.81M,,,5.175B,0.0,270.16M,2.652B,2.542B,,5.464B,-2.575B,2.890B,1.413B,87.53M,1.501B,,301.56M,4.907B,10.08B,2.049B,11.66M,2.060B,917.89M,2.978B,,,4.896M,,4.896M,516.13M,516.13M,,3.499B,1.975B,,1.975B,540.33M,540.33M,,,658.20M,3.174B,6.673B,765.18M,6.041B,712.21M,4.041B,-68.77M,3.409B
2008-03,,243.92M,,243.92M,2.737B,2.737B,1.837B,62.43M,,,4.880B,,,,,,5.220B,-2.363B,2.857B,1.407B,90.24M,1.497B,,726.32M,5.080B,9.961B,2.033B,,2.033B,846.99M,2.880B,,,4.504M,,4.504M,385.88M,385.88M,159.63M,3.430B,2.041B,,2.041B,554.14M,554.14M,,,655.16M,3.250B,6.680B,765.18M,5.840B,697.97M,4.069B,47.42M,3.281B
2007-12,168.79M,168.79M,,168.79M,2.754B,2.754B,1.897B,64.80M,,,4.884B,,,,,2.841B,2.841B,,2.841B,1.408B,91.33M,1.499B,,324.66M,5.068B,9.953B,2.000B,264.86M,2.265B,773.22M,3.038B,4.50M,3.056M,7.556M,,7.556M,222.63M,222.63M,,3.269B,2.136B,,2.136B,567.24M,567.24M,,,651.30M,3.354B,6.623B,765.18M,5.731B,684.09M,3.922B,71.76M,3.330B
2007-09,190.15M,190.15M,,190.15M,2.765B,2.765B,1.865B,117.66M,91.44M,,5.030B,,,,,2.781B,2.781B,,2.781B,1.395B,90.39M,1.485B,,332.41M,4.988B,10.02B,2.079B,509.37M,2.589B,779.97M,3.368B,2.70M,3.576M,6.276M,,6.276M,,,,3.375B,1.970B,,1.970B,734.17M,734.17M,,,641.77M,3.346B,6.720B,765.18M,5.600B,655.61M,3.785B,61.22M,3.297B
2007-06,,207.87M,,207.87M,2.611B,2.611B,1.714B,142.60M,,,4.676B,0.0,239.21M,2.428B,2.417B,,5.084B,-2.363B,2.721B,1.355B,91.37M,1.447B,,675.47M,4.843B,9.519B,1.981B,,1.981B,922.58M,2.904B,18.90M,3.568M,22.47M,,22.47M,488.85M,488.85M,,3.415B,1.758B,,1.758B,626.70M,626.70M,,,440.52M,2.825B,6.241B,765.18M,5.544B,637.15M,3.664B,-4.061M,3.278B
2007-03,,180.94M,,180.94M,2.634B,2.634B,1.693B,66.94M,,,4.575B,,,,,,4.824B,-2.174B,2.650B,1.330B,89.98M,1.420B,,782.65M,4.852B,9.427B,1.982B,,1.982B,810.22M,2.792B,10.50M,104.88M,115.38M,,115.38M,357.63M,357.63M,119.92M,3.385B,1.633B,,1.633B,688.24M,688.24M,,,385.20M,2.707B,6.092B,765.18M,5.357B,618.09M,3.472B,67.44M,3.336B
2006-12,,185.86M,,185.86M,2.551B,2.551B,1.718B,69.78M,,,4.525B,,,,,,4.768B,-2.174B,2.594B,1.324B,92.76M,1.417B,,731.01M,4.742B,9.266B,1.888B,,1.888B,745.89M,2.634B,10.04M,105.08M,115.12M,,115.12M,211.83M,211.83M,282.21M,3.243B,1.756B,,1.756B,700.18M,700.18M,,,381.34M,2.838B,6.081B,765.18M,5.203B,589.38M,3.434B,62.14M,3.186B
