,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.234B,,80.00M,,78.00M,1.43B,1.43B,105.00M,28.00M,360.00M,-223.00M,99.00M,188.00M,323.00M,60.00M,-270.00M,177.00M,3.409B,,2020-09,-2.305B,,,-112.00M,-10.00M,-66.00M,-2.493B,,2020-09,857.00M,-507.00M,18.00M,,18.00M,0.00,,0.00,-722.00M,-722.00M,,254.00M,-957.00M,2020-09,641.00M,-41.00M,,,2020-09,,18.00M,2.88B,-3.387B,,,,2020-09,AOR,
2020-06,-892.00M,,1.968B,,1.961B,1.35B,1.35B,-317.00M,6.00M,-191.00M,-185.00M,36.00M,179.00M,7.00M,111.00M,-263.00M,-115.00M,1.803B,,2020-06,-2.271B,,,-87.00M,-18.00M,-73.00M,-2.449B,,2020-06,175.00M,230.00M,17.00M,,17.00M,0.00,,0.00,-684.00M,-684.00M,,26.00M,-411.00M,2020-06,1.698B,-1.057B,,,2020-06,,17.00M,1.916B,-1.686B,,,,2020-06,AOR,
2020-03,890.00M,,-44.00M,,-45.00M,1.301B,1.301B,422.00M,2.00M,-172.00M,466.00M,-92.00M,-544.00M,-131.00M,-455.00M,-75.00M,-831.00M,1.554B,,2020-03,-2.832B,,,-77.00M,-45.00M,-68.00M,-3.022B,,2020-03,1.662B,3.231B,40.00M,,40.00M,0.00,,0.00,-707.00M,-707.00M,,29.00M,2.593B,2020-03,573.00M,1.125B,,,2020-03,,40.00M,3.738B,-507.00M,,,,2020-03,AOR,
2019-12,607.00M,,-25.00M,,3.00M,1.345B,1.345B,70.00M,8.00M,369.00M,16.00M,-119.00M,25.00M,144.00M,370.00M,-265.00M,171.00M,2.572B,,2019-12,-3.038B,,,-49.00M,8.00M,-245.00M,-3.324B,,2019-12,221.00M,860.00M,343.00M,,343.00M,-1.00M,,-1.00M,-678.00M,-678.00M,,219.00M,743.00M,2019-12,582.00M,-9.00M,,,2019-12,,342.00M,1.018B,-158.00M,,,,2019-12,AOR,
2019-09,1.323B,,-50.00M,,-50.00M,1.348B,1.348B,209.00M,-20.00M,-355.00M,-242.00M,107.00M,343.00M,131.00M,180.00M,-397.00M,122.00M,2.581B,,2019-09,-2.619B,,,-102.00M,1.00M,-125.00M,-2.845B,,2019-09,927.00M,-416.00M,14.00M,,14.00M,990.00M,,990.00M,-678.00M,-678.00M,,455.00M,365.00M,2019-09,481.00M,101.00M,,,2019-09,,1.004B,1.225B,-1.641B,,,,2019-09,AOR,Restated
2019-06,748.00M,,-44.00M,,-47.00M,1.245B,1.245B,430.00M,4.00M,-220.00M,-84.00M,-79.00M,-13.00M,-363.00M,29.00M,145.00M,-365.00M,1.817B,,2019-06,-2.929B,,,-68.00M,-5.00M,-73.00M,-3.075B,,2019-06,931.00M,1.663B,14.00M,,14.00M,-1.00M,,-1.00M,-663.00M,-663.00M,,176.00M,1.189B,2019-06,550.00M,-69.00M,,,2019-06,,13.00M,2.373B,-710.00M,,,,2019-06,AOR,Restated
2019-03,893.00M,,-43.00M,,-40.00M,1.238B,1.238B,97.00M,0.00,-183.00M,388.00M,-31.00M,-743.00M,98.00M,-407.00M,-106.00M,-801.00M,1.239B,,2019-03,-2.536B,,,-94.00M,-9.00M,-74.00M,-2.713B,,2019-03,1.536B,1.128B,13.00M,,13.00M,974.00M,,974.00M,-649.00M,-649.00M,,-33.00M,1.433B,2019-03,591.00M,-41.00M,,,2019-03,,987.00M,2.872B,-1.744B,,,,2019-03,AOR,Restated
2018-12,454.00M,,-34.00M,15.00M,-18.00M,1.249B,1.249B,-20.00M,63.00M,-227.00M,-57.00M,52.00M,-9.00M,-73.00M,450.00M,-395.00M,-32.00M,1.519B,,2018-12,-2.637B,,,19.00M,30.00M,-202.00M,-2.79B,,2018-12,561.00M,1.058B,1.004B,,1.004B,0.00,,0.00,-636.00M,-636.00M,,-13.00M,1.413B,2018-12,449.00M,142.00M,,,2018-12,,1.004B,1.761B,-703.00M,,,,2018-12,AOR,Restated
2018-09,1.066B,,-37.00M,15.00M,-32.00M,1.197B,1.197B,810.00M,124.00M,-213.00M,-261.00M,34.00M,711.00M,-669.00M,34.00M,-530.00M,-681.00M,2.365B,,2018-09,-2.377B,,,-158.00M,-3.00M,-87.00M,-2.625B,,2018-09,1.295B,838.00M,14.00M,,14.00M,0.00,,0.00,-636.00M,-636.00M,,66.00M,282.00M,2018-09,427.00M,22.00M,,,2018-09,,14.00M,973.00M,-135.00M,,,,2018-09,AOR,Restated
2018-06,502.00M,,-36.00M,16.00M,-23.00M,1.161B,1.161B,90.00M,172.00M,-174.00M,-91.00M,-31.00M,234.00M,-6.00M,-43.00M,-3.00M,60.00M,1.911B,,2018-06,-2.288B,,,-66.00M,-14.00M,-13.00M,-2.381B,,2018-06,-216.00M,124.00M,799.00M,,799.00M,0.00,,0.00,-600.00M,-600.00M,,-5.00M,318.00M,2018-06,579.00M,-152.00M,,,2018-06,,799.00M,1.937B,-1.813B,,,,2018-06,AOR,Restated
