,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,3.734B,3.734B,2.135B,1.599B,,,0.00,68.00M,3.00M,-65.00M,908.00M,908.00M,691.00M,3.00M,68.00M,-65.00M,93.00M,-65.00M,719.00M,183.00M,536.00M,,,-5.00M,531.00M,510.17M,909.00M,122.00M,787.00M,,1.05,,,1.009,1.05,,1.04,,,0.9993,1.04,,507.00M,512.00M,0.375,,AOR,Restated
2018-03,4.012B,4.00B,2.224B,1.776B,,,,61.00M,3.00M,-58.00M,868.00M,868.00M,908.00M,3.00M,61.00M,-58.00M,66.00M,-58.00M,916.00M,220.00M,696.00M,,,-6.00M,690.00M,690.00M,1.102B,125.00M,977.00M,,1.36,,,1.36,1.36,,1.34,,,1.34,1.34,,508.00M,514.00M,0.375,,AOR,Restated
2017-12,3.701B,3.685B,2.114B,1.571B,,,,59.00M,3.00M,-56.00M,901.00M,901.00M,670.00M,3.00M,59.00M,-56.00M,28.00M,-56.00M,642.00M,614.00M,28.00M,,,-1.00M,29.00M,19.80M,826.00M,125.00M,701.00M,,0.05,0.01,,0.0359,0.06,,0.05,0.01,,0.0360,0.06,,510.00M,516.00M,0.00,,AOR,Restated
2017-09,3.35B,3.341B,1.968B,1.373B,,,,60.00M,2.00M,-58.00M,838.00M,838.00M,535.00M,2.00M,60.00M,-58.00M,60.00M,-58.00M,537.00M,140.00M,397.00M,,,-4.00M,393.00M,394.48M,717.00M,120.00M,597.00M,,0.77,,,0.7729,0.77,,0.76,,,0.7628,0.76,,512.00M,519.00M,0.375,,AOR,Restated
2017-06,3.495B,3.495B,1.998B,1.497B,,,,60.00M,2.00M,-58.00M,796.00M,796.00M,701.00M,2.00M,60.00M,-58.00M,68.00M,-58.00M,711.00M,204.00M,507.00M,,,-6.00M,501.00M,497.43M,887.00M,116.00M,771.00M,,0.98,,,0.9731,0.98,,0.96,,,0.9531,0.96,,514.00M,520.00M,0.375,,AOR,Restated
2017-03,3.515B,3.503B,2.005B,1.498B,,,,58.00M,2.00M,-56.00M,749.00M,749.00M,749.00M,2.00M,58.00M,-56.00M,60.00M,-56.00M,753.00M,175.00M,578.00M,,,-9.00M,569.00M,569.00M,931.00M,120.00M,811.00M,,1.10,,,1.10,1.10,,1.09,,,1.09,1.09,,515.00M,522.00M,0.34,,AOR,Restated
2016-12,3.375B,3.364B,2.151B,1.213B,,,,48.00M,1.00M,-47.00M,813.00M,813.00M,400.00M,1.00M,48.00M,-47.00M,235.00M,-47.00M,588.00M,147.00M,441.00M,,,-5.00M,436.00M,436.00M,744.00M,108.00M,636.00M,,0.85,0.00,,0.85,0.85,,0.84,0.00,,0.84,0.84,,516.00M,521.00M,0.34,,AOR,Restated
2016-09,3.145B,3.135B,1.817B,1.318B,,,,47.00M,0.00,-47.00M,746.00M,746.00M,572.00M,0.00,47.00M,-47.00M,,-47.00M,525.00M,141.00M,384.00M,,,-5.00M,379.00M,379.00M,681.00M,109.00M,572.00M,,0.73,,,0.73,0.73,,0.73,,,0.73,0.73,,518.00M,523.00M,0.34,,AOR,Restated
2016-06,3.389B,3.376B,1.872B,1.504B,,,,48.00M,2.00M,-46.00M,778.00M,778.00M,726.00M,2.00M,48.00M,-46.00M,1.00M,-46.00M,681.00M,201.00M,480.00M,,,-8.00M,472.00M,471.30M,839.00M,110.00M,729.00M,,0.91,,,0.9086,0.91,,0.90,,,0.8987,0.90,,521.00M,525.00M,0.34,,AOR,Restated
2016-03,3.346B,3.336B,1.854B,1.482B,,,,46.00M,2.00M,-44.00M,749.00M,749.00M,733.00M,2.00M,46.00M,-44.00M,-3.00M,-44.00M,686.00M,196.00M,490.00M,,,-9.00M,481.00M,483.14M,843.00M,111.00M,732.00M,,0.92,,,0.9241,0.92,,0.91,,,0.9141,0.91,,521.00M,526.00M,0.62,,AOR,Restated
2015-12,3.348B,3.338B,1.90B,1.438B,,,,46.00M,4.00M,-42.00M,844.00M,844.00M,594.00M,4.00M,46.00M,-42.00M,-1.00M,-42.00M,551.00M,171.00M,380.00M,1.00M,,-6.00M,375.00M,374.69M,708.00M,111.00M,597.00M,,0.72,0.00,,0.7213,0.72,,0.71,0.00,,0.7113,0.71,,522.00M,524.00M,0.31,,AOR,Restated
2015-09,3.124B,3.115B,1.878B,1.237B,,,,41.00M,3.00M,-38.00M,776.00M,776.00M,461.00M,3.00M,41.00M,-38.00M,34.00M,-38.00M,457.00M,128.00M,329.00M,2.00M,,-8.00M,323.00M,296.49M,606.00M,108.00M,498.00M,,0.61,0.00,,0.5636,0.61,,0.60,0.00,,0.5540,0.61,,528.00M,533.00M,0.31,,AOR,Restated
2015-06,3.237B,3.225B,1.826B,1.399B,,,,40.00M,3.00M,-37.00M,770.00M,770.00M,629.00M,3.00M,40.00M,-37.00M,3.00M,-37.00M,595.00M,166.00M,429.00M,0.00,,-10.00M,419.00M,416.84M,738.00M,103.00M,635.00M,,0.78,0.00,,0.7760,0.78,,0.77,0.00,,0.7660,0.77,,535.00M,541.00M,0.28,,AOR,Restated
2015-03,3.224B,3.215B,1.73B,1.485B,,,,36.00M,3.00M,-33.00M,750.00M,750.00M,735.00M,3.00M,36.00M,-33.00M,2.00M,-33.00M,704.00M,206.00M,498.00M,-3.00M,,-13.00M,482.00M,483.58M,841.00M,101.00M,740.00M,,0.90,-0.01,,0.8974,0.89,,0.89,-0.01,,0.8874,0.88,,539.00M,545.00M,0.28,,AOR,Restated
2014-12,3.257B,3.246B,1.896B,1.35B,,,,36.00M,5.00M,-31.00M,814.00M,814.00M,536.00M,5.00M,36.00M,-31.00M,-137.00M,-31.00M,368.00M,99.00M,269.00M,30.00M,,-5.00M,294.00M,264.00M,503.00M,99.00M,404.00M,,0.49,0.05,,0.49,0.54,,0.48,0.05,,0.48,0.54,,539.00M,550.00M,0.28,,AOR,Restated
2014-09,3.151B,3.141B,1.904B,1.237B,,,,45.00M,6.00M,-39.00M,792.00M,792.00M,445.00M,6.00M,45.00M,-39.00M,26.00M,-39.00M,432.00M,127.00M,305.00M,-1.00M,,-7.00M,297.00M,279.70M,575.00M,98.00M,477.00M,,0.55,0.00,,0.5164,0.55,,0.54,0.00,,0.5068,0.54,,544.00M,551.00M,0.28,,AOR,Restated
2014-06,3.311B,3.30B,1.876B,1.424B,,,,42.00M,5.00M,-37.00M,777.00M,777.00M,647.00M,5.00M,42.00M,-37.00M,-2.00M,-37.00M,608.00M,168.00M,440.00M,-2.00M,,-7.00M,431.00M,434.45M,744.00M,94.00M,650.00M,,0.79,-0.01,,0.7926,0.78,,0.78,-0.01,,0.7826,0.77,,549.00M,556.00M,0.25,,AOR,Restated
2014-03,3.271B,3.264B,1.839B,1.425B,,,,42.00M,5.00M,-37.00M,752.00M,752.00M,673.00M,5.00M,42.00M,-37.00M,13.00M,-37.00M,649.00M,192.00M,457.00M,-1.00M,,-13.00M,443.00M,434.84M,788.00M,97.00M,691.00M,,0.81,0.00,,0.7933,0.81,,0.80,0.00,,0.7835,0.80,,548.00M,556.00M,0.25,,AOR,Restated
2013-12,3.125B,3.115B,1.833B,1.282B,,,,43.00M,5.00M,-38.00M,793.00M,793.00M,489.00M,5.00M,43.00M,-38.00M,-13.00M,-38.00M,438.00M,131.00M,307.00M,0.00,,-4.00M,303.00M,295.29M,573.00M,92.00M,481.00M,,0.55,0.00,,0.5360,0.55,,0.54,0.00,,0.5262,0.54,,549.00M,558.00M,0.25,,AOR,Restated
2013-09,2.941B,2.932B,1.824B,1.108B,,,,40.00M,5.00M,-35.00M,704.00M,704.00M,404.00M,5.00M,40.00M,-35.00M,14.00M,-35.00M,383.00M,123.00M,260.00M,-1.00M,,-6.00M,253.00M,244.49M,512.00M,89.00M,423.00M,,0.46,0.00,,0.4427,0.46,,0.45,0.00,,0.4330,0.45,,549.00M,558.00M,0.25,,AOR,Restated
2013-06,3.098B,3.088B,1.766B,1.322B,,,,40.00M,4.00M,-36.00M,745.00M,745.00M,577.00M,4.00M,40.00M,-36.00M,23.00M,-36.00M,564.00M,164.00M,400.00M,-5.00M,,-7.00M,388.00M,376.65M,694.00M,90.00M,604.00M,,0.71,0.00,,0.6803,0.71,,0.70,-0.01,,0.6707,0.69,,551.00M,559.00M,0.23,,AOR,Restated
2013-03,3.133B,3.126B,1.803B,1.323B,,,,44.00M,4.00M,-40.00M,716.00M,716.00M,607.00M,4.00M,44.00M,-40.00M,21.00M,-40.00M,588.00M,176.00M,412.00M,12.00M,,-11.00M,413.00M,386.28M,719.00M,87.00M,632.00M,,0.73,0.02,,0.7031,0.75,,0.72,0.02,,0.6936,0.74,,548.00M,557.00M,0.23,,AOR,Restated
2012-12,3.008B,3.002B,1.802B,1.20B,,,,46.00M,6.00M,-40.00M,794.00M,794.00M,406.00M,6.00M,46.00M,-40.00M,4.00M,-40.00M,370.00M,105.00M,265.00M,-2.00M,,-4.00M,259.00M,258.14M,511.00M,95.00M,416.00M,,0.48,0.00,,0.4747,0.48,,0.47,0.00,,0.4648,0.47,,544.00M,552.00M,0.23,,AOR,Restated
2012-09,2.856B,2.845B,1.76B,1.085B,,,,44.00M,6.00M,-38.00M,707.00M,707.00M,378.00M,6.00M,44.00M,-38.00M,-4.00M,-38.00M,336.00M,90.00M,246.00M,1.00M,,-6.00M,241.00M,242.93M,467.00M,87.00M,380.00M,,0.44,0.00,,0.4454,0.44,,0.43,0.00,,0.4353,0.44,,544.00M,552.00M,0.23,,AOR,Restated
2012-06,3.026B,3.026B,1.776B,1.25B,,,,45.00M,6.00M,-39.00M,732.00M,732.00M,518.00M,6.00M,45.00M,-39.00M,4.00M,-39.00M,483.00M,144.00M,339.00M,-2.00M,,-8.00M,329.00M,328.19M,612.00M,84.00M,528.00M,,0.61,-0.01,,0.6048,0.60,,0.60,-0.01,,0.5949,0.59,,545.00M,553.00M,0.22,,AOR,Restated
2012-03,3.051B,3.051B,1.796B,1.255B,,,,46.00M,6.00M,-40.00M,728.00M,728.00M,527.00M,6.00M,46.00M,-40.00M,20.00M,-40.00M,507.00M,153.00M,354.00M,0.00,,-7.00M,347.00M,333.04M,636.00M,83.00M,553.00M,,0.64,0.00,,0.6142,0.64,,0.63,0.00,,0.6047,0.63,,542.00M,551.00M,0.22,,AOR,Restated
2011-12,2.948B,2.908B,6.969B,-4.061B,,,0.00,50.00M,7.00M,-43.00M,750.00M,-4.452B,391.00M,7.00M,50.00M,-43.00M,-4.00M,-43.00M,344.00M,100.00M,244.00M,16.00M,,-4.00M,256.00M,242.84M,476.00M,82.00M,394.00M,,0.44,0.03,,0.4453,0.47,,0.43,0.03,,0.4352,0.46,,539.00M,548.00M,0.00,,AOR,Restated
2011-09,2.806B,2.806B,,2.806B,1.753B,1.753B,-72.00M,49.00M,9.00M,-40.00M,743.00M,2.496B,310.00M,9.00M,49.00M,-40.00M,-72.00M,-40.00M,198.00M,65.00M,133.00M,2.00M,,-5.00M,130.00M,176.36M,332.00M,85.00M,247.00M,,0.24,0.00,,0.3296,0.24,,0.23,0.00,,0.3181,0.24,,540.00M,549.00M,0.22,,AOR,Restated
2011-06,2.928B,2.928B,,2.928B,1.728B,1.728B,,49.00M,5.00M,-44.00M,735.00M,2.463B,465.00M,5.00M,49.00M,-44.00M,-6.00M,-44.00M,415.00M,129.00M,286.00M,3.00M,,-7.00M,282.00M,283.13M,546.00M,82.00M,464.00M,,0.51,0.00,,0.5176,0.51,,0.50,0.00,,0.5074,0.50,,547.00M,555.00M,0.22,,AOR,Restated
2011-03,2.884B,2.884B,,2.884B,1.721B,1.721B,,51.00M,7.00M,-44.00M,691.00M,2.412B,472.00M,7.00M,51.00M,-44.00M,19.00M,-44.00M,447.00M,128.00M,319.00M,12.00M,,-6.00M,325.00M,299.44M,581.00M,83.00M,498.00M,,0.57,0.02,,0.5451,0.59,,0.56,0.02,,0.5354,0.58,,544.00M,552.00M,0.21,,AOR,Restated
2010-12,2.834B,2.785B,6.465B,-3.68B,,,0.00,53.00M,7.00M,-46.00M,770.00M,-4.005B,325.00M,7.00M,53.00M,-46.00M,19.00M,-46.00M,298.00M,106.00M,192.00M,14.00M,,-3.00M,203.00M,176.76M,434.00M,83.00M,351.00M,,0.35,0.02,,0.3275,0.37,,0.35,0.02,,0.3276,0.37,,543.00M,547.00M,0.21,,AOR,Restated
2010-09,2.524B,2.524B,,2.524B,1.586B,1.586B,0.00,60.00M,6.00M,-54.00M,699.00M,2.285B,239.00M,6.00M,60.00M,-54.00M,-2.00M,-54.00M,183.00M,55.00M,128.00M,43.00M,,-3.00M,168.00M,126.40M,327.00M,84.00M,243.00M,,0.23,0.07,,0.2326,0.30,,0.22,0.07,,0.2226,0.30,,543.00M,548.00M,0.21,,AOR,
2010-06,2.606B,2.606B,,2.606B,1.614B,1.614B,,60.00M,3.00M,-57.00M,1.042B,2.656B,-50.00M,3.00M,60.00M,-57.00M,18.00M,-57.00M,-89.00M,-60.00M,-29.00M,271.00M,,-6.00M,236.00M,-46.70M,64.00M,93.00M,-29.00M,,0.43,0.00,,0.4084,0.43,,0.43,0.00,,0.4085,0.43,,541.00M,545.00M,0.20,,AOR,Restated
2010-03,2.635B,2.635B,,2.635B,1.575B,1.575B,,60.00M,4.00M,-56.00M,635.00M,2.21B,425.00M,4.00M,60.00M,-56.00M,8.00M,-56.00M,377.00M,103.00M,274.00M,-22.00M,,-4.00M,248.00M,264.19M,534.00M,97.00M,437.00M,,0.50,-0.04,,0.4891,0.46,,0.45,-0.04,,0.4392,0.45,,533.00M,536.00M,0.40,,AOR,Restated
2009-12,2.564B,2.564B,,2.564B,1.629B,1.629B,,61.00M,4.00M,-57.00M,963.00M,2.592B,-28.00M,4.00M,61.00M,-57.00M,23.00M,-57.00M,-62.00M,-57.00M,-5.00M,30.00M,,-2.00M,23.00M,-7.00M,87.00M,88.00M,-1.00M,,-0.01,0.06,,-0.01,0.05,,-0.02,0.06,,-0.02,0.04,,525.00M,530.00M,0.20,,AOR,Restated
2009-09,2.354B,2.354B,,2.354B,1.533B,1.533B,22.00M,59.00M,3.00M,-56.00M,626.00M,2.159B,195.00M,3.00M,59.00M,-56.00M,22.00M,-56.00M,161.00M,-46.00M,207.00M,18.00M,,-4.00M,221.00M,188.70M,314.00M,94.00M,220.00M,,0.38,0.03,,0.3527,0.41,,0.38,0.03,,0.3528,0.41,,524.00M,526.00M,0.20,,AOR,Restated
2009-06,2.47B,2.47B,,2.47B,1.528B,1.528B,-32.00M,65.00M,4.00M,-61.00M,648.00M,2.176B,294.00M,4.00M,65.00M,-61.00M,-32.00M,-61.00M,201.00M,44.00M,157.00M,-347.00M,,-3.00M,-193.00M,179.00M,359.00M,93.00M,266.00M,,0.28,-0.64,,0.3279,-0.36,,0.28,-0.65,,0.3278,-0.37,,522.00M,523.00M,0.20,,AOR,Restated
2009-03,2.609B,2.609B,,2.609B,1.571B,1.571B,-15.00M,56.00M,6.00M,-50.00M,714.00M,2.285B,324.00M,6.00M,56.00M,-50.00M,-15.00M,-50.00M,259.00M,80.00M,179.00M,1.00M,,-4.00M,176.00M,185.37M,405.00M,90.00M,315.00M,,0.33,0.00,,0.3501,0.33,,0.33,0.00,,0.3501,0.33,,515.00M,515.00M,0.20,,AOR,Restated
2008-12,1.805B,1.805B,,,,-1.391B,,,,,2.681B,1.29B,515.00M,,,,559.00M,,486.00M,-29.00M,523.00M,-432.00M,,-3.00M,80.00M,512.00M,652.00M,102.00M,550.00M,,0.98,-0.81,,0.98,0.17,,0.98,-0.82,,0.98,0.16,,514.00M,518.00M,0.20,,,Restated
2008-09,2.838B,2.838B,,,,2.768B,-23.00M,,,,,2.768B,70.00M,,,,-23.00M,,3.00M,-18.00M,18.00M,-26.00M,,-3.00M,-8.00M,32.95M,168.00M,98.00M,70.00M,,0.04,-0.06,,0.0691,-0.02,,0.03,-0.06,,0.0586,-0.02,,513.00M,523.00M,0.00,,,
2008-06,3.033B,3.033B,,3.033B,1.879B,1.879B,-131.00M,55.00M,12.00M,-43.00M,859.00M,2.738B,295.00M,12.00M,55.00M,-43.00M,-131.00M,-43.00M,121.00M,66.00M,55.00M,12.00M,,-2.00M,65.00M,138.15M,279.00M,103.00M,176.00M,,0.10,0.02,,0.2663,0.12,,0.10,0.02,,0.2663,0.12,,512.00M,512.00M,0.20,,,Restated
2008-03,3.039B,3.039B,,3.039B,1.828B,1.828B,-417.00M,56.00M,18.00M,-38.00M,874.00M,2.702B,337.00M,18.00M,56.00M,-38.00M,-417.00M,-38.00M,-118.00M,94.00M,-212.00M,5.00M,,-3.00M,-210.00M,56.05M,39.00M,101.00M,-62.00M,,-0.40,0.01,,0.1223,-0.39,,-0.41,0.01,,0.1123,-0.40,,519.00M,519.00M,0.40,,,Restated
2007-12,2.915B,2.915B,,,,2.76B,10.00M,,,,,2.76B,155.00M,,,,10.00M,,140.00M,44.00M,90.00M,-5.00M,,-6.00M,85.00M,83.14M,259.00M,104.00M,155.00M,,0.18,0.03,,0.1668,0.21,,0.18,0.03,,0.1669,0.21,,521.00M,525.00M,0.19,,,
2007-09,2.716B,2.716B,,,,2.60B,78.00M,,,,-78.00M,2.522B,194.00M,,,,78.00M,,159.00M,75.00M,80.00M,1.865B,,-4.00M,1.945B,29.30M,296.00M,102.00M,194.00M,,0.15,3.49,,0.0551,3.64,,0.15,3.45,,0.0561,3.60,,534.00M,540.00M,0.00,,,
2007-06,2.819B,2.819B,,,,2.546B,,,,,,2.546B,273.00M,,,,,,213.00M,70.00M,140.00M,37.00M,,-3.00M,177.00M,140.00M,389.00M,116.00M,273.00M,,0.26,0.06,,0.26,0.32,,0.25,0.06,,0.25,0.31,,548.00M,558.00M,0.19,,,
2007-03,2.812B,2.812B,,,,2.425B,,,,,,2.425B,387.00M,,,,,,335.00M,106.00M,228.00M,40.00M,,-1.00M,268.00M,228.00M,507.00M,120.00M,387.00M,,0.41,0.08,,0.41,0.49,,0.41,0.06,,0.41,0.47,,553.00M,562.00M,0.38,,,
2006-12,2.50B,2.50B,,,,2.396B,,,,,,2.396B,104.00M,,,,,,257.00M,87.00M,168.00M,58.00M,,-2.00M,226.00M,168.00M,249.00M,145.00M,104.00M,,0.30,0.11,,0.30,0.41,,0.30,0.10,,0.30,0.40,,549.00M,563.00M,0.17,,,
2006-09,2.532B,2.532B,,,,2.288B,,,,,,2.288B,244.00M,,,,,,184.00M,48.00M,133.00M,43.00M,,-3.00M,176.00M,133.00M,355.00M,111.00M,244.00M,,0.24,0.08,,0.24,0.32,,0.24,0.07,,0.24,0.31,,550.00M,554.00M,0.00,,,
2006-06,2.98B,2.98B,1.802B,1.178B,,841.00M,,,,,,841.00M,337.00M,,,,,,272.00M,96.00M,173.00M,-1.00M,,-3.00M,172.00M,173.00M,448.00M,111.00M,337.00M,,0.32,-0.01,,0.32,0.31,,0.31,-0.01,,0.31,0.31,,549.00M,555.00M,0.17,,,
2006-03,2.674B,2.674B,,,,2.337B,,,,,,2.337B,337.00M,,,,,,274.00M,73.00M,200.00M,216.00M,,-1.00M,416.00M,200.00M,458.00M,121.00M,337.00M,,0.37,0.39,,0.37,0.76,,0.36,0.39,,0.36,0.75,,547.00M,555.00M,0.17,,,
2005-12,1.412B,2.066B,,,,6.755B,,,,,,7.565B,-151.00M,,,,,,-219.00M,-68.00M,-151.00M,186.00M,,0.00,35.00M,-151.00M,-41.00M,110.00M,-151.00M,,0.02,0.04,,0.02,0.06,,0.02,0.04,,0.02,0.06,,547.00M,555.00M,0.17,,,
2005-09,2.731B,2.779B,1.731B,1.048B,,861.00M,48.00M,,,,,861.00M,187.00M,,,,48.00M,,89.00M,24.00M,63.00M,6.00M,,-2.00M,69.00M,27.94M,306.00M,119.00M,187.00M,,0.12,0.01,,0.0550,0.13,,0.11,0.01,,0.0456,0.12,,539.00M,544.00M,0.17,,,
2005-06,2.977B,2.977B,1.76B,1.217B,,924.00M,,,,,,924.00M,293.00M,,,,,,231.00M,69.00M,160.00M,6.00M,,-3.00M,166.00M,160.00M,423.00M,130.00M,293.00M,,0.30,0.01,,0.30,0.31,,0.30,0.01,,0.30,0.31,,535.00M,538.00M,0.17,,,
2005-03,3.07B,3.07B,,,,2.809B,,,,,,2.809B,261.00M,,,,,,201.00M,70.00M,129.00M,5.00M,,-2.00M,134.00M,129.00M,392.00M,131.00M,261.00M,,0.24,0.01,,0.24,0.25,,0.24,0.01,,0.24,0.25,,531.00M,536.00M,0.34,,,
2004-12,2.73B,2.587B,1.059B,1.528B,,1.759B,-645.00M,,,,702.00M,2.461B,-933.00M,,,,-645.00M,,-993.00M,-287.00M,-502.00M,,,4.00M,-480.00M,-43.42M,-811.00M,122.00M,-933.00M,,-1.35,0.04,,-0.4976,-1.31,,-1.35,0.04,,-0.4976,-1.31,,538.00M,538.00M,0.34,,,
2004-09,2.912B,2.95B,834.00M,2.116B,,1.716B,-234.00M,,,,272.00M,1.988B,128.00M,,,,-228.00M,,79.00M,52.00M,21.00M,,,-6.00M,21.00M,161.40M,251.00M,123.00M,128.00M,,0.04,0.00,,0.3095,0.04,,0.04,0.00,,0.3034,0.04,,521.00M,533.00M,0.00,,,
2004-06,3.028B,3.028B,2.396B,632.00M,,,,,,,,,632.00M,,,,,,588.00M,194.00M,389.00M,,,-5.00M,389.00M,389.00M,735.00M,103.00M,632.00M,,0.75,0.00,,0.75,0.75,,0.73,0.00,,0.73,0.73,,522.00M,534.00M,0.34,,,
2004-03,3.196B,3.196B,2.423B,773.00M,,,,,,,,,773.00M,,,,,,728.00M,281.00M,446.00M,,,-1.00M,446.00M,446.00M,881.00M,108.00M,773.00M,,0.85,0.00,,0.85,0.85,,0.83,0.00,,0.83,0.83,,525.00M,540.00M,0.31,,,
