,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.347B,1.347B,415.10M,931.80M,125.60M,95.70M,221.30M,57.00M,10.20M,-10.50M,25.00M,0.30M,-24.70M,,288.50M,643.30M,0.30M,25.00M,-24.70M,-1.50M,-24.70M,617.10M,123.50M,493.60M,1.30M,736.40M,94.30M,642.10M,,2020-09,1.932,1.90,,2020-09,1.88,1.88,,2020-09,,2020-09,AOR,
2020-06,822.90M,822.90M,356.80M,466.10M,103.50M,105.30M,208.80M,55.10M,10.20M,-1.00M,27.40M,0.50M,-26.90M,,274.10M,192.00M,0.50M,27.40M,-26.90M,3.30M,-26.90M,168.40M,32.00M,136.40M,1.50M,289.40M,93.60M,195.80M,,2020-06,0.5331,0.53,,2020-06,0.53,0.53,,2020-06,,2020-06,AOR,
2020-03,756.10M,756.10M,360.30M,395.80M,110.60M,66.50M,177.10M,49.30M,10.10M,-2.90M,31.30M,1.30M,-30.00M,,236.50M,159.30M,1.30M,31.30M,-30.00M,-10.40M,-30.00M,118.90M,24.10M,94.80M,1.50M,243.90M,93.70M,150.20M,,2020-03,0.3788,0.37,,2020-03,0.36,0.36,,2020-03,,2020-03,AOR,
2019-12,850.50M,850.50M,416.70M,433.80M,144.90M,88.50M,233.40M,61.20M,9.10M,-5.30M,32.80M,2.10M,-30.70M,,303.70M,130.10M,2.10M,32.80M,-30.70M,-2.00M,-30.70M,97.40M,-288.40M,385.80M,0.30M,224.60M,94.40M,130.20M,,2019-12,1.454,1.44,,2019-12,1.43,1.43,,2019-12,,2019-12,AOR,
2019-09,865.90M,865.90M,616.40M,249.50M,141.80M,83.80M,225.60M,60.40M,11.90M,-37.70M,34.80M,1.30M,-33.50M,,297.90M,-48.40M,1.30M,34.80M,-33.50M,-40.80M,-33.50M,-122.70M,0.80M,-123.50M,0.00,25.50M,113.40M,-87.90M,,2019-09,0.2523,0.15,,2019-09,0.15,0.15,,2019-09,,2019-09,AOR,Restated
2019-06,852.40M,852.40M,407.60M,444.80M,143.60M,79.90M,223.50M,61.40M,11.90M,-2.70M,35.10M,1.20M,-33.90M,,296.80M,148.00M,1.20M,35.10M,-33.90M,0.20M,-33.90M,114.30M,20.40M,93.90M,0.00,262.70M,113.30M,149.40M,,2019-06,0.3583,0.35,,2019-06,0.35,0.35,,2019-06,,2019-06,AOR,Restated
2019-03,818.40M,818.40M,776.00M,42.40M,133.50M,89.90M,223.40M,57.30M,14.10M,-70.80M,34.80M,0.80M,-34.00M,,294.80M,-252.40M,0.80M,34.80M,-34.00M,-67.30M,-34.00M,-353.70M,-81.10M,-272.60M,0.00,-201.30M,117.60M,-318.90M,,2019-03,-0.8073,-1.01,,2019-03,-1.01,-1.01,,2019-03,,2019-03,AOR,Restated
2018-12,830.70M,830.70M,396.60M,434.10M,146.00M,78.60M,224.60M,53.20M,14.10M,-2.50M,36.10M,1.30M,-34.80M,,291.90M,142.20M,1.30M,36.10M,-34.80M,-3.10M,-34.80M,104.30M,5.70M,98.60M,0.00,259.20M,118.80M,140.40M,,2018-12,0.3687,0.36,,2018-12,0.36,0.36,,2018-12,,2018-12,AOR,Restated
2018-09,813.40M,813.40M,392.40M,421.00M,133.50M,118.10M,251.60M,52.70M,14.90M,-2.80M,34.30M,1.90M,-32.40M,,319.20M,101.80M,1.90M,34.30M,-32.40M,1.90M,-32.40M,71.30M,20.80M,50.50M,,224.70M,119.10M,105.60M,,2018-09,0.1973,0.19,,2018-09,0.18,0.18,,2018-09,,2018-09,AOR,Restated
2018-06,824.00M,824.00M,388.00M,436.00M,141.10M,86.30M,227.40M,54.40M,15.30M,-5.80M,34.50M,1.50M,-33.00M,,297.10M,138.90M,1.50M,34.50M,-33.00M,-0.60M,-33.00M,105.30M,-7.60M,112.90M,,260.30M,120.50M,139.80M,,2018-06,0.4255,0.41,,2018-06,0.41,0.41,,2018-06,,2018-06,AOR,Restated
2018-03,789.30M,789.30M,374.20M,415.10M,130.50M,83.80M,214.30M,56.80M,14.70M,-778.40M,38.90M,2.10M,-36.80M,,285.80M,129.30M,2.10M,38.90M,-36.80M,-783.50M,-36.80M,-691.00M,-9.60M,-681.40M,,-532.60M,119.50M,-652.10M,,2018-03,0.3096,-2.46,,2018-03,-2.46,-2.46,,2018-03,,2018-03,AOR,Restated
2017-12,791.10M,791.10M,366.60M,424.50M,139.50M,77.90M,217.40M,54.80M,14.40M,-4.80M,41.00M,0.80M,-40.20M,,286.60M,137.90M,0.80M,41.00M,-40.20M,-1.90M,-40.20M,95.80M,-310.90M,406.70M,,258.00M,121.20M,136.80M,,2017-12,1.480,1.47,,2017-12,1.45,1.45,,2017-12,,2017-12,AOR,Restated
2017-09,802.90M,802.90M,385.00M,417.90M,139.80M,90.60M,230.40M,60.50M,15.20M,-3.10M,36.10M,0.50M,-35.60M,,306.10M,111.80M,0.50M,36.10M,-35.60M,-3.90M,-35.60M,72.30M,-10.40M,82.70M,,228.90M,120.50M,108.40M,,2017-09,0.3067,0.30,,2017-09,0.29,0.29,,2017-09,,2017-09,AOR,Restated
2017-06,806.10M,806.10M,396.50M,409.60M,145.40M,65.50M,210.90M,62.50M,15.20M,-8.60M,39.10M,1.10M,-38.00M,,288.60M,121.00M,1.10M,39.10M,-38.00M,-8.50M,-38.00M,74.50M,15.00M,59.50M,,231.90M,118.30M,113.60M,,2017-06,0.2345,0.21,,2017-06,0.21,0.21,,2017-06,,2017-06,AOR,Restated
2017-03,715.40M,715.40M,326.70M,388.70M,103.40M,117.40M,220.80M,55.40M,10.80M,898.10M,37.50M,1.90M,-35.60M,,287.00M,101.70M,1.90M,37.50M,-35.60M,901.50M,-35.60M,967.60M,440.80M,526.80M,,1.100B,95.10M,1.005B,,2017-03,-0.0430,1.88,,2017-03,1.84,1.84,,2017-03,,2017-03,AOR,Restated
2016-12,734.40M,734.40M,329.60M,404.80M,110.00M,69.80M,179.80M,54.40M,21.40M,-3.20M,40.40M,0.30M,-40.10M,,255.60M,149.20M,0.30M,40.40M,-40.10M,7.00M,-40.10M,116.10M,29.60M,86.50M,,271.80M,115.30M,156.50M,,2016-12,0.3186,0.31,,2016-12,0.30,0.30,,2016-12,,2016-12,AOR,Restated
2016-09,726.90M,726.90M,320.80M,406.10M,105.90M,65.30M,171.20M,62.50M,22.40M,-3.80M,37.90M,0.10M,-37.80M,,256.10M,150.00M,0.10M,37.90M,-37.80M,-4.70M,-37.80M,107.50M,15.40M,92.10M,,260.00M,114.60M,145.40M,,2016-09,0.3417,0.33,,2016-09,0.33,0.33,,2016-09,,2016-09,AOR,Restated
2016-06,717.40M,717.40M,324.30M,393.10M,109.00M,62.50M,171.50M,58.80M,21.90M,-1.50M,39.10M,0.20M,-38.90M,,252.20M,140.90M,0.20M,39.10M,-38.90M,-0.90M,-38.90M,101.10M,16.30M,84.80M,,261.10M,120.90M,140.20M,,2016-06,0.3145,0.31,,2016-06,0.30,0.30,,2016-06,,2016-06,AOR,Restated
2016-03,693.30M,693.30M,308.30M,385.00M,100.80M,62.40M,163.20M,59.10M,22.80M,-8.30M,39.10M,0.20M,-38.90M,,245.10M,139.90M,0.20M,39.10M,-38.90M,-9.10M,-38.90M,91.90M,23.00M,68.90M,,245.00M,114.00M,131.00M,,2016-03,0.2620,0.24,,2016-03,0.24,0.24,,2016-03,,2016-03,AOR,Restated
2015-12,695.20M,695.20M,316.10M,379.10M,99.40M,77.00M,176.40M,51.70M,22.60M,-2.30M,39.20M,0.20M,-39.00M,,250.70M,128.40M,0.20M,39.20M,-39.00M,25.30M,-39.00M,114.70M,29.80M,84.90M,,269.80M,115.90M,153.90M,,2015-12,0.3060,0.30,,2015-12,0.29,0.29,,2015-12,,2015-12,AOR,Restated
2015-09,702.80M,702.80M,323.40M,379.40M,99.70M,66.30M,166.00M,53.70M,27.40M,-44.40M,51.20M,0.30M,-50.90M,,247.10M,132.30M,0.30M,51.20M,-50.90M,-56.00M,-50.90M,25.40M,0.30M,25.10M,,198.90M,122.30M,76.60M,,2015-09,0.2455,0.09,,2015-09,0.09,0.09,,2015-09,,2015-09,AOR,Restated
2015-06,693.90M,693.90M,315.20M,378.70M,94.30M,73.10M,167.40M,56.00M,27.40M,-30.10M,52.40M,0.30M,-52.10M,,250.80M,127.90M,0.30M,52.40M,-52.10M,-29.10M,-52.10M,46.70M,17.30M,29.40M,,219.60M,120.50M,99.10M,,2015-06,0.1673,0.10,,2015-06,0.10,0.10,,2015-06,,2015-06,AOR,Restated
2015-03,655.50M,655.50M,319.50M,336.00M,83.00M,60.30M,143.30M,53.30M,27.60M,-2.00M,49.40M,0.30M,-49.10M,,224.20M,111.80M,0.30M,49.40M,-49.10M,-1.90M,-49.10M,60.80M,13.00M,47.80M,,236.80M,126.60M,110.20M,,2015-03,0.1756,0.17,,2015-03,0.17,0.17,,2015-03,,2015-03,AOR,Restated
2014-12,652.80M,652.80M,314.20M,338.60M,86.00M,61.30M,147.30M,52.00M,27.80M,-14.70M,52.50M,0.40M,-52.10M,,227.10M,111.50M,0.40M,52.50M,-52.10M,-15.30M,-52.10M,44.10M,14.90M,29.20M,,218.60M,122.00M,96.60M,,2014-12,0.1349,0.10,,2014-12,0.10,0.10,,2014-12,,2014-12,AOR,Restated
2014-09,660.60M,660.60M,315.60M,345.00M,86.70M,65.20M,151.90M,52.10M,28.80M,-20.20M,52.50M,0.50M,-52.00M,,232.80M,112.20M,0.50M,52.50M,-52.00M,-21.60M,-52.00M,38.60M,10.50M,28.10M,,222.50M,131.40M,91.10M,,2014-09,0.1529,0.10,,2014-09,0.10,0.10,,2014-09,,2014-09,AOR,Restated
2014-06,632.60M,632.60M,319.80M,312.80M,83.00M,64.70M,147.70M,52.50M,29.70M,-6.70M,52.40M,0.30M,-52.10M,,229.90M,82.90M,0.30M,52.40M,-52.10M,-8.20M,-52.10M,22.60M,11.30M,11.30M,,208.90M,133.90M,75.00M,,2014-06,0.0557,0.04,,2014-06,0.04,0.04,,2014-06,,2014-06,AOR,Restated
2014-03,625.00M,625.00M,342.90M,282.10M,78.70M,62.10M,140.80M,49.90M,29.10M,-16.50M,54.40M,0.10M,-54.30M,,219.80M,62.30M,0.10M,54.40M,-54.30M,-19.80M,-54.30M,-11.80M,5.00M,-16.80M,,172.70M,130.10M,42.60M,,2014-03,-0.0209,-0.06,,2014-03,-0.06,-0.06,,2014-03,,2014-03,AOR,Restated
2013-12,612.50M,612.50M,306.90M,305.60M,83.30M,67.80M,151.10M,48.70M,26.20M,-21.20M,61.30M,0.30M,-61.00M,,226.00M,79.60M,0.30M,61.30M,-61.00M,-20.00M,-61.00M,-1.40M,3.90M,-5.30M,,187.70M,127.80M,59.90M,,2013-12,0.0305,-0.02,,2013-12,-0.02,-0.02,,2013-12,,2013-12,AOR,Restated
2013-09,622.10M,622.10M,331.50M,290.60M,76.70M,48.00M,124.70M,48.70M,26.70M,-1.133B,65.80M,0.50M,-65.30M,,200.10M,90.50M,0.50M,65.80M,-65.30M,-1.130B,-65.30M,-1.105B,9.00M,-1.114B,,-906.50M,132.60M,-1.039B,,2013-09,-1.422,-4.14,,2013-09,-4.14,-4.14,,2013-09,,2013-09,AOR,Restated
2013-06,626.10M,626.10M,316.30M,309.80M,82.90M,60.50M,143.40M,47.80M,28.70M,-28.80M,67.20M,0.30M,-66.90M,,219.90M,89.90M,0.30M,67.20M,-66.90M,-30.00M,-66.90M,-7.00M,4.00M,-11.00M,,189.17M,128.97M,60.20M,,2013-06,0.0295,-0.04,,2013-06,-0.04,-0.04,,2013-06,,2013-06,AOR,Restated
2013-03,612.66M,612.66M,333.34M,279.33M,88.61M,64.23M,152.85M,49.62M,28.67M,-45.90M,76.05M,0.207M,-75.84M,,231.14M,48.19M,0.207M,76.05M,-75.84M,-46.10M,-75.84M,-73.75M,-22.64M,-51.10M,,128.58M,126.28M,2.301M,,2013-03,-0.0714,-0.19,,2013-03,-0.19,-0.19,,2013-03,,2013-03,AOR,Restated
2012-12,631.36M,631.36M,349.69M,281.67M,94.44M,54.39M,148.83M,51.51M,28.53M,10.42M,72.08M,0.26M,-71.82M,,228.87M,52.80M,0.26M,72.08M,-71.82M,11.66M,-71.82M,-7.353M,-10.47M,3.118M,,192.88M,128.16M,64.73M,,2012-12,-0.0154,0.01,,2012-12,0.01,0.01,,2012-12,,2012-12,AOR,Restated
2012-09,588.50M,588.50M,314.22M,274.28M,89.93M,88.74M,178.67M,47.13M,24.80M,-67.35M,56.69M,0.353M,-56.33M,,250.60M,23.68M,0.353M,56.69M,-56.33M,-65.35M,-56.33M,-98.00M,-20.27M,-77.73M,,73.38M,114.70M,-41.32M,,2012-09,-0.0884,-0.29,,2012-09,-0.29,-0.29,,2012-09,,2012-09,AOR,Restated
