,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,179.00M,0.00,,9.00M,,9.00M,39.00M,8.00M,47.00M,47.00M,3.00M,,,-59.00M,61.00M,,8.00M,-82.00M,19.00M,-18.00M,-16.00M,,2.00M,-95.00M,153.00M,,2020-09,-48.00M,,-48.00M,-3.00M,-14.00M,0.00,-65.00M,,2020-09,0.00,,0.00,27.00M,-125.00M,-98.00M,-3.00M,-101.00M,,2020-09,-13.00M,4.00M,1.761B,,2020-09,27.00M,,-125.00M,,2020-09,AOR,
2020-06,47.00M,0.00,,12.00M,,12.00M,38.00M,8.00M,46.00M,46.00M,76.00M,,,-66.00M,16.00M,,-1.00M,91.00M,-51.00M,17.00M,65.00M,,-12.00M,110.00M,240.00M,,2020-06,-39.00M,,-39.00M,-95.00M,-186.00M,0.00,-320.00M,,2020-06,0.00,,0.00,2.00M,-142.00M,-140.00M,-3.00M,-143.00M,,2020-06,-223.00M,2.00M,1.77B,,2020-06,2.00M,,-142.00M,,2020-06,AOR,
2020-03,173.00M,0.00,,95.00M,,95.00M,37.00M,7.00M,44.00M,44.00M,-29.00M,,,-3.00M,39.00M,,8.00M,99.00M,-24.00M,-14.00M,-119.00M,,12.00M,-46.00M,281.00M,,2020-03,-40.00M,,-40.00M,0.00,37.00M,-132.00M,-135.00M,,2020-03,0.00,,0.00,32.00M,-188.00M,-156.00M,-35.00M,-191.00M,,2020-03,-45.00M,-6.00M,1.991B,,2020-03,32.00M,,-188.00M,,2020-03,AOR,
2019-12,239.00M,0.00,,,,0.00,38.00M,7.00M,45.00M,45.00M,24.00M,,,4.00M,49.00M,,27.00M,-29.00M,58.00M,0.00,48.00M,,-22.00M,55.00M,443.00M,,2019-12,-57.00M,,-57.00M,-18.00M,-29.00M,,-104.00M,,2019-12,0.00,,0.00,0.00,-63.00M,-63.00M,-52.00M,-115.00M,,2019-12,224.00M,3.00M,2.042B,,2019-12,0.00,,-63.00M,,2019-12,AOR,
2019-09,234.00M,0.00,,,,0.00,37.00M,10.00M,47.00M,47.00M,-19.00M,,,47.00M,46.00M,,4.00M,-75.00M,3.00M,-3.00M,3.00M,,-20.00M,-92.00M,267.00M,,2019-09,-49.00M,,-49.00M,0.00,-169.00M,,-218.00M,,2019-09,0.00,,0.00,29.00M,-198.00M,-169.00M,-4.00M,-173.00M,,2019-09,-124.00M,-4.00M,1.815B,,2019-09,29.00M,,-198.00M,,2019-09,AOR,Restated
2019-06,293.00M,-39.00M,,,,-39.00M,39.00M,10.00M,49.00M,49.00M,17.00M,,,-102.00M,48.00M,,-73.00M,-10.00M,-10.00M,-17.00M,-13.00M,,0.00,-50.00M,143.00M,,2019-06,-47.00M,,-47.00M,-29.00M,155.00M,,79.00M,,2019-06,-549.00M,,-549.00M,3.00M,0.00,3.00M,-3.00M,-549.00M,,2019-06,-327.00M,0.00,1.943B,,2019-06,3.00M,,0.00,,2019-06,AOR,Restated
2019-03,224.00M,-15.00M,,,,-15.00M,37.00M,10.00M,47.00M,47.00M,-11.00M,,,-2.00M,51.00M,,11.00M,56.00M,-26.00M,6.00M,-117.00M,,-26.00M,-107.00M,198.00M,,2019-03,-56.00M,,-56.00M,15.00M,1.029B,,988.00M,,2019-03,-1.00M,,-1.00M,27.00M,-63.00M,-36.00M,-23.00M,-60.00M,,2019-03,1.126B,0.00,2.27B,,2019-03,27.00M,,-63.00M,,2019-03,AOR,Restated
2018-12,197.00M,0.00,,,,0.00,40.00M,10.00M,50.00M,50.00M,14.00M,,,-21.00M,47.00M,,19.00M,-81.00M,-13.00M,-2.00M,90.00M,,0.00,-6.00M,300.00M,,2018-12,-65.00M,,-65.00M,0.00,-283.00M,,-348.00M,,2018-12,-1.00M,,-1.00M,1.00M,-98.00M,-97.00M,-56.00M,-154.00M,,2018-12,-202.00M,0.00,1.144B,,2018-12,1.00M,0.00,-98.00M,,2018-12,AOR,Restated
2018-09,188.00M,0.00,,,,0.00,35.00M,10.00M,45.00M,45.00M,-10.00M,,,0.00,48.00M,,16.00M,-36.00M,-12.00M,6.00M,40.00M,,7.00M,5.00M,292.00M,,2018-09,-64.00M,,-64.00M,9.00M,-885.00M,,-940.00M,,2018-09,734.00M,,734.00M,23.00M,-103.00M,-80.00M,-3.00M,651.00M,,2018-09,3.00M,-1.00M,1.346B,,2018-09,23.00M,735.00M,-103.00M,,2018-09,AOR,Restated
2018-06,200.00M,0.00,,,,0.00,35.00M,10.00M,45.00M,45.00M,-11.00M,,,0.00,50.00M,,8.00M,1.00M,-11.00M,3.00M,34.00M,,-24.00M,3.00M,295.00M,,2018-06,-77.00M,,-77.00M,-106.00M,-354.00M,,-537.00M,,2018-06,0.00,,0.00,1.00M,0.00,1.00M,29.00M,30.00M,,2018-06,-212.00M,-4.00M,1.344B,,2018-06,1.00M,,0.00,,2018-06,AOR,Restated
