,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,15.53B,15.53B,14.64B,889.00M,513.00M,12.00M,-10.00M,91.00M,33.00M,-58.00M,513.00M,376.00M,33.00M,91.00M,-58.00M,146.00M,-58.00M,464.00M,68.00M,396.00M,-3.00M,393.00M,401.53M,790.00M,235.00M,555.00M,0.7,,,0.7152,0.7,0.7,,,0.7151,0.7,563.00M,565.00M,0.335
2017-12,16.07B,16.07B,15.13B,942.00M,459.00M,-80.00M,-19.00M,84.00M,31.00M,-53.00M,459.00M,483.00M,31.00M,84.00M,-53.00M,113.00M,-53.00M,543.00M,-249.00M,792.00M,-4.00M,788.00M,799.40M,867.00M,240.00M,627.00M,1.415,,,1.435,1.415,1.39,,,1.41,1.39,563.00M,566.00M,0.32
2017-09,14.83B,14.83B,14.02B,812.00M,478.00M,62.00M,-103.00M,79.00M,27.00M,-52.00M,478.00M,334.00M,27.00M,79.00M,-52.00M,-57.00M,-52.00M,225.00M,30.00M,195.00M,-3.00M,192.00M,281.30M,536.00M,232.00M,304.00M,0.34,,,0.4978,0.34,0.34,,,0.4969,0.34,566.00M,569.00M,0.32
2017-06,14.94B,14.94B,14.05B,892.00M,525.00M,17.00M,12.00M,86.00M,25.00M,-61.00M,525.00M,367.00M,25.00M,86.00M,-61.00M,77.00M,-61.00M,383.00M,108.00M,275.00M,1.00M,276.00M,267.38M,696.00M,227.00M,469.00M,0.48,,,0.4649,0.48,0.48,,,0.465,0.48,571.00M,574.00M,0.32
2017-03,14.99B,14.99B,14.12B,872.00M,516.00M,,6.00M,81.00M,23.00M,-58.00M,516.00M,356.00M,23.00M,81.00M,-58.00M,160.00M,-58.00M,458.00M,118.00M,340.00M,-1.00M,339.00M,334.55M,764.00M,225.00M,539.00M,0.59,,,0.5823,0.59,0.59,,,0.5823,0.59,576.00M,579.00M,0.32
2016-12,16.50B,16.50B,15.49B,1.01B,456.00M,-13.00M,-6.00M,80.00M,24.00M,-56.00M,456.00M,554.00M,24.00M,80.00M,-56.00M,131.00M,-56.00M,629.00M,203.00M,426.00M,-2.00M,424.00M,428.06M,931.00M,222.00M,709.00M,0.74,,,0.747,0.74,0.73,,,0.7369,0.73,579.00M,585.00M,0.3
2016-09,15.83B,15.83B,14.74B,1.09B,546.00M,11.00M,-18.00M,78.00M,23.00M,-55.00M,546.00M,544.00M,23.00M,78.00M,-55.00M,-9.00M,-55.00M,480.00M,136.00M,344.00M,-3.00M,341.00M,353.91M,784.00M,226.00M,558.00M,0.58,,,0.602,0.58,0.58,,,0.6019,0.58,586.00M,589.00M,0.3
2016-06,15.63B,15.63B,14.89B,737.00M,500.00M,12.00M,109.00M,65.00M,23.00M,-42.00M,500.00M,237.00M,23.00M,65.00M,-42.00M,212.00M,-42.00M,407.00M,119.00M,288.00M,-4.00M,284.00M,206.83M,693.00M,221.00M,472.00M,0.48,,,0.3494,0.48,0.48,,,0.3501,0.48,591.00M,594.00M,0.3
2016-03,14.38B,14.38B,13.60B,781.00M,479.00M,,-10.00M,70.00M,22.00M,-48.00M,479.00M,302.00M,22.00M,70.00M,-48.00M,52.00M,-48.00M,306.00M,76.00M,230.00M,0.00,230.00M,237.52M,607.00M,231.00M,376.00M,0.39,,,0.4026,0.39,0.39,,,0.4026,0.39,595.00M,597.00M,0.3
2015-12,16.44B,16.44B,15.63B,811.00M,435.00M,0.00,329.00M,73.00M,19.00M,-54.00M,435.00M,376.00M,19.00M,73.00M,-54.00M,379.00M,-54.00M,701.00M,-16.00M,717.00M,1.00M,718.00M,520.60M,998.00M,224.00M,774.00M,1.207,,,0.8777,1.207,1.19,,,0.8626,1.19,600.00M,603.00M,0.28
2015-09,16.56B,16.56B,15.48B,1.089B,519.00M,0.00,-219.00M,69.00M,13.00M,-56.00M,519.00M,570.00M,13.00M,69.00M,-56.00M,-147.00M,-56.00M,367.00M,114.00M,253.00M,-1.00M,252.00M,402.89M,653.00M,217.00M,436.00M,0.41,,,0.6566,0.41,0.41,,,0.6554,0.41,612.00M,615.00M,0.28
2015-06,17.19B,17.19B,16.22B,964.00M,525.00M,31.00M,70.00M,85.00M,21.00M,-64.00M,525.00M,439.00M,21.00M,85.00M,-64.00M,151.00M,-64.00M,526.00M,143.00M,383.00M,3.00M,386.00M,335.04M,836.00M,225.00M,611.00M,0.62,,,0.5383,0.62,0.62,,,0.5387,0.62,624.00M,627.00M,0.28
2015-03,17.51B,17.51B,16.40B,1.102B,498.00M,0.00,3.00M,81.00M,18.00M,-63.00M,498.00M,604.00M,18.00M,81.00M,-63.00M,149.00M,-63.00M,690.00M,197.00M,493.00M,0.00,493.00M,490.86M,987.00M,216.00M,771.00M,0.78,,,0.7766,0.78,0.77,,,0.7666,0.77,636.00M,639.00M,0.28
2014-12,20.89B,20.89B,19.44B,1.451B,663.00M,,80.00M,86.00M,30.00M,-56.00M,663.00M,788.00M,30.00M,86.00M,-56.00M,264.00M,-56.00M,996.00M,291.00M,705.00M,-4.00M,701.00M,644.37M,1.33B,248.00M,1.082B,1.1,,,1.013,1.1,1.08,,,0.9929,1.08,647.00M,650.00M,0.24
2014-09,18.12B,18.12B,16.65B,1.47B,451.00M,0.00,163.00M,79.00M,16.00M,-63.00M,451.00M,1.019B,16.00M,79.00M,-63.00M,77.00M,-63.00M,1.033B,285.00M,748.00M,-1.00M,747.00M,702.84M,1.326B,214.00M,1.112B,1.15,,,1.082,1.15,1.14,,,1.072,1.14,650.00M,653.00M,0.24
2014-06,21.49B,21.49B,20.32B,1.172B,426.00M,,-18.00M,79.00M,24.00M,-55.00M,426.00M,746.00M,24.00M,79.00M,-55.00M,44.00M,-55.00M,735.00M,203.00M,532.00M,1.00M,533.00M,546.03M,1.027B,213.00M,814.00M,0.81,,,0.8299,0.81,0.81,,,0.8298,0.81,656.00M,659.00M,0.24
2014-03,20.70B,20.70B,20.02B,675.00M,393.00M,,23.00M,93.00M,22.00M,-71.00M,393.00M,282.00M,22.00M,93.00M,-71.00M,155.00M,-71.00M,366.00M,98.00M,268.00M,-1.00M,267.00M,250.16M,678.00M,219.00M,459.00M,0.4,,,0.3745,0.4,0.4,,,0.3746,0.4,660.00M,663.00M,0.24
2013-12,24.14B,24.14B,22.97B,1.17B,442.00M,155.00M,-222.00M,95.00M,34.00M,-61.00M,442.00M,728.00M,34.00M,95.00M,-61.00M,-44.00M,-61.00M,623.00M,246.00M,377.00M,-3.00M,374.00M,516.81M,946.00M,228.00M,718.00M,0.5675,,,0.7836,0.5675,0.56,,,0.7754,0.56,661.00M,663.00M,0.19
2013-09,21.39B,21.39B,20.24B,1.156B,429.00M,11.00M,-17.00M,105.00M,12.00M,-93.00M,429.00M,727.00M,12.00M,105.00M,-93.00M,75.00M,-93.00M,709.00M,228.00M,481.00M,-5.00M,476.00M,468.54M,1.041B,227.00M,814.00M,0.72,,,0.7087,0.72,0.72,,,0.7088,0.72,661.00M,664.00M,0.19
2013-06,22.54B,22.54B,21.73B,807.00M,452.00M,0.00,16.00M,107.00M,29.00M,-78.00M,452.00M,355.00M,29.00M,107.00M,-78.00M,40.00M,-78.00M,317.00M,91.00M,226.00M,-3.00M,223.00M,244.39M,651.00M,227.00M,424.00M,0.34,,,0.3724,0.34,0.34,,,0.3723,0.34,661.00M,663.00M,0.19
2013-03,21.73B,21.73B,20.97B,756.00M,436.00M,,5.00M,106.00M,27.00M,-79.00M,436.00M,320.00M,27.00M,106.00M,-79.00M,134.00M,-79.00M,375.00M,105.00M,270.00M,-1.00M,269.00M,265.40M,708.00M,227.00M,481.00M,0.41,,,0.4046,0.41,0.41,,,0.4046,0.41,661.00M,662.00M,0.19
2012-09,21.81B,21.81B,21.00B,806.00M,390.00M,,-158.00M,106.00M,30.00M,-76.00M,390.00M,416.00M,30.00M,106.00M,-76.00M,-45.00M,-76.00M,295.00M,111.00M,184.00M,-2.00M,182.00M,280.59M,618.00M,217.00M,401.00M,0.28,0.0,,0.4294,0.28,0.28,0.0,,0.4292,0.28,660.00M,661.00M,0.175
2012-06,22.68B,22.68B,21.86B,813.00M,394.00M,,-28.00M,116.00M,24.00M,-92.00M,394.00M,419.00M,24.00M,116.00M,-92.00M,89.00M,-92.00M,416.00M,123.00M,293.00M,-9.00M,284.00M,303.72M,752.00M,220.00M,532.00M,0.431,,,0.4609,0.431,0.43,0.0,,0.4599,0.43,659.00M,660.00M,0.175
2012-03,21.16B,21.16B,20.15B,1.008B,402.00M,,-63.00M,116.00M,26.00M,-90.00M,402.00M,606.00M,26.00M,116.00M,-90.00M,52.00M,-90.00M,568.00M,163.00M,405.00M,-6.00M,399.00M,443.92M,898.00M,214.00M,684.00M,0.6,0.0,,0.6679,0.6,0.6,0.0,,0.6678,0.6,662.00M,663.00M,0.175
2011-12,23.31B,23.31B,22.49B,813.00M,423.00M,,-322.00M,96.00M,22.00M,-74.00M,423.00M,390.00M,22.00M,96.00M,-74.00M,-195.00M,-74.00M,121.00M,38.00M,83.00M,-3.00M,80.00M,300.88M,217.00M,,217.00M,0.12,0.0,,0.4516,0.12,0.12,0.0,,0.4511,0.12,666.00M,667.00M,0.175
2011-09,21.90B,21.90B,20.87B,1.034B,407.00M,,-18.00M,113.00M,40.00M,-73.00M,407.00M,627.00M,40.00M,113.00M,-73.00M,106.00M,-73.00M,660.00M,199.00M,461.00M,-1.00M,460.00M,472.60M,980.00M,207.00M,773.00M,0.68,0.0,,0.6987,0.68,0.68,0.0,,0.6987,0.68,673.00M,674.00M,0.16
2011-06,22.87B,22.87B,21.77B,1.098B,423.00M,,-42.00M,129.00M,39.00M,-90.00M,423.00M,675.00M,39.00M,129.00M,-90.00M,179.00M,-90.00M,764.00M,385.00M,379.00M,2.00M,381.00M,400.50M,1.105B,212.00M,893.00M,0.5636,,,0.5936,0.5636,0.5636,0.0,,0.5936,0.5636,651.00M,651.00M,0.16
2011-03,20.08B,20.08B,18.92B,1.16B,395.00M,,38.00M,121.00M,32.00M,-89.00M,395.00M,765.00M,32.00M,121.00M,-89.00M,115.00M,-89.00M,791.00M,223.00M,568.00M,10.00M,578.00M,546.41M,1.114B,202.00M,912.00M,0.91,0.0,,0.8605,0.91,0.86,0.0,,0.8138,0.86,638.00M,684.00M,0.16
2010-12,20.93B,20.93B,19.70B,1.234B,412.00M,,112.00M,115.00M,41.00M,-74.00M,412.00M,822.00M,41.00M,115.00M,-74.00M,250.00M,-74.00M,998.00M,269.00M,729.00M,3.00M,732.00M,650.19M,1.324B,211.00M,1.113B,1.15,0.0,,1.022,1.15,1.14,0.0,,1.012,1.14,639.00M,641.00M,0.15
2010-09,16.80B,16.80B,15.99B,808.00M,381.00M,,3.00M,117.00M,24.00M,-93.00M,381.00M,427.00M,24.00M,117.00M,-93.00M,128.00M,-93.00M,462.00M,120.00M,342.00M,3.00M,345.00M,342.78M,831.00M,252.00M,579.00M,0.54,0.0,,0.5365,0.54,0.54,0.0,,0.5365,0.54,640.00M,641.00M,0.15
2010-06,15.70B,15.70B,14.78B,926.00M,331.00M,,-115.00M,118.00M,,8.00M,331.00M,595.00M,,118.00M,8.00M,-53.00M,8.00M,550.00M,105.00M,445.00M,1.00M,446.00M,539.05M,907.00M,239.00M,668.00M,0.69,,,0.8347,0.69,0.69,,,0.8345,0.69,643.00M,644.00M,0.15
2010-03,15.14B,15.14B,14.25B,891.00M,355.00M,,-38.00M,101.00M,,-101.00M,355.00M,536.00M,,101.00M,-101.00M,99.00M,-101.00M,534.00M,118.00M,416.00M,5.00M,421.00M,450.60M,877.00M,242.00M,635.00M,0.65,0.0,,0.696,0.65,0.65,0.0,,0.6959,0.65,643.00M,645.00M,0.15
2009-12,15.91B,15.91B,14.86B,1.053B,358.00M,,-99.00M,203.00M,,-203.00M,358.00M,695.00M,,203.00M,-203.00M,-390.00M,-203.00M,784.00M,223.00M,561.00M,6.00M,567.00M,637.84M,1.209B,222.00M,987.00M,0.88,0.0,,0.9902,0.88,0.88,0.0,,0.9898,0.88,643.00M,645.00M,0.14
2009-09,14.92B,14.92B,13.95B,973.00M,354.00M,,-13.00M,98.00M,30.00M,-68.00M,354.00M,619.00M,30.00M,98.00M,-68.00M,-166.00M,-68.00M,717.00M,220.00M,497.00M,-1.00M,496.00M,505.70M,1.024B,209.00M,815.00M,0.77,0.0,,0.7851,0.77,0.77,0.0,,0.7851,0.77,642.00M,644.00M,0.14
2009-06,16.53B,16.53B,16.17B,361.00M,320.00M,,8.00M,98.00M,,-98.00M,320.00M,41.00M,,98.00M,-98.00M,58.00M,-98.00M,54.00M,-6.00M,60.00M,-2.00M,58.00M,62.55M,356.00M,204.00M,152.00M,0.09,0.0,,0.0971,0.09,0.09,0.0,,0.0971,0.09,643.00M,644.00M,0.14
2009-03,14.84B,14.84B,14.19B,649.00M,346.00M,,43.00M,103.00M,,-103.00M,346.00M,303.00M,,103.00M,-103.00M,-93.00M,-103.00M,143.00M,140.00M,3.00M,0.00,3.00M,-24.95M,441.00M,195.00M,246.00M,0.0,0.0,,-0.0435,0.0,0.0,0.0,,-0.0434,0.0,642.00M,644.00M,0.14
2008-12,16.67B,16.67B,15.46B,1.212B,337.00M,,-21.00M,130.00M,,-130.00M,337.00M,875.00M,,130.00M,-130.00M,72.00M,-130.00M,817.00M,238.00M,579.00M,-1.00M,578.00M,592.88M,1.151B,204.00M,947.00M,0.9,0.0,,0.9232,0.9,0.9,0.0,,0.9231,0.9,642.00M,643.00M,0.13
2008-09,21.16B,21.16B,19.29B,1.867B,409.00M,,42.00M,,,,409.00M,1.458B,,,,165.00M,,1.494B,444.00M,1.05B,,1.05B,1.020B,1.635B,177.00M,1.458B,1.63,0.0,,1.584,1.63,1.63,0.0,,1.584,1.63,644.00M,645.00M,0.13
2008-06,21.78B,21.78B,20.98B,807.00M,348.00M,,53.00M,,,,348.00M,459.00M,,,,218.00M,,538.00M,166.00M,372.00M,,372.00M,335.35M,1.318B,181.00M,1.137B,0.58,0.0,,0.5231,0.58,0.58,0.0,,0.5233,0.58,644.00M,646.00M,0.13
2008-03,18.71B,18.71B,17.55B,1.157B,378.00M,,34.00M,,,,378.00M,779.00M,,,,112.00M,,755.00M,238.00M,517.00M,,517.00M,493.72M,959.00M,180.00M,779.00M,0.8,0.0,,0.7638,0.8,0.8,0.0,,0.764,0.8,644.00M,647.00M,0.13
2007-12,16.50B,16.50B,15.55B,948.00M,338.00M,,64.00M,,,,338.00M,610.00M,,,,188.00M,,685.00M,212.00M,473.00M,,473.00M,428.81M,785.00M,175.00M,610.00M,0.74,0.0,,0.6713,0.74,0.73,0.0,,0.6616,0.73,643.00M,646.00M,0.115
2007-09,12.83B,12.83B,11.90B,930.00M,354.00M,,74.00M,,,,354.00M,576.00M,,,,159.00M,,647.00M,206.00M,441.00M,,441.00M,390.56M,761.00M,185.00M,576.00M,0.68,0.0,,0.6017,0.68,0.68,0.0,,0.602,0.68,644.00M,647.00M,0.115
2007-06,12.21B,12.21B,11.50B,718.00M,293.00M,,995.00M,,,,293.00M,425.00M,,,,1.081B,,1.394B,439.00M,955.00M,,955.00M,273.35M,606.00M,181.00M,425.00M,1.47,0.0,,0.4082,1.47,1.47,0.0,,0.4213,1.47,642.00M,650.00M,0.115
2007-03,11.38B,11.38B,10.64B,746.00M,294.00M,,134.00M,,,,294.00M,452.00M,,,,219.00M,,556.00M,193.00M,363.00M,,363.00M,275.51M,627.00M,175.00M,452.00M,0.56,0.0,,0.4252,0.56,0.56,0.0,,0.426,0.56,649.00M,653.00M,0.115
2006-12,10.98B,10.98B,10.07B,908.00M,298.00M,,64.00M,,,,298.00M,610.00M,,,,130.00M,,629.00M,187.00M,441.00M,,441.00M,396.03M,783.88M,173.88M,610.00M,0.67,0.0,,0.6015,0.67,0.67,0.0,,0.602,0.67,657.00M,661.00M,0.1
2006-09,9.447B,9.447B,8.581B,865.58M,309.84M,,59.95M,,,,309.84M,555.74M,,,,116.56M,,575.25M,172.51M,402.74M,,402.74M,360.78M,726.87M,171.12M,555.74M,0.61,0.0,,0.5461,0.61,0.61,0.0,,0.5465,0.61,656.62M,660.86M,0.1
2006-06,9.547B,9.547B,8.718B,828.90M,296.54M,,236.73M,,,,296.54M,532.36M,,,,297.47M,,581.85M,171.59M,410.26M,,410.26M,243.34M,698.30M,165.93M,532.36M,0.63,0.0,,0.3759,0.63,0.62,0.0,,0.3662,0.62,656.81M,657.59M,0.1
2006-03,9.123B,9.123B,8.352B,770.73M,297.30M,,6.747M,,,,297.30M,473.44M,,,,61.68M,,492.96M,145.17M,347.80M,,347.80M,343.04M,636.95M,163.52M,473.44M,0.53,0.0,,0.5227,0.53,0.53,0.0,,0.5228,0.53,654.00M,657.13M,0.1
2005-12,9.299B,9.299B,8.516B,783.47M,294.39M,,81.24M,,,,294.39M,489.08M,,,,104.24M,,506.70M,139.03M,367.68M,,367.68M,308.73M,652.17M,163.09M,489.08M,0.56,0.0,,0.4698,0.56,0.56,0.0,,0.4701,0.56,653.27M,655.51M,0.085
2005-09,8.627B,8.627B,8.044B,582.71M,304.46M,,46.08M,,,,304.46M,278.26M,,,,81.76M,,273.73M,87.39M,186.34M,,186.34M,154.97M,442.43M,164.17M,278.26M,0.29,0.0,,0.2419,0.29,0.29,0.0,,0.242,0.29,651.94M,653.80M,0.085
2005-06,9.423B,9.423B,8.899B,524.00M,279.36M,,143.28M,,,,279.36M,244.65M,,,,198.87M,,266.66M,71.57M,195.10M,,195.10M,90.27M,402.05M,157.40M,244.65M,0.3,0.0,,0.1394,0.3,0.3,0.0,,0.1399,0.3,652.57M,654.90M,0.085
2005-03,8.484B,8.484B,7.909B,574.86M,280.40M,,121.96M,,,,280.40M,294.46M,,,,158.57M,,409.04M,139.94M,269.10M,,269.10M,188.86M,464.97M,170.51M,294.46M,0.41,0.0,,0.2877,0.41,0.41,0.0,,0.2882,0.41,656.16M,658.90M,0.085
2004-12,9.064B,9.064B,8.395B,668.71M,269.74M,,22.05M,,,,269.74M,398.97M,,,,137.96M,,454.36M,140.85M,313.51M,,313.51M,298.29M,568.61M,169.64M,398.97M,0.48,0.0,,0.4568,0.48,0.4771,0.0,,0.4539,0.4771,654.98M,657.12M,0.075
2004-09,8.972B,8.972B,8.309B,663.43M,251.51M,,32.17M,,,,251.51M,411.92M,,,,53.06M,,385.94M,119.64M,266.30M,,266.30M,244.10M,579.37M,167.45M,411.92M,0.41,0.0,,0.376,0.41,0.41,0.0,,0.376,0.41,652.32M,652.32M,0.075
2004-06,9.686B,9.686B,9.183B,503.26M,652.70M,,152.58M,,,,652.70M,-149.44M,,,,333.30M,,-158.13M,-55.07M,-103.06M,,-103.06M,-202.50M,27.13M,176.56M,-149.44M,-0.16,0.0,,-0.3129,-0.16,-0.16,0.0,,-0.3126,-0.16,650.26M,651.52M,0.075
2004-03,9.309B,9.309B,8.722B,587.02M,251.70M,,3.143M,,,,251.70M,335.32M,,,,3.143M,,338.46M,111.69M,226.77M,,226.77M,224.66M,507.73M,172.42M,335.32M,0.35,0.0,,0.3468,0.35,0.35,0.0,,0.3468,0.35,648.56M,650.96M,0.075
2003-12,9.189B,9.189B,8.584B,604.29M,284.26M,,,,,,284.26M,320.03M,,,,,,320.03M,99.21M,220.82M,,220.82M,220.82M,494.77M,174.74M,320.03M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,646.84M,646.84M,0.06
2003-09,7.968B,7.968B,7.514B,453.75M,231.80M,,35.45M,,,,231.80M,221.96M,,,,78.74M,,217.65M,67.47M,150.18M,,150.18M,125.72M,388.09M,166.13M,221.96M,0.23,0.0,,0.1921,0.23,0.23,0.0,,0.1921,0.23,645.13M,645.13M,0.06
2003-06,8.048B,8.048B,7.646B,401.92M,254.13M,,-14.90M,,,,254.13M,147.79M,,,,-14.90M,,132.90M,37.88M,95.02M,,95.02M,105.67M,320.79M,173.00M,147.79M,0.15,0.0,,0.1665,0.15,0.1474,,,0.1639,0.1474,644.62M,644.86M,0.06
2003-03,7.909B,7.909B,7.494B,414.35M,231.22M,,-29.39M,,,,231.22M,183.12M,,,,-29.39M,,153.73M,36.93M,116.80M,,116.80M,139.14M,349.83M,166.71M,183.12M,0.18,0.0,,0.2146,0.18,0.18,0.0,,0.2146,0.18,645.44M,645.44M,0.06
2002-12,7.807B,7.807B,7.316B,490.89M,246.20M,,30.17M,,,,246.20M,244.69M,,,,39.44M,,188.84M,57.60M,131.24M,,131.24M,110.28M,404.81M,160.12M,244.69M,0.2,0.0,,0.1676,0.2,0.2,0.0,,0.1676,0.2,646.18M,646.18M,0.06
2002-09,6.944B,6.944B,6.524B,419.98M,216.14M,,34.88M,,,,216.14M,203.84M,,,,36.19M,,155.50M,47.43M,108.08M,,108.08M,83.83M,352.74M,148.90M,203.84M,0.17,0.0,,0.1326,0.17,0.17,0.0,,0.1326,0.17,648.07M,648.07M,0.06
2002-06,6.755B,6.755B,6.375B,380.43M,233.20M,,266.39M,,,,233.20M,147.23M,,,,327.92M,,119.20M,6.93M,112.27M,,112.27M,-138.64M,296.74M,149.51M,147.23M,0.17,0.0,,-0.2153,0.17,0.17,0.0,,-0.2153,0.17,651.22M,651.22M,0.05
2002-03,5.189B,5.189B,4.799B,390.24M,199.71M,,-14.31M,,,,199.71M,190.53M,,,,-14.31M,,176.22M,59.03M,117.18M,,117.18M,126.70M,345.25M,154.72M,190.53M,0.18,0.0,,0.1946,0.18,0.18,0.0,,0.1946,0.18,653.59M,653.59M,0.05
2001-12,5.464B,5.464B,4.957B,507.29M,209.75M,,11.55M,,,,209.75M,297.54M,,,,20.52M,,225.60M,75.58M,150.02M,,150.02M,142.34M,453.07M,155.53M,297.54M,0.23,0.0,,0.2184,0.23,0.23,0.0,,0.2184,0.23,660.28M,660.28M,0.05
2001-09,5.204B,5.204B,4.798B,405.50M,184.26M,,88.78M,,,,184.26M,221.23M,,,,68.94M,,197.92M,66.30M,131.62M,,131.62M,72.58M,375.55M,154.32M,221.23M,0.2,0.0,,0.1109,0.2,0.2,0.0,,0.1109,0.2,662.61M,662.61M,0.0476
2001-06,5.345B,5.345B,4.983B,361.93M,187.49M,,0.928M,,,,187.49M,174.44M,,,,5.371M,,83.11M,27.01M,56.10M,,56.10M,55.47M,327.06M,152.62M,174.44M,0.0571,0.0,,0.0564,0.0571,0.0571,,,0.0564,0.0571,796.12M,796.12M,0.0476
