,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2013-03,612.66M,612.66M,333.34M,279.33M,88.61M,64.23M,152.85M,49.62M,28.67M,-45.90M,76.05M,0.207M,-75.84M,,231.14M,48.19M,0.207M,76.05M,-75.84M,-46.10M,-75.84M,-73.75M,-22.64M,-51.10M,,-51.10M,-19.30M,128.58M,126.28M,2.301M,,-0.19,,-0.0714,-0.19,,-0.19,,-0.0714,-0.19,,268.18M,268.18M,,AOR,Restated
2012-12,631.36M,631.36M,349.69M,281.67M,94.44M,54.39M,148.83M,51.51M,28.53M,10.42M,72.08M,0.26M,-71.82M,,228.87M,52.80M,0.26M,72.08M,-71.82M,11.66M,-71.82M,-7.353M,-10.47M,3.118M,,3.118M,-3.658M,192.88M,128.16M,64.73M,,0.01,,-0.0154,0.01,,0.01,,-0.0152,0.01,,266.34M,269.38M,,AOR,Restated
2012-09,588.50M,588.50M,314.22M,274.28M,89.93M,88.74M,178.67M,47.13M,24.80M,-67.35M,56.69M,0.353M,-56.33M,,250.60M,23.68M,0.353M,56.69M,-56.33M,-65.35M,-56.33M,-98.00M,-20.27M,-77.73M,,-77.73M,-24.31M,73.38M,114.70M,-41.32M,,-0.29,,-0.0884,-0.29,,-0.29,,-0.0884,-0.29,,264.94M,264.94M,,AOR,Restated
2012-06,470.23M,470.23M,225.59M,244.64M,76.37M,43.42M,119.79M,26.23M,15.73M,-2.362M,25.59M,0.695M,-24.90M,,161.75M,82.89M,0.695M,25.59M,-24.90M,-2.984M,-24.90M,55.01M,31.41M,23.59M,,23.59M,25.13M,157.54M,76.94M,80.60M,,0.09,,0.0958,0.09,,0.09,,0.0957,0.09,,264.61M,267.29M,,AOR,Restated
2012-03,471.16M,471.16M,245.06M,226.11M,78.54M,41.84M,120.38M,29.30M,16.63M,-92.02M,28.51M,0.59M,-27.92M,,166.31M,59.80M,0.59M,28.51M,-27.92M,-90.49M,-27.92M,-58.61M,-18.34M,-40.27M,,-40.27M,48.06M,46.94M,77.04M,-30.10M,,-0.15,,0.1847,-0.15,,-0.15,,0.1847,-0.15,,263.90M,263.90M,,AOR,Restated
2011-12,472.71M,472.71M,223.34M,249.37M,77.46M,46.50M,123.96M,28.34M,14.84M,-15.47M,29.51M,0.662M,-28.85M,,167.14M,82.23M,0.662M,29.51M,-28.85M,-13.48M,-28.85M,39.90M,19.09M,20.81M,,20.81M,30.87M,146.54M,77.12M,69.41M,,0.08,,0.1183,0.08,,0.08,,0.1180,0.08,,262.72M,264.96M,,AOR,Restated
2011-09,467.04M,467.04M,223.85M,243.20M,75.11M,40.50M,115.61M,28.88M,14.49M,73.98M,29.08M,0.508M,-28.57M,,242.82M,0.384M,0.508M,29.08M,-28.57M,69.79M,-28.57M,41.61M,14.04M,27.57M,,27.57M,-21.45M,149.06M,78.38M,70.68M,,0.10,,-0.0870,0.10,,0.10,,-0.0851,0.10,,262.16M,264.88M,,AOR,Restated
2011-06,451.08M,451.08M,216.52M,234.56M,72.98M,39.76M,112.74M,29.32M,14.79M,-1.304M,28.67M,0.485M,-28.19M,3.79M,160.64M,73.92M,0.485M,28.67M,-28.19M,-1.304M,-28.19M,44.42M,8.228M,36.20M,,36.20M,37.26M,150.25M,77.15M,73.10M,,0.14,0.00,0.1441,0.14,,0.14,0.00,0.1440,0.14,,261.78M,265.17M,,AOR,Restated
2011-03,438.65M,438.65M,217.96M,220.69M,70.73M,39.86M,110.58M,29.94M,14.55M,85.67M,28.18M,0.46M,-27.72M,-5.271M,149.80M,70.89M,0.46M,28.18M,-27.72M,85.67M,-27.72M,128.83M,46.38M,82.44M,,82.44M,27.62M,232.75M,75.74M,157.01M,,0.32,0.00,0.1098,0.32,,0.31,0.00,0.1024,0.31,,260.82M,264.03M,,AOR,Restated
2010-12,432.57M,432.57M,207.84M,224.73M,67.91M,40.45M,108.36M,28.56M,14.50M,-31.19M,28.91M,0.407M,-28.50M,1.096M,152.51M,72.22M,0.407M,28.91M,-28.50M,-31.19M,-28.50M,12.53M,1.589M,10.94M,,10.94M,38.17M,114.91M,73.47M,41.44M,,0.04,0.00,0.1449,0.04,,0.04,0.00,0.1435,0.04,,259.62M,263.15M,,AOR,Restated
2010-09,428.30M,428.30M,331.63M,96.66M,61.89M,37.47M,99.36M,27.25M,14.13M,-100.45M,29.33M,0.371M,-28.96M,,140.74M,-44.08M,0.371M,29.33M,-28.96M,-99.55M,-28.96M,-172.59M,-35.62M,-136.97M,,-136.97M,-57.25M,-70.82M,72.44M,-143.26M,,-0.53,,-0.2224,-0.53,,-0.53,,-0.2224,-0.53,,259.19M,259.19M,,AOR,Restated
2010-06,420.69M,420.69M,210.80M,209.89M,59.42M,32.43M,91.85M,25.69M,13.57M,0.305M,33.65M,0.321M,-33.33M,,131.12M,78.77M,0.321M,33.65M,-33.33M,0.305M,-33.33M,45.75M,18.30M,27.45M,,27.45M,27.26M,268.14M,188.74M,79.40M,,0.11,0.00,0.1093,0.11,,0.10,0.00,0.0993,0.10,,259.11M,262.11M,,AOR,Restated
2010-03,418.11M,418.11M,204.47M,213.64M,61.46M,37.25M,98.71M,26.74M,13.58M,-11.93M,32.32M,0.401M,-31.92M,,139.03M,74.61M,0.401M,32.32M,-31.92M,-11.93M,-31.92M,30.76M,10.14M,20.62M,,20.62M,28.62M,76.66M,-40.40M,63.08M,,0.08,0.00,0.1109,0.08,,0.08,0.00,0.1106,0.08,,258.65M,261.48M,,AOR,Restated
2009-12,412.45M,412.45M,196.00M,216.44M,64.60M,41.19M,105.79M,24.62M,13.58M,0.256M,31.80M,0.185M,-31.62M,,143.99M,72.46M,0.185M,31.80M,-31.62M,0.256M,-31.62M,41.09M,15.00M,26.10M,,26.10M,25.93M,146.89M,73.99M,72.90M,,0.10,0.00,0.0994,0.10,,0.10,0.00,0.0994,0.10,,258.02M,260.80M,,AOR,Restated
2009-09,402.77M,402.77M,195.96M,206.81M,56.58M,30.05M,86.62M,30.82M,12.85M,0.028M,33.25M,0.162M,-33.09M,,130.30M,76.51M,0.162M,33.25M,-33.09M,0.028M,-33.09M,43.45M,18.88M,24.57M,,24.57M,24.55M,147.34M,70.64M,76.70M,,0.10,0.00,0.0999,0.10,,0.10,0.00,0.0999,0.10,,257.04M,257.04M,,AOR,Restated
2009-06,403.12M,403.12M,191.98M,211.14M,58.93M,37.04M,95.97M,23.41M,13.02M,-0.73M,34.16M,0.206M,-33.95M,,132.40M,78.75M,0.206M,34.16M,-33.95M,-0.73M,-33.95M,44.07M,13.32M,30.75M,,30.75M,31.26M,149.28M,71.06M,78.22M,,0.12,0.00,0.1220,0.12,,0.12,0.00,0.1220,0.12,,256.56M,258.91M,,AOR,Restated
2009-03,402.01M,402.01M,192.44M,209.57M,58.47M,38.81M,97.28M,24.43M,12.69M,-2.341B,33.21M,0.347M,-32.86M,,134.40M,75.17M,0.347M,33.21M,-32.86M,-2.341B,-32.86M,-2.298B,11.73M,-2.310B,,-2.310B,-788.67M,-2.199B,66.05M,-2.265B,,-9.01,0.00,-3.075,-9.01,,-9.01,0.00,-3.075,-9.01,,256.37M,256.37M,,AOR,Restated
2008-12,429.23M,429.23M,199.27M,229.96M,65.00M,34.80M,99.81M,23.79M,12.64M,-3.081M,34.34M,0.446M,-33.90M,,136.24M,93.72M,0.446M,34.34M,-33.90M,-3.081M,-33.90M,56.74M,18.59M,38.16M,,38.16M,40.23M,157.27M,66.18M,91.09M,,0.15,0.00,0.1581,0.15,,0.15,0.00,0.1580,0.15,,256.21M,258.43M,,,Restated
2008-09,442.51M,442.51M,202.23M,240.28M,67.79M,38.29M,106.09M,20.94M,6.542M,-197.03M,19.81M,0.799M,-19.01M,,133.57M,106.71M,0.799M,19.81M,-19.01M,-197.03M,-19.01M,-109.33M,35.04M,-144.37M,,-144.37M,-16.30M,-43.55M,45.97M,-89.52M,,-0.58,0.00,-0.0798,-0.58,,-0.58,0.00,-0.0798,-0.58,,256.06M,256.06M,,,Restated
2008-06,429.49M,429.49M,184.73M,244.76M,68.48M,35.04M,103.53M,20.97M,6.267M,-5.595M,14.10M,0.604M,-13.50M,,130.76M,114.00M,0.604M,14.10M,-13.50M,-5.595M,-13.50M,94.91M,33.53M,61.38M,,61.38M,65.00M,154.12M,45.11M,109.01M,,0.24,0.00,0.2542,0.24,,0.24,0.00,0.2539,0.24,,255.68M,259.39M,,,Restated
2008-03,431.05M,431.05M,191.41M,239.64M,68.26M,39.73M,107.99M,19.36M,6.169M,-0.159M,19.34M,0.871M,-18.47M,,133.53M,106.11M,0.871M,19.34M,-18.47M,-0.159M,-18.47M,87.48M,31.50M,55.99M,,55.99M,56.09M,152.13M,45.30M,106.82M,,0.22,0.00,0.2204,0.22,,0.22,0.00,0.2204,0.22,,255.25M,259.80M,,,Restated
2007-12,371.44M,371.44M,203.61M,167.84M,,,91.32M,20.15M,6.249M,-372.92M,,,,2.90M,120.62M,47.22M,,,,-372.92M,,-352.20M,6.405M,-358.61M,,-358.61M,-116.21M,83.78M,36.56M,47.22M,,-1.655,0.00,-0.5374,-1.655,,-1.655,0.00,-0.5374,-1.655,,216.88M,216.88M,,,
2007-09,202.56M,202.56M,105.02M,97.55M,,,38.35M,11.26M,1.439M,,,,,,51.05M,46.50M,,,,,,47.73M,15.62M,32.11M,,32.11M,32.11M,54.39M,7.891M,46.50M,,0.295,0.00,0.295,0.295,,0.29,0.00,0.29,0.29,,108.02M,110.34M,,,
2007-06,191.50M,191.50M,101.39M,90.11M,,,37.38M,11.41M,1.383M,,,,,,50.18M,39.93M,,,,,,40.54M,15.79M,24.75M,,24.75M,24.75M,47.55M,7.621M,39.93M,,0.23,0.00,0.23,0.23,,0.225,0.00,0.225,0.225,,107.62M,110.02M,,,
2007-03,181.09M,181.09M,97.54M,83.55M,,,36.40M,10.99M,1.354M,,,,,,48.74M,34.80M,,,,,,34.28M,12.65M,21.63M,,21.63M,21.63M,42.22M,7.419M,34.80M,,0.205,0.00,0.205,0.205,,0.20,0.00,0.20,0.20,,106.62M,109.53M,,,
2006-12,163.21M,163.21M,88.98M,74.23M,,,35.58M,10.72M,1.408M,,,,,,47.71M,26.52M,,,,,,25.94M,9.85M,16.09M,,16.09M,16.09M,34.75M,8.231M,26.52M,,0.155,0.00,0.155,0.155,,0.15,0.00,0.15,0.15,,105.23M,108.79M,,,
2006-09,154.06M,154.06M,91.02M,63.04M,,,35.27M,3.776M,,,,,,,35.58M,27.46M,,,,,,7.526M,9.00M,-1.474M,,-1.474M,-1.474M,35.12M,7.655M,27.46M,,-0.025,0.00,-0.025,-0.025,,-0.025,0.00,-0.025,-0.025,,101.86M,105.63M,,,
2006-06,119.68M,119.68M,69.30M,50.39M,,,24.25M,7.561M,,,,,,,31.81M,18.58M,,,,,,19.22M,7.20M,12.02M,,12.02M,12.02M,21.80M,3.217M,18.58M,,0.13,0.00,0.13,0.13,,0.125,0.00,0.125,0.125,,91.15M,95.03M,,,
2006-03,100.98M,100.98M,58.56M,42.43M,,,19.55M,6.322M,0.165M,,,,,,26.04M,16.39M,,,,,,17.41M,6.25M,11.16M,,11.16M,11.16M,19.07M,2.682M,16.39M,,0.125,0.00,0.125,0.125,,0.12,0.00,0.12,0.12,,90.38M,94.69M,,,
2005-12,87.96M,87.96M,50.97M,36.98M,,,19.00M,5.971M,,-4.20M,,,,,24.98M,12.01M,,,,-4.20M,,9.066M,3.35M,5.716M,,5.716M,8.364M,14.58M,2.579M,12.01M,,0.065,0.00,0.0949,0.065,,0.06,0.00,0.0883,0.06,,88.70M,93.60M,,,
2005-09,78.22M,78.22M,46.26M,31.95M,,,16.22M,4.325M,,,,,,,20.54M,11.41M,,,,,,12.12M,2.639M,9.476M,,9.476M,9.476M,13.34M,1.934M,11.41M,,0.11,0.00,0.11,0.11,,0.105,0.00,0.105,0.105,,89.33M,92.65M,,,
2005-06,74.05M,74.05M,43.96M,30.09M,,,15.54M,5.10M,,,,,,,20.64M,9.451M,,,,,,10.16M,2.00M,8.158M,,8.158M,8.158M,11.37M,1.923M,9.451M,,0.095,0.00,0.095,0.095,,0.09,0.00,0.09,0.09,,87.36M,91.55M,,,
2005-03,69.24M,69.24M,42.46M,26.77M,,,14.75M,4.842M,,,,,,,19.59M,7.181M,,,,,,7.554M,1.506M,6.048M,,6.048M,6.048M,8.996M,1.815M,7.181M,,0.07,0.00,0.07,0.07,,0.065,0.00,0.065,0.065,,84.52M,89.76M,,,
2004-12,66.18M,66.18M,41.97M,24.21M,,,15.27M,4.35M,,,,,,,19.62M,4.59M,,,,,,4.868M,0.294M,4.574M,,4.574M,4.574M,6.492M,1.902M,4.59M,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,82.59M,87.04M,,,
2004-09,63.95M,63.95M,40.78M,23.17M,,,13.55M,4.363M,,,,,,,17.92M,5.252M,,,,,,5.656M,0.446M,5.21M,,5.21M,5.21M,7.177M,1.925M,5.252M,,0.065,0.00,0.065,0.065,,0.0625,0.00,0.0625,0.0625,,81.93M,86.10M,,,
2004-06,59.22M,59.22M,37.04M,22.19M,,,14.62M,4.143M,,,,,,,18.76M,3.427M,,,,,,3.498M,0.173M,3.325M,,3.325M,3.325M,5.286M,1.859M,3.427M,,0.04,0.00,0.04,0.04,,0.0375,0.00,0.0375,0.0375,,81.44M,85.88M,,,
