,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.262B,4.262B,1.545B,2.717B,1.562B,255.00M,,130.00M,-21.00M,,,,,1.947B,770.00M,,,,-99.00M,,671.00M,103.00M,568.00M,,,568.00M,585.78M,993.00M,223.00M,770.00M,,1.51,,1.557,1.51,,1.49,,1.537,1.49,,376.10M,381.20M,0.63,,AOR,
2020-09,3.737B,3.737B,1.276B,2.461B,1.244B,242.00M,,114.00M,-2.00M,,,,,1.60B,861.00M,,,,-81.00M,,780.00M,159.00M,621.00M,,,621.00M,622.59M,1.059B,198.00M,861.00M,,1.66,,1.664,1.66,,1.63,,1.634,1.63,,375.70M,380.20M,0.575,,AOR,
2020-06,2.764B,2.764B,1.216B,1.548B,1.225B,233.00M,,110.00M,0.00,,,,,1.568B,-20.00M,,,,-67.00M,,-87.00M,-4.00M,-83.00M,,,-83.00M,-83.00M,173.00M,193.00M,-20.00M,,-0.22,,-0.22,-0.22,,-0.22,,-0.22,-0.22,,375.50M,375.50M,0.575,,AOR,
2020-03,3.588B,3.588B,1.257B,2.331B,1.33B,254.00M,,118.00M,6.00M,,,,,1.702B,629.00M,,,,-39.00M,,590.00M,97.00M,493.00M,,,493.00M,487.98M,827.00M,198.00M,629.00M,,1.32,,1.307,1.32,,1.30,,1.287,1.30,,374.80M,379.70M,0.575,,AOR,
2019-12,4.131B,4.131B,1.428B,2.703B,1.38B,254.00M,,112.00M,-13.00M,,,,,1.746B,957.00M,,,,-21.00M,,936.00M,211.00M,725.00M,,,725.00M,735.07M,1.152B,195.00M,957.00M,,1.94,,1.967,1.94,,1.90,,1.926,1.90,,374.60M,380.20M,0.575,,AOR,Restated
2019-09,3.587B,3.587B,1.257B,2.33B,1.291B,246.00M,,116.00M,-49.00M,,,,,1.653B,677.00M,,,,-96.00M,,581.00M,115.00M,466.00M,,,466.00M,505.30M,871.00M,194.00M,677.00M,,1.24,,1.345,1.24,,1.23,,1.333,1.23,,374.20M,380.30M,0.52,,AOR,Restated
2019-06,3.65B,3.65B,1.27B,2.38B,1.282B,246.00M,,122.00M,-117.00M,,,,,1.65B,730.00M,,,,-165.00M,,565.00M,85.00M,480.00M,,,480.00M,579.45M,929.00M,199.00M,730.00M,,1.29,,1.556,1.29,,1.26,,1.522,1.26,,373.90M,379.50M,0.52,,AOR,Restated
2019-03,3.516B,3.516B,1.233B,2.283B,1.403B,225.00M,,114.00M,-13.00M,,,,,1.742B,541.00M,,,,-61.00M,,480.00M,68.00M,412.00M,,,412.00M,423.15M,731.00M,190.00M,541.00M,,1.10,,1.130,1.10,,1.09,,1.119,1.09,,373.30M,379.30M,0.52,,AOR,Restated
2018-12,3.796B,3.796B,1.34B,2.456B,1.431B,221.00M,,93.00M,-13.00M,,,,,1.745B,711.00M,,,,-54.00M,,657.00M,-1.411B,2.068B,,,2.068B,2.077B,887.00M,176.00M,711.00M,,5.52,,5.545,5.52,,5.44,,5.465,5.44,,374.40M,380.00M,0.52,,AOR,Restated
2018-09,3.242B,3.242B,1.087B,2.155B,1.242B,221.00M,,112.00M,-4.00M,,,,,1.575B,580.00M,,,,-46.00M,,534.00M,-56.00M,590.00M,,,590.00M,592.92M,765.00M,185.00M,580.00M,,1.58,,1.588,1.58,,1.55,,1.558,1.55,,374.10M,380.20M,0.47,,AOR,Restated
2018-06,3.322B,3.322B,1.132B,2.19B,1.19B,216.00M,,110.00M,-2.00M,,,,,1.516B,674.00M,,,,-51.00M,,623.00M,171.00M,452.00M,,,452.00M,453.45M,860.00M,186.00M,674.00M,,1.21,,1.214,1.21,,1.19,,1.194,1.19,,373.90M,380.10M,0.47,,AOR,Restated
2018-03,3.241B,3.241B,1.104B,2.137B,1.236B,204.00M,,102.00M,-4.00M,,,,,1.542B,595.00M,,,,-53.00M,,542.00M,99.00M,443.00M,,,443.00M,446.27M,771.00M,176.00M,595.00M,,1.18,,1.189,1.18,,1.16,,1.169,1.16,,374.00M,380.70M,0.47,,AOR,Restated
