,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,481.00M,481.00M,428.80M,52.20M,23.60M,,-4.10M,,,,,23.60M,28.60M,,,,-4.10M,,-12.40M,20.40M,-33.70M,-42.30M,,5.10M,,-76.30M,-31.24M,63.60M,35.00M,28.60M,-0.3,-0.37,,,-0.2785,-0.67,-0.3,-0.37,,,-0.2785,-0.67,114.60M,114.60M,
2002-09,490.20M,490.20M,424.50M,65.70M,18.70M,,7.50M,,,,,18.70M,47.00M,,,,7.50M,,12.30M,3.90M,8.40M,,,1.60M,,8.10M,3.278M,90.60M,43.60M,47.00M,0.07,0.0,,-0.0026,0.0253,0.07,0.07,0.0,,-0.0026,0.0255,0.07,114.70M,115.20M,
2002-06,588.30M,588.30M,511.90M,76.40M,19.00M,,-9.60M,,,,,19.00M,57.40M,,,,-9.60M,,9.90M,3.20M,6.70M,-54.10M,,5.30M,,-47.40M,13.20M,101.10M,43.70M,57.40M,0.06,-0.47,,,0.1167,-0.41,0.06,-0.47,,,0.1163,-0.41,114.60M,115.40M,
2002-03,497.90M,497.90M,429.20M,68.70M,19.40M,,-2.10M,,,,,19.40M,49.30M,,,,-2.10M,,7.10M,2.30M,4.80M,,,4.20M,,4.80M,6.220M,92.30M,43.00M,49.30M,0.04,0.0,,,0.0524,0.04,0.04,0.0,,,0.0522,0.04,114.50M,115.90M,
2001-12,525.80M,525.80M,484.70M,41.10M,19.10M,,-22.60M,,,,,19.10M,22.00M,,,,-22.60M,,-11.80M,-5.50M,-28.00M,,-10.20M,11.70M,,-38.20M,-14.44M,54.30M,32.30M,22.00M,-0.24,0.03,0.0,,-0.1171,-0.21,-0.24,0.03,-0.0921,,-0.1171,-0.21,110.30M,110.30M,
2001-09,405.90M,405.90M,385.40M,20.50M,20.20M,,-13.90M,,,,,20.20M,0.30M,,,,-13.90M,,-43.70M,-14.40M,-29.30M,,,12.00M,,-29.30M,-19.98M,39.30M,39.00M,0.30M,-0.25,0.0,,,-0.1702,-0.25,-0.25,0.0,,,-0.1702,-0.25,116.80M,116.80M,
2001-06,506.90M,506.90M,446.30M,60.60M,19.60M,,-7.60M,,,,,19.60M,41.00M,,,,-7.60M,,6.80M,2.60M,4.20M,,-28.40M,9.40M,,-24.20M,8.894M,83.90M,42.90M,41.00M,0.04,-0.24,0.0,,0.081,-0.2,0.04,-0.24,-0.248,,0.0804,-0.2,114.50M,116.30M,
2001-03,520.10M,520.10M,410.40M,109.70M,22.90M,,-3.80M,,,,-43.00M,22.90M,86.80M,,,,-3.80M,,18.00M,6.90M,11.10M,,,7.60M,,11.10M,13.44M,129.80M,43.00M,86.80M,0.1,0.0,,,0.1205,0.1,0.1,0.0,,,0.1204,0.1,114.50M,114.90M,
2000-12,482.30M,482.30M,425.90M,56.40M,26.90M,,-3.80M,,,,,25.70M,30.70M,,,,-3.80M,,4.60M,0.10M,4.50M,-419.00M,,6.20M,,-414.50M,8.217M,39.30M,8.60M,30.70M,0.04,-3.64,,,0.0725,-3.6,0.04,-3.64,,,0.0724,-3.6,114.40M,114.80M,
2000-09,491.60M,491.60M,435.10M,56.50M,23.80M,,0.60M,,,,,23.80M,32.70M,,,,0.60M,,12.00M,4.30M,7.70M,-14.70M,,6.00M,,-7.00M,7.315M,84.20M,51.50M,32.70M,0.07,-0.13,,,0.0666,-0.06,0.07,-0.13,,,0.0666,-0.06,114.40M,114.90M,
2000-06,505.80M,505.80M,337.10M,168.70M,35.40M,,4.80M,,,,,90.70M,78.00M,,,,4.80M,,45.30M,17.00M,28.30M,,,1.50M,,28.30M,25.30M,133.30M,55.30M,78.00M,0.25,0.0,,,0.2238,0.25,0.25,0.0,,,0.2239,0.25,114.40M,114.80M,
2000-03,596.60M,596.60M,422.40M,174.20M,25.00M,,-1.30M,,,,-56.20M,25.00M,149.20M,,,,-1.30M,,61.30M,22.00M,39.30M,8.90M,,-1.30M,,48.20M,40.13M,205.40M,56.20M,149.20M,0.34,0.08,,,0.3473,0.42,0.34,0.08,,,0.3473,0.42,114.40M,114.60M,
1999-12,433.80M,433.80M,428.90M,4.90M,23.60M,,-597.60M,,,,,52.30M,-47.40M,,,,-597.60M,,-613.00M,57.80M,-670.80M,-229.10M,0.00,27.80M,,-899.40M,-312.24M,-18.70M,28.70M,-47.40M,-5.85,-2.0,0.0,,-2.714,-7.85,-5.85,-2.0,-0.0,,-2.714,-7.85,114.34M,114.34M,
1999-09,521.50M,521.50M,355.80M,165.70M,32.60M,,-1.60M,,,,,101.10M,64.60M,,,,-1.60M,,23.40M,8.80M,14.60M,-1.40M,,-3.10M,,13.20M,15.60M,133.10M,68.50M,64.60M,0.13,-0.01,,,0.1391,0.12,0.13,-0.01,,,0.1391,0.12,110.00M,110.00M,
1999-06,660.30M,660.30M,425.10M,235.20M,36.60M,,3.90M,,,,,104.20M,131.00M,,,,3.90M,,85.10M,32.00M,53.10M,-0.90M,,-11.20M,,52.20M,50.67M,200.30M,69.30M,131.00M,0.47,-0.01,,,0.4487,0.46,0.47,-0.01,,,0.4488,0.46,114.40M,114.60M,
1999-03,667.30M,667.30M,402.90M,264.40M,35.00M,,4.20M,,,,,101.00M,163.40M,,,,4.20M,,113.70M,42.70M,71.00M,-2.80M,-7.50M,-13.40M,,60.70M,68.38M,229.40M,66.00M,163.40M,0.62,-0.02,0.0,,0.5971,0.53,0.62,-0.02,-0.0656,,0.5971,0.53,114.30M,114.50M,
1998-12,414.20M,414.20M,267.90M,146.30M,-25.80M,,-160.90M,,,,,32.00M,114.30M,,,,-160.90M,,-17.60M,12.90M,-30.50M,-154.30M,,6.00M,,-178.20M,66.04M,172.10M,57.80M,114.30M,-0.27,-1.35,,0.0582,0.632,-1.56,-0.27,-1.35,,0.0582,0.632,-1.56,107.03M,107.03M,
1998-09,659.50M,659.50M,411.60M,247.90M,38.60M,,-0.90M,,,,,107.90M,140.00M,,,,-0.90M,,75.20M,26.50M,48.70M,-10.90M,,-13.20M,,36.90M,49.28M,209.30M,69.30M,140.00M,0.43,-0.1,,-0.0078,0.4351,0.32,0.43,-0.1,,-0.0078,0.4351,0.32,115.31M,115.31M,
1998-06,793.40M,793.40M,503.00M,290.40M,63.30M,,4.70M,,,,,139.70M,150.70M,,,,4.70M,,87.80M,30.90M,56.90M,30.10M,,-11.80M,,87.00M,53.85M,227.10M,76.40M,150.70M,0.5,0.26,,,0.4734,0.76,0.5,0.26,,,0.4734,0.76,114.47M,114.47M,
1998-03,536.50M,536.50M,334.40M,202.10M,46.90M,,3.90M,,,,,95.10M,107.00M,,,,3.90M,,84.30M,29.60M,54.70M,-6.70M,,-5.40M,,45.30M,52.17M,155.20M,48.20M,107.00M,0.48,-0.06,,-0.0238,0.4577,0.4,0.48,-0.06,,-0.0238,0.4577,0.4,113.25M,113.25M,
