,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,,1.848B,785.00M,2.633B,860.00M,,860.00M,4.964B,4.964B,473.00M,8.93B,,,,,2.385B,,2.385B,,2.385B,425.00M,18.00M,443.00M,,324.00M,3.152B,12.08B,4.619B,154.00M,4.773B,780.00M,5.553B,,,550.00M,,550.00M,656.00M,656.00M,,7.055B,792.00M,,792.00M,,,,815.00M,1.607B,8.662B,28.00M,3.082B,,,,,310.00M,3.42B
2018-01,577.00M,1.101B,2.032B,3.133B,1.049B,,1.049B,5.209B,5.209B,438.00M,9.829B,0.0,623.00M,,5.41B,,2.667B,8.70B,-6.279B,2.421B,425.00M,,425.00M,,374.00M,3.22B,13.05B,4.873B,,4.873B,1.001B,5.874B,,,544.00M,,544.00M,838.00M,838.00M,,7.817B,811.00M,,811.00M,,,,809.00M,1.62B,9.437B,28.00M,3.27B,0.00,,,,314.00M,3.612B
2017-10,,1.103B,2.237B,3.34B,971.00M,,971.00M,6.663B,6.663B,431.00M,11.40B,,,,,2.352B,,2.352B,,2.352B,425.00M,18.00M,443.00M,,585.00M,3.38B,14.78B,6.587B,80.00M,6.667B,808.00M,7.475B,,,545.00M,,545.00M,801.00M,801.00M,,9.152B,784.00M,,784.00M,,,,697.00M,1.481B,10.63B,30.00M,3.818B,,,,,304.00M,4.152B
2017-07,,1.365B,2.125B,3.49B,965.00M,,965.00M,5.167B,5.167B,456.00M,10.08B,,,,,2.327B,,2.327B,,2.327B,425.00M,18.00M,443.00M,,596.00M,3.366B,13.44B,5.072B,83.00M,5.155B,787.00M,5.942B,,,44.00M,,44.00M,810.00M,810.00M,,7.105B,1.31B,,1.31B,,,,682.00M,1.992B,9.097B,30.00M,3.996B,,,,,321.00M,4.347B
2017-04,,1.651B,1.948B,3.599B,1.011B,,1.011B,4.637B,4.637B,409.00M,9.656B,,,,,2.287B,,2.287B,,2.287B,425.00M,18.00M,443.00M,,569.00M,3.299B,12.96B,4.599B,93.00M,4.692B,699.00M,5.391B,,,45.00M,,45.00M,760.00M,760.00M,,6.47B,1.302B,,1.302B,,,,684.00M,1.986B,8.456B,31.00M,4.202B,,,,,266.00M,4.499B
2017-01,709.00M,2.24B,1.681B,3.921B,1.347B,,1.347B,4.864B,4.864B,384.00M,10.52B,0.0,618.00M,,4.998B,,2.527B,8.143B,-5.85B,2.293B,425.00M,18.00M,443.00M,,604.00M,3.34B,13.86B,4.984B,26.00M,5.01B,865.00M,5.875B,,,44.00M,,44.00M,845.00M,845.00M,,7.122B,1.321B,,1.321B,,,,704.00M,2.025B,9.147B,31.00M,4.399B,0.00,,,,279.00M,4.709B
2016-10,,1.341B,1.777B,3.118B,1.174B,,1.174B,6.331B,6.331B,398.00M,11.02B,,,,,2.298B,,2.298B,,2.298B,425.00M,18.00M,443.00M,,780.00M,3.521B,14.54B,6.233B,43.00M,6.276B,782.00M,7.058B,,,43.00M,,43.00M,757.00M,757.00M,,8.166B,1.324B,,1.324B,,,,791.00M,2.115B,10.28B,31.00M,3.953B,0.00,0.00,,,277.00M,4.261B
2016-07,,1.861B,1.59B,3.451B,926.00M,,926.00M,4.908B,4.908B,409.00M,9.694B,,,,,2.295B,,2.295B,,2.295B,425.00M,18.00M,443.00M,,822.00M,3.56B,13.25B,4.80B,96.00M,4.896B,840.00M,5.736B,,,43.00M,,43.00M,749.00M,749.00M,,6.80B,1.341B,,1.341B,,,,794.00M,2.135B,8.935B,32.00M,3.991B,0.00,0.00,,,296.00M,4.319B
2016-04,,1.845B,1.22B,3.065B,1.097B,,1.097B,4.719B,4.719B,401.00M,9.282B,,,,,2.332B,,2.332B,,2.332B,425.00M,18.00M,443.00M,,844.00M,3.619B,12.90B,4.397B,97.00M,4.494B,791.00M,5.285B,,,44.00M,,44.00M,728.00M,728.00M,,6.334B,1.334B,,1.334B,,,,807.00M,2.141B,8.475B,32.00M,4.078B,0.00,0.00,,,316.00M,4.426B
2016-01,768.00M,1.976B,1.305B,3.281B,1.162B,,1.162B,5.051B,5.051B,392.00M,9.886B,0.0,613.00M,,5.002B,,2.492B,8.107B,-5.761B,2.346B,425.00M,18.00M,443.00M,,844.00M,3.633B,13.52B,4.45B,128.00M,4.578B,802.00M,5.38B,,,395.00M,,395.00M,766.00M,766.00M,,6.925B,1.339B,,1.339B,,,,877.00M,2.216B,9.141B,32.00M,4.13B,0.00,55.00M,,,271.00M,4.378B
2015-10,,1.697B,1.65B,3.347B,1.061B,,1.061B,6.651B,6.651B,676.00M,11.74B,,,,,2.329B,,2.329B,,2.329B,425.00M,18.00M,443.00M,,668.00M,3.44B,15.18B,6.184B,23.00M,6.207B,790.00M,6.997B,,,383.00M,,383.00M,709.00M,709.00M,,8.395B,1.256B,,1.256B,,,0.00,874.00M,2.13B,10.52B,34.00M,4.135B,185.00M,,,,296.00M,4.65B
2015-07,,1.80B,1.695B,3.495B,1.025B,,1.025B,4.995B,4.995B,730.00M,10.24B,,,,,2.235B,,2.235B,,2.235B,425.00M,18.00M,443.00M,,643.00M,3.321B,13.57B,4.68B,26.00M,4.706B,778.00M,5.484B,,,382.00M,,382.00M,687.00M,687.00M,,6.838B,1.227B,,1.227B,,,0.00,879.00M,2.106B,8.944B,34.00M,4.092B,198.00M,,,,298.00M,4.622B
2015-04,,2.173B,1.566B,3.739B,995.00M,,995.00M,4.93B,4.93B,732.00M,10.40B,,,,,2.244B,,2.244B,,2.244B,425.00M,18.00M,443.00M,,636.00M,3.323B,13.72B,4.584B,45.00M,4.629B,743.00M,5.372B,,,383.00M,,383.00M,689.00M,689.00M,,6.721B,1.224B,,1.224B,,,0.00,906.00M,2.13B,8.851B,35.00M,4.009B,494.00M,,,,330.00M,4.868B
2015-01,772.00M,2.432B,1.456B,3.888B,1.28B,,1.28B,5.174B,5.174B,449.00M,11.47B,0.0,611.00M,,4.729B,,2.32B,7.66B,-5.365B,2.295B,425.00M,57.00M,482.00M,,996.00M,3.773B,15.24B,5.03B,230.00M,5.26B,782.00M,6.042B,,,41.00M,,41.00M,737.00M,737.00M,585.00M,7.777B,1.572B,,1.572B,,,5.00M,881.00M,2.468B,10.24B,35.00M,4.141B,437.00M,0.00,,,382.00M,4.995B
2014-10,,1.929B,1.209B,3.138B,1.066B,,1.066B,6.90B,6.90B,959.00M,12.06B,,,,,2.524B,,2.524B,,2.524B,425.00M,99.00M,524.00M,,651.00M,3.699B,15.76B,6.626B,33.00M,6.659B,788.00M,7.447B,,,44.00M,,44.00M,830.00M,830.00M,,8.626B,1.591B,,1.591B,,,4.00M,972.00M,2.563B,11.19B,35.00M,3.689B,377.00M,,,,468.00M,4.569B
2014-07,,2.141B,939.00M,3.08B,1.005B,,1.005B,5.583B,5.583B,943.00M,10.61B,,,,,2.532B,,2.532B,,2.532B,425.00M,100.00M,525.00M,,681.00M,3.738B,14.35B,5.244B,68.00M,5.312B,796.00M,6.108B,,,43.00M,,43.00M,813.00M,813.00M,,7.251B,1.592B,,1.592B,,,4.00M,976.00M,2.568B,9.819B,35.00M,3.649B,348.00M,,,,494.00M,4.526B
2014-04,,2.569B,497.00M,3.066B,871.00M,,871.00M,5.255B,5.255B,926.00M,10.12B,,,,,2.525B,,2.525B,,2.525B,425.00M,100.00M,525.00M,,743.00M,3.793B,13.91B,4.952B,47.00M,4.999B,731.00M,5.73B,,,44.00M,,44.00M,756.00M,756.00M,,6.88B,1.604B,,1.604B,,,3.00M,1.003B,2.607B,9.487B,35.00M,3.562B,330.00M,,,,494.00M,4.421B
2014-01,973.00M,2.678B,223.00M,2.901B,1.308B,,1.308B,5.376B,5.376B,900.00M,10.48B,0.0,758.00M,,4.515B,,2.302B,7.575B,-4.977B,2.598B,425.00M,101.00M,526.00M,,404.00M,3.528B,14.01B,5.122B,147.00M,5.269B,873.00M,6.142B,,,45.00M,,45.00M,805.00M,805.00M,,7.436B,1.612B,,1.612B,,,3.00M,976.00M,2.588B,10.02B,35.00M,3.159B,300.00M,,,,492.00M,3.986B
2013-10,,2.17B,,2.17B,1.123B,,1.123B,6.978B,6.978B,963.00M,11.23B,,,,,2.726B,,2.726B,,2.726B,528.00M,175.00M,703.00M,41.00M,364.00M,3.834B,15.07B,6.578B,91.00M,6.669B,1.233B,7.902B,0.00,45.00M,45.00M,,45.00M,368.00M,368.00M,,8.665B,1.624B,,1.624B,,,2.00M,1.035B,2.659B,11.32B,35.00M,2.926B,253.00M,,,,528.00M,3.742B
2013-07,,1.91B,,1.91B,1.188B,,1.188B,5.437B,5.437B,879.00M,9.414B,,,,,2.744B,,2.744B,,2.744B,528.00M,177.00M,705.00M,59.00M,362.00M,3.87B,13.28B,4.968B,130.00M,5.098B,1.185B,6.283B,0.00,44.00M,44.00M,,44.00M,358.00M,358.00M,,7.028B,1.634B,,1.634B,,,3.00M,1.017B,2.651B,9.679B,34.00M,2.93B,109.00M,,,,529.00M,3.602B
2013-04,,908.00M,,908.00M,937.00M,,937.00M,5.461B,5.461B,821.00M,10.01B,,,,,2.83B,,2.83B,,2.83B,528.00M,180.00M,708.00M,61.00M,726.00M,4.325B,14.33B,4.776B,8.00M,4.784B,1.142B,5.926B,0.00,544.00M,544.00M,,544.00M,373.00M,373.00M,1.385B,8.561B,1.142B,,1.142B,,,632.00M,1.001B,2.222B,10.78B,34.00M,2.723B,77.00M,,,,82.00M,2.916B
2012-10,,309.00M,0.00,309.00M,,,2.25B,,8.156B,1.131B,11.85B,,,,,,,,,3.407B,1.344B,344.00M,1.688B,91.00M,524.00M,5.71B,17.56B,7.933B,9.00M,7.942B,1.531B,9.473B,,,854.00M,,854.00M,,,392.00M,11.15B,1.158B,,1.158B,,,621.00M,1.122B,2.28B,13.43B,34.00M,3.328B,40.00M,,,,105.00M,3.507B
2012-07,,680.00M,0.00,680.00M,,,2.135B,,6.299B,1.07B,10.18B,,,,,,,,,3.407B,1.342B,107.00M,1.449B,91.00M,718.00M,5.665B,15.85B,6.055B,7.00M,6.062B,1.476B,7.538B,,,1.061B,,1.061B,,,385.00M,9.448B,1.165B,,1.165B,,,596.00M,1.125B,2.29B,11.74B,34.00M,3.395B,0.00,,,,86.00M,3.515B
2012-04,,1.386B,0.00,1.386B,,,1.846B,,6.065B,1.019B,10.32B,,,,,,,,,3.407B,1.335B,354.00M,1.689B,128.00M,471.00M,5.695B,16.01B,5.731B,272.00M,6.003B,1.595B,7.598B,,,349.00M,,349.00M,,,416.00M,9.001B,1.678B,,1.678B,,,635.00M,1.025B,2.703B,11.70B,34.00M,3.52B,20.00M,,,,98.00M,3.672B
2012-02,856.00M,1.199B,,1.199B,2.288B,,2.288B,5.731B,5.731B,1.079B,10.30B,0.0,775.00M,,4.981B,,2.496B,8.252B,-4.781B,3.471B,1.335B,359.00M,1.694B,140.00M,403.00M,5.708B,16.00B,5.364B,288.00M,5.652B,1.685B,7.337B,480.00M,43.00M,523.00M,,523.00M,456.00M,456.00M,,8.855B,1.685B,,1.685B,,,621.00M,1.099B,2.784B,11.64B,34.00M,3.621B,0.00,,,,90.00M,3.745B
2011-11,,2.392B,0.00,2.392B,,,3.212B,,9.22B,1.085B,15.91B,,,,,,,,,3.567B,2.42B,294.00M,2.714B,146.00M,412.00M,6.839B,22.75B,10.06B,11.00M,10.08B,1.976B,12.05B,,,590.00M,,590.00M,,,428.00M,13.57B,2.806B,,2.806B,,,666.00M,,2.806B,16.37B,35.00M,5.663B,0.00,,,,12.00M,5.71B
2011-08,,2.04B,80.00M,2.12B,,,1.945B,,6.403B,1.033B,11.50B,,,,,,,,,3.761B,2.486B,313.00M,2.799B,284.00M,484.00M,7.328B,18.83B,5.83B,2.00M,5.832B,1.58B,7.412B,,,836.00M,,836.00M,,,410.00M,9.147B,1.696B,,1.696B,,,723.00M,1.176B,2.872B,12.02B,37.00M,5.839B,0.00,,,,211.00M,6.087B
2011-05,,2.208B,20.00M,2.228B,,,1.742B,,6.356B,967.00M,11.29B,,,,,,,,,3.767B,2.488B,328.00M,2.816B,318.00M,479.00M,7.38B,18.67B,5.714B,66.00M,5.78B,1.544B,7.324B,,,480.00M,,480.00M,,,440.00M,8.736B,1.70B,,1.70B,,,734.00M,1.184B,2.884B,11.62B,38.00M,6.045B,0.00,,,,236.00M,6.319B
2011-02,,1.103B,22.00M,1.125B,,,2.348B,,5.897B,1.103B,10.47B,0.0,766.00M,,4.701B,,2.438B,7.905B,-4.082B,3.823B,2.454B,336.00M,2.79B,328.00M,435.00M,7.376B,17.85B,4.894B,256.00M,5.15B,1.471B,6.621B,,,998.00M,,998.00M,,,474.00M,8.663B,711.00M,,711.00M,,,690.00M,1.183B,1.894B,10.56B,39.00M,6.372B,18.00M,,,,173.00M,6.602B
2010-05,,1.239B,205.00M,1.444B,,,1.579B,,6.335B,1.03B,10.39B,,,,,,,,,3.982B,2.386B,153.00M,2.539B,323.00M,724.00M,7.568B,17.96B,5.86B,51.00M,5.911B,2.037B,7.948B,,,231.00M,,231.00M,,,424.00M,8.603B,1.093B,,1.093B,,,639.00M,1.253B,2.346B,10.95B,42.00M,5.892B,474.00M,,,,-40.00M,6.368B
2010-02,,1.826B,90.00M,1.916B,,,2.02B,,5.486B,1.144B,10.57B,0.0,757.00M,,4.447B,95.00M,2.154B,7.453B,-3.383B,4.07B,2.452B,438.00M,2.89B,324.00M,452.00M,7.736B,18.30B,5.276B,316.00M,5.592B,1.681B,7.273B,,,698.00M,,698.00M,,,463.00M,8.978B,1.104B,,1.104B,,,644.00M,1.256B,2.36B,11.34B,42.00M,5.797B,441.00M,,,,40.00M,6.32B
2009-11,,564.00M,93.00M,657.00M,,,2.63B,,8.978B,1.002B,13.27B,,,,,,,,,4.123B,2.421B,455.00M,2.876B,332.00M,502.00M,7.833B,21.10B,9.083B,55.00M,9.138B,2.338B,11.48B,,,777.00M,,777.00M,,,425.00M,12.68B,1.104B,,1.104B,,,595.00M,1.194B,2.298B,14.98B,42.00M,5.076B,404.00M,,,,7.00M,5.529B
2009-08,,668.00M,93.00M,761.00M,,,1.77B,,5.738B,1.035B,9.304B,,,,,,,,,4.162B,2.442B,486.00M,2.928B,334.00M,463.00M,7.887B,17.19B,5.407B,51.00M,5.458B,1.97B,7.428B,,,1.136B,,1.136B,,,400.00M,8.964B,1.111B,,1.111B,,,593.00M,1.217B,2.328B,11.29B,42.00M,4.908B,329.00M,,,,27.00M,5.306B
2009-05,,535.00M,8.00M,543.00M,,,1.427B,,5.486B,954.00M,8.41B,,,,,,,,,4.184B,2.296B,472.00M,2.768B,421.00M,431.00M,7.804B,16.21B,4.996B,92.00M,5.088B,1.769B,6.857B,,,1.071B,,1.071B,,,428.00M,8.356B,1.121B,,1.121B,,,511.00M,1.236B,2.357B,10.71B,42.00M,4.808B,294.00M,,,,-154.00M,4.99B
2009-02,,498.00M,11.00M,509.00M,,,1.868B,,4.753B,1.062B,8.192B,0.0,755.00M,,4.06B,,2.125B,6.94B,-2.766B,4.174B,2.203B,495.00M,2.698B,395.00M,367.00M,7.634B,15.83B,4.997B,281.00M,5.278B,1.841B,7.119B,,,837.00M,,837.00M,,,479.00M,8.435B,1.126B,,1.126B,,,513.00M,1.109B,2.235B,10.67B,41.00M,4.714B,205.00M,,,,-317.00M,4.643B
2008-11,,569.00M,25.00M,594.00M,2.638B,,2.638B,,8.207B,879.00M,12.32B,,,,,,,7.513B,-3.245B,4.268B,2.414B,182.00M,2.596B,,1.465B,8.329B,20.65B,8.219B,,8.219B,2.307B,10.53B,,,2.201B,,2.201B,,,468.00M,13.20B,1.125B,,1.125B,,,674.00M,1.093B,2.218B,15.41B,41.00M,4.202B,172.00M,,144.00M,1.00M,145.00M,4.56B
2008-08,,544.00M,,544.00M,1.785B,,1.785B,,6.105B,894.00M,9.328B,,,,,,,6.671B,-2.552B,4.119B,2.536B,188.00M,2.724B,,1.351B,8.194B,17.52B,5.924B,,5.924B,2.045B,7.969B,,,1.554B,,1.554B,,,457.00M,9.98B,1.136B,,1.136B,,,725.00M,929.00M,2.065B,12.04B,41.00M,4.205B,112.00M,,466.00M,-72.00M,394.00M,4.752B
2008-05,,1.475B,68.00M,1.543B,533.00M,,533.00M,,5.005B,652.00M,7.733B,,,,,,,5.879B,-2.423B,3.456B,1.085B,98.00M,1.183B,,859.00M,5.498B,13.23B,4.697B,,4.697B,1.34B,6.037B,,,509.00M,,509.00M,,,481.00M,7.027B,650.00M,,650.00M,,,40.00M,880.00M,1.53B,8.557B,41.00M,4.058B,72.00M,,-6.00M,469.00M,463.00M,4.634B
2008-02,,1.438B,64.00M,1.502B,549.00M,,549.00M,,4.708B,583.00M,7.342B,0.0,732.00M,1.752B,3.057B,67.00M,,5.608B,-2.302B,3.306B,1.088B,97.00M,1.185B,,925.00M,5.416B,12.76B,4.297B,,4.297B,1.752B,6.049B,,,189.00M,,189.00M,,,531.00M,6.769B,627.00M,,627.00M,,,40.00M,838.00M,1.465B,8.234B,41.00M,3.933B,8.00M,,527.00M,-25.00M,502.00M,4.484B
2007-11,,1.319B,295.00M,1.614B,739.00M,,739.00M,,7.451B,673.00M,10.48B,,,,,,,5.498B,-2.238B,3.26B,1.086B,96.00M,1.182B,,555.00M,4.997B,15.47B,7.597B,,7.597B,1.822B,9.419B,,,346.00M,,346.00M,,,471.00M,10.24B,642.00M,,642.00M,,,39.00M,811.00M,1.453B,11.69B,42.00M,3.32B,74.00M,,,,310.00M,3.746B
2007-08,,1.39B,121.00M,1.511B,554.00M,,554.00M,,4.65B,733.00M,7.448B,,,,,,,5.328B,-2.21B,3.118B,1.053B,93.00M,1.146B,,525.00M,4.789B,12.24B,4.312B,,4.312B,1.356B,5.668B,,,1.377B,,1.377B,,,422.00M,7.467B,600.00M,,600.00M,,,38.00M,751.00M,1.351B,8.818B,42.00M,3.147B,,,,,192.00M,3.381B
2007-05,,1.366B,1.436B,2.802B,476.00M,,476.00M,,4.298B,730.00M,8.306B,,,,,,,5.131B,-2.105B,3.026B,1.049B,93.00M,1.142B,,668.00M,4.836B,13.14B,3.957B,,3.957B,1.207B,5.164B,,,67.00M,,67.00M,,,455.00M,5.686B,598.00M,,598.00M,,,33.00M,655.00M,1.253B,6.939B,47.00M,5.638B,101.00M,,,,384.00M,6.17B
2007-02,,1.205B,2.588B,3.793B,548.00M,,548.00M,,4.028B,712.00M,9.081B,0.0,705.00M,1.54B,2.627B,32.00M,,4.904B,-1.966B,2.938B,919.00M,81.00M,1.00B,,551.00M,4.489B,13.57B,3.934B,,3.934B,1.811B,5.745B,,,60.00M,,60.00M,,,496.00M,6.301B,590.00M,,590.00M,,,35.00M,443.00M,1.033B,7.334B,48.00M,5.507B,430.00M,,,,216.00M,6.201B
2006-11,,1.202B,1.513B,2.715B,1.112B,,1.112B,,6.084B,759.00M,10.67B,,,,,,,5.427B,-2.456B,2.971B,991.00M,83.00M,1.074B,,671.00M,4.716B,15.39B,6.332B,,6.332B,1.934B,8.266B,,,459.00M,,459.00M,,,429.00M,9.154B,191.00M,,191.00M,,,34.00M,405.00M,596.00M,9.75B,48.00M,4.793B,481.00M,,,,280.00M,5.602B
2006-08,,1.104B,1.564B,2.668B,483.00M,,483.00M,,4.049B,687.00M,7.887B,,,,,,,5.151B,-2.364B,2.787B,1.01B,83.00M,1.093B,,640.00M,4.52B,12.41B,3.858B,,3.858B,1.62B,5.478B,,,496.00M,,496.00M,,,392.00M,6.366B,184.00M,,184.00M,,,31.00M,392.00M,576.00M,6.942B,48.00M,4.69B,389.00M,,,,307.00M,5.434B
2006-05,,772.00M,1.554B,2.326B,409.00M,,409.00M,,3.737B,406.00M,6.878B,,,,,,,4.957B,-2.245B,2.712B,955.00M,63.00M,1.018B,,661.00M,4.391B,11.27B,3.055B,,3.055B,1.409B,4.464B,,,418.00M,,418.00M,,,415.00M,5.297B,180.00M,,180.00M,,,,383.00M,563.00M,5.86B,48.00M,4.50B,546.00M,,,,315.00M,5.409B
2006-02,,748.00M,3.051B,3.799B,439.00M,,439.00M,,3.338B,409.00M,7.985B,0.0,580.00M,1.325B,2.898B,33.00M,,4.836B,-2.124B,2.712B,557.00M,44.00M,601.00M,,566.00M,3.879B,11.86B,3.234B,,3.234B,1.935B,5.169B,,,418.00M,,418.00M,,,469.00M,6.056B,178.00M,,178.00M,,,,373.00M,551.00M,6.607B,49.00M,4.304B,643.00M,,,,261.00M,5.257B
2005-11,,812.00M,2.285B,3.097B,883.00M,,883.00M,,5.314B,400.00M,9.694B,,,,,,,4.658B,-2.021B,2.637B,,592.00M,592.00M,,319.00M,3.548B,13.24B,5.325B,,5.325B,1.739B,7.064B,,,17.00M,,17.00M,,,374.00M,7.455B,554.00M,,554.00M,,,,377.00M,931.00M,8.386B,49.00M,3.699B,877.00M,,,,231.00M,4.856B
