,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,585.00M,,585.00M,1.474B,1.474B,1.733B,127.00M,,,3.919B,,,,,,,1.395B,391.00M,228.00M,619.00M,,14.00M,348.00M,2.376B,6.295B,,779.00M,42.00M,821.00M,305.00M,1.126B,,,,8.00M,8.00M,,,,1.441B,2.389B,2.389B,110.00M,110.00M,,,262.00M,2.761B,4.202B,,,,,,,,,2.093B,,AOR,
2020-09,859.00M,,859.00M,1.485B,1.485B,1.78B,149.00M,,,4.273B,0.00,331.00M,1.321B,1.875B,3.527B,-2.133B,1.394B,369.00M,224.00M,593.00M,,11.00M,312.00M,2.31B,6.583B,,836.00M,20.00M,856.00M,324.00M,1.18B,,,,12.00M,12.00M,,,,1.441B,2.388B,2.388B,112.00M,112.00M,,244.00M,267.00M,2.767B,4.208B,,55.00M,8.694B,1.214B,7.698B,,,-134.00M,2.131B,,AOR,
2020-06,1.603B,,1.603B,1.46B,1.46B,1.695B,160.00M,,,4.918B,0.00,329.00M,1.317B,1.824B,3.47B,-2.105B,1.365B,365.00M,223.00M,588.00M,,10.00M,313.00M,2.276B,7.194B,,770.00M,25.00M,795.00M,312.00M,1.107B,,,,36.00M,36.00M,,,,1.388B,3.301B,3.301B,103.00M,103.00M,,223.00M,250.00M,3.654B,5.042B,,55.00M,8.536B,1.198B,7.709B,,,-151.00M,1.929B,,AOR,
2020-03,1.492B,,1.492B,1.613B,1.613B,1.615B,194.00M,,,4.914B,0.00,329.00M,1.316B,1.833B,3.478B,-2.121B,1.357B,361.00M,226.00M,587.00M,,10.00M,309.00M,2.263B,7.177B,,863.00M,19.00M,882.00M,384.00M,1.266B,,17.00M,21.00M,38.00M,38.00M,,,,1.50B,3.303B,3.303B,99.00M,99.00M,,220.00M,245.00M,3.647B,5.147B,,55.00M,8.50B,1.192B,7.72B,,,-217.00M,1.81B,,AOR,
2019-12,360.00M,,360.00M,1.425B,1.425B,1.655B,115.00M,,,3.555B,0.00,332.00M,1.329B,1.832B,3.493B,-2.093B,1.40B,429.00M,304.00M,733.00M,,11.00M,306.00M,2.45B,6.005B,,719.00M,27.00M,746.00M,318.00M,1.064B,,55.00M,246.00M,301.00M,301.00M,,,,1.678B,1.914B,1.914B,106.00M,106.00M,,205.00M,247.00M,2.267B,3.945B,,55.00M,8.405B,1.182B,7.633B,,,-154.00M,1.855B,,AOR,
2019-09,286.00M,,286.00M,1.495B,1.495B,1.52B,95.00M,,,3.396B,0.00,323.00M,1.329B,1.799B,3.451B,-2.067B,1.384B,425.00M,422.00M,847.00M,,13.00M,282.00M,2.526B,5.922B,,723.00M,12.00M,735.00M,327.00M,1.062B,,51.00M,219.00M,270.00M,270.00M,,,,1.572B,1.918B,1.918B,120.00M,120.00M,,201.00M,240.00M,2.278B,3.85B,,55.00M,8.38B,1.161B,7.551B,,,-174.00M,1.871B,,AOR,Restated
2019-06,315.00M,,315.00M,1.503B,1.503B,1.535B,103.00M,,,3.456B,0.00,318.00M,1.332B,1.774B,3.424B,-2.044B,1.38B,429.00M,437.00M,866.00M,,13.00M,277.00M,2.536B,5.992B,,780.00M,23.00M,803.00M,288.00M,1.091B,,51.00M,81.00M,132.00M,132.00M,,,,1.452B,2.08B,2.08B,115.00M,115.00M,,191.00M,231.00M,2.426B,3.878B,,55.00M,8.226B,1.152B,7.354B,,,-156.00M,1.923B,,AOR,Restated
2019-03,392.00M,,392.00M,1.485B,1.485B,1.523B,108.00M,,,3.508B,0.00,318.00M,1.343B,1.82B,3.481B,-2.123B,1.358B,425.00M,446.00M,871.00M,,14.00M,263.00M,2.506B,6.014B,,741.00M,90.00M,831.00M,324.00M,1.155B,,52.00M,82.00M,134.00M,134.00M,,,,1.462B,2.077B,2.077B,101.00M,101.00M,,181.00M,222.00M,2.40B,3.862B,,55.00M,8.045B,1.137B,7.098B,,,-168.00M,1.971B,,AOR,Restated
2018-12,538.00M,,538.00M,1.385B,1.385B,1.541B,93.00M,,,3.557B,0.00,318.00M,1.338B,1.785B,3.441B,-2.089B,1.352B,424.00M,460.00M,884.00M,,12.00M,68.00M,2.316B,5.873B,,678.00M,29.00M,707.00M,269.00M,976.00M,,49.00M,81.00M,130.00M,130.00M,,,,1.501B,2.09B,2.09B,103.00M,103.00M,,172.00M,86.00M,2.279B,3.78B,,55.00M,7.869B,1.134B,6.966B,,,-171.00M,1.921B,,AOR,Restated
2018-09,516.85M,,516.85M,1.481B,1.481B,1.473B,112.08M,,,3.583B,0.00,319.99M,1.340B,1.781B,3.441B,-2.092B,1.349B,429.82M,479.52M,909.34M,,20.73M,69.86M,2.349B,5.932B,,730.22M,39.22M,769.43M,302.26M,1.072B,,49.43M,36.97M,86.40M,86.40M,,,,1.467B,2.148B,2.148B,115.64M,115.64M,100.75M,162.35M,,2.365B,3.832B,,54.83M,7.752B,1.125B,6.829B,,,-164.86M,1.938B,,AOR,Restated
2018-06,312.46M,,312.46M,1.463B,1.463B,1.464B,133.76M,,,3.373B,0.00,339.01M,1.335B,1.752B,3.426B,-2.066B,1.360B,535.12M,533.64M,1.069B,,27.62M,75.28M,2.532B,5.905B,,735.27M,38.43M,773.70M,272.24M,1.046B,,54.22M,30.17M,84.39M,84.39M,,,,1.424B,2.210B,2.210B,117.21M,117.21M,102.24M,156.15M,,2.430B,3.854B,,54.83M,7.725B,1.079B,6.797B,,,-167.11M,1.894B,,AOR,Restated
2018-03,302.02M,,302.02M,1.428B,1.428B,1.435B,142.30M,,,3.307B,,,,,3.440B,-2.070B,1.370B,549.42M,,549.42M,,33.30M,642.86M,2.596B,5.903B,,748.37M,52.77M,801.15M,324.32M,1.125B,89.89M,47.76M,30.28M,167.92M,167.92M,,,,1.504B,2.244B,2.244B,121.77M,121.77M,106.40M,155.31M,,2.473B,3.977B,,54.83M,7.564B,1.065B,6.792B,,,-122.35M,1.771B,,AOR,Restated
2017-12,327.00M,,327.00M,1.325B,1.325B,1.429B,125.00M,,,3.206B,0.00,349.00M,1.343B,1.753B,3.445B,-2.053B,1.392B,544.00M,569.00M,1.113B,,22.00M,71.00M,2.598B,5.804B,,731.00M,20.00M,751.00M,314.00M,1.065B,,56.00M,39.00M,95.00M,95.00M,,,,1.507B,2.248B,2.248B,111.00M,111.00M,110.00M,138.00M,,2.469B,3.976B,,55.00M,7.405B,1.041B,6.676B,,,-135.00M,1.69B,,AOR,Restated
2017-09,284.58M,,284.58M,1.373B,1.373B,1.392B,125.17M,,,3.175B,,,,,3.442B,-2.046B,1.396B,543.25M,582.27M,1.126B,,56.05M,72.52M,2.65B,5.825B,,713.45M,34.07M,747.53M,333.31M,1.081B,0.00,11.35M,41.84M,53.18M,53.18M,,,,1.393B,2.270B,2.270B,135.15M,135.15M,126.30M,133.59M,,2.531B,3.924B,,54.83M,7.327B,1.040B,6.521B,,,-134.03M,1.767B,,AOR,Restated
2017-06,275.06M,,275.06M,1.370B,1.370B,1.398B,143.85M,,,3.186B,,,,,3.410B,-2.018B,1.392B,536.58M,592.47M,1.129B,,79.26M,75.02M,2.676B,5.862B,,692.69M,22.39M,715.08M,291.23M,1.006B,99.91M,29.16M,29.23M,158.30M,158.30M,,,,1.411B,2.268B,2.268B,135.27M,135.27M,199.96M,124.87M,,2.603B,4.014B,,54.83M,7.239B,1.035B,6.402B,,,-203.60M,1.723B,,AOR,Restated
2017-03,238.80M,,238.80M,1.325B,1.325B,1.388B,144.07M,,,3.096B,,,,,3.396B,-1.986B,1.410B,533.01M,587.42M,1.120B,,79.66M,75.96M,2.686B,5.783B,,672.47M,88.87M,761.34M,317.24M,1.079B,404.69M,16.86M,20.07M,441.62M,441.62M,,,,1.688B,1.848B,1.848B,133.98M,133.98M,195.90M,121.72M,,2.178B,3.866B,,54.83M,7.216B,1.032B,6.258B,,,-249.93M,1.795B,,AOR,Restated
2016-12,274.15M,,274.15M,1.223B,1.223B,1.406B,116.52M,,,3.020B,,,,,3.412B,-1.991B,1.421B,527.15M,586.13M,1.113B,,64.78M,75.14M,2.674B,5.694B,,650.09M,15.06M,665.15M,290.21M,955.36M,369.75M,16.39M,19.97M,406.11M,406.11M,,,,1.629B,1.841B,1.841B,126.10M,126.10M,192.56M,107.83M,,2.160B,3.789B,,54.83M,7.114B,1.030B,6.128B,,,-272.29M,1.798B,,AOR,Restated
2016-09,285.98M,,285.98M,1.326B,1.326B,1.381B,135.38M,,,3.129B,,,,,3.421B,-1.984B,1.437B,594.51M,420.09M,1.015B,,37.51M,267.27M,2.756B,5.886B,,623.74M,10.47M,634.21M,269.06M,903.27M,369.89M,17.80M,16.49M,404.17M,404.17M,,,,1.536B,1.874B,1.874B,132.76M,132.76M,181.27M,118.32M,,2.188B,3.724B,,54.83M,7.126B,1.023B,5.953B,,,-208.13M,2.043B,,AOR,Restated
2016-06,316.00M,,316.00M,1.310B,1.310B,1.419B,145.20M,,,3.190B,,,,,3.386B,-1.967B,1.419B,590.11M,437.52M,1.028B,,62.01M,266.20M,2.775B,5.965B,,628.66M,17.29M,645.95M,250.57M,896.52M,,,,505.47M,505.47M,,,,1.641B,1.766B,1.766B,135.95M,135.95M,179.13M,108.67M,,2.081B,3.722B,,54.83M,7.014B,1.016B,5.758B,,,-192.31M,2.134B,,AOR,Restated
2016-03,279.91M,,279.91M,1.305B,1.305B,1.421B,133.60M,,,3.139B,,,,,3.408B,-1.966B,1.442B,595.49M,458.23M,1.054B,,66.25M,263.72M,2.826B,5.965B,,620.41M,50.29M,670.70M,274.46M,945.16M,,,,705.20M,705.20M,,,,1.880B,1.387B,1.387B,158.24M,158.24M,174.84M,96.90M,,1.720B,3.601B,,54.83M,6.916B,1.008B,5.535B,,,-176.01M,2.267B,,AOR,Restated
