,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-04,6.114B,6.114B,4.252B,1.862B,1.372B,,,24.77M,,-24.77M,1.372B,490.18M,,24.77M,-24.77M,,-24.77M,465.41M,100.56M,364.85M,,364.85M,364.85M,599.52M,109.34M,490.18M,,1.36,,1.36,1.36,,1.36,,1.36,1.36,,268.27M,269.14M,0.29,,AOR,Restated
2018-01,6.129B,6.129B,4.164B,1.965B,1.342B,,,24.29M,,-24.29M,1.342B,623.45M,,24.29M,-24.29M,0.00,-24.29M,599.16M,-113.00M,712.16M,,712.16M,712.16M,729.11M,105.66M,623.45M,,2.63,,2.63,2.63,,2.63,,2.63,2.63,,270.30M,271.22M,0.26,,AOR,Restated
2017-10,5.904B,5.904B,4.137B,1.766B,1.349B,,,24.00M,,-24.00M,1.349B,417.43M,,24.00M,-24.00M,,-24.00M,393.44M,140.90M,252.53M,,252.53M,252.53M,518.39M,100.96M,417.43M,,0.93,,0.93,0.93,,0.93,,0.93,0.93,,272.32M,272.88M,0.26,,AOR,Restated
2017-07,5.828B,5.828B,4.038B,1.791B,1.297B,,,23.75M,,-23.75M,1.297B,493.15M,,23.75M,-23.75M,,-23.75M,469.40M,174.62M,294.78M,,294.78M,294.78M,592.18M,99.03M,493.15M,,1.08,,1.08,1.08,,1.08,,1.08,1.08,,273.69M,274.13M,0.26,,AOR,Restated
2017-04,5.610B,5.610B,3.911B,1.699B,1.225B,,,25.00M,,-25.00M,1.225B,473.80M,,25.00M,-25.00M,-3.502M,-25.00M,445.29M,165.80M,279.49M,,279.49M,279.49M,568.88M,98.59M,470.29M,,1.02,,1.02,1.02,,1.02,,1.02,1.02,,274.69M,275.22M,0.26,,AOR,Restated
2017-01,6.009B,6.009B,4.108B,1.901B,1.220B,,,25.51M,,-25.51M,1.220B,680.62M,,25.51M,-25.51M,,-25.51M,655.11M,240.93M,414.18M,,414.18M,414.18M,778.16M,97.54M,680.62M,,1.50,,1.50,1.50,,1.49,,1.49,1.49,,275.81M,276.67M,0.25,,AOR,Restated
2016-10,5.320B,5.320B,3.733B,1.588B,1.195B,,,23.88M,,-23.88M,1.195B,392.99M,,23.88M,-23.88M,,-23.88M,369.11M,133.80M,235.32M,,235.32M,235.32M,488.44M,95.44M,392.99M,,0.84,,0.84,0.84,,0.84,,0.84,0.84,,280.44M,281.28M,0.25,,AOR,Restated
2016-07,5.392B,5.392B,3.710B,1.682B,1.173B,,,24.35M,,-24.35M,1.173B,509.10M,,24.35M,-24.35M,,-24.35M,484.74M,178.23M,306.52M,,306.52M,306.52M,603.72M,94.62M,509.10M,,1.08,,1.08,1.08,,1.08,,1.08,1.08,,283.13M,284.12M,0.25,,AOR,Restated
2016-04,5.265B,5.265B,3.653B,1.613B,1.132B,,,24.08M,,-24.08M,1.132B,480.74M,,24.08M,-24.08M,,-24.08M,456.66M,161.54M,295.12M,,295.12M,295.12M,573.07M,92.32M,480.74M,,1.03,,1.03,1.03,,1.03,,1.03,1.03,,285.89M,286.98M,0.25,,AOR,Restated
2016-01,5.287B,5.287B,3.605B,1.682B,1.070B,,,23.28M,,-23.28M,1.070B,612.43M,,23.28M,-23.28M,0.00,-23.28M,589.15M,212.98M,376.18M,,376.18M,376.18M,701.57M,89.14M,612.43M,,1.30,,1.30,1.30,,1.30,,1.30,1.30,,288.40M,289.32M,0.22,,AOR,Restated
2015-10,5.067B,5.067B,3.530B,1.537B,1.113B,,,21.39M,,-21.39M,1.113B,423.86M,,21.39M,-21.39M,-0.326M,-21.39M,402.14M,148.82M,253.32M,,253.32M,253.32M,512.09M,88.55M,423.53M,,0.87,,0.87,0.87,,0.86,,0.86,0.86,,292.04M,292.90M,0.22,,AOR,Restated
2015-07,5.096B,5.096B,3.508B,1.588B,1.112B,,,20.70M,,-20.70M,1.112B,475.81M,,20.70M,-20.70M,,-20.70M,455.11M,172.76M,282.35M,,282.35M,282.35M,563.39M,87.58M,475.81M,,0.95,,0.95,0.95,,0.95,,0.95,0.95,,295.68M,296.53M,0.22,,AOR,Restated
2015-04,4.919B,4.919B,3.420B,1.499B,1.071B,,,21.58M,,-21.58M,1.071B,428.19M,,21.58M,-21.58M,,-21.58M,406.62M,153.38M,253.24M,,253.24M,253.24M,515.35M,87.15M,428.19M,,0.84,,0.84,0.84,,0.84,,0.84,0.84,,301.20M,302.09M,0.22,,AOR,Restated
2015-01,4.939B,4.939B,3.374B,1.565B,998.72M,,,21.53M,,-21.53M,998.72M,566.72M,,21.53M,-21.53M,,-21.53M,545.18M,189.81M,355.37M,,355.37M,355.37M,653.31M,86.59M,566.72M,,1.17,,1.17,1.17,,1.17,,1.17,1.17,,303.11M,304.43M,,,AOR,Restated
2014-10,4.724B,4.724B,3.301B,1.424B,1.030B,,,21.84M,,-21.84M,1.030B,394.14M,,21.84M,-21.84M,,-21.84M,372.31M,135.99M,236.32M,,236.32M,236.32M,480.40M,86.26M,394.14M,,0.78,,0.78,0.78,,0.78,,0.78,0.78,,303.08M,304.11M,,,AOR,Restated
2014-07,4.724B,4.724B,3.268B,1.456B,1.027B,,,22.60M,,-22.60M,1.027B,428.53M,,22.60M,-22.60M,,-22.60M,405.93M,154.67M,251.26M,,251.26M,251.26M,513.87M,85.34M,428.53M,,0.83,,0.83,0.83,,0.83,,0.83,0.83,,303.02M,303.89M,,,AOR,Restated
2014-04,4.522B,4.522B,3.164B,1.358B,978.04M,,,22.27M,,-22.27M,978.04M,379.71M,,22.27M,-22.27M,,-22.27M,357.44M,135.04M,222.40M,,222.40M,222.40M,463.87M,84.16M,379.71M,,0.72,,0.72,0.72,,0.72,,0.72,0.72,,309.33M,310.30M,,,AOR,Restated
2014-01,4.494B,4.494B,3.059B,1.435B,896.69M,,,22.31M,,-22.31M,896.69M,538.12M,,22.31M,-22.31M,0.00,-22.31M,515.81M,193.64M,322.17M,,322.17M,322.17M,623.29M,85.16M,538.12M,,1.01,,1.01,1.01,,1.01,,1.01,1.01,,318.09M,319.10M,,,AOR,Restated
2013-10,4.382B,4.382B,3.053B,1.328B,938.25M,,,21.52M,,-21.52M,938.25M,390.24M,,21.52M,-21.52M,,-21.52M,368.72M,131.33M,237.38M,,237.38M,237.38M,474.68M,84.44M,390.24M,,0.74,,0.74,0.74,,0.74,,0.74,0.74,,321.71M,322.54M,,,AOR,Restated
2013-07,4.395B,4.395B,3.017B,1.377B,964.47M,,,20.63M,,-20.63M,964.47M,412.82M,,20.63M,-20.63M,,-20.63M,392.19M,146.72M,245.48M,,245.48M,245.48M,495.57M,82.74M,412.82M,,0.76,,0.76,0.76,,0.75,,0.75,0.75,,324.77M,325.64M,,,AOR,Restated
2013-04,4.234B,4.234B,2.939B,1.295B,900.15M,,,24.52M,,-24.52M,900.15M,395.00M,,24.52M,-24.52M,-18.87M,-24.52M,351.61M,131.53M,220.08M,,220.08M,220.08M,456.62M,80.49M,376.13M,,0.67,,0.67,0.67,,0.67,,0.67,0.67,,326.98M,328.13M,,,AOR,Restated
2013-01,4.208B,4.208B,2.840B,1.368B,845.45M,,,27.46M,,-27.46M,845.45M,522.35M,,27.46M,-27.46M,0.00,-27.46M,494.89M,177.47M,317.42M,,317.42M,317.42M,602.86M,80.51M,522.35M,,0.97,,0.97,0.97,,0.96,,0.96,0.96,,327.60M,328.86M,,,AOR,Restated
2012-10,3.965B,3.965B,2.739B,1.226B,864.73M,,,27.73M,,-27.73M,864.73M,361.39M,,27.73M,-27.73M,-1.728M,-27.73M,331.94M,124.25M,207.68M,,207.68M,207.68M,435.80M,76.14M,359.66M,,0.62,,0.62,0.62,,0.62,,0.62,0.62,,332.34M,334.00M,,,AOR,Restated
2012-07,3.949B,3.949B,2.685B,1.263B,876.01M,,,35.67M,,-35.67M,876.01M,387.21M,,35.67M,-35.67M,-26.56M,-35.67M,324.99M,110.85M,214.14M,,214.14M,214.14M,434.65M,73.99M,360.66M,,0.64,,0.64,0.64,,0.64,,0.64,0.64,,333.00M,335.52M,,,AOR,Restated
2012-04,3.901B,3.901B,2.673B,1.228B,843.93M,,,37.07M,,-37.07M,843.93M,384.32M,,37.07M,-37.07M,-1.671M,-37.07M,345.58M,132.16M,213.42M,,213.42M,213.42M,454.92M,72.27M,382.65M,,0.64,,0.64,0.64,,0.63,,0.63,0.63,,336.08M,339.49M,,,AOR,Restated
2012-01,4.185B,4.185B,2.839B,1.346B,838.13M,,,40.07M,,-40.07M,838.13M,508.24M,,40.07M,-40.07M,-0.051M,-40.07M,468.12M,175.61M,292.51M,,292.51M,292.51M,578.83M,70.64M,508.19M,,0.86,,0.86,0.86,,0.85,,0.85,0.85,,339.93M,343.67M,,,AOR,Restated
2011-10,3.595B,3.595B,2.479B,1.116B,804.88M,,-0.053M,38.63M,,-38.63M,804.88M,310.92M,,38.63M,-38.63M,-0.053M,-38.63M,272.23M,101.07M,171.16M,,171.16M,171.20M,379.76M,68.90M,310.86M,,0.50,0.00,0.5001,0.50,,0.50,0.00,0.5001,0.50,,341.96M,345.78M,,,AOR,Restated
2011-07,3.575B,3.575B,2.427B,1.148B,798.31M,,-58.24M,60.63M,,-60.63M,798.31M,350.03M,,60.63M,-60.63M,-58.24M,-60.63M,231.16M,85.12M,146.04M,,146.04M,182.84M,360.18M,68.38M,291.79M,,0.43,0.00,0.5377,0.43,,0.42,0.00,0.5265,0.42,,341.53M,345.62M,,,AOR,Restated
2011-04,3.452B,3.452B,2.364B,1.087B,765.78M,,-2.272M,65.57M,,-65.57M,765.78M,321.62M,,65.57M,-65.57M,-2.272M,-65.57M,253.77M,96.80M,156.97M,,156.97M,158.37M,386.83M,67.49M,319.35M,,0.46,0.00,0.4641,0.46,,0.45,0.00,0.4541,0.45,,341.52M,345.39M,,,AOR,Restated
2011-01,3.486B,3.486B,2.356B,1.130B,721.90M,,,65.41M,,-65.54M,721.90M,408.25M,,65.41M,-65.54M,-0.118M,-65.54M,342.60M,120.05M,222.55M,,222.55M,222.55M,473.19M,65.19M,408.00M,,0.65,,0.65,0.65,,0.64,,0.64,0.64,,341.30M,345.32M,,,AOR,Restated
2010-10,3.223B,3.223B,2.213B,1.011B,736.33M,,-8.312M,67.24M,0.09M,-67.14M,736.33M,274.33M,0.09M,67.24M,-67.14M,-8.312M,-67.14M,198.88M,70.76M,128.12M,,128.12M,133.47M,329.70M,63.58M,266.11M,,0.38,0.00,0.3957,0.38,,0.37,0.00,0.3855,0.37,,341.06M,344.74M,,,AOR,Restated
2010-07,3.214B,3.214B,2.178B,1.036B,735.22M,,-6.526M,69.33M,0.032M,-69.30M,735.22M,300.76M,0.032M,69.33M,-69.30M,-6.526M,-69.30M,224.93M,83.74M,141.20M,,141.20M,145.29M,357.17M,62.90M,294.26M,,0.41,0.00,0.4220,0.41,,0.41,0.00,0.4219,0.41,,341.00M,344.75M,,,AOR,Restated
2010-04,3.111B,3.111B,2.112B,999.76M,709.03M,,-0.145M,72.02M,0.006M,-72.01M,709.03M,290.72M,0.006M,72.02M,-72.01M,-0.145M,-72.01M,218.57M,82.57M,136.00M,,136.00M,136.09M,353.84M,63.25M,290.58M,,0.40,0.00,0.4003,0.40,,0.39,0.00,0.3903,0.39,,340.82M,344.40M,,,AOR,Restated
2010-01,3.186B,3.186B,2.160B,1.025B,746.46M,,-55.76M,78.95M,0.009M,-78.94M,746.46M,278.93M,0.009M,78.95M,-78.94M,-55.76M,-78.94M,144.23M,57.04M,87.20M,,87.20M,120.91M,285.91M,62.73M,223.18M,,0.26,0.00,0.3599,0.26,,0.25,0.00,0.3489,0.25,,337.36M,340.98M,,,AOR,Restated
2009-10,2.929B,2.929B,2.026B,903.08M,686.84M,,-0.513M,87.61M,0.026M,-87.59M,686.84M,216.24M,0.026M,87.61M,-87.59M,-0.513M,-87.59M,128.14M,52.49M,75.65M,,75.65M,75.98M,278.73M,62.98M,215.75M,,0.24,0.00,0.2410,0.24,,0.24,0.00,0.2410,0.24,,317.94M,320.56M,,,AOR,Restated
2009-07,2.902B,2.902B,1.996B,906.04M,672.82M,,2.395M,89.94M,0.015M,-89.93M,672.82M,233.22M,0.015M,89.94M,-89.93M,2.395M,-89.93M,145.68M,52.09M,93.59M,,93.59M,92.05M,302.16M,66.54M,235.63M,,0.29,0.00,0.2852,0.29,,0.29,0.00,0.2852,0.29,,317.94M,319.50M,,,AOR,Restated
2009-04,2.780B,2.780B,1.925B,855.36M,630.49M,,-1.667M,89.24M,0.094M,-89.14M,630.49M,224.87M,0.094M,89.24M,-89.14M,-1.667M,-89.14M,134.06M,51.06M,83.01M,,83.01M,84.04M,287.83M,64.53M,223.30M,,0.26,0.00,0.2632,0.26,,0.26,0.00,0.2632,0.26,,317.87M,318.30M,,,AOR,Restated
2009-01,2.846B,2.846B,2.008B,837.70M,617.37M,,6.144M,93.23M,0.268M,-92.97M,617.37M,220.33M,0.268M,93.23M,-92.97M,6.144M,-92.97M,133.51M,51.65M,81.85M,,81.85M,78.09M,290.48M,63.74M,226.74M,,0.26,0.00,0.2481,0.26,,0.26,0.00,0.2481,0.26,,315.70M,316.32M,,,AOR,Restated
2008-10,2.599B,2.599B,1.827B,772.29M,634.06M,,-34.77M,98.39M,0.619M,-97.77M,634.06M,138.23M,0.619M,98.39M,-97.77M,-34.77M,-97.77M,5.692M,13.00M,-7.306M,,-7.306M,15.29M,166.22M,62.13M,104.08M,,-0.02,0.00,0.0512,-0.02,,-0.02,0.00,0.0512,-0.02,,317.57M,317.57M,,,AOR,Restated
2008-07,2.609B,2.609B,1.851B,758.04M,614.98M,,-0.292M,99.43M,1.217M,-98.22M,614.98M,143.06M,1.217M,99.43M,-98.22M,-0.292M,-98.22M,44.55M,16.83M,27.72M,,27.72M,27.90M,204.60M,60.62M,143.98M,,,,0.0878,0.0872,,,,0.0870,0.0865,,317.94M,320.56M,,,AOR,Restated
2008-04,2.403B,2.403B,1.710B,693.08M,582.21M,,-0.298M,100.87M,0.957M,-99.91M,582.21M,110.87M,0.957M,100.87M,-99.91M,-0.298M,-99.91M,10.66M,4.743M,5.916M,,5.916M,6.110M,172.94M,61.41M,111.53M,,,,0.0192,0.0186,,,,0.0191,0.0185,,317.94M,320.56M,,,AOR,Restated
2008-01,2.560B,2.560B,1.819B,740.37M,553.90M,,4.593M,104.42M,1.378M,-103.04M,553.90M,186.47M,1.378M,104.42M,-103.04M,4.593M,-103.04M,88.02M,32.63M,55.39M,,55.39M,52.50M,251.74M,59.31M,192.44M,,0.1766,,0.1674,0.1766,,0.1753,,0.1662,0.1753,,313.57M,315.93M,,,AOR,Restated
2007-10,2.313B,2.313B,1.666B,646.80M,581.10M,,-6.784M,111.96M,1.388M,-110.57M,581.10M,65.70M,1.388M,111.96M,-110.57M,-6.784M,-110.57M,-51.65M,-18.62M,-33.03M,,-33.03M,-28.69M,125.64M,65.33M,60.31M,,,,-0.0915,-0.1053,,,,-0.0908,-0.1053,,313.57M,315.93M,,,AOR,
2007-07,2.348B,2.348B,1.724B,623.24M,675.38M,,0.567M,40.65M,3.506M,-37.15M,675.38M,-52.14M,3.506M,40.65M,-37.15M,0.567M,-37.15M,-88.72M,-19.90M,-68.82M,,-68.82M,-69.26M,10.97M,59.04M,-48.07M,,,,-0.2209,-0.2195,,,,-0.2192,-0.2195,,313.57M,315.93M,,,AOR,
2007-04,2.275B,2.275B,1.642B,633.06M,577.69M,,,6.167M,2.573M,-3.594M,577.69M,55.37M,2.573M,6.167M,-3.594M,,-3.594M,51.77M,16.90M,34.88M,,34.88M,34.88M,108.39M,50.45M,57.94M,,,,0.1097,0.1097,,,,0.1088,0.1088,,317.94M,320.56M,,,AOR,Restated
2007-01,2.554B,2.554B,1.908B,645.95M,562.88M,,,7.891M,2.21M,-5.681M,562.88M,83.08M,2.21M,7.891M,-5.681M,,-5.681M,77.39M,27.30M,50.09M,,50.09M,50.09M,136.98M,51.70M,85.28M,,0.1602,,0.1602,0.1602,,0.1597,,0.1597,0.1597,,312.66M,313.59M,,,AOR,Restated
2006-10,2.213B,2.213B,1.687B,526.45M,523.11M,,,10.90M,0.885M,-10.02M,523.11M,3.339M,0.885M,10.90M,-10.02M,,-10.02M,-6.68M,-1.395M,-5.285M,,-5.285M,-5.285M,55.66M,51.43M,4.224M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,312.05M,312.05M,,,AOR,
2006-07,2.251B,2.251B,1.640B,611.53M,530.96M,,,8.873M,1.457M,-7.416M,530.96M,80.58M,1.457M,8.873M,-7.416M,,-7.416M,73.16M,27.69M,45.47M,,45.47M,45.47M,130.74M,48.70M,82.03M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,311.95M,312.59M,,,AOR,
2006-04,2.151B,2.151B,1.567B,584.27M,502.99M,,,7.247M,2.45M,-4.797M,502.99M,81.28M,2.45M,7.247M,-4.797M,,-4.797M,76.49M,28.82M,47.67M,,47.67M,47.67M,132.51M,48.78M,83.74M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,314.00M,315.23M,,,AOR,Restated
2006-01,2.481B,2.481B,1.750B,730.93M,498.66M,,,7.593M,2.559M,-5.034M,498.66M,232.26M,2.559M,7.593M,-5.034M,,-5.034M,227.23M,81.96M,145.27M,,145.27M,145.27M,283.83M,49.01M,234.82M,,0.4486,,0.4486,0.4486,,0.4452,,0.4452,0.4452,,323.86M,326.33M,,,AOR,Restated
2005-10,2.058B,2.058B,1.479B,579.02M,477.40M,,,5.321M,1.67M,-3.651M,477.40M,101.61M,1.67M,5.321M,-3.651M,,-3.651M,97.96M,33.54M,64.42M,,64.42M,64.42M,150.78M,47.50M,103.28M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,319.52M,321.44M,,,AOR,Restated
2005-07,2.066B,2.066B,1.474B,591.53M,470.46M,,,7.344M,2.156M,-5.188M,470.46M,121.07M,2.156M,7.344M,-5.188M,,-5.188M,115.88M,40.32M,75.56M,,75.56M,75.56M,169.54M,46.31M,123.23M,,0.23,0.00,0.23,0.23,,0.23,0.00,0.23,0.23,,323.84M,326.34M,,,AOR,Restated
2005-04,1.978B,1.978B,1.414B,563.35M,456.43M,,,5.968M,2.616M,-3.352M,456.43M,106.92M,2.616M,5.968M,-3.352M,,-3.352M,103.57M,38.67M,64.90M,,64.90M,64.90M,153.54M,44.01M,109.54M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,328.21M,331.22M,,,AOR,Restated
2005-01,2.198B,2.198B,1.538B,659.98M,439.63M,,,7.217M,1.845M,-5.372M,439.63M,220.34M,1.845M,7.217M,-5.372M,,-5.372M,214.97M,81.08M,133.89M,,133.89M,133.89M,263.78M,41.60M,222.19M,,0.40,0.00,0.40,0.40,,0.40,0.00,0.40,0.40,,327.75M,330.40M,,,AOR,Restated
2004-10,1.879B,1.879B,1.325B,553.98M,440.03M,,,7.688M,1.324M,-6.364M,440.03M,113.96M,1.324M,7.688M,-6.364M,,-6.364M,107.59M,36.47M,71.13M,,71.13M,71.13M,157.46M,42.18M,115.28M,,0.22,0.00,0.22,0.22,,0.22,0.00,0.22,0.22,,327.84M,330.31M,,,AOR,Restated
2004-07,1.836B,1.836B,1.299B,536.98M,428.85M,,,5.445M,1.404M,-4.041M,428.85M,108.13M,1.404M,5.445M,-4.041M,,-4.041M,104.08M,32.76M,71.32M,,71.32M,71.32M,150.59M,41.06M,109.53M,,0.22,0.00,0.22,0.22,,0.22,0.00,0.22,0.22,,327.80M,330.30M,,,AOR,Restated
2004-04,1.748B,1.748B,1.236B,512.25M,397.70M,,,8.444M,2.002M,-6.442M,397.70M,114.55M,2.002M,8.444M,-6.442M,,-6.442M,108.11M,40.26M,67.85M,,67.85M,67.85M,156.19M,39.64M,116.55M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,334.11M,337.26M,,,AOR,Restated
2004-01,1.966B,1.966B,1.390B,576.50M,394.61M,,,,,-6.217M,394.61M,181.89M,,,-6.217M,,-6.217M,165.67M,64.84M,100.83M,,100.83M,100.83M,217.33M,41.34M,175.99M,,0.30,0.00,0.30,0.30,,0.30,0.00,0.30,0.30,,336.26M,339.87M,,,AOR,Restated
2003-10,1.685B,1.685B,1.168B,516.90M,385.55M,,,,,-7.976M,385.55M,131.35M,,,-7.976M,,-7.976M,123.37M,45.47M,77.90M,,77.90M,77.90M,169.58M,38.23M,131.35M,,0.23,0.00,0.23,0.23,,0.23,0.00,0.23,0.23,,335.41M,339.24M,,,AOR,Restated
2003-07,1.651B,1.651B,1.178B,472.83M,370.99M,,,,,-7.899M,370.99M,101.84M,,,-7.899M,,-7.899M,93.94M,34.01M,59.94M,,59.94M,59.94M,139.97M,38.13M,101.84M,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,333.87M,336.84M,,,AOR,Restated
2003-04,1.569B,1.569B,1.117B,451.91M,348.96M,,,,,-9.411M,348.96M,102.95M,,,-9.411M,,-9.411M,93.54M,33.21M,60.33M,,60.33M,60.33M,139.71M,36.76M,102.95M,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,333.24M,334.60M,,,AOR,Restated
2003-01,1.760B,1.760B,1.232B,527.96M,354.71M,,0.00,,,-9.333M,354.71M,173.26M,,,-9.333M,0.00,-9.333M,163.92M,58.43M,105.49M,,105.49M,105.49M,243.39M,36.29M,207.10M,,0.32,0.00,0.32,0.32,,0.31,0.00,0.31,0.31,,333.26M,334.66M,,,AOR,Restated
2002-10,1.498B,1.498B,1.069B,428.58M,335.15M,,25.04M,,,-11.54M,335.15M,93.43M,,,-11.54M,25.04M,-11.54M,106.94M,38.36M,68.57M,,68.57M,52.51M,129.71M,36.28M,93.43M,,0.21,0.00,0.1618,0.21,,0.20,0.00,0.1521,0.20,,333.23M,334.97M,,,AOR,Restated
2002-07,1.454B,1.454B,1.066B,387.43M,313.67M,,4.50M,,,-11.34M,313.67M,73.76M,,,-11.34M,4.50M,-11.34M,66.92M,24.56M,42.36M,,42.36M,39.51M,107.78M,34.02M,73.76M,,0.13,0.00,0.1214,0.13,,0.13,0.00,0.1215,0.13,,333.07M,335.74M,,,AOR,Restated
2002-04,1.389B,1.389B,1.009B,380.29M,297.30M,,,,,-10.43M,297.30M,82.99M,,,-10.43M,,-10.43M,72.56M,26.63M,45.93M,,45.93M,45.93M,114.99M,32.00M,82.99M,,0.14,0.00,0.14,0.14,,0.14,0.00,0.14,0.14,,332.66M,334.83M,,,AOR,Restated
2002-01,1.586B,1.586B,1.110B,475.52M,312.64M,,0.00,,,-10.75M,312.64M,162.88M,,,-10.75M,,-10.75M,152.13M,54.69M,97.44M,,97.44M,97.44M,193.75M,30.86M,162.88M,,0.30,0.00,0.30,0.30,,0.29,0.00,0.29,0.29,,332.64M,334.62M,,,AOR,Restated
