,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.606B,2.606B,656.00M,1.95B,660.00M,258.00M,918.00M,287.00M,,6.00M,,,,95.00M,95.00M,60.00M,1.271B,679.00M,95.00M,,95.00M,,95.00M,774.00M,153.00M,621.00M,43.00M,,,664.00M,621.00M,831.00M,152.00M,679.00M,0.89,0.06,,0.89,0.95,0.88,0.06,,0.88,0.94,696.00M,708.00M,0.16
2020-06,2.865B,2.865B,598.00M,2.267B,716.00M,320.00M,1.036B,308.00M,,9.00M,,,,,182.00M,93.00M,1.446B,821.00M,,,182.00M,,182.00M,1.003B,263.00M,740.00M,6.00M,,,746.00M,740.00M,993.00M,172.00M,821.00M,1.05,0.01,,1.05,1.06,1.04,0.01,,1.04,1.05,703.00M,711.00M,0.16
2020-03,2.374B,2.374B,526.00M,1.848B,607.00M,234.00M,841.00M,267.00M,,9.00M,,,,2.00M,2.00M,102.00M,1.219B,629.00M,2.00M,,2.00M,,2.00M,631.00M,146.00M,485.00M,2.927B,,,3.412B,485.00M,776.00M,147.00M,629.00M,0.64,3.89,,0.64,4.53,0.64,3.87,,0.64,4.51,753.00M,757.00M,0.16
2019-12,4.40B,4.40B,928.00M,3.472B,1.463B,433.00M,1.896B,505.00M,,27.00M,,,183.00M,,-63.00M,106.00M,2.534B,938.00M,,183.00M,-63.00M,,-63.00M,952.00M,207.00M,745.00M,-189.00M,,,556.00M,745.00M,1.342B,207.00M,1.135B,0.65,0.04,,0.65,0.69,0.65,0.04,,0.65,0.69,807.00M,814.00M,0.14
2019-09,2.083B,2.083B,530.00M,1.553B,577.00M,250.00M,827.00M,243.00M,,7.00M,,,142.00M,,-142.00M,68.00M,1.145B,408.00M,,142.00M,-142.00M,,-142.00M,266.00M,56.00M,210.00M,100.00M,,,310.00M,210.00M,552.00M,144.00M,408.00M,0.25,0.12,,0.25,0.37,0.25,0.12,,0.25,0.37,830.00M,837.00M,0.14
2019-06,2.423B,2.423B,553.00M,1.87B,688.00M,256.00M,944.00M,295.00M,,10.00M,,,,,-51.00M,63.00M,1.312B,558.00M,,,-51.00M,,-51.00M,507.00M,107.00M,400.00M,2.00M,,,402.00M,400.00M,726.00M,168.00M,558.00M,0.47,0.0,,0.47,0.47,0.46,0.0,,0.46,0.46,860.00M,867.00M,0.14
2019-03,2.413B,2.413B,539.00M,1.874B,647.00M,284.00M,931.00M,272.00M,,11.00M,,,,64.00M,64.00M,67.00M,1.281B,593.00M,64.00M,,64.00M,,64.00M,657.00M,141.00M,516.00M,2.00M,,,518.00M,516.00M,755.00M,162.00M,593.00M,0.58,0.0,,0.58,0.58,0.57,0.0,,0.57,0.57,900.00M,908.00M,0.14
2018-12,2.877B,2.877B,618.00M,2.259B,945.00M,245.00M,1.19B,292.00M,,13.00M,,,,,-811.00M,83.00M,1.578B,681.00M,,,-811.00M,,-811.00M,516.00M,-247.00M,763.00M,-3.00M,,,760.00M,763.00M,1.675B,172.00M,1.503B,0.81,0.0,,0.81,0.81,0.8,0.0,,0.8,0.8,944.00M,949.00M,
2018-09,2.649B,2.649B,608.00M,2.041B,852.00M,248.00M,1.10B,307.00M,,13.00M,,,,,392.00M,65.00M,1.485B,556.00M,,,392.00M,,392.00M,948.00M,228.00M,720.00M,1.00M,,,721.00M,720.00M,731.00M,175.00M,556.00M,0.74,0.0,,0.74,0.74,0.73,0.0,,0.73,0.73,974.00M,983.00M,
2018-06,2.64B,2.64B,597.00M,2.043B,838.00M,368.00M,1.206B,352.00M,,13.00M,,,,,301.00M,66.00M,1.637B,406.00M,,,301.00M,,301.00M,707.00M,69.00M,638.00M,4.00M,,,642.00M,638.00M,576.00M,170.00M,406.00M,0.64,0.0,,0.64,0.64,0.64,0.0,,0.64,0.64,992.00M,1.004B,
