,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,234.53M,0.00,1.162M,10.00M,-9.729M,1.433M,43.02M,12.98M,56.01M,56.01M,33.93M,,3.269M,,-4.351M,-53.46M,-88.87M,31.14M,51.83M,,,-15.51M,-74.88M,249.94M,-140.67M,0.45M,-140.22M,0.00,-10.06M,0.00,-150.28M,-2.147M,0.00,-2.147M,0.00,0.00,-125.37M,-125.37M,9.70M,0.00,-117.82M,1.729B,-18.16M,3.098M,1.714B,0.00,-2.147M,0.00
2020-07,203.26M,0.00,0.376M,7.499M,-8.235M,-0.36M,40.16M,9.695M,49.86M,49.86M,-0.283M,,3.724M,,-9.329M,-113.23M,66.40M,27.22M,100.12M,,,2.413M,82.93M,329.80M,-88.27M,0.345M,-87.92M,-1.911M,6.929M,-0.001M,-82.90M,-2.152M,992.38M,990.23M,0.00,0.00,-125.25M,-125.25M,7.746M,0.001M,872.72M,606.07M,1.120B,3.68M,1.729B,992.38M,-2.152M,0.00
2020-04,227.62M,0.00,0.278M,10.00M,-10.02M,0.258M,41.34M,9.25M,50.59M,50.59M,-1.656M,,6.167M,,11.13M,35.68M,35.54M,-47.05M,39.66M,,,1.943M,65.77M,359.87M,-80.35M,0.007M,-80.34M,-268.88M,-13.41M,,-362.63M,-2.05M,,-2.05M,-12.36M,-12.36M,-124.50M,-124.50M,28.02M,0.076M,-110.82M,724.42M,-113.58M,-4.771M,606.07M,,-2.05M,-12.36M
2020-01,242.95M,,-0.023M,10.00M,-7.588M,2.389M,41.19M,8.135M,49.33M,49.33M,0.049M,,9.298M,,-12.76M,11.49M,-14.92M,-5.451M,-94.61M,,,0.647M,-102.84M,188.42M,-58.21M,1.114M,-57.10M,,-3.407M,,-60.50M,-2.019M,,-2.019M,0.00,0.00,-112.25M,-112.25M,36.35M,,-77.92M,672.90M,50.00M,1.519M,724.42M,,-2.019M,0.00
2019-10,255.57M,0.00,0.235M,2.50M,-11.07M,-8.333M,39.90M,3.09M,42.99M,42.99M,66.56M,,3.00M,,-0.402M,-52.46M,66.22M,-9.516M,5.336M,,,-18.89M,-9.303M,350.08M,-139.61M,1.144M,-138.46M,5.921M,-2.246M,,-134.79M,0.00,0.00,0.00,0.00,0.00,-112.08M,-112.08M,11.79M,,-100.29M,560.20M,115.00M,-2.30M,672.90M,0.00,0.00,0.00
2019-07,199.43M,0.00,-1.504M,10.00M,-3.384M,5.112M,38.82M,2.652M,41.47M,41.47M,0.019M,,3.193M,,-2.146M,8.675M,-78.46M,6.609M,21.33M,,,2.093M,-39.76M,207.32M,-66.61M,5.091M,-61.52M,0.00,-8.367M,,-69.89M,0.00,0.00,0.00,-106.62M,-106.62M,-112.68M,-112.68M,3.83M,,-215.48M,639.33M,-78.04M,-1.083M,560.20M,0.00,0.00,-106.62M
2019-04,282.64M,-16.47M,0.008M,10.00M,-13.29M,-19.75M,37.61M,3.115M,40.72M,40.72M,-38.06M,,5.568M,,-8.116M,-3.628M,-80.70M,-1.573M,-1.07M,,,2.143M,-84.83M,178.17M,-48.19M,0.862M,-47.33M,473.88M,-0.05M,,426.51M,-374.88M,,-374.88M,-22.81M,-22.81M,-112.16M,-112.16M,28.28M,,-481.57M,512.69M,123.10M,3.537M,639.33M,-0.038M,-374.84M,-22.81M
2019-01,241.52M,,0.45M,,-11.46M,-11.01M,36.85M,3.17M,40.02M,40.02M,0.125M,,7.946M,,-9.516M,36.26M,-30.90M,-5.625M,-85.63M,,,4.237M,-81.66M,187.42M,-39.43M,30.30M,-9.125M,,7.446M,,-1.679M,0.038M,,0.038M,-44.81M,-44.81M,-100.12M,-100.12M,16.00M,,-128.90M,459.14M,56.85M,-3.294M,512.69M,0.038M,,-44.81M
2018-10,261.50M,0.00,-1.537M,10.00M,-8.814M,-0.351M,37.62M,3.131M,40.75M,40.75M,48.67M,,2.939M,,1.788M,-42.60M,40.63M,8.092M,133.20M,,,-13.38M,125.95M,498.52M,-145.63M,2.507M,-143.12M,0.00,3.727M,,-139.40M,-374.96M,280.00M,-94.96M,-2.157M,-2.157M,-99.59M,-99.59M,31.07M,,-165.64M,268.98M,193.49M,-3.333M,459.14M,-95.00M,0.039M,-2.157M
2018-07,210.35M,0.00,0.054M,9.999M,-13.14M,-3.088M,37.50M,3.287M,40.79M,40.79M,18.38M,,6.265M,,-1.245M,-8.411M,10.17M,-8.937M,36.95M,,,-1.362M,28.41M,299.86M,-102.82M,0.803M,-102.01M,0.005M,-7.503M,,-109.51M,0.038M,-90.00M,-89.96M,0.00,0.00,-99.38M,-99.38M,10.75M,,-178.58M,261.57M,11.77M,-4.359M,268.98M,-90.00M,0.038M,0.00
