,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.902B,3.001B,2.00B,1.001B,480.00M,231.00M,33.00M,498.00M,70.00M,3.00M,-67.00M,,744.00M,257.00M,3.00M,70.00M,-67.00M,260.00M,-67.00M,450.00M,23.00M,427.00M,,,24.00M,427.00M,49.30M,914.00M,394.00M,520.00M,0.53,,,0.033,0.53,0.48,,,0.0551,0.48,760.00M,889.00M,0.22
2020-06,2.561B,2.561B,1.805B,756.00M,401.00M,430.00M,28.00M,,67.00M,3.00M,-64.00M,,859.00M,-103.00M,3.00M,67.00M,-64.00M,118.00M,-64.00M,-49.00M,22.00M,-71.00M,,,25.00M,-71.00M,-98.01M,370.00M,352.00M,18.00M,-0.13,,,-0.1656,-0.13,-0.13,,,-0.1656,-0.13,759.00M,759.00M,0.22
2020-03,2.391B,2.391B,1.83B,561.00M,395.00M,261.00M,26.00M,,64.00M,6.00M,-58.00M,,682.00M,-121.00M,6.00M,64.00M,-58.00M,71.00M,-58.00M,-108.00M,-12.00M,-96.00M,,,24.00M,-96.00M,-156.45M,338.00M,382.00M,-44.00M,-0.16,,,-0.2395,-0.16,-0.16,,,-0.2395,-0.16,760.00M,760.00M,0.22
2019-12,2.977B,2.817B,1.963B,854.00M,401.00M,278.00M,28.00M,,60.00M,5.00M,-55.00M,,707.00M,147.00M,5.00M,60.00M,-55.00M,-75.00M,-55.00M,17.00M,-15.00M,32.00M,,,25.00M,32.00M,-30.05M,469.00M,392.00M,77.00M,0.01,,,-0.0712,0.01,0.01,,,-0.06,0.01,764.00M,887.00M,0.2
2019-09,2.881B,2.934B,1.917B,1.017B,369.00M,255.00M,28.00M,,55.00M,4.00M,-51.00M,,652.00M,365.00M,4.00M,55.00M,-51.00M,94.00M,-51.00M,408.00M,71.00M,337.00M,,,24.00M,337.00M,265.96M,859.00M,396.00M,463.00M,0.4,,,0.3083,0.4,0.38,,,0.3008,0.38,775.00M,897.00M,0.2
2019-06,2.94B,2.94B,1.875B,1.065B,414.00M,249.00M,28.00M,,54.00M,5.00M,-49.00M,,691.00M,374.00M,5.00M,54.00M,-49.00M,-109.00M,-49.00M,216.00M,124.00M,92.00M,,,24.00M,92.00M,170.11M,650.00M,380.00M,270.00M,0.09,,,0.19,0.09,0.09,,,0.189,0.09,781.00M,789.00M,0.2
2019-03,2.812B,2.812B,1.713B,1.099B,401.00M,249.00M,29.00M,,52.00M,7.00M,-45.00M,,679.00M,420.00M,7.00M,52.00M,-45.00M,200.00M,-45.00M,575.00M,76.00M,499.00M,,,24.00M,499.00M,339.29M,962.00M,335.00M,627.00M,0.61,,,0.4063,0.61,0.55,,,0.3741,0.55,784.00M,908.00M,0.2
2018-12,3.035B,3.035B,1.833B,1.202B,447.00M,265.00M,26.00M,,51.00M,9.00M,-42.00M,,738.00M,464.00M,9.00M,51.00M,-42.00M,-76.00M,-42.00M,346.00M,54.00M,292.00M,,,25.00M,292.00M,426.18M,727.00M,330.00M,397.00M,0.34,,,0.5094,0.34,0.32,,,0.4659,0.32,792.00M,920.00M,0.18
2018-09,3.008B,3.008B,1.776B,1.232B,439.00M,244.00M,27.00M,,45.00M,7.00M,-38.00M,,710.00M,522.00M,7.00M,45.00M,-38.00M,274.00M,-38.00M,758.00M,133.00M,625.00M,,,24.00M,625.00M,435.25M,1.121B,318.00M,803.00M,0.75,,,0.5143,0.75,0.67,,,0.466,0.67,805.00M,930.00M,0.18
2018-06,2.747B,2.747B,1.675B,1.072B,412.00M,243.00M,22.00M,,43.00M,9.00M,-34.00M,,677.00M,395.00M,9.00M,43.00M,-34.00M,503.00M,-34.00M,864.00M,126.00M,738.00M,,,,738.00M,346.87M,1.229B,322.00M,907.00M,0.87,,,0.3924,0.87,0.78,,,0.3652,0.78,819.00M,943.00M,0.18
